Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,K,V,I,U,H,J,R,B,pmdec,rvz_nature,rvz_qual,otype,pmra,plx_value,sp_type,sp_bibcode,sp_qual
True,,Gaia DR3 2659914516754259456,23:27:24.54,+04:26:37.79,LAMOST J232724.54+042637.7,351.85225644247043,4.443836582965278,0.03,0.0259,90,O,2020yCat.1350....0G,,,,,,,,,-2.04,s,E,*,1.264,0.0482,,,
True,,Gaia DR3 2733469542550276352,22:39:25.16,+15:48:44.14,Gaia DR3 2733469542550276352,339.854872689375,15.81230243662667,0.0363,0.0319,90,O,2020yCat.1350....0G,,,,,,,,,-8.924,,,*,-5.54,0.1319,,,
True,,Gaia DR3 2765074076578453760,23:37:14.18,+13:21:56.95,Gaia DR3 2765074076578453760,354.3090626713616,13.36582647043028,0.0277,0.0252,90,O,2020yCat.1350....0G,,,,,,,,,-1.311,,,*,0.356,,,,
True,,Gaia DR3 2792504520868554240,00:25:17.56,+16:02:38.40,LAMOST J002517.55+160238.4,6.32315015150125,16.04400899296556,0.0237,0.0159,90,O,2020yCat.1350....0G,,,,,,,,,-1.173,s,D,*,0.698,,,,
True,,Gaia DR3 2810525379008979968,23:17:24.68,+11:19:02.24,2MASS J23172466+1119023,349.35276044666,11.31730777421,0.0135,0.0106,90,O,2020yCat.1350....0G,11.079000473022461,,,,11.15999984741211,11.696000099182129,,,-3.07,s,A,RG*,13.326,0.1632,,,
True,,Gaia DR3 2811948250134539520,23:15:24.85,+12:16:03.76,2MASS J23152484+1216037,348.85349618216,12.26771492164,0.0179,0.0128,90,O,2020yCat.1350....0G,11.050999641418457,,,,11.180000305175781,11.776000022888184,,,-2.072,s,A,RG*,8.213,0.1215,,,
True,,Gaia DR3 2911019229961694208,05:59:47.38,-27:08:14.10,UCAC4 315-009257,89.94739119919834,-27.13722244650639,0.0072,0.0083,90,O,2020yCat.1350....0G,10.251999855041504,12.892000198364258,,,10.371999740600586,10.934000015258789,12.793999671936035,13.92300033569336,-6.681,s,A,Pe*,2.083,0.1427,,,
True,,Gaia DR3 2914192523598690048,05:45:52.52,-25:56:38.40,UCAC4 321-008277,86.46870421859624,-25.94397156172361,0.0068,0.0089,90,O,2020yCat.1350....0G,10.755999565124512,,,,10.85099983215332,11.333999633789062,12.777000427246094,13.62399959564209,-6.609,s,A,Pe*,27.407,0.3802,,,
True,,Gaia DR3 3247170789616103808,03:32:15.70,-06:44:29.76,UCAC4 417-004313,53.06538842140043,-6.741582192114722,0.0131,0.0099,90,O,2020yCat.1350....0G,11.060999870300293,13.543999671936035,,,11.147000312805176,11.699999809265137,13.42300033569336,14.479999542236328,-5.091,s,A,Pe*,6.247,0.1269,,,
True,,Gaia DR3 3257948717988018304,03:59:35.07,+00:57:10.58,Gaia DR3 3257948717988018304,59.89609977637959,0.9529574762811108,0.0321,0.0251,90,O,2020yCat.1350....0G,,,,,,,,,-3.35,,,*,2.225,0.0476,,,
True,,Gaia DR3 3642334203486585728,14:23:13.78,-05:20:16.66,UCAC4 424-059793,215.80742685845996,-5.337921726370001,0.0188,0.0148,90,O,2020yCat.1350....0G,9.319999694824219,12.663999557495117,,,9.47700023651123,10.281999588012695,12.583999633789062,14.107000350952148,-8.486,s,A,Pe*,0.34,0.0698,,,
True,,Gaia DR3 4045622011959470464,18:20:20.18,-32:18:14.08,2MASS J18202018-3218139,275.0841170922767,-32.303869978763885,0.0169,0.0149,90,O,2020yCat.1350....0G,10.835000038146973,,,,10.977999687194824,11.62600040435791,,,-7.956,s,A,Pe*,-4.488,0.1523,,,
True,,Gaia DR3 4081038754562022528,19:14:46.24,-22:11:37.79,2MASS J19144623-2211377,288.6926559353112,-22.193821442626387,0.0131,0.0125,90,O,2020yCat.1350....0G,10.649999618530273,,,,10.845999717712402,11.562000274658203,,,-1.961,s,A,*,-1.392,0.0362,,,
True,,Gaia DR3 4227203402244069120,20:55:15.30,-00:54:16.09,2MASS J20551529-0054163,313.8137576047146,-0.9044667941372222,0.0105,0.0054,90,O,2020yCat.1350....0G,9.741999626159668,,,,9.918000221252441,10.699000358581543,,,-0.678,s,A,Pe*,2.759,0.0785,,,
True,,Gaia DR3 4377687545785813248,16:57:51.44,-03:33:20.52,UCAC4 433-068785,254.46430736412918,-3.5556382908408333,0.0095,0.0056,90,O,2020yCat.1350....0G,9.5600004196167,13.180999755859375,,,9.748000144958496,10.484999656677246,12.940999984741211,14.53600025177002,-14.579,s,A,Pe*,1.933,0.1703,,,
True,,Gaia DR3 4420695900880776576,15:18:57.69,+01:34:48.29,2MASS J15185770+0134483,229.7404268611846,1.5800765475233334,0.0111,0.0111,90,O,2020yCat.1350....0G,9.336999893188477,,,,9.494000434875488,10.20199966430664,,,1.195,s,A,Pe*,-10.715,0.1046,,,
True,,Gaia DR3 4675852078212908416,04:25:15.23,-62:13:20.86,UCAC4 139-003877,66.31339179052584,-62.22248050597333,0.0114,0.0115,90,O,2020yCat.1350....0G,10.744000434875488,13.039999961853027,,,10.803000450134277,11.338000297546387,12.932000160217285,13.862000465393066,3.651,s,A,Pe*,6.295,0.1613,,,
True,,Gaia DR3 4750826882756774784,03:10:38.91,-47:17:25.44,UCAC4 214-003011,47.66208785735,-47.29035413245,0.0081,0.0095,90,O,2020yCat.1350....0G,11.121999740600586,13.45300006866455,,,11.206999778747559,11.718000411987305,13.291000366210938,14.246999740600586,-11.253,s,C,Pe*,3.517,0.1663,,,
True,,Gaia DR3 4757975288886077184,05:29:03.47,-61:05:44.59,2MASS J05290344-6105446,82.26441446053084,-61.0957118390625,0.0092,0.0105,90,O,2020yCat.1350....0G,10.692999839782715,,,,10.824000358581543,11.394000053405762,,,-1.341,s,B,Pe*,2.786,0.0848,,,
True,,Gaia DR3 4777636927611794432,04:35:43.16,-53:55:09.48,UCAC4 181-004567,68.92981192001834,-53.91924598881805,0.0099,0.0089,90,O,2020yCat.1350....0G,10.14900016784668,12.513999938964844,,,10.215999603271484,10.73900032043457,12.345000267028809,13.36299991607666,-11.222,s,A,Pe*,3.034,0.1889,,,
True,,Gaia DR3 4780985799511960576,04:21:29.24,-52:19:57.86,UCAC4 189-004229,65.37183634147333,-52.33271508979278,0.0098,0.0106,90,O,2020yCat.1350....0G,10.295999526977539,12.965999603271484,,,10.39900016784668,10.994999885559082,12.630000114440918,13.967000007629395,-5.95,s,A,Pe*,2.069,0.1307,,,
True,,Gaia DR3 4786174291804662528,05:00:17.56,-47:06:59.54,UCAC4 215-005421,75.0731570243404,-47.116549457309176,0.009,0.009,90,O,2020yCat.1350....0G,10.732999801635742,13.340999603271484,,,10.8149995803833,11.411999702453613,13.14900016784668,14.336000442504883,1.636,s,C,Pe*,3.172,0.1067,,,
True,,Gaia DR3 4816836269489019904,04:52:59.14,-40:08:57.01,UCAC4 250-005434,73.24640885430459,-40.14914451074778,0.0082,0.0104,90,O,2020yCat.1350....0G,10.480999946594238,12.965999603271484,,,10.572999954223633,11.151000022888184,12.817000389099121,13.899999618530273,-6.337,s,A,Pe*,2.151,0.1563,,,
True,,Gaia DR3 4892850490479845120,04:32:28.44,-25:44:48.73,2MASS J04322842-2544487,68.11845243832167,-25.74686839025444,0.0075,0.0094,90,O,2020yCat.1350....0G,10.840999603271484,,,,10.932000160217285,11.437999725341797,,,-0.906,s,B,Pe*,6.448,0.2456,,,
True,,Gaia DR3 4930039787661776896,01:31:18.44,-48:45:35.32,UCAC4 207-001420,22.826837605110004,-48.75977800548,0.0073,0.0085,90,O,2020yCat.1350....0G,11.168999671936035,13.461999893188477,,,11.272000312805176,11.793999671936035,13.366000175476074,14.310999870300293,-6.874,s,B,Pe*,0.632,0.111,,,
True,,Gaia DR3 4940475493039087872,01:51:29.13,-50:49:12.65,UCAC4 196-001702,27.871291782466248,-50.820178180788616,0.0084,0.0095,90,O,2020yCat.1350....0G,11.355999946594238,13.842000007629395,,,11.439000129699707,12.012999534606934,13.873000144958496,14.748000144958496,-1.132,s,C,Pe*,9.844,0.0777,,,
True,,Gaia DR3 4953772814866348928,02:32:40.43,-37:08:11.04,2MASS J02324042-3708110,38.16843024482,-37.13639693962,0.008,0.0096,90,O,2020yCat.1350....0G,11.12600040435791,13.70199966430664,12.54699993133545,,11.239999771118164,11.777000427246094,12.899999618530273,14.62399959564209,-1.751,s,C,Pe*,5.937,0.0913,CEMP,2018AJ....155..256P,C
True,,Gaia DR3 5152929864265512448,03:08:52.10,-16:49:16.32,Gaia DR3 5152929864265512448,47.217088121225416,-16.821190156796664,0.0187,0.0244,90,O,2020yCat.1350....0G,,,,,,,,,-1.466,,,*,3.306,0.0383,,,
True,,Gaia DR3 5208594251034223872,08:26:31.48,-79:55:13.08,2MASS J08263144-7955131,126.6310459942346,-79.92028098298223,0.0114,0.0101,90,O,2020yCat.1350....0G,10.954999923706055,,,,11.074999809265137,11.626999855041504,,,-3.858,s,B,Pe*,4.988,0.1845,,,
True,,Gaia DR3 5221522416131163392,08:38:29.78,-71:14:40.85,2MASS J08382975-7114407,129.62402290414,-71.24465480488999,0.0089,0.0088,90,O,2020yCat.1350....0G,10.765999794006348,,,,10.869999885559082,11.4399995803833,,,-5.413,s,B,Pe*,3.948,0.1698,,,
True,,Gaia DR3 5548763464834134400,06:07:08.18,-52:45:59.90,UCAC4 187-007212,91.78404921075,-52.76669140575,0.0103,0.0118,90,O,2020yCat.1350....0G,10.487000465393066,13.031999588012695,,,10.565999984741211,11.142000198364258,12.965999603271484,13.916999816894531,12.619,s,B,Pe*,5.009,0.2913,,,
True,,Gaia DR3 6243816407441434752,16:07:06.21,-20:50:00.24,UCAC4 346-078965,241.77593188553834,-20.833388595309998,0.0164,0.0107,90,O,2020yCat.1350....0G,9.817999839782715,13.659000396728516,,,10.008999824523926,10.760000228881836,13.305999755859375,15.230999946594238,-2.06,s,A,Pe*,-14.797,0.107,,,
True,,Gaia DR3 6782821815106683008,21:20:13.52,-33:54:02.99,2MASS J21201351-3354026,320.0563168458375,-33.90072158121055,0.0117,0.0108,90,O,2020yCat.1350....0G,10.003999710083008,,,,10.102999687194824,10.62399959564209,,,-24.529,s,A,Pe*,0.483,0.2771,,,
