Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,T(V-I),T(V-J),T(V-H),T(V-K),Tavg,logg1,BC,Mbol,Teff,logg,Fe/H,Vmic,EWmin
BL257,[KGS2010] For   66101,DW,Fornax,02:39:57.30,-34:31:20.8,3981,3984,3994,4015,3994,0.78,-0.93,-3.10,3994,0.78,-0.58,2.3,16.77
BL258,[WMO2009] For-0949,DW,Fornax,02:39:49.68,-34:28:50.4,4008,4045,4026,4039,4030,0.85,-0.88,-2.96,4030,0.68,-0.60,2.2,16.88
BL260,[KGS2010] For   64059,DW,Fornax,02:39:55.38,-34:29:54.6,3985,4026,4016,4010,4009,0.79,-0.90,-3.09,4009,0.75,-0.87,2.4,14.90
BL261,[LHT2010] BL261,DW,Fornax,02:39:57.80,-34:26:48.8,4028,4053,4066,4039,4046,0.82,-0.86,-3.06,4146,0.57,-0.86,2.0,16.99
BL262,[WMO2009] For-1219,DW,Fornax,02:39:38.42,-34:26:10.3,4054,4021,4027,4018,4030,0.84,-0.88,-2.98,4230,0.84,-0.78,2.1,15.68
BL266,2MASS J02401001-3429589,DW,Fornax,02:40:10.00,-34:29:58.8,4157,4241,4225,4223,4212,0.83,-0.68,-3.20,4212,0.83,-1.44,2.0,12.10
BL267,GB07 Fnx07,DW,Fornax,02:40:17.50,-34:26:06.1,4197,4210,4211,4186,4201,0.80,-0.70,-3.27,4201,0.80,-0.72,2.1,15.62
BL269,[WMO2009] For-2280,DW,Fornax,02:39:58.20,-34:32:05.3,3965,3992,4008,3997,3990,0.75,-0.92,-3.18,3990,0.75,-0.81,2.0,13.86
BL278,WEL 112,DW,Fornax,02:40:04.38,-34:27:11.3,3964,3967,3977,3980,3972,0.64,-0.95,-3.43,4072,0.64,-0.73,2.3,15.51
BL279,[WMO2009] For-0025,DW,Fornax,02:40:02.70,-34:38:29.9,4228,4298,4274,4286,4272,0.95,-0.64,-2.97,4272,0.95,-1.51,1.6,13.31
BL295,[LHT2010] BL295,DW,Fornax,02:40:26.72,-34:26:56.8,3994,3976,3975,3975,3980,0.70,-0.94,-3.28,3980,0.70,-0.69,2.3,17.38
BL300,[WMO2009] For-2044,DW,Fornax,02:40:17.90,-34:27:00.7,3989,3991,4001,3977,3990,0.71,-0.92,-3.27,3990,0.71,-0.92,2.2,15.68
BL304,2MASS J02400550-3432429,DW,Fornax,02:40:05.49,-34:32:42.7,3959,3936,3941,3965,3950,0.70,-0.97,-3.26,3950,0.46,-0.96,2.3,14.41
BL311,[LHT2010] BL311,DW,Fornax,02:40:22.64,-34:31:31.0,4032,4022,4022,4032,4027,0.79,-0.88,-3.12,4027,0.79,-0.78,2.2,16.94
BL315,[WMO2009] For-0968,DW,Fornax,02:40:24.22,-34:26:20.0,4173,4135,4115,4133,4139,0.86,-0.76,-3.06,4139,0.86,-0.82,1.8,16.72
BL323,[WMO2009] For-1250,DW,Fornax,02:40:16.76,-34:29:34.4,3897,3859,3881,3887,3881,0.66,-1.08,-3.28,3881,0.53,-0.91,2.3,14.46
