Name,lambda,Species,chi,loggf,EW
BL045,6136.62,Fe I,2.45,-1.50,
BL045,6137.00,Fe I,2.20,-2.95,
BL045,6151.62,Fe I,2.18,-3.37,122.7
BL045,6157.75,Fe I,4.07,-1.26,94.5
BL045,6159.38,Fe I,4.61,-1.97,
BL045,6165.36,Fe I,4.14,-1.47,56.4
BL045,6173.34,Fe I,2.22,-2.85,150.5
BL045,6180.20,Fe I,2.73,-2.78,119.4
BL045,6187.99,Fe I,3.94,-1.58,65.1
BL045,6200.31,Fe I,2.61,-2.44,138.5
BL045,6213.43,Fe I,2.22,-2.66,170.0
BL045,6219.29,Fe I,2.20,-2.44,185.7
BL045,6226.74,Fe I,3.88,-2.20,41.4
BL045,6252.57,Fe I,2.40,-1.76,193.7
BL045,6265.13,Fe I,2.18,-2.55,167.1
BL045,6271.28,Fe I,3.32,-2.96,46.8
BL045,6297.80,Fe I,2.22,-2.74,
BL045,6301.50,Fe I,3.65,-0.72,144.9
BL045,6307.85,Fe I,3.64,-3.27,
BL045,6322.69,Fe I,2.59,-2.43,140.4
BL045,6330.85,Fe I,4.73,-1.22,26.3
BL045,6335.33,Fe I,2.20,-2.23,198.2
BL045,6336.82,Fe I,3.69,-1.05,144.9
BL045,6344.15,Fe I,2.43,-2.92,165.4
BL045,6355.04,Fe I,2.84,-2.29,143.2
BL045,6380.75,Fe I,4.19,-1.50,49.9
BL045,6392.54,Fe I,2.28,-3.95,84.8
BL045,6393.61,Fe I,2.43,-1.63,228.0
BL045,6408.03,Fe I,3.69,-1.00,140.4
BL045,6419.96,Fe I,4.73,-0.24,91.1
BL045,6421.36,Fe I,2.28,-2.01,217.8
BL045,6430.86,Fe I,2.18,-1.95,215.3
BL045,6481.87,Fe I,2.27,-2.98,150.6
BL045,6498.94,Fe I,0.96,-4.69,151.9
BL045,6533.93,Fe I,4.55,-1.46,34.9
BL045,6556.81,Fe I,4.79,-1.72,20.3
BL045,6569.22,Fe I,4.73,-0.42,84.1
BL045,6574.23,Fe I,0.99,-5.02,151.3
BL045,6593.88,Fe I,2.43,-2.39,167.8
BL045,6597.56,Fe I,4.79,-1.07,44.8
