   38858   0.029   0.058  -0.033   0.022   0.008   0.013   0.027   0.032  -0.002  -0.039   0.034   0.015
   45184  -0.068  -0.054  -0.031  -0.007  -0.015  -0.004   0.016   0.008  -0.001  -0.019   0.050   0.039
   45289   0.056   0.142  -0.005   0.098   0.127   0.053   0.048   0.098   0.002   0.004  -0.083  -0.094
   59711   0.015  -0.010  -0.023   0.018   0.017   0.008   0.013   0.020  -0.005  -0.022   0.004  -0.009
   59967  -0.076  -0.077  -0.086  -0.061  -0.078  -0.045   0.035  -0.002   0.027  -0.065   0.138   0.114
   66428   0.004  -0.095   0.143   0.033   0.049   0.034  -0.023   0.012   0.015   0.062  -0.076  -0.048
   67458  -0.062   0.036  -0.072   0.017   0.000   0.010   0.043   0.041  -0.011  -0.040   0.059   0.011
   71334  -0.020   0.030  -0.032   0.036   0.063   0.018   0.032   0.051  -0.001  -0.014  -0.070  -0.077
   75302  -0.108  -0.128  -0.079  -0.029  -0.036  -0.034   0.020   0.007   0.020  -0.034   0.066   0.096
   78429  -0.025   0.001  -0.053   0.020   0.035  -0.003   0.005   0.012   0.005  -0.021  -0.098  -0.103
   88084   0.021  -0.014   0.007   0.027   0.055   0.021   0.019   0.039  -0.009  -0.003  -0.028  -0.046
   89454  -0.098  -0.101  -0.050  -0.030  -0.029  -0.019   0.016   0.006   0.026  -0.011   0.046   0.079
   92719  -0.055  -0.010  -0.048   0.003  -0.013   0.005   0.032   0.026  -0.001  -0.043   0.048   0.040
   95521  -0.013   0.014  -0.043   0.014   0.001   0.004   0.034   0.033   0.007  -0.039   0.045   0.028
   96116  -0.086  -0.046  -0.103  -0.039  -0.063  -0.035   0.020  -0.005   0.014  -0.056   0.092   0.095
   96423  -0.058  -0.075   0.008   0.022   0.056   0.005   0.005   0.024   0.006   0.022  -0.053  -0.032
  102117  -0.066  -0.125   0.052   0.035   0.076   0.018  -0.004   0.026   0.017   0.036  -0.101  -0.050
  102365   0.130   0.203   0.002   0.153   0.153   0.079   0.079   0.126   0.006  -0.011  -0.065  -0.113
  104982   0.015   0.032  -0.009   0.061   0.068   0.017   0.027   0.049  -0.002  -0.016  -0.035  -0.067
  106116  -0.038  -0.033   0.037   0.011   0.045   0.005  -0.008   0.008   0.012   0.016  -0.089  -0.058
  108309  -0.002   0.015   0.016   0.010   0.046   0.003  -0.007   0.008   0.006   0.003  -0.092  -0.107
  109271  -0.093  -0.028  -0.105  -0.025   0.025  -0.026   0.007   0.016  -0.006  -0.029  -0.092  -0.096
  111031  -0.030  -0.091   0.101  -0.006   0.039   0.021  -0.022   0.000   0.009   0.049  -0.065  -0.043
  114853   0.003   0.081  -0.076   0.052   0.060   0.019   0.037   0.055  -0.003  -0.036  -0.078  -0.110
  115674   0.021   0.049  -0.045   0.035   0.021   0.001   0.027   0.041   0.005  -0.038   0.037   0.027
  117105   0.032   0.129  -0.028   0.093   0.071   0.070   0.066   0.087  -0.017  -0.031  -0.032  -0.135
  117207  -0.019  -0.124   0.054  -0.007   0.020   0.001  -0.028  -0.011   0.015   0.022  -0.099  -0.063
  126525   0.037   0.043   0.020   0.041   0.066   0.026   0.013   0.045   0.007   0.001  -0.070  -0.077
  134606  -0.001  -0.083   0.116   0.034   0.058   0.041  -0.015   0.026   0.022   0.048  -0.106  -0.052
  134664  -0.115  -0.084  -0.061  -0.022  -0.036  -0.019   0.008  -0.004   0.006  -0.022   0.044   0.051
  134987   0.013  -0.071   0.141   0.021   0.055   0.034  -0.022   0.008   0.011   0.056  -0.074  -0.056
  145927   0.023   0.033   0.014   0.018   0.034   0.007  -0.005   0.010  -0.011   0.003  -0.037  -0.064
  146233  -0.064  -0.027  -0.028  -0.010  -0.019  -0.006   0.010   0.007   0.010  -0.013   0.026   0.041
  160691  -0.023  -0.096   0.117   0.005   0.054   0.030  -0.019   0.002   0.009   0.043  -0.086  -0.068
  177409  -0.106   0.000  -0.058  -0.002  -0.027  -0.004   0.039   0.023  -0.007  -0.042   0.079   0.065
  183658  -0.002  -0.041   0.024   0.007   0.017   0.008   0.001   0.006  -0.006   0.012  -0.013  -0.026
  186408  -0.053  -0.067   0.009   0.023   0.032   0.009   0.004   0.026  -0.002   0.010  -0.042  -0.054
  186427  -0.027  -0.063   0.014   0.025   0.044   0.009   0.009   0.033   0.004   0.011  -0.045  -0.049
  189567   0.077   0.153  -0.029   0.096   0.107   0.047   0.051   0.085  -0.002  -0.031  -0.041  -0.089
