Name,Species,l_[X/Fe],[X/Fe]
HD 222582,Si,,0.028
HD 361,Ca,,0.027
HD 1461,Ca,,-0.016
HD 2071,Ca,,0.024
HD 4915,Ca,,0.045
HD 6204,Ca,,0.019
HD 7134,Ca,,0.047
HD 8406,Ca,,0.031
HD 11505,Ca,,0.109
HD 12264,Ca,,0.019
HD 12387,Ca,,0.100
HD 13724,Ca,,0.015
HD 19467,Ca,,0.070
HD 20619,Ca,,0.031
HD 20766,Ca,,0.037
HD 20782,Ca,,0.013
HD 20807,Ca,,0.023
HD 27063,Ca,,0.023
HD 28471,Ca,,0.025
HD 28821,Ca,,0.057
HD 31527,Ca,,0.025
HD 38277,Ca,,0.008
HD 38858,Ca,,0.027
HD 45184,Ca,,0.016
HD 45289,Ca,,0.048
HD 59711,Ca,,0.013
HD 59967,Ca,,0.035
HD 66428,Ca,,-0.023
HD 67458,Ca,,0.043
HD 71334,Ca,,0.032
HD 75302,Ca,,0.020
HD 78429,Ca,,0.005
HD 88084,Ca,,0.019
HD 89454,Ca,,0.016
HD 92719,Ca,,0.032
HD 95521,Ca,,0.034
HD 96116,Ca,,0.020
HD 96423,Ca,,0.005
HD 102117,Ca,,-0.004
HD 102365,Ca,,0.079
HD 104982,Ca,,0.027
HD 106116,Ca,,-0.008
HD 108309,Ca,,-0.007
HD 109271,Ca,,0.007
HD 111031,Ca,,-0.022
HD 114853,Ca,,0.037
HD 115674,Ca,,0.027
HD 117105,Ca,,0.066
HD 117207,Ca,,-0.028
HD 126525,Ca,,0.013
HD 134606,Ca,,-0.015
HD 134664,Ca,,0.008
HD 134987,Ca,,-0.022
HD 145927,Ca,,-0.005
HD 146233,Ca,,0.010
HD 160691,Ca,,-0.019
HD 177409,Ca,,0.039
HD 183658,Ca,,0.001
HD 186408,Ca,,0.004
HD 186427,Ca,,0.009
HD 189567,Ca,,0.051
HD 189625,Ca,,0.004
HD 190647,Ca,,0.020
HD 196390,Ca,,0.035
HD 198075,Ca,,0.024
HD 200633,Ca,,0.001
HD 202628,Ca,,0.040
HD 204313,Ca,,-0.025
HD 208704,Ca,,0.015
HD 210918,Ca,,0.043
HD 211415,Ca,,0.028
HD 220507,Ca,,0.050
HD 222582,Ca,,0.015
HD 361,Ti,,0.019
HD 1461,Ti,,0.007
HD 2071,Ti,,0.029
HD 4915,Ti,,0.064
HD 6204,Ti,,-0.009
HD 7134,Ti,,0.052
HD 8406,Ti,,0.030
HD 11505,Ti,,0.178
HD 12264,Ti,,0.004
HD 12387,Ti,,0.191
HD 13724,Ti,,0.012
HD 19467,Ti,,0.139
HD 20619,Ti,,0.033
HD 20766,Ti,,0.070
HD 20782,Ti,,0.024
HD 20807,Ti,,0.037
HD 27063,Ti,,0.011
HD 28471,Ti,,0.045
HD 28821,Ti,,0.087
HD 31527,Ti,,0.032
HD 38277,Ti,,0.003
HD 38858,Ti,,0.032
HD 45184,Ti,,0.008
HD 45289,Ti,,0.098
HD 59711,Ti,,0.020
HD 59967,Ti,,-0.002
HD 66428,Ti,,0.012
HD 67458,Ti,,0.041
HD 71334,Ti,,0.051
HD 75302,Ti,,0.007
HD 78429,Ti,,0.012
HD 88084,Ti,,0.039
HD 89454,Ti,,0.006
HD 92719,Ti,,0.026
HD 95521,Ti,,0.033
HD 96116,Ti,,-0.005
HD 96423,Ti,,0.024
HD 102117,Ti,,0.026
HD 102365,Ti,,0.126
HD 104982,Ti,,0.049
HD 106116,Ti,,0.008
HD 108309,Ti,,0.008
HD 109271,Ti,,0.016
HD 111031,Ti,,0.000
HD 114853,Ti,,0.055
HD 115674,Ti,,0.041
