Name,System,sub_System,Species,N,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_logepsX
BM-235,Helmi,trail,Eu II,4,,-0.63,,-1.15,,0.48,0.1
BM-235,Helmi,trail,Gd II,5,,-0.05,,-0.93,,0.7,0.15
BM-235,Helmi,trail,Dy II,2,,0.0,,-0.81,,0.82,0.15
BM-235,Helmi,trail,Ho II,2,,-0.47,,-0.95,,0.68,0.15
BM-235,Helmi,trail,Er II,2,,-0.18,,-1.1,,0.53,0.15
BM-235,Helmi,trail,Hf II,1,,-0.5,,-1.35,,0.28,0.2
BM-235,Helmi,trail,Os I,1,,0.33,,-1.07,,0.56,0.15
BM-235,Helmi,trail,Pb I,1,,0.55,,-1.2,,0.43,0.2
BM-235,Helmi,trail,Th II,1,,-1.19,,-1.21,,0.42,0.1
HE0033-2141,Helmi,trail,C-H,3,,5.6,,-2.83,,0.43,0.1
HE0033-2141,Helmi,trail,C-N,,,,,,,,
HE0033-2141,Helmi,trail,N-H,,,,,,,,
HE0033-2141,Helmi,trail,O I,,,,,,,,
HE0033-2141,Helmi,trail,Na I,2,,3.71,,-2.53,,0.38,0.1
HE0033-2141,Helmi,trail,Mg I,10,,5.16,,-2.44,,0.47,0.16
HE0033-2141,Helmi,trail,Al I,1,,2.57,,-3.88,,-0.97,0.15
HE0033-2141,Helmi,trail,Si I,1,,5.27,,-2.24,,0.67,0.15
HE0033-2141,Helmi,trail,Ca I,19,,3.67,,-2.67,,0.24,0.11
HE0033-2141,Helmi,trail,Sc II,7,,0.18,,-2.97,,-0.06,0.14
HE0033-2141,Helmi,trail,Ti I,16,,2.04,,-2.91,,0.0,0.13
HE0033-2141,Helmi,trail,Ti II,42,,2.01,,-2.94,,-0.03,0.15
HE0033-2141,Helmi,trail,V II,1,,0.8,,-3.13,,-0.22,0.15
HE0033-2141,Helmi,trail,Cr I,8,,2.26,,-3.38,,-0.47,0.16
HE0033-2141,Helmi,trail,Cr II,2,,2.92,,-2.72,,0.19,0.2
HE0033-2141,Helmi,trail,Mn I,5,,2.02,,-3.41,,-0.5,0.1
HE0033-2141,Helmi,trail,Fe I,170,,4.59,,-2.91,,0.0,0.12
HE0033-2141,Helmi,trail,Fe II,17,,4.58,,-2.92,,-0.01,0.1
HE0033-2141,Helmi,trail,Co I,7,,2.16,,-2.83,,0.08,0.1
HE0033-2141,Helmi,trail,Ni I,8,,3.05,,-3.17,,-0.26,0.13
HE0033-2141,Helmi,trail,Cu I,,,,,,,,
HE0033-2141,Helmi,trail,Zn I,1,,1.85,,-2.71,,0.2,0.1
HE0033-2141,Helmi,trail,Sr II,2,,-0.72,,-3.59,,-0.68,0.2
HE0033-2141,Helmi,trail,Y II,2,,-1.77,,-3.98,,-1.07,0.2
HE0033-2141,Helmi,trail,Zr II,2,,-0.57,,-3.15,,-0.24,0.2
HE0033-2141,Helmi,trail,Ba II,3,,-1.9,,-4.08,,-1.17,0.2
HE0033-2141,Helmi,trail,La II,,,,,,,,
HE0033-2141,Helmi,trail,Ce II,,,,,,,,
HE0033-2141,Helmi,trail,Pr II,,,,,,,,
HE0033-2141,Helmi,trail,Nd II,,,,,,,,
HE0033-2141,Helmi,trail,Sm II,,,,,,,,
HE0033-2141,Helmi,trail,Eu II,,<,-2.5,<,-3.02,<,-0.11,
HE0033-2141,Helmi,trail,Gd II,,,,,,,,
HE0033-2141,Helmi,trail,Dy II,,<,-1.96,<,-3.06,<,-0.15,
HE0033-2141,Helmi,trail,Ho II,,,,,,,,
HE0033-2141,Helmi,trail,Er II,,,,,,,,
HE0033-2141,Helmi,trail,Hf II,,,,,,,,
HE0033-2141,Helmi,trail,Os I,,,,,,,,
HE0033-2141,Helmi,trail,Pb I,,,,,,,,
HE0033-2141,Helmi,trail,Th II,,,,,,,,
HE0050-0918,Helmi,trail,C-H,4,,6.74,,-1.69,,-0.27,0.14
HE0050-0918,Helmi,trail,C-N,1,,7.06,,-0.77,,0.6,0.2
HE0050-0918,Helmi,trail,N-H,1,,7.05,,-0.78,,0.59,0.2
HE0050-0918,Helmi,trail,O I,,,,,,,,
HE0050-0918,Helmi,trail,Na I,2,,5.25,,-0.99,,0.38,0.1
HE0050-0918,Helmi,trail,Mg I,7,,6.47,,-1.13,,0.25,0.15
HE0050-0918,Helmi,trail,Al I,,,,,,,,
HE0050-0918,Helmi,trail,Si I,4,,6.52,,-0.99,,0.39,0.15
HE0050-0918,Helmi,trail,Ca I,22,,5.36,,-0.98,,0.4,0.15
HE0050-0918,Helmi,trail,Sc II,12,,1.12,,-1.11,,0.26,0.14
HE0050-0918,Helmi,trail,Ti I,26,,3.86,,-1.09,,0.28,0.17
HE0050-0918,Helmi,trail,Ti II,40,,4.1,,-0.85,,0.52,0.18
HE0050-0918,Helmi,trail,V II,3,,2.58,,-1.35,,0.02,0.12
HE0050-0918,Helmi,trail,Cr I,18,,4.17,,-1.47,,-0.1,0.12
HE0050-0918,Helmi,trail,Cr II,3,,4.53,,-1.11,,0.26,0.1
HE0050-0918,Helmi,trail,Mn I,6,,3.83,,-1.6,,-0.22,0.1
HE0050-0918,Helmi,trail,Fe I,220,,6.13,,-1.37,,0.0,0.12
HE0050-0918,Helmi,trail,Fe II,21,,6.13,,-1.37,,0.0,0.1
HE0050-0918,Helmi,trail,Co I,7,,3.57,,-1.42,,-0.05,0.16
HE0050-0918,Helmi,trail,Ni I,22,,4.86,,-1.36,,0.01,0.16
HE0050-0918,Helmi,trail,Cu I,1,,2.31,,-1.88,,-0.51,0.15
HE0050-0918,Helmi,trail,Zn I,2,,3.16,,-1.4,,-0.02,0.1
HE0050-0918,Helmi,trail,Sr II,3,,1.73,,-1.14,,0.23,0.1
HE0050-0918,Helmi,trail,Y II,3,,0.83,,-1.38,,-0.01,0.1
HE0050-0918,Helmi,trail,Zr II,2,,1.75,,-0.83,,0.54,0.1
HE0050-0918,Helmi,trail,Ba II,5,,0.92,,-1.26,,0.11,0.15
HE0050-0918,Helmi,trail,La II,12,,0.1,,-1.0,,0.37,0.1
HE0050-0918,Helmi,trail,Ce II,3,,0.32,,-1.26,,0.12,0.15
HE0050-0918,Helmi,trail,Pr II,7,,-0.15,,-0.87,,0.5,0.15
HE0050-0918,Helmi,trail,Nd II,27,,0.63,,-0.79,,0.58,0.15
HE0050-0918,Helmi,trail,Sm II,23,,0.2,,-0.76,,0.61,0.1
HE0050-0918,Helmi,trail,Eu II,4,,-0.14,,-0.66,,0.71,0.15
HE0050-0918,Helmi,trail,Gd II,4,,0.33,,-0.74,,0.63,0.15
HE0050-0918,Helmi,trail,Dy II,2,,0.38,,-0.72,,0.66,0.15
HE0050-0918,Helmi,trail,Ho II,,,,,,,,
HE0050-0918,Helmi,trail,Er II,1,,0.28,,-0.64,,0.74,0.2
HE0050-0918,Helmi,trail,Hf II,,,,,,,,
HE0050-0918,Helmi,trail,Os I,1,,0.65,,-0.75,,0.62,0.2
HE0050-0918,Helmi,trail,Pb I,,,,,,,,
HE0050-0918,Helmi,trail,Th II,1,,-0.71,,-0.73,,0.64,0.1
HE1210-2729,Helmi,trail,C-H,2,,5.05,,-3.38,,0.36,0.1
HE1210-2729,Helmi,trail,C-N,1,,6.2,,-1.63,,1.38,0.2
HE1210-2729,Helmi,trail,N-H,,,,,,,,
HE1210-2729,Helmi,trail,O I,,,,,,,,
HE1210-2729,Helmi,trail,Na I,3,,3.75,,-2.49,,0.52,0.1
HE1210-2729,Helmi,trail,Mg I,9,,5.3,,-2.3,,0.71,0.15
HE1210-2729,Helmi,trail,Al I,1,,3.0,,-3.45,,-0.44,0.15
HE1210-2729,Helmi,trail,Si I,3,,5.49,,-2.02,,1.0,0.15
HE1210-2729,Helmi,trail,Ca I,25,,3.72,,-2.62,,0.39,0.16
HE1210-2729,Helmi,trail,Sc II,8,,0.24,,-2.91,,0.1,0.12
HE1210-2729,Helmi,trail,Ti I,22,,2.31,,-2.64,,0.37,0.12
HE1210-2729,Helmi,trail,Ti II,52,,2.3,,-2.65,,0.37,0.15
HE1210-2729,Helmi,trail,V II,3,,1.17,,-2.76,,0.25,0.1
HE1210-2729,Helmi,trail,Cr I,17,,2.52,,-3.12,,-0.1,0.16
HE1210-2729,Helmi,trail,Cr II,2,,2.91,,-2.73,,0.28,0.1
HE1210-2729,Helmi,trail,Mn I,5,,2.18,,-3.25,,-0.24,0.1
HE1210-2729,Helmi,trail,Fe I,196,,4.49,,-3.01,,0.0,0.1
HE1210-2729,Helmi,trail,Fe II,23,,4.45,,-3.05,,-0.04,0.09
HE1210-2729,Helmi,trail,Co I,8,,2.13,,-2.86,,0.16,0.1
HE1210-2729,Helmi,trail,Ni I,13,,3.47,,-2.75,,0.26,0.15
HE1210-2729,Helmi,trail,Zn I,2,,1.94,,-2.62,,0.39,0.1
HE1210-2729,Helmi,trail,Sr II,2,,-0.46,,-3.33,,-0.32,0.1
HE1210-2729,Helmi,trail,Y II,3,,-1.34,,-3.55,,-0.53,0.15
HE1210-2729,Helmi,trail,Zr II,1,,-0.29,,-2.88,,0.14,0.3
HE1210-2729,Helmi,trail,Ba II,2,,-1.88,,-4.05,,-1.04,0.2
HE1210-2729,Helmi,trail,La II,,<,-2.27,<,-3.37,<,-0.35,
HE1210-2729,Helmi,trail,Ce II,,,,,,,,
HE1210-2729,Helmi,trail,Pr II,2,,-2.41,,-3.13,,-0.11,0.2
HE1210-2729,Helmi,trail,Nd II,,<,-1.82,<,-3.24,<,-0.23,
HE1210-2729,Helmi,trail,Sm II,,<,-1.65,<,-2.61,<,0.4,
HE1210-2729,Helmi,trail,Eu II,2,,-2.95,,-3.47,,-0.46,0.1
HE1210-2729,Helmi,trail,Gd II,,,,,,,,
HE1210-2729,Helmi,trail,Tb II,,,,,,,,
HE1210-2729,Helmi,trail,Dy II,,,,,,,,
HE1210-2729,Helmi,trail,Ho II,,,,,,,,
HE1210-2729,Helmi,trail,Er II,,,,,,,,
HE1210-2729,Helmi,trail,Tm II,,,,,,,,
HE1210-2729,Helmi,trail,Hf II,,,,,,,,
HE1210-2729,Helmi,trail,Os I,,,,,,,,
HE1210-2729,Helmi,trail,Ir I,,,,,,,,
HE1210-2729,Helmi,trail,Pb I,,,,,,,,
HE1210-2729,Helmi,trail,Th II,,,,,,,,
HE2234-4757,Helmi,trail,C-H,5,,5.7,,-2.73,,0.77,0.1
HE2234-4757,Helmi,trail,C-N,1,,5.87,,-1.96,,0.86,0.2
HE2234-4757,Helmi,trail,N-H,,,6.0,,-1.83,,1.0,
HE2234-4757,Helmi,trail,O I,,,,,,,,
HE2234-4757,Helmi,trail,Na I,4,,3.57,,-2.67,,0.16,0.12
HE2234-4757,Helmi,trail,Mg I,12,,5.12,,-2.48,,0.34,0.14
HE2234-4757,Helmi,trail,Al I,1,,3.12,,-3.33,,-0.51,0.15
HE2234-4757,Helmi,trail,Si I,3,,5.08,,-2.43,,0.39,0.1
HE2234-4757,Helmi,trail,Ca I,22,,3.65,,-2.69,,0.14,0.15
HE2234-4757,Helmi,trail,Sc II,7,,0.18,,-2.97,,-0.14,0.15
HE2234-4757,Helmi,trail,Ti I,17,,2.21,,-2.74,,0.09,0.17
HE2234-4757,Helmi,trail,Ti II,47,,2.24,,-2.71,,0.12,0.16
HE2234-4757,Helmi,trail,V II,3,,1.09,,-2.84,,-0.01,0.1
HE2234-4757,Helmi,trail,Cr I,17,,2.6,,-3.04,,-0.22,0.16
HE2234-4757,Helmi,trail,Cr II,2,,3.01,,-2.63,,0.2,0.1
HE2234-4757,Helmi,trail,Mn I,4,,2.05,,-3.38,,-0.56,0.18
HE2234-4757,Helmi,trail,Fe I,228,,4.67,,-2.83,,0.0,0.14
HE2234-4757,Helmi,trail,Fe II,27,,4.62,,-2.88,,-0.05,0.12
HE2234-4757,Helmi,trail,Co I,8,,2.05,,-2.94,,-0.12,0.12
HE2234-4757,Helmi,trail,Ni I,15,,3.4,,-2.82,,0.01,0.16
HE2234-4757,Helmi,trail,Zn I,3,,1.99,,-2.57,,0.26,0.1
HE2234-4757,Helmi,trail,Sr II,2,,0.17,,-2.7,,0.12,0.15
HE2234-4757,Helmi,trail,Y II,3,,-0.61,,-2.83,,0.0,0.17
HE2234-4757,Helmi,trail,Zr II,2,,0.27,,-2.31,,0.52,0.15
HE2234-4757,Helmi,trail,Ba II,5,,-0.6,,-2.78,,0.05,0.19
HE2234-4757,Helmi,trail,La II,6,,-1.36,,-2.46,,0.37,0.1
HE2234-4757,Helmi,trail,Ce II,3,,-1.21,,-2.79,,0.05,0.15
HE2234-4757,Helmi,trail,Pr II,6,,-1.34,,-2.06,,0.14,0.15
HE2234-4757,Helmi,trail,Nd II,15,,-0.91,,-2.33,,0.5,0.19
HE2234-4757,Helmi,trail,Sm II,6,,-1.19,,-2.15,,0.68,0.16
HE2234-4757,Helmi,trail,Eu II,5,,-1.59,,-2.11,,0.72,0.1
HE2234-4757,Helmi,trail,Gd II,2,,-1.08,,-2.15,,0.67,0.1
HE2234-4757,Helmi,trail,Tb II,,,,,,,,
HE2234-4757,Helmi,trail,Dy II,1,,-0.86,,-1.96,,0.87,0.3
HE2234-4757,Helmi,trail,Ho II,2,,-1.59,,-2.07,,0.76,0.2
HE2234-4757,Helmi,trail,Er II,1,,-1.15,,-2.07,,0.76,0.3
HE2234-4757,Helmi,trail,Tm II,,,,,,,,
HE2234-4757,Helmi,trail,Hf II,,,,,,,,
HE2234-4757,Helmi,trail,Os I,1,,-0.93,,-2.33,,0.5,0.2
HE2234-4757,Helmi,trail,Ir I,1,,-0.55,,-1.93,,0.9,0.2
HE2234-4757,Helmi,trail,Pb I,,,,,,,,
HE2234-4757,Helmi,trail,Th II,,,,,,,,
BM-028,Helmi,debris,C-H,2,,6.8,,-1.63,,0.38,0.2
BM-028,Helmi,debris,C-N,,,,,,,,
BM-028,Helmi,debris,N-H,1,,6.69,,-1.13,,0.7,0.3
BM-028,Helmi,debris,O I,,,,,,,,
BM-028,Helmi,debris,Na I,2,,5.45,,-0.79,,1.04,0.15
BM-028,Helmi,debris,Mg I,7,,6.09,,-1.51,,0.32,0.12
BM-028,Helmi,debris,Al I,1,,4.0,,-2.45,,-0.56,0.15
BM-028,Helmi,debris,Si I,3,,6.06,,-1.45,,0.38,0.1
BM-028,Helmi,debris,Ca I,24,,4.85,,-1.49,,0.34,0.1
BM-028,Helmi,debris,Sc II,7,,1.31,,-1.84,,-0.0,0.12
BM-028,Helmi,debris,Ti I,18,,3.42,,-1.53,,0.3,0.15
BM-028,Helmi,debris,Ti II,13,,3.57,,-1.38,,0.45,0.15
BM-028,Helmi,debris,V II,4,,2.29,,-1.64,,0.19,0.15
BM-028,Helmi,debris,Cr I,14,,3.83,,-1.81,,0.02,0.15
BM-028,Helmi,debris,Cr II,3,,3.92,,-1.72,,0.11,0.1
BM-028,Helmi,debris,Mn I,6,,3.19,,-2.24,,-0.41,0.15
BM-028,Helmi,debris,Fe I,228,,5.67,,-1.83,,0.0,0.11
BM-028,Helmi,debris,Fe II,26,,5.64,,-1.86,,-0.02,0.1
BM-028,Helmi,debris,Co I,3,,3.11,,-1.88,,-0.05,0.1
BM-028,Helmi,debris,Ni I,8,,4.49,,-1.73,,0.1,0.15
BM-028,Helmi,debris,Zn I,2,,2.81,,-1.75,,0.08,0.1
BM-028,Helmi,debris,Sr II,3,,1.54,,-1.33,,0.51,0.15
BM-028,Helmi,debris,Y II,3,,0.1,,-2.11,,-0.28,0.1
BM-028,Helmi,debris,Zr II,5,,0.9,,-1.68,,0.16,0.1
BM-028,Helmi,debris,Ba II,5,,0.47,,-1.71,,0.12,0.2
BM-028,Helmi,debris,La II,5,,-0.68,,-1.78,,0.05,0.1
BM-028,Helmi,debris,Ce II,1,,-0.45,,-2.03,,-0.2,0.2
BM-028,Helmi,debris,Pr II,2,,-0.94,,-1.66,,0.17,0.15
BM-028,Helmi,debris,Nd II,3,,-0.23,,-1.65,,0.18,0.15
BM-028,Helmi,debris,Sm II,1,,-0.57,,-1.53,,0.3,0.2
BM-028,Helmi,debris,Eu II,5,,-0.99,,-1.51,,0.33,0.1
BM-028,Helmi,debris,Gd II,,<,0.09,<,-0.98,<,0.85,
BM-028,Helmi,debris,Tb II,1,,-1.0,,-1.3,,0.53,0.3
BM-028,Helmi,debris,Dy II,1,,-0.61,,-1.71,,0.12,0.3
BM-028,Helmi,debris,Ho II,2,,-1.05,,-1.53,,0.3,0.1
BM-028,Helmi,debris,Er II,1,,-0.69,,-1.61,,0.22,0.3
BM-028,Helmi,debris,Tm II,,<,-1.0,<,-1.1,<,0.73,
BM-028,Helmi,debris,Hf II,,,,,,,,
BM-028,Helmi,debris,Os I,,,,,,,,
BM-028,Helmi,debris,Ir I,,,,,,,,
BM-028,Helmi,debris,Pb I,,,,,,,,
BM-028,Helmi,debris,Th II,,,,,,,,
BM-209,Helmi,debris,C-H,2,,6.35,,-2.08,,0.21,0.1
BM-209,Helmi,debris,N-H,,,,,,,,
BM-209,Helmi,debris,C-N,1,,6.2,,-1.63,,1.38,0.2
BM-209,Helmi,debris,Na I,3,,4.17,,-2.07,,0.21,0.1
BM-209,Helmi,debris,Mg I,4,,5.58,,-2.02,,0.25,0.15
BM-209,Helmi,debris,Al I,1,,3.42,,-3.03,,-0.75,0.15
BM-209,Helmi,debris,Si I,2,,5.64,,-1.87,,0.4,0.15
BM-209,Helmi,debris,Ca I,18,,4.43,,-1.91,,0.37,0.1
BM-209,Helmi,debris,Sc II,7,,0.79,,-2.36,,-0.09,0.15
BM-209,Helmi,debris,Ti I,14,,2.95,,-2.0,,0.27,0.15
BM-209,Helmi,debris,Ti II,16,,2.95,,-2.0,,0.27,0.15
BM-209,Helmi,debris,V II,1,,1.63,,-2.3,,-0.03,0.15
BM-209,Helmi,debris,Cr I,10,,3.14,,-2.18,,-0.23,0.1
BM-209,Helmi,debris,Cr II,1,,3.46,,-2.18,,0.09,0.15
BM-209,Helmi,debris,Mn I,6,,2.63,,-2.8,,-0.53,0.1
BM-209,Helmi,debris,Fe I,191,,5.23,,-2.27,,0.0,0.13
BM-209,Helmi,debris,Fe II,19,,5.21,,-2.29,,-0.02,0.09
BM-209,Helmi,debris,Co I,2,,2.88,,-2.11,,0.16,0.1
BM-209,Helmi,debris,Ni I,18,,3.69,,-2.26,,0.01,0.15
BM-209,Helmi,debris,Cu I,,,,,,,,
BM-209,Helmi,debris,Zn I,2,,2.3,,-2.26,,0.01,0.15
BM-209,Helmi,debris,Sr II,2,,0.2,,-2.67,,-0.4,0.1
BM-209,Helmi,debris,Y II,1,,-0.82,,-3.03,,-0.76,0.2
BM-209,Helmi,debris,Zr II,,<,0.71,<,-1.87,<,0.41,
BM-209,Helmi,debris,Ba II,3,,-0.53,,-2.71,,-0.44,0.11
BM-209,Helmi,debris,La II,2,,-1.26,,-2.36,,-0.08,0.15
BM-209,Helmi,debris,Ce II,,<,-0.49,<,-2.07,<,0.21,
BM-209,Helmi,debris,Pr II,2,,-1.12,,-1.84,,0.44,0.1
BM-209,Helmi,debris,Nd II,1,,-0.49,,-1.91,,0.36,0.1
BM-209,Helmi,debris,Sm II,,<,-0.94,<,-1.9,<,0.37,
BM-209,Helmi,debris,Eu II,3,,-1.53,,-2.05,,0.22,0.1
BM-209,Helmi,debris,Gd II,,,,,,,,
BM-209,Helmi,debris,Tb II,,,,,,,,
BM-209,Helmi,debris,Dy II,,,,,,,,
BM-209,Helmi,debris,Ho II,,,,,,,,
BM-209,Helmi,debris,Er II,,,,,,,,
BM-209,Helmi,debris,Tm II,,,,,,,,
BM-209,Helmi,debris,Os I,,<,0.6,<,-0.8,<,1.47,
BM-308,Helmi,debris,C-H,2,,6.29,,-2.14,,0.31,0.1
BM-308,Helmi,debris,N-H,1,,5.73,,-2.1,,0.0,0.3
BM-308,Helmi,debris,C-N,1,,5.83,,-2.0,,0.1,0.3
BM-308,Helmi,debris,Na I,2,,4.18,,-2.06,,0.03,0.1
BM-308,Helmi,debris,Mg I,7,,5.65,,-1.95,,0.15,0.1
BM-308,Helmi,debris,Al I,,,,,,,,
BM-308,Helmi,debris,Si I,2,,5.74,,-1.77,,0.32,0.1
BM-308,Helmi,debris,Ca I,23,,4.47,,-1.87,,0.23,0.1
BM-308,Helmi,debris,Sc II,10,,0.91,,-2.24,,-0.14,0.1
BM-308,Helmi,debris,Ti I,31,,2.9,,-2.05,,0.1,0.15
BM-308,Helmi,debris,Ti II,48,,3.11,,-1.84,,0.25,0.15
BM-308,Helmi,debris,V II,3,,1.87,,-2.06,,0.03,0.1
BM-308,Helmi,debris,Cr I,19,,3.33,,-2.31,,-0.22,0.1
BM-308,Helmi,debris,Cr II,3,,3.72,,-1.92,,0.18,0.15
BM-308,Helmi,debris,Mn I,14,,2.76,,-2.67,,-0.57,0.1
BM-308,Helmi,debris,Fe I,210,,5.4,,-2.1,,0.0,0.1
BM-308,Helmi,debris,Fe II,28,,5.39,,-2.11,,-0.01,0.1
BM-308,Helmi,debris,Co I,9,,2.64,,-2.35,,-0.25,0.15
BM-308,Helmi,debris,Ni I,25,,3.95,,-2.27,,-0.17,0.15
BM-308,Helmi,debris,Cu I,1,,1.45,,-2.74,,-0.64,0.15
BM-308,Helmi,debris,Zn I,2,,2.3,,-2.26,,-0.16,0.1
BM-308,Helmi,debris,Sr II,2,,0.63,,-2.24,,-0.14,0.1
BM-308,Helmi,debris,Y II,3,,-0.47,,-2.68,,-0.58,0.15
BM-308,Helmi,debris,Zr II,4,,0.53,,-2.05,,0.05,0.15
BM-308,Helmi,debris,Ba II,5,,-0.17,,-2.35,,-0.26,0.1
BM-308,Helmi,debris,La II,8,,-0.95,,-2.05,,-0.04,0.1
BM-308,Helmi,debris,Ce II,4,,-0.62,,-2.2,,-0.11,0.1
BM-308,Helmi,debris,Pr II,3,,-1.03,,-1.75,,0.35,0.1
BM-308,Helmi,debris,Nd II,18,,-0.48,,-1.9,,0.2,0.11
BM-308,Helmi,debris,Sm II,15,,-0.8,,-1.76,,0.34,0.15
BM-308,Helmi,debris,Eu II,4,,-1.26,,-1.78,,0.32,0.1
BM-308,Helmi,debris,Gd II,4,,-0.6,,-1.67,,0.42,0.3
BM-308,Helmi,debris,Tb II,1,,-1.24,,-1.54,,0.55,0.3
BM-308,Helmi,debris,Dy II,2,,-0.48,,-1.58,,0.51,0.3
BM-308,Helmi,debris,Ho II,2,,-1.12,,-1.6,,0.5,0.15
BM-308,Helmi,debris,Er II,1,,-0.79,,-1.71,,0.38,0.15
BM-308,Helmi,debris,Tm II,,,,,,,,
BM-308,Helmi,debris,Os I,1,,-0.4,,-1.8,,0.3,0.3
HE0012-5643,Helmi,debris,C-H,2,,6.62,,-1.81,,1.22,0.12
HE0012-5643,Helmi,debris,N-H,,,,,,,,
HE0012-5643,Helmi,debris,C-N,,,,,,,,
HE0012-5643,Helmi,debris,Na I,2,,2.69,,-3.55,,-0.52,0.15
HE0012-5643,Helmi,debris,Mg I,5,,4.59,,-3.01,,0.02,0.15
HE0012-5643,Helmi,debris,Al I,1,,2.53,,-3.92,,-0.89,0.15
HE0012-5643,Helmi,debris,Si I,1,,4.6,,-2.91,,0.12,0.15
HE0012-5643,Helmi,debris,Ca I,10,,3.65,,-2.69,,0.35,0.1
HE0012-5643,Helmi,debris,Sc II,2,,0.15,,-3.0,,0.04,0.13
HE0012-5643,Helmi,debris,Ti I,,,,,,,,
HE0012-5643,Helmi,debris,Ti II,13,,2.21,,-2.74,,0.3,0.1
HE0012-5643,Helmi,debris,V II,,,,,,,,
HE0012-5643,Helmi,debris,Cr I,6,,2.51,,-3.13,,-0.1,0.1
HE0012-5643,Helmi,debris,Cr II,,,,,,,,
HE0012-5643,Helmi,debris,Mn I,2,,1.78,,-3.65,,-0.61,0.1
HE0012-5643,Helmi,debris,Fe I,87,,4.47,,-3.03,,0.0,0.13
HE0012-5643,Helmi,debris,Fe II,8,,4.48,,-3.02,,0.01,0.13
HE0012-5643,Helmi,debris,Co I,,,,,,,,
HE0012-5643,Helmi,debris,Ni I,5,,3.13,,-3.09,,-0.06,0.08
HE0012-5643,Helmi,debris,Cu I,,,,,,,,
HE0012-5643,Helmi,debris,Zn I,,,,,,,,
HE0012-5643,Helmi,debris,Sr II,2,,-0.32,,-3.19,,-0.16,0.1
HE0012-5643,Helmi,debris,Y II,,<,0.29,<,-1.92,<,1.12,
HE0012-5643,Helmi,debris,Zr II,,<,0.8,<,-1.78,<,1.26,
HE0012-5643,Helmi,debris,Ba II,,<,-0.5,<,-2.45,<,0.55,
HE0012-5643,Helmi,debris,La II,,,,,,,,
HE0012-5643,Helmi,debris,Ce II,,,,,,,,
HE0012-5643,Helmi,debris,Pr II,,,,,,,,
HE0012-5643,Helmi,debris,Nd II,,,,,,,,
HE0012-5643,Helmi,debris,Sm II,,<,0.5,<,-0.46,<,2.57,
HE0012-5643,Helmi,debris,Eu II,,<,-0.86,<,-1.38,<,1.65,
HE0012-5643,Helmi,debris,Gd II,,,,,,,,
HE0012-5643,Helmi,debris,Tb II,,,,,,,,
HE0012-5643,Helmi,debris,Dy II,,,,,,,,
HE0012-5643,Helmi,debris,Ho II,,,,,,,,
HE0012-5643,Helmi,debris,Er II,,,,,,,,
HE0012-5643,Helmi,debris,Tm II,,,,,,,,
HE0012-5643,Helmi,debris,Os I,,,,,,,,
HE0017-3646,Helmi,debris,C-H,2,,5.64,,-2.79,,0.08,0.15
HE0017-3646,Helmi,debris,N-H,,,,,,,,
HE0017-3646,Helmi,debris,C-N,,,,,,,,
HE0017-3646,Helmi,debris,Na I,5,,4.25,,-1.99,,0.46,0.15
HE0017-3646,Helmi,debris,Mg I,8,,5.57,,-2.03,,0.42,0.15
HE0017-3646,Helmi,debris,Al I,2,,3.2,,-3.25,,-0.8,0.1
HE0017-3646,Helmi,debris,Si I,1,,5.39,,-2.12,,0.33,0.15
HE0017-3646,Helmi,debris,Ca I,21,,4.24,,-2.1,,0.35,0.15
HE0017-3646,Helmi,debris,Sc II,4,,0.61,,-2.54,,-0.09,0.1
HE0017-3646,Helmi,debris,Ti I,13,,2.75,,-2.2,,0.25,0.15
HE0017-3646,Helmi,debris,Ti II,32,,2.69,,-2.26,,0.19,0.12
HE0017-3646,Helmi,debris,V II,4,,1.64,,-2.29,,0.16,0.15
HE0017-3646,Helmi,debris,Cr I,11,,3.02,,-2.62,,-0.17,0.1
HE0017-3646,Helmi,debris,Cr II,1,,3.29,,-2.35,,0.1,0.15
HE0017-3646,Helmi,debris,Mn I,4,,2.44,,-2.99,,-0.54,0.08
HE0017-3646,Helmi,debris,Fe I,185,,5.05,,-2.45,,0.0,0.13
HE0017-3646,Helmi,debris,Fe II,24,,5.04,,-2.46,,-0.01,0.13
HE0017-3646,Helmi,debris,Co I,5,,2.65,,-2.34,,0.0,0.11
HE0017-3646,Helmi,debris,Ni I,7,,3.74,,-2.48,,-0.03,0.1
HE0017-3646,Helmi,debris,Zn I,2,,2.5,,-2.06,,0.39,0.15
HE0017-3646,Helmi,debris,Sr II,2,,0.42,,-2.45,,0.0,0.15
HE0017-3646,Helmi,debris,Y II,2,,-0.86,,-3.07,,-0.62,0.1
HE0017-3646,Helmi,debris,Zr II,1,,0.33,,-2.25,,0.19,0.3
HE0017-3646,Helmi,debris,Ba II,5,,-0.8,,-2.98,,-0.53,0.16
HE0017-3646,Helmi,debris,La II,1,,-1.54,,-2.58,,-0.13,0.2
HE0017-3646,Helmi,debris,Ce II,,<,-0.72,<,-2.3,<,0.15,
HE0017-3646,Helmi,debris,Pr II,,<,-0.95,<,-1.67,<,0.77,
HE0017-3646,Helmi,debris,Nd II,1,,-1.0,,-2.42,,0.03,0.2
HE0017-3646,Helmi,debris,Sm II,,,,,,,,
HE0017-3646,Helmi,debris,Eu II,2,,-1.75,,-2.27,,0.18,0.1
