Species,lambda,chi,loggf,BM-235,HE0033-2141,HE0050-0918,HE1210-2729,HE2234-4757,BM-028,BM-209,BM-308,HE0012-5643,HE0017-3646,HE0048-1109,HE0324-0122,BM-056,BM-121,HE0007-1752,HE0039-0216,HE0429-4620,HE1401-0010,HE2138-0314,HE2315-4306,HE2319-5228,HE2322-6125
Fe I,6137.69,2.59,0.00,121.9,32.8,93.5,41.6,52.9,37.1,42.8,79.0,,26.5,7.7,41.6,88.7,,41.2,,46.9,,,51.0,18.8,
Fe I,4891.49,2.85,0.00,149.9,69.7,131.9,74.9,87.8,105.9,86.4,112.6,20.6,71.6,40.5,79.6,114.3,,77.6,27.8,72.5,,45.3,78.5,46.2,79.9
Fe I,4903.31,2.88,0.00,116.4,27.8,97.1,35.8,47.1,51.4,42.1,75.5,,28.3,13.7,43.9,82.9,,42.3,,41.1,,14.7,46.4,14.6,
Fe I,6151.62,2.17,0.00,42.8,,14.7,,,,,10.5,,,,,15.6,,,,,,,,,
Fe I,4678.85,3.60,0.00,73.6,,67.9,11.4,15.0,24.5,22.8,44.1,,15.8,8.4,19.4,44.5,36.2,19.6,,,,,22.8,5.7,19.3
Fe I,4669.17,3.65,0.00,,,,,,,,,,,,,23.1,9.1,7.0,,,,,,,
Fe I,6191.56,2.43,0.00,127.5,39.5,101.9,46.1,60.0,42.6,50.3,,,33.5,12.1,,92.7,104.7,45.5,,41.5,,,50.9,19.4,40.6
Fe I,4668.13,3.26,0.00,89.0,12.4,73.2,15.5,19.3,21.7,,48.0,,14.4,,,51.3,41.3,20.7,,16.0,,,22.7,4.6,15.5
Fe I,4905.13,3.93,0.00,9.1,,,,,,,,,,,,,,,,,,,,,
Fe I,4907.73,3.43,0.00,28.2,,22.6,,,,,8.5,,,,,14.4,,5.4,,,,,,,
Fe I,4890.76,2.88,0.00,138.3,51.7,126.3,62.3,72.7,85.3,70.9,100.2,,57.5,28.9,69.3,107.5,,68.7,,,,,69.1,36.6,67.5
Fe I,4885.43,3.88,0.00,39.2,,30.1,3.5,4.6,,8.7,13.5,,,,,16.3,,,,,,,,,
Fe I,6008.56,3.88,0.00,52.3,,36.8,,4.8,,7.1,19.4,,,,,21.5,,6.9,,11.6,,,,,
Fe I,4800.65,4.12,0.00,,,18.6,,,,,8.7,,,,,10.6,,3.1,,,,,,,
Fe I,5956.69,0.86,0.00,71.0,,26.5,,8.9,,,26.4,,,,,31.3,40.1,,,,,,,,
Fe I,5816.37,4.54,0.00,25.2,,20.4,,,,,8.3,,,,,,,,,,,,,,
Fe I,4789.65,3.53,0.00,64.5,,,6.7,10.3,,14.3,32.2,,6.9,,,39.3,,11.9,,,,,17.4,4.6,
Fe I,4807.71,3.37,0.00,,,13.0,,,,,,,,,,,,,,,,,,,
Fe I,5775.08,4.22,0.00,21.1,,17.2,,,,,7.8,,,,,9.3,4.3,,,,,,,,
Fe I,5753.12,4.26,0.00,40.6,,34.0,,,8.3,8.3,14.7,,,,,17.8,11.2,,,4.1,,,,,
Fe I,4859.74,2.87,0.00,122.6,,,,64.4,,,,,,,,,85.2,,,,,,,,
Fe I,4786.81,3.00,0.00,73.7,,56.3,6.3,14.5,,,34.9,,,,,38.9,,11.3,,12.3,,,,3.5,15.7
Fe I,6003.01,3.88,0.00,49.5,,33.0,,,,6.2,18.5,,,,,21.8,,,,,,,,,
Fe I,4772.80,1.56,0.00,87.5,,,,,13.2,,,,,,,,,14.0,,,,,,8.6,24.9
Fe I,6200.31,2.61,0.00,67.5,,36.3,,10.4,5.7,12.5,22.7,,,,,28.1,,6.6,,,,,,,
Fe I,5717.83,4.28,0.00,21.2,,21.8,,,,,,,,,,11.4,7.6,,,,,,,,
Fe I,4741.07,3.33,0.00,13.2,,,,,,,,,,,,,,,,,,,,,
Fe I,4736.77,3.21,0.00,108.1,,88.2,32.4,40.5,41.5,42.4,67.8,,28.5,12.9,36.4,72.8,66.5,34.8,6.9,32.2,,,47.8,,29.7
Fe I,4733.59,1.48,0.00,99.0,14.9,71.8,,40.5,11.2,24.4,59.4,,,,21.7,67.2,71.1,20.4,,14.3,,,24.5,10.7,18.6
Fe I,4710.28,3.02,0.00,,,59.6,8.2,10.2,16.3,15.5,38.5,,,,10.8,43.4,,12.2,,,,,,,15.4
Fe I,4871.32,2.86,0.00,136.2,50.1,118.4,64.1,78.1,91.1,72.3,99.9,10.5,55.6,25.7,68.6,103.9,,64.8,,76.1,14.9,34.2,71.6,39.4,62.7
Fe I,4872.14,2.88,0.00,128.0,43.0,117.9,51.1,61.9,69.3,59.6,93.4,6.9,45.5,21.6,62.3,95.0,92.4,57.6,,58.4,12.1,24.9,65.8,27.8,54.7
Fe I,4709.09,3.65,0.00,,,41.1,,,,6.9,,,,,,21.9,,6.9,,,,,,,
Fe I,4875.88,3.33,0.00,36.2,,27.2,,,,,10.1,,,,,11.0,,,,,,,,,
Fe I,4882.14,3.41,0.00,48.2,,27.9,,6.7,4.6,,18.6,,,,,19.6,,,,2.4,,,,,
Fe I,6056.00,4.73,0.00,26.0,,22.4,,,,6.8,8.6,,,,,11.4,,4.8,,,,,,,
Fe I,4661.97,2.99,0.00,23.7,,16.7,,,,,,,,,,7.1,,,,,,,,,
Fe I,6246.32,3.60,0.00,84.0,10.5,64.1,8.6,13.5,22.9,20.0,41.8,,10.8,,14.8,47.8,,18.3,,28.8,,,20.0,,
Fe I,6219.28,2.20,0.00,96.4,9.5,62.7,13.6,28.3,9.5,17.5,48.4,,,,19.1,56.6,,17.3,,,,,,,
Fe I,6355.03,2.84,0.00,52.1,,29.7,,,,5.6,16.2,,,,,20.1,,5.5,,,,,,,
Fe I,6393.60,2.43,0.00,127.6,27.6,97.6,,54.1,35.5,50.4,84.4,,32.0,11.6,44.1,90.9,,41.1,,,4.3,,44.8,22.9,36.3
Fe I,6400.00,3.60,0.00,,23.2,,,,44.0,49.6,,,30.7,9.4,40.3,75.4,,32.6,11.7,41.3,17.4,,,13.9,29.6
Fe I,6408.02,3.68,0.00,64.0,,44.4,5.4,9.4,11.3,10.7,26.4,,,,,31.2,,10.9,,,,,13.4,,
Fe I,6411.65,3.65,0.00,90.9,11.8,69.2,15.4,18.5,23.4,27.8,49.0,,16.2,6.5,19.1,55.5,,20.5,,13.0,,5.3,22.8,9.5,16.8
Fe I,6421.35,2.28,0.00,117.3,17.5,86.4,29.5,40.9,26.2,28.8,70.6,,16.1,7.7,35.9,78.2,,27.8,,21.5,,,41.7,,26.5
Fe I,6430.85,2.17,0.00,120.4,,90.4,36.7,52.3,31.6,39.4,76.8,,28.3,5.2,40.0,84.6,,33.9,,,,,39.8,,36.3
Fe I,6494.98,2.40,0.00,145.6,43.3,109.7,58.7,73.8,56.7,,97.4,,44.2,,60.6,103.2,,58.1,,69.7,,31.1,73.5,,60.2
Fe I,6498.94,0.96,0.00,54.7,,17.9,,4.9,,,14.2,,,,,21.4,,,,,,,,,
Fe I,6592.91,2.72,0.00,105.9,16.1,82.0,25.1,32.1,31.2,33.0,64.6,,20.9,,35.0,70.4,75.2,28.5,,,,,,,23.5
Fe I,6593.87,2.43,0.00,82.7,,49.4,10.0,12.2,,,,,,,13.8,43.5,47.8,13.6,,,,,,,
Fe I,6609.11,2.56,0.00,53.1,,27.8,,,,5.7,19.4,,,,,21.3,,,,,,,,,
Fe I,6663.44,2.42,0.00,86.6,,52.6,8.7,11.7,,10.6,33.6,,,,,43.4,,,,,,,,,
Fe I,6677.98,2.69,0.00,121.4,24.3,88.9,34.4,45.8,33.3,42.3,77.0,,21.4,,42.3,83.5,,34.1,5.3,39.9,5.5,11.8,39.7,,38.2
Fe I,6750.15,2.42,0.00,75.0,,42.3,6.2,9.4,,12.8,25.5,,,,,34.1,,8.5,,,,,,,
Fe I,6978.85,2.48,0.00,82.1,,43.2,,,,18.0,,,,,,36.5,,10.2,,,,,10.9,,
Fe I,4531.15,1.48,0.00,,51.4,110.0,64.3,78.5,51.8,61.3,97.3,,45.0,16.0,65.4,103.8,122.8,57.1,,58.1,,25.3,60.8,46.3,53.6
Fe I,7495.07,4.22,0.00,91.3,12.4,70.5,,19.0,27.0,23.6,45.7,,16.1,,19.3,48.2,,21.5,5.5,25.3,5.6,6.3,,,
Fe I,7511.02,4.18,0.12,101.4,,85.5,21.0,26.0,42.8,32.7,54.9,,,9.7,37.1,64.6,,32.9,,32.1,,14.0,,,16.2
Fe I,8220.38,4.32,0.30,,,86.6,,33.5,,,,,,,,68.2,,,,,,,,,
Fe I,4528.61,2.17,0.00,,66.7,,81.3,104.0,113.1,86.3,,17.3,82.1,39.0,93.7,,,84.2,20.8,88.9,19.9,53.1,84.0,61.0,69.6
Fe I,8688.62,2.17,0.00,213.2,,148.3,,,109.4,,,,,,85.9,150.0,,,,,22.9,,,,
Fe I,8387.77,2.17,0.00,160.2,,133.5,,104.8,59.5,,,,,20.1,72.5,126.3,,,,,,,,,
Fe I,6344.15,2.43,0.00,51.3,,23.9,,4.8,,,14.9,,,,,18.5,,,,,,,,,
Fe I,6336.82,3.68,0.00,71.2,8.1,57.3,6.9,13.1,11.2,16.3,34.7,,,,14.5,38.8,,13.2,,,,3.2,,,
Fe I,4574.22,3.21,0.00,17.5,,8.8,,,,,4.6,,,,,4.5,,,,,,,,,
Fe I,6335.33,2.20,0.00,106.0,15.1,75.8,22.5,34.0,16.2,28.4,59.7,,,,31.7,69.8,,19.5,,26.8,,,28.7,,
Fe I,4654.63,3.21,0.00,,,,,,,,,,,,,,,,,19.0,,,,,
Fe I,4647.43,2.95,0.00,91.0,,75.3,17.9,23.6,20.4,23.0,52.6,,14.0,3.5,25.1,56.0,,21.8,3.8,21.5,,,,,18.4
Fe I,4643.46,3.64,0.00,44.2,,36.2,,,9.0,,20.1,,,,,22.0,,5.3,,,,,,,
Fe I,4637.50,3.28,0.00,63.1,7.9,47.9,8.6,10.4,13.4,11.9,34.5,,6.8,,,35.1,,11.2,,15.4,,2.3,,,
Fe I,6230.72,2.56,0.00,143.5,37.1,104.9,49.5,61.2,50.6,56.6,91.1,,38.2,13.2,55.3,98.3,,48.0,,,,,55.3,19.4,47.5
Fe I,4632.91,1.61,0.00,107.9,13.4,71.7,21.0,28.3,,18.6,53.8,,13.1,,20.4,65.5,,18.5,,,,,17.9,8.9,15.7
Fe I,4630.12,2.28,0.00,73.2,,48.4,,12.9,,,34.1,,,,,37.1,,11.7,,7.6,,,,,
Fe I,6232.64,3.65,0.00,56.0,,35.0,,4.5,,10.1,17.2,,,,,21.9,,6.4,,18.1,,,,,
Fe I,6240.64,2.22,0.00,39.7,,15.9,,,,3.5,9.6,,,,,14.6,,3.2,,,,,3.8,,
Fe I,4910.02,3.39,0.00,62.0,,,,,,,26.4,,,,,30.6,18.8,8.4,,,,,7.7,,
Fe I,6252.56,2.40,0.00,117.0,29.5,89.1,32.2,50.9,32.1,45.2,76.1,,,8.9,42.2,82.4,,39.1,,32.7,,,45.2,12.6,35.8
Fe I,6213.43,2.22,0.00,87.1,5.7,53.6,9.1,18.4,8.9,14.9,42.7,,,,,47.2,,12.0,,,,,,,8.8
Fe I,4625.04,3.24,0.00,73.7,5.7,56.8,9.3,14.2,13.4,12.7,34.8,,,,,40.4,,13.3,1.6,11.3,,,10.6,7.3,
Fe I,4619.29,3.60,0.00,55.9,,44.3,,9.5,15.2,12.6,24.8,,,,10.9,30.6,18.9,10.4,,,,2.8,,,
Fe I,4607.65,3.26,0.00,69.1,,48.4,7.9,9.6,10.7,9.8,31.2,,7.7,,,35.2,27.0,11.0,,,,,,,11.3
Fe I,4602.94,1.48,0.00,131.1,39.7,103.0,60.6,76.2,51.7,,95.7,,38.8,10.7,59.1,97.0,101.6,53.6,,54.0,,,58.2,37.3,46.1
Fe I,4602.00,1.61,0.00,77.3,5.8,49.2,8.6,18.0,7.9,,42.9,,,,,44.8,43.9,9.9,,12.3,,,,,9.5
Fe I,6265.13,2.17,0.00,96.9,7.1,54.4,13.3,18.5,8.2,14.8,46.5,,,,15.4,53.0,,18.3,,24.7,,,20.6,,11.6
Fe I,4595.36,3.30,0.00,54.2,,45.0,,,,,17.5,,,,,22.3,15.1,,,,,,,,
Fe I,6280.62,0.86,0.00,95.4,,35.9,,,,,33.0,,,,,,,7.5,,,,,,,
Fe I,6297.79,2.22,0.00,75.2,,56.8,,,,,,,,,,40.0,40.8,,,,,,,,
Fe I,4592.65,1.56,0.00,,31.6,,49.8,60.3,37.7,40.9,,,,7.5,50.8,,108.4,41.6,,,4.6,,,,
Fe I,6301.50,3.65,0.00,80.0,,58.0,,,22.4,,39.4,,8.3,,15.6,44.3,35.6,30.5,4.1,21.1,,,24.9,,
Fe I,6322.68,2.59,0.00,63.6,,33.3,,,,5.8,24.8,,,,,29.8,,,,,,,,,
Fe I,6254.26,2.28,0.00,98.8,11.3,71.0,15.5,24.3,12.5,20.2,46.8,,,,19.7,56.9,,15.1,,,,,,,10.3
Fe I,5709.38,3.37,0.00,,,,,,22.7,,,,,,,,,17.1,,,,,,,21.4
Fe I,4966.09,3.33,0.00,92.7,18.9,75.5,19.7,24.2,26.3,,55.6,,,,29.9,61.0,,24.6,,18.3,9.7,,,11.7,
Fe I,4920.50,2.83,0.06,,72.0,,91.7,110.8,134.5,,129.6,20.4,84.4,49.5,99.3,138.4,,89.3,38.4,80.8,45.4,,89.3,57.1,73.7
Fe I,5227.19,1.56,0.00,,104.6,,121.9,134.0,,105.6,,27.5,101.0,53.0,109.9,153.7,,107.5,,,38.1,,111.1,,
Fe I,5226.86,3.04,0.00,,,,49.7,,,,,,,,,,,,,,,,,,
Fe I,5389.48,4.41,0.00,45.6,,40.0,,,12.2,10.6,17.5,,,,,19.5,13.3,,,,,,,,
Fe I,5225.52,0.11,0.00,106.5,,55.9,25.1,39.4,,18.2,58.2,,,,,66.8,93.9,8.4,,16.8,,,,,
Fe I,5217.39,3.21,0.00,85.0,,68.3,11.0,21.3,22.9,20.1,47.3,,18.8,,18.4,52.8,49.5,19.4,,22.3,,,24.6,5.4,
Fe I,5393.17,3.24,0.00,104.7,17.5,88.2,30.9,32.9,35.5,36.3,,,32.4,,32.5,72.4,62.7,36.9,,34.6,,11.4,,14.1,27.9
Fe I,5216.27,1.61,0.00,134.2,44.9,102.3,60.2,77.9,50.5,62.1,92.9,,,,62.3,100.5,117.9,52.9,,,,26.6,68.4,34.8,
Fe I,5397.13,0.91,0.00,,104.7,151.1,123.2,137.6,114.2,100.3,,15.3,93.5,43.2,106.0,,,101.4,,99.6,34.5,76.2,110.3,92.3,95.8
Fe I,5215.18,3.26,0.00,89.1,,70.5,13.6,21.6,24.4,26.4,,,,,29.1,59.4,54.4,21.3,,,,,,18.3,
Fe I,5405.78,0.99,0.00,,100.8,,123.2,137.2,121.5,105.2,,21.8,101.2,44.9,105.6,,,101.6,36.4,102.1,,81.0,108.6,90.6,102.2
Fe I,5202.34,2.17,0.00,134.3,27.5,,40.8,56.0,39.3,43.2,83.5,,32.4,13.8,46.6,91.3,98.7,32.2,,,,,41.9,21.7,
Fe I,5198.71,2.22,0.00,99.2,,73.9,18.4,27.0,13.8,23.6,60.0,,19.4,,25.2,65.7,71.3,20.2,,,5.3,,,,
Fe I,5232.94,2.94,0.00,152.8,74.2,134.6,78.1,86.0,105.0,81.4,114.6,16.5,74.2,40.6,83.5,119.5,123.4,82.4,,90.3,,41.4,87.2,,
Fe I,5410.91,4.47,0.28,79.9,,75.5,,16.7,34.3,22.2,43.5,,14.6,,,44.9,36.9,26.0,,,,,27.3,8.5,
Fe I,5415.20,4.38,0.50,95.7,,82.9,23.3,31.9,54.7,33.7,59.2,,21.1,19.3,33.8,62.2,55.9,32.6,,,,14.2,35.5,9.0,
Fe I,5192.34,3.00,0.00,128.5,45.9,130.8,47.3,62.0,73.7,67.7,93.4,6.7,46.4,23.5,59.5,99.8,99.5,58.7,,,11.9,25.3,,26.1,52.8
Fe I,4494.56,2.20,0.00,,55.8,123.5,66.5,81.4,80.0,61.5,99.4,8.0,58.7,24.5,67.9,105.7,115.5,65.4,,61.2,,,70.2,41.5,
Fe I,5424.07,4.32,0.52,104.7,,98.7,30.8,37.3,69.5,44.2,64.9,,34.0,19.7,40.4,68.7,64.8,40.8,,34.8,,9.8,40.1,25.5,
Fe I,5429.70,0.96,0.00,,105.8,,126.5,142.0,131.1,106.9,151.8,20.5,110.8,50.8,111.2,159.3,,104.8,39.8,107.0,,80.3,112.3,92.9,99.7
Fe I,5434.52,1.01,0.00,,80.7,138.8,110.2,123.8,98.6,89.0,131.6,14.2,76.2,29.3,93.6,134.3,164.2,89.7,29.6,88.3,30.6,63.6,91.4,73.4,91.3
Fe I,5171.60,1.48,0.00,157.6,80.3,,102.8,104.0,85.1,82.7,,,68.4,27.0,82.6,119.7,145.3,77.9,,,,,,59.2,
Fe I,5446.92,0.99,0.00,,,,,,,,,,,44.0,107.5,,,,,,,,,,
Fe I,5166.28,0.00,0.00,142.3,,97.1,70.5,83.6,20.2,49.1,97.9,,22.7,,,107.4,138.0,48.7,,51.1,,,,,
Fe I,5162.27,4.18,0.02,88.0,17.3,77.3,,23.9,40.6,30.5,53.4,,,11.0,31.6,56.1,48.0,27.6,,,,14.1,,,
Fe I,5151.91,1.01,0.00,121.5,25.4,,42.0,60.9,17.0,31.4,77.7,,23.7,,35.4,84.2,102.5,31.4,,28.8,,12.1,38.7,14.4,23.4
Fe I,5150.84,0.99,0.00,129.1,34.4,94.1,46.9,69.5,21.8,44.6,89.2,,21.2,8.3,,95.5,113.8,39.6,,,3.6,,48.4,20.6,30.6
Fe I,5194.94,1.56,0.00,138.8,54.5,111.9,70.3,85.0,55.7,64.3,101.8,6.4,43.2,16.2,70.8,103.3,125.5,62.2,,,,,,44.9,70.0
Fe I,5383.37,4.31,0.50,95.5,24.2,87.7,29.1,35.4,62.4,43.1,62.4,,28.6,,,67.0,63.6,36.7,,,,,40.1,11.6,33.6
Fe I,5242.49,3.63,0.00,62.7,,49.5,,11.4,15.6,13.1,32.6,,7.9,,,33.3,26.1,10.9,,,,,,,
Fe I,5379.57,3.69,0.00,28.6,,23.3,,,,,12.2,,,,,11.2,6.5,,,,,,,,
Fe I,5339.93,3.26,0.00,104.4,,87.3,25.8,34.5,39.1,38.3,67.8,6.0,23.3,13.0,30.5,73.2,69.0,34.6,7.5,41.5,,,,12.4,
Fe I,5332.90,1.56,0.00,113.9,,80.0,23.4,42.7,,27.3,64.0,,,,28.5,72.1,84.2,20.9,,28.1,,,,,
Fe I,5328.53,1.56,0.00,,68.6,,98.1,105.4,98.9,80.5,,,72.0,22.1,81.2,131.0,151.0,76.2,,74.3,,41.8,78.4,49.2,59.5
Fe I,5328.04,0.91,0.00,,,,149.1,,161.0,124.9,,36.2,,70.0,129.6,,,122.4,,116.9,,106.1,127.8,114.1,120.9
Fe I,5324.18,3.21,0.00,137.4,,117.1,56.6,72.5,79.2,67.3,94.6,14.2,,29.7,67.7,101.6,103.2,62.7,20.4,,,,,,57.5
Fe I,5322.04,2.28,0.00,55.6,,28.1,,5.2,,7.9,17.1,,,,,21.1,,,,,,,,,
Fe I,5353.37,4.10,0.00,,,52.2,,,10.1,11.2,,,,,,,,,,,,,,,
Fe I,5307.36,1.61,0.00,97.6,18.1,63.9,,33.2,12.6,20.0,52.4,,,,17.8,63.3,71.7,18.4,,,1.2,,,7.7,23.5
Fe I,5302.30,3.28,0.00,93.8,,,25.3,34.1,36.6,31.7,59.7,,22.5,11.8,31.6,66.0,61.7,31.6,,,,,30.4,,27.5
Fe I,5364.87,4.44,0.22,74.5,,67.7,11.1,16.6,34.5,22.6,44.6,,16.7,10.7,22.5,46.5,36.9,22.0,,,8.5,,17.3,8.0,
Fe I,5288.53,3.68,0.00,28.6,,16.0,,,,,7.8,,,,,8.3,5.6,,,,,,,,
Fe I,5283.62,3.24,0.00,122.4,34.9,104.6,34.6,43.5,57.2,51.7,77.9,,27.0,16.4,47.3,84.9,84.8,45.4,14.6,,10.3,,,,
Fe I,5281.79,3.04,0.00,108.0,23.9,93.6,33.2,39.6,35.2,40.8,72.2,,26.7,10.6,38.9,76.0,75.3,36.4,,,,11.2,,,34.7
Fe I,5273.16,3.29,0.00,,,,,,31.5,,,,24.5,,,,,,,,,,,,
Fe I,5269.54,0.86,0.00,,127.3,,157.0,,,133.0,,,138.9,79.9,,,,131.2,61.6,130.6,78.0,113.1,,120.2,132.8
Fe I,5365.40,3.56,0.00,52.6,,40.1,,,,8.2,,,,,,,19.0,,,20.7,,,,,
Fe I,5266.56,3.00,0.00,135.6,55.9,116.4,57.7,68.1,74.6,62.8,97.8,,46.7,22.2,67.8,98.2,102.6,59.3,10.8,57.3,,26.8,,29.1,52.9
Fe I,5367.47,4.41,0.35,83.9,,71.1,,22.7,40.8,26.9,,,30.3,,22.0,51.9,43.7,24.1,,,4.3,,,,18.2
Fe I,5263.31,3.26,0.00,90.9,25.3,70.6,21.7,26.2,25.4,24.6,55.8,,,5.0,30.9,59.9,56.0,26.2,5.1,,,8.0,24.2,17.1,
Fe I,5369.96,4.37,0.35,91.9,16.8,78.1,,22.5,45.9,31.5,56.6,,35.2,12.7,26.6,59.3,51.6,27.4,,,6.0,,29.3,,22.1
Fe I,5254.96,0.11,0.00,,,,25.7,46.9,,20.8,,,,,,,,19.5,,,,,,,
Fe I,5371.49,0.96,0.00,,110.5,168.7,132.3,148.7,141.0,114.2,,25.5,119.5,58.7,,,,112.1,42.6,,46.2,,120.9,104.7,103.8
Fe I,5253.46,3.28,0.00,51.5,,37.0,,,,6.0,22.4,,,,,25.7,19.1,9.7,,,,,,,
Fe I,5250.65,2.20,0.00,108.8,15.5,85.6,25.1,44.4,20.4,33.2,,,11.3,,30.3,70.0,80.0,27.4,,,,,39.2,,
Fe I,5250.21,0.12,0.00,102.7,,50.4,17.4,34.7,,13.3,50.8,,,,,58.2,83.4,7.3,,,,,,,
Fe I,5247.05,0.09,0.00,106.4,,55.0,16.7,32.1,,16.9,51.7,,,,,60.0,,9.9,,,,,,,
Fe I,5373.71,4.47,0.00,22.9,,15.6,,,,,8.6,,,,,9.9,7.2,,,,,,,,
Fe I,5142.93,0.96,0.00,,34.6,,51.8,72.9,,45.7,97.8,,28.4,,53.1,104.4,125.9,41.1,,,,,56.5,,32.0
Fe I,5141.74,2.42,0.00,84.0,6.8,55.1,,10.9,,12.2,38.1,,,,,47.6,48.2,22.2,,,,,,,
Fe I,5137.38,4.18,0.00,72.7,,,,,,18.4,,,,,,39.2,,17.1,,25.1,,,,3.0,
Fe I,5133.69,4.18,0.36,92.5,19.5,84.9,,,52.5,35.1,,,30.8,,,,54.9,30.1,22.4,,,,32.0,,27.2
Fe I,5022.24,3.98,0.00,63.9,,,10.8,15.6,,,,,,,,38.8,,,,,,,,,
Fe I,5576.09,3.43,0.00,86.9,,67.9,12.3,20.8,21.2,22.1,47.8,,9.4,,23.9,54.8,49.8,21.3,,,,,,,12.2
Fe I,5586.76,3.37,0.00,127.6,38.7,109.3,47.9,55.8,72.3,62.4,90.6,5.5,49.0,22.3,60.9,92.4,95.6,53.7,,,,25.4,,,
Fe I,5014.94,3.94,0.00,,,,,,34.2,29.9,48.2,,,9.9,,47.7,38.3,19.5,,,7.4,11.1,,,
Fe I,5615.64,3.33,0.04,141.0,49.2,118.9,55.1,70.7,88.0,68.4,,13.4,50.7,25.6,63.7,104.2,106.5,64.1,,,,,67.5,,
Fe I,5012.07,0.86,0.00,,,,83.9,,76.1,77.4,113.9,,,18.3,,123.8,140.9,70.7,,,5.3,38.1,90.5,56.3,
Fe I,5618.63,4.21,0.00,13.7,,12.5,,,,,,,,,,5.4,,,,,,,,,
Fe I,5006.12,2.83,0.00,126.7,,118.9,47.1,74.7,69.6,62.2,90.7,,,24.1,59.8,97.5,98.9,60.4,,,,21.2,,30.5,60.7
Fe I,5005.71,3.88,0.00,86.0,,80.8,16.4,,,27.6,54.6,,,13.3,,57.9,48.5,28.6,,27.2,4.2,,,,
Fe I,5002.79,3.40,0.00,44.8,,,,,,,,,,,,,17.1,,,,,,,,
Fe I,5001.86,3.88,0.00,86.9,18.7,79.2,21.9,,40.4,29.7,68.4,,,,,60.4,51.2,30.4,,,,,,,
Fe I,5624.54,3.41,0.00,96.3,14.7,75.0,21.3,24.8,25.5,28.9,50.3,,,,21.0,59.7,54.0,22.1,,,12.3,6.0,,,25.1
Fe I,4994.13,0.91,0.00,130.2,43.1,,57.3,75.3,29.3,46.6,91.4,,,7.3,55.8,98.0,116.0,46.5,,,5.0,,,,
Fe I,5638.26,4.22,0.00,39.6,,32.5,,,7.2,7.1,16.1,,,,,16.0,12.7,7.0,,,,,,,
Fe I,4985.25,3.93,0.00,77.0,,62.6,,,,15.4,31.1,,,,,39.4,,13.7,,12.8,,,,,
Fe I,5658.82,3.39,0.00,102.5,,86.3,18.0,19.5,29.9,27.0,,,19.5,5.5,28.0,57.9,56.7,25.4,5.6,,,,27.9,,16.3
Fe I,5662.52,4.18,0.00,55.0,,42.8,,7.7,15.3,11.3,22.9,,,5.8,,25.5,17.9,10.7,,6.6,,,,,
Fe I,5686.53,4.54,0.00,,,27.9,,,,3.8,,,,,,10.3,8.2,,,,,,,,
Fe I,5701.54,2.56,0.00,78.9,,47.5,7.4,18.2,,,31.8,,,,14.2,41.2,42.3,11.8,,16.1,,,,,11.5
Fe I,4973.10,3.96,0.00,52.9,,43.8,,8.9,16.1,,25.1,,,,,25.9,,14.9,,,,2.0,,,
Fe I,5341.02,1.61,0.00,161.2,65.0,122.3,78.7,95.1,66.4,71.5,110.0,,51.7,18.6,76.7,113.7,137.2,66.7,14.4,,,,74.0,45.8,55.7
Fe I,4950.11,3.41,0.00,46.0,,32.9,,7.3,7.7,,17.3,,,,,21.2,17.6,5.4,,6.8,,,,,
Fe I,4946.39,3.37,0.00,75.8,,57.0,6.5,21.1,17.1,,35.3,,10.5,3.3,,41.7,37.4,14.9,,,,,,6.5,13.9
Fe I,4939.69,0.86,0.00,122.5,27.0,84.4,44.1,64.0,18.8,39.6,80.0,,16.7,4.7,39.6,91.2,109.9,35.5,,,,,56.1,,36.6
Fe I,4938.81,2.87,0.00,101.4,22.8,82.6,27.8,38.4,34.9,,67.0,,26.4,10.1,34.6,72.1,74.1,33.7,,36.3,2.5,,47.3,7.9,22.8
Fe I,4924.77,2.28,0.00,89.3,16.3,72.2,18.1,25.5,,,52.0,,,,16.6,58.5,58.5,17.8,,,,,,,
Fe I,5705.99,4.61,0.00,34.5,,28.2,,,5.7,,10.3,,,,,12.1,,,,,,,,,
Fe I,5572.84,3.39,0.00,,31.1,96.9,39.3,46.4,55.1,49.2,78.5,5.1,38.1,16.1,46.7,84.0,83.0,46.8,,37.1,,,,21.2,
Fe I,4918.99,2.84,0.00,136.2,50.8,123.0,65.8,72.3,91.7,,,8.5,63.1,29.1,71.7,105.5,,70.3,,70.2,,31.6,72.8,36.6,56.1
Fe I,5028.13,3.56,0.00,51.0,,,,,,,25.4,,,,,29.7,,,,,,,,,
Fe I,5554.90,4.55,0.00,39.9,,33.5,,,,6.2,13.4,,,,,17.6,11.1,,,,,,,,
Fe I,5131.47,2.22,0.00,,,63.9,12.1,15.4,,12.2,40.3,,,,,50.1,54.5,16.5,,,,,,,
Fe I,5473.90,4.15,0.00,37.4,,31.4,,,,6.3,14.4,,,,,17.0,9.5,5.4,,,,,,,
Fe I,5127.36,0.91,0.00,123.4,26.1,91.1,42.4,65.7,24.7,41.7,85.3,,23.7,,42.1,89.1,107.7,39.5,,,,,37.7,22.4,
Fe I,5125.12,4.22,0.00,84.9,,,,13.0,26.4,22.7,39.7,,13.2,,12.9,43.6,39.8,18.4,,,,,,,
