Species,lambda,chi,loggf,BM-235,HE0033-2141,HE0050-0918,HE1210-2729,HE2234-4757,BM-028,BM-209,BM-308,HE0012-5643,HE0017-3646,HE0048-1109,HE0324-0122,BM-056,BM-121,HE0007-1752,HE0039-0216,HE0429-4620,HE1401-0010,HE2138-0314,HE2315-4306,HE2319-5228,HE2322-6125
Mg I,5528.40,4.35,0.00,150.4,58.6,126.4,79.1,71.1,101.4,79.9,97.7,10.9,62.2,40.0,70.0,114.0,102.0,33.1,,85.9,,38.1,,54.7,
Mg I,5172.68,2.71,0.00,,171.2,,,204.5,,221.8,232.5,,183.0,,204.8,,254.4,140.7,111.9,222.6,115.9,,225.4,,205.9
Mg I,3986.75,4.35,0.00,,,,38.0,,47.0,,,,26.4,13.9,53.7,78.8,,,,,6.6,,,,
Mg I,5711.09,4.34,0.00,58.8,,51.8,16.6,9.6,17.0,12.7,23.1,,13.5,,,32.3,19.5,,,,,,,,
Mg I,4167.27,4.35,0.00,,47.9,,63.1,,73.2,,,,51.3,27.4,67.8,96.9,72.9,21.5,16.2,,,,,,
Al I,3961.52,0.01,0.00,,96.5,,131.0,144.9,151.9,121.6,,31.0,108.9,66.3,124.8,,,,44.9,107.8,46.9,85.1,142.0,138.4,118.7
Si I,5708.40,4.93,0.00,42.4,,48.1,,4.6,9.0,6.5,12.4,,,,,16.9,8.7,,,,,,,,
Si I,4102.94,1.91,0.00,141.3,,,84.9,89.7,,,,,,,,,,,,,,,,,
Si I,5772.14,5.06,0.00,16.2,,17.5,,,4.7,,,,,,,7.0,,,,7.3,,,,,
Si I,5665.55,4.90,0.00,13.5,,16.1,9.6,,,,,,,,,,,,,,,,,,
Si I,5701.10,4.93,0.00,15.5,,,,,,,,,,,,8.3,,,,,,,,,
Ca I,5598.48,2.52,0.00,128.0,22.8,124.9,19.5,22.7,50.9,41.4,65.5,,22.2,15.9,,78.5,54.6,32.5,15.4,,6.8,9.0,46.1,30.2,28.2
Ca I,5601.28,2.53,0.00,73.4,,68.4,7.7,10.0,20.7,18.9,31.4,,15.4,9.8,20.6,39.8,23.5,10.6,,,,,21.7,17.5,15.7
Ca I,5588.75,2.52,0.21,118.0,38.5,114.6,41.2,38.6,77.8,60.6,77.0,6.8,50.8,28.7,55.6,87.1,72.0,45.1,14.4,,24.6,23.1,,47.2,47.7
Ca I,5594.46,2.52,0.10,121.0,23.0,114.8,32.2,28.6,60.9,44.9,65.4,7.2,30.9,18.9,44.7,80.1,59.4,38.1,,,15.1,,48.9,32.3,
Ca I,6169.56,2.53,0.00,80.4,11.6,72.0,7.7,12.5,23.7,23.5,36.6,,,,,47.5,,15.3,,,,,,,28.8
Ca I,4226.73,0.00,0.24,,165.6,364.3,182.7,184.3,,,,87.8,182.5,135.8,,,,205.9,118.5,226.1,124.5,132.5,225.5,232.9,206.5
Ca I,6169.04,2.52,0.00,62.5,6.8,52.3,6.4,8.1,,13.3,28.1,,,,,31.6,,11.1,,7.4,,,,,
Ca I,4318.65,1.90,0.00,117.8,46.0,108.1,44.8,41.2,72.9,,77.8,,48.6,29.7,59.6,87.3,79.7,48.8,,48.7,19.2,,58.5,52.7,57.2
Ca I,6122.22,1.89,0.00,143.5,42.8,132.9,53.9,55.9,80.9,69.8,90.4,,54.1,31.2,66.1,106.4,,53.0,,61.3,16.3,25.0,65.4,57.2,56.1
Ca I,6102.72,1.88,0.00,112.2,30.3,97.4,28.1,27.1,42.9,39.6,65.1,,27.6,16.2,38.1,77.3,,28.9,10.0,35.1,8.4,11.6,38.8,31.0,37.7
Ca I,4283.01,1.88,0.00,132.9,43.1,117.1,55.0,59.9,75.1,,89.5,10.9,51.0,29.3,,107.6,84.2,53.9,22.6,69.2,21.2,,77.4,,60.3
Ca I,5581.96,2.52,0.00,69.1,,63.1,9.4,6.7,20.5,19.0,29.8,,,,17.2,39.9,23.1,13.7,,,,,16.1,,
Ca I,6162.17,1.90,0.00,156.1,54.0,142.3,70.1,68.4,101.8,80.4,103.0,11.6,71.6,41.2,77.9,118.1,,68.0,,66.6,,36.9,82.9,76.1,69.8
Ca I,5857.45,2.93,0.23,92.7,20.5,95.0,18.3,24.5,44.1,33.4,52.8,,23.6,15.2,31.7,60.5,40.9,25.1,,,,18.7,32.4,25.8,27.5
Ca I,4454.78,1.90,0.26,166.0,60.6,,65.6,79.1,125.6,,108.1,19.1,71.3,52.5,83.1,116.9,,79.3,42.8,78.3,39.8,37.8,89.0,82.4,73.4
Ca I,5349.46,2.71,0.00,70.4,,64.9,10.7,5.6,26.9,20.3,29.5,,,,20.3,,24.9,14.8,,24.2,7.6,,,9.1,
Ca I,5265.56,2.52,0.00,,,,,,44.9,38.1,,,25.4,11.6,38.5,,,27.8,,,,8.1,,,36.4
Ca I,5262.24,2.52,0.00,117.7,,,,,,29.3,,,,7.1,28.8,,,14.6,,,,,,,16.0
Ca I,6717.68,2.71,0.00,73.1,,65.2,8.0,5.6,16.2,15.4,24.3,,16.0,6.9,,37.5,,10.0,,,,,14.2,,
Ca I,4455.89,1.90,0.00,109.0,25.4,96.7,28.9,28.0,49.5,,65.8,5.0,27.5,18.7,45.6,75.2,60.6,34.2,11.5,48.4,,12.0,55.1,44.3,33.6
