Name,lambda,Species,logepsX,loggf,EW
MKV0397,6609.12,Fe I,2.560,-2.660,45
MKV0397,6645.13,Eu II,1.370,0.200,
MKV0458,5339.93,Fe I,3.270,-0.680,145
MKV0458,5364.86,Fe I,4.450,0.220,89
MKV0458,5367.48,Fe I,4.420,0.550,111
MKV0458,5369.96,Fe I,4.370,0.540,117
MKV0458,5371.50,Fe I,0.960,-1.644,
MKV0458,5381.01,Ti II,1.570,-1.780,108
MKV0458,5383.37,Fe I,4.310,0.500,131
MKV0458,5389.48,Fe I,4.420,-0.400,87
MKV0458,5393.17,Fe I,3.240,-0.920,121
MKV0458,5397.14,Fe I,0.910,-1.992,
MKV0458,5400.51,Fe I,4.370,-0.150,66
MKV0458,5402.78,Y II,1.840,-0.510,
MKV0458,5405.79,Fe I,0.990,-1.852,
MKV0458,5407.42,Mn I,2.140,-1.743,
MKV0458,5409.80,Cr I,1.030,-0.720,141
MKV0458,5415.19,Fe I,4.390,0.510,104
MKV0458,5418.77,Ti II,1.580,-2.110,88
MKV0458,5420.36,Mn I,2.140,-1.460,
MKV0458,5424.07,Fe I,4.320,0.520,148
MKV0458,5425.25,Fe II,3.200,-3.360,46
MKV0458,5432.55,Mn I,0.000,-3.795,59
MKV0458,5476.92,Ni I,1.830,-0.890,
MKV0458,5483.34,Co I,1.710,-1.488,
MKV0458,5485.71,Nd II,1.260,-0.120,
MKV0458,5490.16,Ti I,1.460,-0.933,
MKV0458,5501.48,Fe I,0.960,-3.050,166
MKV0458,5506.79,Fe I,0.990,-2.790,
MKV0458,5516.77,Mn I,2.180,-1.847,
MKV0458,5528.41,Mg I,4.350,-0.357,147
MKV0458,5534.85,Fe II,3.240,-2.920,78
MKV0458,6120.26,Fe I,0.910,-5.940,
MKV0458,6122.23,Ca I,1.890,-0.320,187
MKV0458,6126.22,Ti I,1.070,-1.425,30
MKV0458,6136.62,Fe I,2.450,-1.500,
MKV0458,6137.70,Fe I,2.590,-1.366,155
MKV0458,6141.73,Ba II,0.700,-0.077,166
MKV0458,6149.25,Fe II,3.890,-2.720,
MKV0458,6151.62,Fe I,2.180,-3.370,
MKV0458,6157.75,Fe I,4.070,-1.260,
MKV0458,6160.75,Na I,2.100,-1.260,
MKV0458,6161.30,Ca I,2.520,-1.270,
MKV0458,6165.36,Fe I,4.140,-1.470,
MKV0458,6166.44,Ca I,2.520,-1.140,46
MKV0458,6169.04,Ca I,2.520,-0.800,
MKV0458,6169.56,Ca I,2.520,-0.480,
MKV0458,6173.34,Fe I,2.220,-2.850,96
MKV0458,6176.82,Ni I,4.090,-0.430,55
MKV0458,6177.25,Ni I,1.830,-3.500,
MKV0458,6187.99,Fe I,3.940,-1.580,50
MKV0458,6191.57,Fe I,2.430,-1.416,156
MKV0458,6213.43,Fe I,2.220,-2.660,
MKV0458,6219.29,Fe I,2.200,-2.438,106
MKV0458,6229.23,Fe I,2.840,-2.900,
MKV0458,6230.74,Fe I,2.560,-1.276,124
MKV0458,6238.38,Fe II,3.890,-2.480,
MKV0458,6240.66,Fe I,2.220,-3.230,61
MKV0458,6243.82,Si I,5.610,-1.270,
MKV0458,6244.48,Si I,5.610,-1.270,
MKV0458,6247.56,Fe II,3.890,-2.360,34
MKV0458,6252.57,Fe I,2.400,-1.757,127
MKV0458,6258.10,Ti I,1.443,-0.355,
MKV0458,6290.97,Fe I,4.730,-0.760,
MKV0458,6297.80,Fe I,2.220,-2.740,
MKV0458,6301.50,Fe I,3.650,-0.720,92
MKV0458,6302.49,Fe I,3.690,-1.150,58
MKV0458,6309.90,Sc II,1.500,-1.520,
MKV0458,6311.51,Fe I,2.830,-3.220,
MKV0458,6320.43,La II,0.170,-1.562,
MKV0458,6330.09,Cr I,0.940,-2.920,
MKV0458,6355.04,Fe I,2.840,-2.290,112
MKV0458,6369.46,Fe II,2.890,-4.250,
MKV0458,6380.75,Fe I,4.190,-1.500,
MKV0458,6390.46,La II,0.320,-1.400,
MKV0458,6392.54,Fe I,2.280,-3.950,60
MKV0458,6393.61,Fe I,2.430,-1.630,145
MKV0458,6416.93,Fe II,3.890,-2.790,52
MKV0458,6419.96,Fe I,4.730,-0.240,
MKV0458,6421.36,Fe I,2.280,-2.014,
MKV0458,6430.86,Fe I,2.180,-1.946,135
MKV0458,6432.68,Fe II,2.890,-3.710,
MKV0458,6439.08,Ca I,2.520,0.390,
MKV0458,6455.60,Ca I,2.520,-1.290,
MKV0458,6456.39,Fe II,3.900,-2.080,81
MKV0458,6496.91,Ba II,0.600,-0.380,172
MKV0458,6498.94,Fe I,0.960,-4.690,111
MKV0458,6499.65,Ca I,2.520,-0.820,
MKV0458,6516.08,Fe II,2.890,-3.450,70
MKV0458,6518.37,Fe I,2.830,-2.460,
MKV0458,6554.24,Ti I,1.440,-1.218,29
MKV0458,6556.08,Ti I,1.460,-1.074,33
MKV0458,6574.23,Fe I,0.990,-5.020,43
MKV0458,6581.22,Fe I,1.480,-4.680,32
MKV0458,6593.88,Fe I,2.430,-2.390,115
MKV0458,6608.03,Fe I,2.280,-3.940,30
MKV0458,6609.12,Fe I,2.560,-2.660,85
MKV0458,6645.13,Eu II,1.370,0.200,
MKV0514,5339.93,Fe I,3.270,-0.680,108
MKV0514,5364.86,Fe I,4.450,0.220,63
MKV0514,5367.48,Fe I,4.420,0.550,67
MKV0514,5369.96,Fe I,4.370,0.540,70
MKV0514,5371.50,Fe I,0.960,-1.644,
MKV0514,5381.01,Ti II,1.570,-1.780,84
MKV0514,5383.37,Fe I,4.310,0.500,84
MKV0514,5389.48,Fe I,4.420,-0.400,
MKV0514,5393.17,Fe I,3.240,-0.920,
MKV0514,5397.14,Fe I,0.910,-1.992,
MKV0514,5400.51,Fe I,4.370,-0.150,30
MKV0514,5402.78,Y II,1.840,-0.510,
MKV0514,5405.79,Fe I,0.990,-1.852,197
MKV0514,5407.42,Mn I,2.140,-1.743,
MKV0514,5409.80,Cr I,1.030,-0.720,113
MKV0514,5415.19,Fe I,4.390,0.510,78
MKV0514,5418.77,Ti II,1.580,-2.110,47
MKV0514,5420.36,Mn I,2.140,-1.460,
MKV0514,5424.07,Fe I,4.320,0.520,92
MKV0514,5425.25,Fe II,3.200,-3.360,31
MKV0514,5432.55,Mn I,0.000,-3.795,22
MKV0514,5476.92,Ni I,1.830,-0.890,155
MKV0514,5483.34,Co I,1.710,-1.488,
MKV0514,5485.71,Nd II,1.260,-0.120,
MKV0514,5490.16,Ti I,1.460,-0.933,
MKV0514,5501.48,Fe I,0.960,-3.050,146
MKV0514,5506.79,Fe I,0.990,-2.790,148
MKV0514,5516.77,Mn I,2.180,-1.847,
MKV0514,5528.41,Mg I,4.350,-0.357,124
MKV0514,5534.85,Fe II,3.240,-2.920,40
MKV0514,6120.26,Fe I,0.910,-5.940,
MKV0514,6122.23,Ca I,1.890,-0.320,109
MKV0514,6126.22,Ti I,1.070,-1.425,
MKV0514,6136.62,Fe I,2.450,-1.500,118
MKV0514,6137.70,Fe I,2.590,-1.366,115
MKV0514,6141.73,Ba II,0.700,-0.077,84
MKV0514,6149.25,Fe II,3.890,-2.720,
MKV0514,6151.62,Fe I,2.180,-3.370,47
MKV0514,6157.75,Fe I,4.070,-1.260,
MKV0514,6160.75,Na I,2.100,-1.260,
MKV0514,6161.30,Ca I,2.520,-1.270,
MKV0514,6165.36,Fe I,4.140,-1.470,
MKV0514,6166.44,Ca I,2.520,-1.140,
MKV0514,6169.04,Ca I,2.520,-0.800,48
MKV0514,6169.56,Ca I,2.520,-0.480,44
MKV0514,6173.34,Fe I,2.220,-2.850,
MKV0514,6176.82,Ni I,4.090,-0.430,
MKV0514,6177.25,Ni I,1.830,-3.500,
MKV0514,6187.99,Fe I,3.940,-1.580,
MKV0514,6191.57,Fe I,2.430,-1.416,134
MKV0514,6213.43,Fe I,2.220,-2.660,78
MKV0514,6219.29,Fe I,2.200,-2.438,94
MKV0514,6229.23,Fe I,2.840,-2.900,
MKV0514,6230.74,Fe I,2.560,-1.276,124
MKV0514,6238.38,Fe II,3.890,-2.480,
MKV0514,6240.66,Fe I,2.220,-3.230,
MKV0514,6243.82,Si I,5.610,-1.270,34
MKV0514,6244.48,Si I,5.610,-1.270,
MKV0514,6247.56,Fe II,3.890,-2.360,
MKV0514,6252.57,Fe I,2.400,-1.757,126
MKV0514,6258.10,Ti I,1.443,-0.355,
MKV0514,6290.97,Fe I,4.730,-0.760,
MKV0514,6297.80,Fe I,2.220,-2.740,
MKV0514,6301.50,Fe I,3.650,-0.720,82
MKV0514,6302.49,Fe I,3.690,-1.150,
MKV0514,6309.90,Sc II,1.500,-1.520,
MKV0514,6311.51,Fe I,2.830,-3.220,
MKV0514,6320.43,La II,0.170,-1.562,
MKV0514,6330.09,Cr I,0.940,-2.920,
MKV0514,6355.04,Fe I,2.840,-2.290,57
MKV0514,6369.46,Fe II,2.890,-4.250,
MKV0514,6380.75,Fe I,4.190,-1.500,48
MKV0514,6390.46,La II,0.320,-1.400,
MKV0514,6392.54,Fe I,2.280,-3.950,
MKV0514,6393.61,Fe I,2.430,-1.630,119
MKV0514,6416.93,Fe II,3.890,-2.790,
MKV0514,6419.96,Fe I,4.730,-0.240,
MKV0514,6421.36,Fe I,2.280,-2.014,83
MKV0514,6430.86,Fe I,2.180,-1.946,126
MKV0514,6432.68,Fe II,2.890,-3.710,54
MKV0514,6439.08,Ca I,2.520,0.390,106
MKV0514,6455.60,Ca I,2.520,-1.290,
MKV0514,6456.39,Fe II,3.900,-2.080,
MKV0514,6496.91,Ba II,0.600,-0.380,69
MKV0514,6498.94,Fe I,0.960,-4.690,51
MKV0514,6499.65,Ca I,2.520,-0.820,38
MKV0514,6516.08,Fe II,2.890,-3.450,
MKV0514,6518.37,Fe I,2.830,-2.460,33
MKV0514,6554.24,Ti I,1.440,-1.218,
MKV0514,6556.08,Ti I,1.460,-1.074,
MKV0514,6574.23,Fe I,0.990,-5.020,16
MKV0514,6581.22,Fe I,1.480,-4.680,
MKV0514,6593.88,Fe I,2.430,-2.390,41
MKV0514,6608.03,Fe I,2.280,-3.940,
MKV0514,6609.12,Fe I,2.560,-2.660,48
MKV0514,6645.13,Eu II,1.370,0.200,
MKV0556,5339.93,Fe I,3.270,-0.680,
MKV0556,5364.86,Fe I,4.450,0.220,
MKV0556,5367.48,Fe I,4.420,0.550,157
MKV0556,5369.96,Fe I,4.370,0.540,148
MKV0556,5371.50,Fe I,0.960,-1.644,
MKV0556,5381.01,Ti II,1.570,-1.780,
MKV0556,5383.37,Fe I,4.310,0.500,135
MKV0556,5389.48,Fe I,4.420,-0.400,121
MKV0556,5393.17,Fe I,3.240,-0.920,
MKV0556,5397.14,Fe I,0.910,-1.992,
MKV0556,5400.51,Fe I,4.370,-0.150,75
MKV0556,5402.78,Y II,1.840,-0.510,
MKV0556,5405.79,Fe I,0.990,-1.852,
MKV0556,5407.42,Mn I,2.140,-1.743,
MKV0556,5409.80,Cr I,1.030,-0.720,159
MKV0556,5415.19,Fe I,4.390,0.510,103
MKV0556,5418.77,Ti II,1.580,-2.110,116
MKV0556,5420.36,Mn I,2.140,-1.460,
MKV0556,5424.07,Fe I,4.320,0.520,134
MKV0556,5425.25,Fe II,3.200,-3.360,
MKV0556,5432.55,Mn I,0.000,-3.795,
MKV0556,5476.92,Ni I,1.830,-0.890,
MKV0556,5483.34,Co I,1.710,-1.488,
MKV0556,5485.71,Nd II,1.260,-0.120,
MKV0556,5490.16,Ti I,1.460,-0.933,
MKV0556,5501.48,Fe I,0.960,-3.050,144
MKV0556,5506.79,Fe I,0.990,-2.790,172
MKV0556,5516.77,Mn I,2.180,-1.847,
MKV0556,5528.41,Mg I,4.350,-0.357,188
MKV0556,5534.85,Fe II,3.240,-2.920,91
MKV0556,6120.26,Fe I,0.910,-5.940,
MKV0556,6122.23,Ca I,1.890,-0.320,138
MKV0556,6126.22,Ti I,1.070,-1.425,
MKV0556,6136.62,Fe I,2.450,-1.500,
MKV0556,6137.70,Fe I,2.590,-1.366,128
MKV0556,6141.73,Ba II,0.700,-0.077,181
MKV0556,6149.25,Fe II,3.890,-2.720,
MKV0556,6151.62,Fe I,2.180,-3.370,
MKV0556,6157.75,Fe I,4.070,-1.260,
MKV0556,6160.75,Na I,2.100,-1.260,
MKV0556,6161.30,Ca I,2.520,-1.270,
MKV0556,6165.36,Fe I,4.140,-1.470,
MKV0556,6166.44,Ca I,2.520,-1.140,
MKV0556,6169.04,Ca I,2.520,-0.800,81
MKV0556,6169.56,Ca I,2.520,-0.480,98
MKV0556,6173.34,Fe I,2.220,-2.850,132
MKV0556,6176.82,Ni I,4.090,-0.430,
MKV0556,6177.25,Ni I,1.830,-3.500,
MKV0556,6187.99,Fe I,3.940,-1.580,
MKV0556,6191.57,Fe I,2.430,-1.416,160
MKV0556,6213.43,Fe I,2.220,-2.660,104
MKV0556,6219.29,Fe I,2.200,-2.438,79
MKV0556,6229.23,Fe I,2.840,-2.900,
MKV0556,6230.74,Fe I,2.560,-1.276,136
MKV0556,6238.38,Fe II,3.890,-2.480,
MKV0556,6240.66,Fe I,2.220,-3.230,54
MKV0556,6243.82,Si I,5.610,-1.270,
MKV0556,6244.48,Si I,5.610,-1.270,
MKV0556,6247.56,Fe II,3.890,-2.360,116
MKV0556,6252.57,Fe I,2.400,-1.757,80
MKV0556,6258.10,Ti I,1.443,-0.355,
MKV0556,6290.97,Fe I,4.730,-0.760,
MKV0556,6297.80,Fe I,2.220,-2.740,77
MKV0556,6301.50,Fe I,3.650,-0.720,
MKV0556,6302.49,Fe I,3.690,-1.150,
MKV0556,6309.90,Sc II,1.500,-1.520,
MKV0556,6311.51,Fe I,2.830,-3.220,
MKV0556,6320.43,La II,0.170,-1.562,
MKV0556,6330.09,Cr I,0.940,-2.920,33
MKV0556,6355.04,Fe I,2.840,-2.290,124
MKV0556,6369.46,Fe II,2.890,-4.250,
MKV0556,6380.75,Fe I,4.190,-1.500,
MKV0556,6390.46,La II,0.320,-1.400,
MKV0556,6392.54,Fe I,2.280,-3.950,
MKV0556,6393.61,Fe I,2.430,-1.630,
MKV0556,6416.93,Fe II,3.890,-2.790,
MKV0556,6419.96,Fe I,4.730,-0.240,
MKV0556,6421.36,Fe I,2.280,-2.014,185
MKV0556,6430.86,Fe I,2.180,-1.946,189
MKV0556,6432.68,Fe II,2.890,-3.710,
MKV0556,6439.08,Ca I,2.520,0.390,
MKV0556,6455.60,Ca I,2.520,-1.290,
MKV0556,6456.39,Fe II,3.900,-2.080,142
MKV0556,6496.91,Ba II,0.600,-0.380,
MKV0556,6498.94,Fe I,0.960,-4.690,
MKV0556,6499.65,Ca I,2.520,-0.820,58
MKV0556,6516.08,Fe II,2.890,-3.450,
MKV0556,6518.37,Fe I,2.830,-2.460,
MKV0556,6554.24,Ti I,1.440,-1.218,
MKV0556,6556.08,Ti I,1.460,-1.074,
MKV0556,6574.23,Fe I,0.990,-5.020,
MKV0556,6581.22,Fe I,1.480,-4.680,
MKV0556,6593.88,Fe I,2.430,-2.390,108
MKV0556,6608.03,Fe I,2.280,-3.940,
MKV0556,6609.12,Fe I,2.560,-2.660,74
MKV0556,6645.13,Eu II,1.370,0.200,
MKV0577,5339.93,Fe I,3.270,-0.680,90
MKV0577,5364.86,Fe I,4.450,0.220,
MKV0577,5367.48,Fe I,4.420,0.550,104
MKV0577,5369.96,Fe I,4.370,0.540,82
MKV0577,5371.50,Fe I,0.960,-1.644,193
MKV0577,5381.01,Ti II,1.570,-1.780,
MKV0577,5383.37,Fe I,4.310,0.500,74
MKV0577,5389.48,Fe I,4.420,-0.400,
MKV0577,5393.17,Fe I,3.240,-0.920,112
MKV0577,5397.14,Fe I,0.910,-1.992,192
MKV0577,5400.51,Fe I,4.370,-0.150,
MKV0577,5402.78,Y II,1.840,-0.510,
MKV0577,5405.79,Fe I,0.990,-1.852,184
MKV0577,5407.42,Mn I,2.140,-1.743,
MKV0577,5409.80,Cr I,1.030,-0.720,121
MKV0577,5415.19,Fe I,4.390,0.510,100
MKV0577,5418.77,Ti II,1.580,-2.110,69
MKV0577,5420.36,Mn I,2.140,-1.460,
MKV0577,5424.07,Fe I,4.320,0.520,95
MKV0577,5425.25,Fe II,3.200,-3.360,61
MKV0577,5432.55,Mn I,0.000,-3.795,
MKV0577,5476.92,Ni I,1.830,-0.890,
MKV0577,5483.34,Co I,1.710,-1.488,
MKV0577,5485.71,Nd II,1.260,-0.120,
MKV0577,5490.16,Ti I,1.460,-0.933,
MKV0577,5501.48,Fe I,0.960,-3.050,164
MKV0577,5506.79,Fe I,0.990,-2.790,128
MKV0577,5516.77,Mn I,2.180,-1.847,
MKV0577,5528.41,Mg I,4.350,-0.357,117
MKV0577,5534.85,Fe II,3.240,-2.920,
MKV0577,6120.26,Fe I,0.910,-5.940,
MKV0577,6122.23,Ca I,1.890,-0.320,153
MKV0577,6126.22,Ti I,1.070,-1.425,
MKV0577,6136.62,Fe I,2.450,-1.500,
MKV0577,6137.70,Fe I,2.590,-1.366,104
MKV0577,6141.73,Ba II,0.700,-0.077,134
MKV0577,6149.25,Fe II,3.890,-2.720,
MKV0577,6151.62,Fe I,2.180,-3.370,
MKV0577,6157.75,Fe I,4.070,-1.260,46
MKV0577,6160.75,Na I,2.100,-1.260,
MKV0577,6161.30,Ca I,2.520,-1.270,
MKV0577,6165.36,Fe I,4.140,-1.470,
MKV0577,6166.44,Ca I,2.520,-1.140,
MKV0577,6169.04,Ca I,2.520,-0.800,
MKV0577,6169.56,Ca I,2.520,-0.480,
MKV0577,6173.34,Fe I,2.220,-2.850,76
MKV0577,6176.82,Ni I,4.090,-0.430,
MKV0577,6177.25,Ni I,1.830,-3.500,
MKV0577,6187.99,Fe I,3.940,-1.580,
MKV0577,6191.57,Fe I,2.430,-1.416,
MKV0577,6213.43,Fe I,2.220,-2.660,68
MKV0577,6219.29,Fe I,2.200,-2.438,90
MKV0577,6229.23,Fe I,2.840,-2.900,
MKV0577,6230.74,Fe I,2.560,-1.276,105
MKV0577,6238.38,Fe II,3.890,-2.480,
MKV0577,6240.66,Fe I,2.220,-3.230,54
MKV0577,6243.82,Si I,5.610,-1.270,
MKV0577,6244.48,Si I,5.610,-1.270,
MKV0577,6247.56,Fe II,3.890,-2.360,
MKV0577,6252.57,Fe I,2.400,-1.757,120
MKV0577,6258.10,Ti I,1.443,-0.355,
MKV0577,6290.97,Fe I,4.730,-0.760,
MKV0577,6297.80,Fe I,2.220,-2.740,
MKV0577,6301.50,Fe I,3.650,-0.720,89
MKV0577,6302.49,Fe I,3.690,-1.150,
MKV0577,6309.90,Sc II,1.500,-1.520,
MKV0577,6311.51,Fe I,2.830,-3.220,
MKV0577,6320.43,La II,0.170,-1.562,
MKV0577,6330.09,Cr I,0.940,-2.920,
MKV0577,6355.04,Fe I,2.840,-2.290,70
MKV0577,6369.46,Fe II,2.890,-4.250,
MKV0577,6380.75,Fe I,4.190,-1.500,
MKV0577,6390.46,La II,0.320,-1.400,
MKV0577,6392.54,Fe I,2.280,-3.950,97
MKV0577,6393.61,Fe I,2.430,-1.630,149
MKV0577,6416.93,Fe II,3.890,-2.790,
MKV0577,6419.96,Fe I,4.730,-0.240,
MKV0577,6421.36,Fe I,2.280,-2.014,118
MKV0577,6430.86,Fe I,2.180,-1.946,
MKV0577,6432.68,Fe II,2.890,-3.710,
MKV0577,6439.08,Ca I,2.520,0.390,
MKV0577,6455.60,Ca I,2.520,-1.290,
MKV0577,6456.39,Fe II,3.900,-2.080,
MKV0577,6496.91,Ba II,0.600,-0.380,
MKV0577,6498.94,Fe I,0.960,-4.690,
MKV0577,6499.65,Ca I,2.520,-0.820,
MKV0577,6516.08,Fe II,2.890,-3.450,
MKV0577,6518.37,Fe I,2.830,-2.460,
MKV0577,6554.24,Ti I,1.440,-1.218,24
MKV0577,6556.08,Ti I,1.460,-1.074,
MKV0577,6574.23,Fe I,0.990,-5.020,59
MKV0577,6581.22,Fe I,1.480,-4.680,
MKV0577,6593.88,Fe I,2.430,-2.390,
MKV0577,6608.03,Fe I,2.280,-3.940,
MKV0577,6609.12,Fe I,2.560,-2.660,64
MKV0577,6645.13,Eu II,1.370,0.200,
MKV0596,5339.93,Fe I,3.270,-0.680,120
MKV0596,5364.86,Fe I,4.450,0.220,76
MKV0596,5367.48,Fe I,4.420,0.550,90
MKV0596,5369.96,Fe I,4.370,0.540,96
MKV0596,5371.50,Fe I,0.960,-1.644,
MKV0596,5381.01,Ti II,1.570,-1.780,95
MKV0596,5383.37,Fe I,4.310,0.500,93
MKV0596,5389.48,Fe I,4.420,-0.400,48
MKV0596,5393.17,Fe I,3.240,-0.920,120
MKV0596,5397.14,Fe I,0.910,-1.992,
MKV0596,5400.51,Fe I,4.370,-0.150,64
MKV0596,5402.78,Y II,1.840,-0.510,
MKV0596,5405.79,Fe I,0.990,-1.852,
MKV0596,5407.42,Mn I,2.140,-1.743,21
MKV0596,5409.80,Cr I,1.030,-0.720,141
MKV0596,5415.19,Fe I,4.390,0.510,97
MKV0596,5418.77,Ti II,1.580,-2.110,71
MKV0596,5420.36,Mn I,2.140,-1.460,31
MKV0596,5424.07,Fe I,4.320,0.520,105
MKV0596,5425.25,Fe II,3.200,-3.360,41
MKV0596,5432.55,Mn I,0.000,-3.795,53
MKV0596,5476.92,Ni I,1.830,-0.890,173
MKV0596,5483.34,Co I,1.710,-1.488,40
MKV0596,5485.71,Nd II,1.260,-0.120,
MKV0596,5490.16,Ti I,1.460,-0.933,
MKV0596,5501.48,Fe I,0.960,-3.050,168
MKV0596,5506.79,Fe I,0.990,-2.790,
MKV0596,5516.77,Mn I,2.180,-1.847,
MKV0596,5528.41,Mg I,4.350,-0.357,126
MKV0596,5534.85,Fe II,3.240,-2.920,63
MKV0596,6120.26,Fe I,0.910,-5.940,
MKV0596,6122.23,Ca I,1.890,-0.320,127
MKV0596,6126.22,Ti I,1.070,-1.425,
MKV0596,6136.62,Fe I,2.450,-1.500,
MKV0596,6137.70,Fe I,2.590,-1.366,126
MKV0596,6141.73,Ba II,0.700,-0.077,138
MKV0596,6149.25,Fe II,3.890,-2.720,
MKV0596,6151.62,Fe I,2.180,-3.370,40
MKV0596,6157.75,Fe I,4.070,-1.260,
MKV0596,6160.75,Na I,2.100,-1.260,
MKV0596,6161.30,Ca I,2.520,-1.270,
MKV0596,6165.36,Fe I,4.140,-1.470,29
MKV0596,6166.44,Ca I,2.520,-1.140,
MKV0596,6169.04,Ca I,2.520,-0.800,37
MKV0596,6169.56,Ca I,2.520,-0.480,56
MKV0596,6173.34,Fe I,2.220,-2.850,71
MKV0596,6176.82,Ni I,4.090,-0.430,
MKV0596,6177.25,Ni I,1.830,-3.500,
MKV0596,6187.99,Fe I,3.940,-1.580,
MKV0596,6191.57,Fe I,2.430,-1.416,130
MKV0596,6213.43,Fe I,2.220,-2.660,116
