Element,lambda,Kiex,loggf,W1,---,W2,---_1,W3,---_2,W4,---_3,W5,---_4,W6,---_5,W7,---_6,W8,---_7,W9,---_8,W10,---_9,l_W11,W11,---_10,W12,---_11,W13,---_12,W14,---_13,W15,---_14,W16,---_15,W17,---_16,W18,---_17,W19,---_18,W20,---_19,W21,---_20,W22,---_21,W23,---_22,W24,---_23,W25,---_24,W26,---_25,W27,---_26,W28,---_27,W29,---_28,W30,---_29,W31,---_30,W32,---_31,W33,---_32,W34,---_33,W35,---_34
Fe  1,5397.128,0.92,-1.99,140.4,,139.6,,140.7,,114.6,,105.8,,48.9,,34.4,,79.8,,114.0,,120.8,,,67.8,,106.8,,80.8,,134.9,,136.7,,96.4,,52.9,,101.3,,100.4,,86.1,,87.3,,79.8,,46.8,,92.2,,94.7,,82.5,,84.4,,79.6,,117.8,,116.4,,72.5,,102.1,,91.1,,81.5,,99.7,
Fe  1,5405.775,0.99,-1.84,149.0,,141.9,,141.6,,114.4,,104.7,,49.6,,37.2,,79.5,,114.6,,120.4,,,70.5,,110.0,,81.7,,138.6,,136.1,,91.8,,53.8,,107.4,,102.4,,93.3,,86.5,,82.1,,44.8,,92.8,,96.9,,85.6,,85.1,,80.6,,120.5,,111.4,,75.9,,106.0,,94.7,,82.8,,104.4,
Fe  1,5424.068,4.32,0.52,43.7,,39.7,,49.6,,52.7,,24.8,,,,3.6,,9.7,,32.3,,27.0,,,5.7,,23.5,,9.7,,36.5,,35.0,,18.4,,4.5,,18.2,,23.8,,24.7,,10.3,,15.8,,,,12.5,,22.7,,14.3,,26.5,,9.2,,24.9,,27.8,,13.0,,31.5,,27.3,,10.9,,27.9,
Fe  1,5429.697,0.96,-1.88,128.3,,143.3,,145.5,,116.7,,107.9,,52.6,,37.0,,82.7,,116.0,,129.9,,,75.0,,109.3,,85.9,,140.2,,139.2,,93.3,,58.2,,108.8,,105.4,,92.2,,89.7,,85.1,,48.5,,95.5,,98.5,,88.5,,86.2,,84.0,,122.9,,118.0,,79.0,,107.9,,96.8,,84.0,,107.8,
Fe  1,5434.524,1.01,-2.12,117.7,,127.4,,130.3,,104.9,,93.8,,33.8,,23.2,,66.5,,105.6,,110.4,,,53.2,,93.5,,66.6,,122.5,,129.9,,84.1,,36.9,,93.1,,89.5,,76.7,,70.9,,67.5,,31.5,,76.6,,83.1,,70.3,,74.3,,63.6,,107.3,,104.7,,61.1,,92.3,,82.6,,67.3,,93.4,
Fe  1,5446.917,0.99,-1.91,122.1,,142.6,,144.6,,116.0,,105.9,,48.5,,34.3,,79.3,,114.8,,118.0,,,69.8,,105.6,,80.1,,138.2,,140.8,,94.6,,51.7,,104.5,,103.9,,82.6,,85.4,,80.8,,43.8,,89.8,,94.4,,82.2,,81.3,,80.1,,118.8,,116.5,,75.7,,104.6,,93.9,,81.5,,105.1,
Fe  1,5455.609,1.01,-2.09,132.1,,146.9,,125.1,,133.6,,97.5,,36.3,,24.3,,72.0,,111.7,,115.9,,,54.6,,103.4,,71.1,,125.9,,137.4,,83.6,,36.8,,97.8,,92.6,,,,78.4,,71.2,,33.4,,78.1,,85.4,,73.7,,78.7,,71.0,,105.2,,101.3,,67.5,,98.1,,89.9,,72.6,,98.1,
Fe  1,5497.516,1.01,-2.85,85.2,,94.7,,101.5,,72.8,,55.9,,10.1,,6.8,,29.2,,74.8,,75.6,,,16.3,,50.3,,25.0,,87.7,,95.8,,36.3,,10.8,,46.8,,52.3,,41.2,,28.9,,27.6,,,,30.6,,43.9,,32.7,,38.3,,24.5,,69.4,,69.4,,24.0,,58.3,,45.5,,26.5,,61.2,
Fe  1,5501.465,0.96,-3.05,74.9,,88.4,,88.8,,64.1,,48.6,,8.0,,4.3,,24.8,,68.5,,69.7,,,14.3,,41.9,,19.7,,78.5,,86.5,,30.3,,7.0,,40.1,,43.9,,34.2,,22.9,,19.8,,,,25.0,,37.6,,26.7,,33.5,,20.1,,61.2,,61.4,,18.9,,50.5,,38.3,,22.2,,52.8,
Fe  1,5506.779,0.99,-2.8,87.7,,100.1,,102.9,,75.7,,60.9,,11.8,,7.1,,36.4,,76.3,,81.9,,,20.1,,52.8,,29.1,,90.2,,99.5,,42.4,,11.5,,53.3,,55.3,,44.3,,32.9,,29.4,,9.4,,36.5,,49.2,,37.3,,41.5,,27.6,,74.7,,76.9,,27.0,,63.5,,50.0,,30.4,,63.7,
Fe  1,5569.618,3.42,-0.54,41.4,,36.8,,48.1,,43.9,,21.6,,1.7,,,,7.9,,29.6,,23.7,,,3.8,,17.5,,6.7,,29.7,,31.4,,13.8,,,,13.8,,17.8,,18.6,,7.9,,10.0,,,,10.1,,16.7,,9.3,,20.0,,6.3,,22.6,,26.8,,9.2,,24.4,,20.3,,7.3,,22.8,
Fe  1,5572.842,3.4,-0.31,54.4,,50.5,,62.2,,55.0,,31.0,,,,3.2,,10.4,,40.0,,33.0,,,,,27.0,,10.7,,42.2,,45.7,,16.7,,,,20.4,,25.4,,29.5,,12.6,,14.6,,,,14.1,,25.7,,15.6,,28.8,,9.8,,33.8,,39.3,,14.5,,35.8,,30.7,,13.4,,,
