Element,lambda,Kiex,loggf,W1,---,W2,---_1,W3,---_2,W4,---_3,W5,---_4,W6,---_5,W7,---_6,W8,---_7,W9,---_8,W10,---_9,l_W11,W11,---_10,W12,---_11,W13,---_12,W14,---_13,W15,---_14,W16,---_15,W17,---_16,W18,---_17,W19,---_18,W20,---_19,W21,---_20,W22,---_21,W23,---_22,W24,---_23,W25,---_24,W26,---_25,W27,---_26,W28,---_27,W29,---_28,W30,---_29,W31,---_30,W32,---_31,W33,---_32,W34,---_33,W35,---_34
O   1,6300.304,0.0,-9.776,4.1,,6.4,,9.3,,6.7,,1.5,,,,,,,,,,,,>,1.0,,1.8,,,,4.9,,,,,,,,2.8,,1.3,,1.5,,,,1.5,,2.7,,,,1.5,,2.5,,1.8,,1.0,,3.9,,3.8,,,,3.2,,2.1,,0.8,,2.7,
Na  1,5889.951,0.0,0.112,188.0,,191.0,,191.0,,220.0,,136.6,,65.9,,58.1,,117.8,,173.3,,,,,66.1,,158.0,,89.1,,202.8,,187.3,,146.0,,77.8,,161.9,,135.1,,132.5,,98.7,,127.5,,198.7,,164.0,,132.9,,,,180.0,,82.2,,157.8,,155.5,,81.6,,159.1,,142.5,,113.2,,151.6,
Na  1,5895.924,0.0,-0.191,168.4,,149.0,,168.3,,180.0,,115.7,,40.9,,38.2,,88.6,,152.0,,,,,44.4,,125.0,,63.0,,191.4,,156.7,,97.6,,52.7,,135.1,,115.9,,110.6,,85.6,,100.5,,177.2,,128.0,,117.6,,,,130.0,,59.1,,136.4,,141.3,,60.7,,133.4,,124.2,,86.5,,132.9,
Mg  1,3829.355,2.71,-0.207,189.5,,189.1,,202.3,,185.2,,150.0,,92.9,,82.7,,124.9,,159.8,,151.6,,,104.1,,154.1,,110.4,,179.0,,191.6,,141.9,,98.9,,141.5,,139.2,,148.3,,123.6,,128.8,,156.1,,115.1,,138.0,,132.9,,155.6,,112.4,,164.7,,167.4,,123.2,,162.6,,151.1,,131.5,,156.1,
Mg  1,3832.304,2.71,0.146,216.7,,213.5,,234.4,,234.9,,175.6,,109.6,,103.8,,138.5,,175.7,,169.5,,,119.3,,176.2,,128.6,,203.7,,216.0,,164.6,,111.6,,164.4,,163.2,,183.4,,139.8,,148.6,,185.2,,130.1,,158.6,,149.7,,186.2,,132.7,,187.4,,200.9,,144.7,,189.0,,174.7,,158.9,,185.2,
Mg  1,3838.29,2.72,0.415,239.2,,247.3,,,,272.2,,192.4,,113.3,,112.2,,146.0,,192.5,,180.9,,,131.4,,191.3,,138.9,,222.4,,227.7,,175.4,,122.1,,173.9,,179.6,,198.0,,151.6,,164.5,,202.7,,144.3,,186.1,,159.5,,201.9,,138.2,,206.2,,218.4,,163.3,,217.2,,201.6,,160.8,,202.7,
Mg  1,4167.271,4.34,-1.0,58.9,,49.3,,69.3,,,,37.5,,,,7.5,,21.3,,,,,,,8.2,,,,,,,,,,25.6,,8.6,,,,,,,,16.1,,18.7,,46.3,,,,30.6,,22.6,,45.7,,10.5,,42.0,,50.8,,20.4,,50.2,,40.7,,20.0,,46.3,
Mg  1,4351.906,4.34,-0.525,,,63.5,,83.2,,,,48.4,,,,6.4,,30.2,,60.2,,30.0,,,8.8,,41.6,,17.5,,53.2,,72.0,,39.0,,,,32.8,,45.5,,,,24.4,,28.8,,,,11.7,,38.7,,28.5,,56.2,,17.9,,53.5,,60.6,,27.4,,48.4,,,,,,,
Mg  1,4571.096,0.0,-5.393,63.1,,85.1,,97.9,,55.5,,37.3,,,,,,19.0,,75.4,,41.7,,,,,34.3,,14.0,,,,96.2,,,,5.6,,30.3,,,,26.4,,,,,,52.9,,9.9,,,,24.4,,33.5,,11.5,,,,,,15.3,,,,34.7,,20.2,,52.9,
Mg  1,5172.684,2.71,-0.38,201.2,,204.5,,225.4,,192.1,,162.2,,90.2,,86.5,,129.1,,161.4,,157.7,,,108.8,,168.1,,116.9,,190.7,,212.9,,153.7,,106.6,,159.2,,153.1,,161.9,,133.7,,142.2,,176.1,,119.2,,148.6,,138.0,,150.3,,122.7,,183.8,,185.1,,134.6,,183.1,,163.3,,138.2,,176.1,
Mg  1,5183.604,2.72,-0.158,231.2,,226.7,,254.7,,216.2,,179.0,,105.6,,98.8,,137.3,,170.1,,171.5,,,121.8,,178.8,,128.3,,211.6,,235.5,,169.5,,119.0,,167.5,,162.9,,178.1,,144.9,,149.6,,199.4,,136.5,,164.3,,153.5,,170.4,,134.2,,202.6,,189.6,,148.6,,195.5,,182.8,,149.9,,199.4,
Mg  1,5528.405,4.34,-0.341,83.9,,76.7,,95.6,,90.7,,51.6,,6.3,,8.4,,28.5,,64.0,,40.6,,,10.4,,48.3,,15.9,,70.0,,81.5,,43.1,,12.6,,35.6,,44.8,,48.5,,27.1,,31.4,,62.6,,17.6,,43.5,,30.9,,54.4,,20.6,,59.7,,65.9,,30.9,,65.7,,57.4,,32.1,,62.6,
Al  1,3944.006,0.0,-0.64,121.4,,136.0,,132.0,,109.6,,99.1,,37.6,,28.6,,82.0,,114.0,,96.9,,,50.4,,90.0,,58.0,,137.4,,127.4,,82.1,,42.1,,102.0,,,,81.4,,76.6,,75.0,,71.5,,91.8,,78.7,,83.2,,83.9,,66.0,,108.2,,104.5,,70.2,,101.0,,86.0,,75.8,,,
Al  1,3961.52,0.01,-0.34,140.0,,147.2,,153.2,,128.0,,113.6,,54.9,,36.8,,91.9,,133.0,,113.5,,,64.9,,106.0,,72.7,,154.2,,146.0,,99.5,,55.1,,117.5,,106.5,,97.8,,87.6,,85.5,,94.1,,105.9,,88.8,,89.6,,92.5,,79.6,,130.2,,121.4,,77.0,,113.3,,94.6,,91.8,,110.0,
Si  1,3905.523,1.91,-1.09,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s
Si  1,4102.936,1.91,-3.14,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s
K   1,7664.911,0.0,0.13,79.8,,,,93.0,,91.0,,41.5,,,,5.6,,,,50.0,,,,,5.8,,39.1,,12.5,,,,,,,,5.0,,30.2,,,,33.1,,15.5,,,,2.8,,,,,,,,34.0,,6.7,,48.1,,52.9,,13.9,,,,30.0,,30.0,,,
K   1,7698.974,0.0,-0.17,49.9,,44.8,,56.0,,64.9,,24.0,,,,2.0,,10.3,,35.0,,23.5,,,4.8,,,,,,33.3,,37.5,,,,2.5,,16.7,,19.8,,22.2,,9.6,,11.2,,1.6,,10.5,,15.6,,7.4,,21.7,,5.1,,,,36.1,,,,,,25.0,,,,,
Ca  1,4226.728,0.0,0.24,210.7,,196.5,,224.1,,194.2,,160.5,,101.4,,102.2,,131.9,,168.5,,160.2,,,113.3,,169.5,,120.3,,187.6,,203.1,,147.0,,109.3,,152.4,,149.7,,,,127.2,,140.7,,112.5,,129.3,,147.3,,141.1,,162.0,,113.0,,175.4,,189.3,,123.6,,178.3,,168.8,,138.0,,178.6,
Ca  1,4283.011,1.89,-0.22,70.4,,62.3,,82.3,,72.7,,53.2,,3.8,,8.0,,30.4,,65.5,,39.3,,,10.6,,40.6,,15.5,,56.6,,66.6,,30.6,,12.6,,29.6,,73.2,,53.6,,31.4,,23.6,,15.4,,14.1,,42.4,,34.8,,51.6,,12.9,,51.7,,62.6,,24.6,,59.6,,45.2,,26.8,,59.5,
Ca  1,4318.652,1.9,-0.21,61.4,,54.7,,70.7,,36.7,,41.7,,,,7.7,,21.5,,56.0,,30.0,,,10.0,,39.1,,15.4,,52.0,,51.7,,29.8,,8.4,,28.1,,34.2,,36.4,,17.5,,23.7,,6.1,,14.9,,31.3,,28.9,,47.2,,8.0,,44.7,,50.2,,19.3,,51.3,,46.1,,21.1,,48.2,
Ca  1,4425.437,1.88,-0.36,58.2,,51.8,,64.9,,66.0,,38.0,,,,7.6,,21.6,,48.3,,25.9,,,9.1,,35.7,,12.1,,42.7,,44.7,,27.8,,7.2,,21.6,,35.4,,34.2,,14.2,,18.6,,,,10.7,,26.4,,25.7,,41.9,,8.8,,39.7,,47.3,,15.7,,54.0,,36.6,,19.2,,43.4,
Ca  1,4435.679,1.89,-0.52,56.6,,41.8,,73.0,,,,31.4,,2.0,,7.5,,15.6,,54.9,,21.0,,,4.5,,29.2,,6.7,,39.0,,38.2,,16.6,,3.4,,19.7,,,,30.5,,10.4,,15.4,,,,10.8,,28.5,,18.9,,29.4,,4.1,,32.3,,39.7,,13.4,,40.6,,29.4,,14.1,,,
Ca  1,4454.779,1.9,0.26,89.5,,76.1,,100.7,,91.3,,65.4,,,,15.7,,40.6,,74.8,,51.2,,,22.4,,60.7,,30.5,,76.3,,78.4,,50.4,,18.6,,50.6,,68.9,,61.2,,38.6,,45.2,,19.4,,33.3,,53.0,,50.6,,66.4,,19.9,,68.6,,77.0,,36.9,,73.1,,64.4,,43.2,,69.7,
Ca  1,5265.556,2.52,-0.26,34.0,,27.1,,41.8,,46.2,,18.0,,0.9,,3.3,,7.4,,26.0,,11.9,,,3.4,,17.1,,2.7,,21.8,,22.4,,8.5,,2.6,,9.2,,15.5,,25.2,,6.3,,6.7,,,,4.7,,12.1,,11.2,,19.5,,2.8,,19.6,,23.0,,7.0,,26.6,,20.4,,8.8,,20.6,
Ca  1,5349.465,2.71,-0.31,15.3,,14.4,,22.6,,24.3,,8.3,,0.5,,1.8,,5.0,,13.0,,5.4,,,,,5.7,,1.3,,11.5,,11.2,,4.1,,0.9,,4.4,,8.1,,8.3,,2.4,,2.7,,,,2.7,,5.9,,4.4,,11.6,,0.9,,9.4,,10.5,,3.3,,13.8,,11.0,,4.1,,,
Ca  1,5581.965,2.52,-0.71,20.3,,12.8,,23.7,,25.4,,8.0,,,,,,4.1,,12.2,,5.4,,,0.5,,5.4,,1.8,,11.0,,11.6,,6.1,,,,4.7,,7.0,,7.9,,2.6,,2.7,,,,1.8,,7.0,,5.1,,9.5,,0.8,,8.9,,11.4,,2.9,,11.3,,9.2,,4.4,,10.2,
Ca  1,5588.749,2.52,0.21,60.5,,50.1,,65.4,,68.8,,37.3,,3.3,,5.3,,16.3,,45.5,,26.7,,,7.9,,32.5,,11.3,,42.5,,48.4,,28.0,,6.0,,22.9,,32.6,,35.2,,13.2,,20.5,,4.1,,12.2,,29.3,,21.4,,38.7,,7.6,,41.7,,45.2,,14.9,,45.4,,39.3,,19.4,,41.0,
Ca  1,5590.114,2.52,-0.71,16.8,,12.6,,21.3,,22.9,,7.4,,,,0.9,,3.1,,12.4,,4.2,,,1.4,,7.5,,0.3,,9.5,,10.4,,4.8,,,,2.6,,6.0,,7.9,,1.8,,3.7,,,,0.3,,6.0,,3.2,,8.1,,1.9,,8.9,,11.1,,2.1,,12.6,,9.8,,3.0,,9.6,
Ca  1,5601.277,2.52,-0.69,17.6,,13.1,,21.7,,25.3,,7.8,,0.7,,,,3.3,,12.9,,4.7,,,0.8,,7.3,,1.7,,10.7,,11.5,,7.0,,1.4,,3.9,,4.9,,10.0,,2.0,,4.5,,,,2.5,,5.6,,4.6,,9.4,,0.8,,9.4,,10.9,,3.0,,11.4,,10.4,,3.9,,9.9,
Ca  1,5857.451,2.93,0.23,33.7,,22.5,,38.0,,42.2,,16.3,,,,,,7.5,,20.9,,9.8,,,1.6,,13.6,,4.3,,19.9,,20.0,,8.0,,3.0,,8.4,,12.4,,12.4,,4.3,,4.7,,1.0,,4.3,,10.5,,8.9,,17.9,,1.3,,17.5,,20.8,,4.3,,24.2,,18.9,,8.0,,18.6,
Ca  1,6102.723,1.88,-0.79,44.8,,38.7,,55.5,,52.6,,21.5,,,,2.4,,11.1,,32.0,,16.0,,,5.2,,,,4.6,,29.1,,33.8,,15.8,,1.6,,14.2,,16.6,,20.9,,,,9.4,,2.3,,5.2,,15.3,,13.0,,22.7,,4.1,,26.1,,32.6,,7.1,,32.3,,24.2,,10.8,,29.4,
Ca  1,6122.217,1.89,-0.32,73.4,,69.4,,85.7,,81.2,,46.8,,,,5.4,,22.3,,55.9,,36.7,,,10.0,,44.3,,13.9,,58.4,,64.9,,30.3,,10.0,,31.5,,34.3,,41.2,,18.6,,22.2,,8.1,,17.1,,32.5,,28.6,,42.7,,8.8,,54.7,,58.7,,17.5,,53.9,,48.7,,27.2,,54.5,
Ca  1,6162.173,1.9,-0.09,88.7,,83.4,,99.1,,95.1,,58.8,,8.4,,8.0,,29.0,,65.6,,46.5,,,16.2,,51.8,,22.0,,71.0,,80.5,,43.8,,15.6,,42.8,,49.0,,47.8,,30.6,,34.5,,11.4,,21.8,,46.4,,37.5,,51.9,,14.8,,63.6,,73.1,,27.5,,67.4,,58.5,,34.6,,65.2,
Ca  1,6439.075,2.52,0.47,69.9,,61.3,,78.4,,79.0,,38.8,,,,4.4,,20.8,,48.6,,34.8,,,9.7,,37.0,,12.7,,53.8,,55.8,,30.5,,,,28.1,,32.2,,42.4,,17.1,,21.7,,5.1,,13.9,,33.4,,25.9,,38.6,,9.8,,45.4,,52.2,,18.6,,48.1,,43.9,,23.8,,51.4,
Sc  2,4246.822,0.31,0.24,131.9,,133.9,,138.7,,138.5,,105.8,,56.5,,41.1,,86.2,,116.0,,109.1,,,67.3,,116.3,,82.0,,136.8,,133.9,,108.4,,64.4,,113.6,,111.8,,83.6,,86.5,,104.3,,62.7,,90.4,,92.2,,87.3,,86.6,,82.9,,117.0,,117.0,,81.6,,109.2,,92.0,,91.9,,114.5,
Sc  2,4314.083,0.62,-0.1,114.5,,113.9,,117.8,,,,86.4,,19.6,,14.4,,59.6,,106.8,,87.4,,,30.0,,81.5,,46.6,,103.2,,111.0,,75.6,,32.3,,82.5,,,,,,,,71.9,,37.8,,54.7,,67.9,,52.0,,57.5,,46.3,,94.5,,96.9,,53.1,,89.6,,67.2,,67.7,,75.8,
Sc  2,4400.389,0.61,-0.54,80.6,,82.4,,81.5,,85.0,,53.2,,,,4.5,,33.3,,68.1,,47.3,,,14.1,,57.4,,24.2,,79.7,,76.1,,51.1,,13.7,,52.2,,47.7,,36.7,,30.1,,45.0,,11.7,,25.5,,37.1,,30.5,,32.5,,25.7,,66.1,,67.9,,26.7,,58.0,,41.5,,38.5,,56.6,
Sc  2,4415.557,0.6,-0.67,78.3,,79.7,,82.7,,75.9,,51.0,,,,4.2,,29.5,,65.7,,41.7,,,11.6,,59.2,,20.9,,75.0,,73.0,,42.8,,11.1,,48.6,,42.8,,25.5,,23.3,,39.0,,8.5,,25.8,,29.7,,26.9,,26.8,,22.0,,62.7,,61.8,,25.8,,53.5,,38.6,,36.2,,52.6,
Sc  2,5031.021,1.36,-0.4,42.9,,42.1,,49.2,,45.0,,18.4,,,,1.0,,6.6,,32.2,,17.1,,,3.3,,22.9,,5.2,,38.4,,36.9,,17.5,,2.4,,17.5,,14.7,,9.3,,6.2,,15.7,,2.0,,7.8,,12.0,,6.4,,11.6,,5.1,,25.3,,29.0,,7.4,,24.0,,14.1,,11.5,,21.7,
Sc  2,5526.79,1.77,0.03,48.3,,42.1,,47.9,,48.8,,18.5,,,,,,7.1,,28.4,,17.3,,,2.4,,21.5,,3.8,,36.2,,36.0,,16.7,,,,15.6,,13.2,,11.8,,6.8,,14.2,,,,6.6,,10.2,,6.2,,8.2,,5.6,,24.6,,26.6,,6.4,,23.4,,13.3,,10.4,,22.0,
Sc  2,5657.896,1.51,-0.6,33.9,,31.4,,37.8,,33.9,,10.2,,,,1.2,,2.1,,21.3,,11.2,,,0.1,,13.7,,3.1,,26.5,,26.8,,9.6,,0.5,,10.6,,6.6,,5.6,,3.6,,9.0,,,,3.9,,4.7,,2.9,,5.3,,2.0,,17.8,,18.1,,2.1,,15.4,,6.1,,5.4,,12.6,
Ti  1,3998.636,0.05,-0.06,73.6,,68.7,,83.6,,67.6,,49.6,,11.0,,10.2,,37.3,,69.9,,40.9,,,18.4,,51.5,,18.2,,67.5,,68.2,,29.6,,11.4,,45.0,,41.1,,43.8,,31.8,,29.2,,11.9,,23.5,,40.6,,40.6,,49.2,,17.1,,60.3,,62.0,,26.2,,59.5,,48.2,,32.2,,56.0,
Ti  1,4533.241,0.85,0.48,57.5,,52.4,,67.0,,58.0,,33.2,,6.5,,4.5,,18.7,,50.2,,30.4,,,11.6,,37.7,,9.6,,48.3,,50.9,,32.5,,8.5,,31.4,,28.3,,25.6,,16.2,,22.0,,7.2,,14.0,,27.2,,25.5,,35.0,,11.8,,43.9,,48.4,,18.0,,45.7,,35.0,,18.9,,39.9,
Ti  1,4534.776,0.84,0.28,43.1,,43.2,,56.3,,50.0,,26.8,,3.7,,2.3,,18.0,,42.1,,21.2,,,7.7,,30.4,,7.4,,40.1,,43.5,,17.6,,5.8,,22.2,,21.1,,23.1,,13.3,,15.2,,3.4,,11.5,,17.4,,16.7,,28.7,,8.8,,34.2,,37.4,,12.3,,35.1,,25.5,,15.7,,31.3,
Ti  1,4535.568,0.83,0.13,41.3,,36.2,,47.7,,36.7,,22.2,,,,,,10.2,,34.1,,15.4,,,4.6,,20.8,,7.4,,31.0,,35.9,,13.5,,,,16.8,,16.9,,16.8,,9.5,,7.9,,,,9.4,,14.2,,12.3,,21.4,,4.7,,24.9,,31.2,,8.2,,28.4,,21.8,,11.0,,25.2,
Ti  1,4981.731,0.84,0.5,63.5,,62.5,,76.1,,65.9,,39.8,,,,6.4,,22.7,,55.6,,31.7,,,11.7,,42.1,,13.4,,54.9,,60.7,,30.9,,8.2,,34.0,,32.0,,37.6,,19.9,,23.0,,9.0,,16.3,,28.7,,27.6,,35.3,,12.1,,49.4,,51.8,,20.8,,48.5,,40.2,,23.2,,46.2,
Ti  1,4991.065,0.84,0.38,60.2,,60.1,,74.6,,55.3,,35.1,,5.2,,4.6,,21.4,,51.6,,29.0,,,10.4,,36.5,,11.7,,53.7,,57.6,,26.9,,6.0,,30.6,,27.4,,30.9,,16.2,,19.6,,6.5,,13.0,,25.2,,21.7,,32.2,,11.0,,43.8,,47.9,,16.4,,47.1,,36.6,,19.2,,41.6,
Ti  1,4999.503,0.83,0.25,49.6,,49.3,,65.9,,57.2,,28.8,,3.7,,4.8,,19.2,,46.9,,22.6,,,7.6,,31.1,,8.7,,43.7,,47.1,,24.3,,4.9,,22.7,,30.8,,22.7,,14.3,,15.5,,5.8,,12.1,,20.9,,18.4,,25.9,,6.2,,35.0,,42.2,,14.1,,36.5,,30.1,,14.6,,46.0,
Ti  1,5014.187,0.0,-1.22,61.8,,29.2,,39.0,,60.8,,20.7,,,,2.2,,9.2,,26.2,,14.7,,,4.1,,17.4,,6.1,,24.2,,33.7,,15.0,,,,15.8,,13.3,,22.1,,8.2,,7.5,,,,6.0,,11.0,,12.5,,16.5,,4.7,,21.7,,23.4,,8.6,,24.4,,15.7,,9.0,,14.7,
Ti  1,5014.276,0.81,0.11,61.8,,29.2,,39.0,,60.8,,20.7,,,,2.2,,9.2,,26.2,,14.7,,,4.1,,17.4,,6.1,,24.2,,33.7,,15.0,,,,15.8,,13.3,,22.1,,8.2,,7.5,,,,6.0,,11.0,,12.5,,16.5,,4.7,,21.7,,23.4,,8.6,,24.4,,15.7,,9.0,,22.3,
Ti  1,5039.957,0.02,-1.13,29.3,,31.2,,43.2,,26.0,,12.2,,,,2.5,,5.3,,27.6,,9.9,,,3.5,,14.8,,1.5,,25.0,,28.4,,8.9,,,,10.6,,12.6,,8.3,,5.2,,7.4,,,,4.6,,8.2,,7.7,,9.4,,2.4,,18.4,,20.9,,6.1,,18.7,,12.6,,7.0,,17.7,
Ti  1,5064.653,0.05,-0.99,33.0,,36.2,,49.9,,29.3,,15.8,,,,2.2,,8.2,,32.2,,12.6,,,3.7,,17.4,,3.5,,28.5,,34.4,,13.0,,2.5,,12.5,,12.8,,12.0,,6.5,,6.8,,,,5.0,,11.7,,7.4,,14.0,,4.1,,23.4,,26.3,,7.0,,23.4,,16.3,,6.5,,22.0,
Ti  1,5173.743,0.0,-1.12,30.6,,33.0,,47.6,,27.3,,14.7,,,,0.9,,6.2,,28.5,,11.4,,,2.8,,14.6,,4.5,,26.1,,33.8,,11.8,,1.6,,10.7,,12.9,,12.8,,6.1,,4.4,,1.8,,4.4,,10.0,,8.9,,10.8,,4.8,,21.1,,22.7,,6.4,,20.8,,14.5,,6.5,,20.8,
Ti  1,5192.969,0.02,-1.01,36.1,,38.7,,55.1,,41.0,,17.0,,,,1.4,,9.3,,35.1,,14.2,,,3.4,,18.4,,4.0,,28.1,,38.1,,12.1,,,,14.6,,20.0,,11.9,,7.7,,7.8,,1.7,,5.4,,12.6,,10.6,,13.8,,3.3,,24.9,,28.0,,6.4,,25.5,,17.3,,8.0,,24.1,
Ti  1,5210.385,0.05,-0.88,39.0,,42.1,,58.0,,36.8,,20.4,,,,3.2,,10.5,,37.7,,16.0,,,4.2,,21.9,,7.2,,34.2,,42.3,,20.2,,4.0,,,,16.8,,15.2,,9.6,,8.3,,,,6.4,,13.4,,12.6,,15.7,,5.5,,29.1,,30.3,,8.3,,29.5,,20.7,,9.3,,27.2,
Ti  2,3759.296,0.61,0.27,,,187.9,,203.4,,192.0,,145.3,,114.2,,85.7,,133.4,,188.9,,151.9,,,119.5,,,,121.6,,195.7,,186.2,,158.8,,101.2,,158.7,,142.8,,137.9,,,,139.9,,117.7,,144.1,,128.6,,135.0,,123.3,,115.8,,170.3,,170.5,,115.5,,167.6,,144.8,,145.4,,158.0,
Ti  2,3761.323,0.57,0.17,84.0,,187.1,,204.8,,185.6,,146.8,,112.3,,88.2,,128.0,,166.0,,151.6,,,118.4,,161.0,,118.1,,194.0,,183.7,,151.4,,98.7,,157.6,,141.3,,131.4,,,,140.7,,114.6,,143.5,,132.8,,128.1,,120.4,,113.3,,172.1,,170.7,,115.7,,159.4,,142.5,,123.4,,158.1,
Ti  2,3913.468,1.12,-0.41,128.6,,,,135.5,,178.6,,103.1,,58.3,,38.8,,85.2,,111.7,,104.9,,,69.5,,112.4,,74.1,,121.7,,131.8,,101.4,,54.1,,112.9,,87.9,,,,78.5,,89.2,,67.0,,89.6,,81.8,,90.0,,89.0,,68.1,,107.0,,103.5,,74.5,,98.4,,93.7,,80.6,,100.9,
Ti  2,4012.385,0.57,-1.75,121.6,,104.6,,107.5,,158.3,,75.8,,28.1,,11.4,,64.6,,85.2,,81.7,,,41.8,,100.1,,40.1,,85.0,,104.9,,63.8,,26.1,,85.7,,66.8,,,,46.0,,53.9,,31.9,,55.5,,58.7,,69.8,,63.5,,37.5,,78.5,,78.6,,44.1,,80.3,,70.5,,53.8,,78.7,
Ti  2,4028.343,1.89,-0.99,65.0,,56.5,,69.9,,73.9,,33.9,,3.3,,3.8,,20.9,,56.6,,29.3,,,6.4,,37.0,,11.8,,51.5,,55.5,,30.6,,4.5,,28.8,,51.7,,24.4,,16.2,,22.3,,5.4,,12.8,,26.8,,22.3,,27.9,,8.9,,42.4,,46.8,,13.8,,41.0,,32.8,,,,56.8,
Ti  2,4290.219,1.16,-0.93,122.8,,105.7,,120.8,,106.5,,83.2,,26.1,,17.6,,64.8,,104.1,,80.9,,,41.9,,87.1,,46.5,,112.1,,109.4,,81.1,,30.9,,81.2,,83.7,,,,63.0,,66.8,,37.4,,51.6,,65.5,,68.4,,71.2,,41.2,,97.5,,99.4,,52.2,,91.3,,73.0,,60.7,,88.4,
Ti  2,4300.049,1.18,-0.49,131.1,,110.8,,,,116.4,,96.4,,39.2,,30.1,,76.8,,116.2,,90.5,,,56.5,,109.3,,60.3,,120.3,,112.3,,92.4,,36.0,,93.8,,96.2,,,,70.1,,86.2,,,,69.8,,78.6,,79.0,,80.3,,46.5,,106.6,,110.0,,61.3,,95.0,,85.8,,69.3,,,
Ti  2,4337.915,1.08,-0.98,112.0,,102.0,,108.8,,109.0,,79.2,,29.3,,70.4,,68.0,,98.6,,76.9,,,46.5,,91.9,,49.8,,109.2,,100.3,,82.7,,31.5,,82.7,,86.7,,60.5,,60.6,,64.3,,35.1,,56.7,,68.4,,69.8,,64.7,,47.0,,93.7,,92.0,,53.0,,82.7,,69.5,,61.2,,84.6,
Ti  2,4394.051,1.22,-1.77,72.1,,65.3,,76.7,,68.7,,38.0,,5.2,,,,22.5,,56.9,,36.0,,,10.5,,44.4,,8.9,,63.4,,65.7,,25.3,,,,37.1,,37.4,,27.4,,18.9,,20.8,,,,17.4,,23.4,,24.8,,23.6,,9.5,,53.3,,52.0,,13.8,,49.9,,32.5,,19.7,,48.8,
Ti  2,4395.033,1.08,-0.51,142.5,,134.2,,124.3,,126.4,,102.1,,53.4,,36.3,,80.7,,110.1,,103.1,,,66.9,,115.1,,68.1,,125.6,,125.2,,101.7,,51.6,,107.7,,100.6,,84.8,,84.4,,94.9,,56.9,,84.1,,89.9,,87.7,,87.3,,61.3,,114.8,,113.3,,73.5,,111.5,,92.0,,79.8,,111.8,
Ti  2,4395.85,1.24,-1.97,56.3,,47.3,,57.0,,56.6,,26.9,,2.9,,3.2,,15.2,,46.7,,21.7,,,6.2,,35.0,,6.7,,46.4,,42.5,,29.0,,,,27.7,,23.8,,18.0,,12.1,,14.7,,2.8,,11.3,,15.5,,15.4,,16.0,,4.9,,38.7,,38.2,,10.4,,34.8,,24.8,,11.0,,35.4,
Ti  2,4399.772,1.24,-1.22,97.8,,87.7,,98.7,,95.2,,65.6,,12.1,,6.1,,48.3,,84.3,,62.2,,,26.5,,71.1,,27.0,,88.5,,91.6,,62.6,,14.0,,66.8,,76.6,,55.4,,44.5,,47.4,,22.1,,35.4,,49.4,,52.4,,52.6,,27.3,,78.8,,81.3,,34.0,,71.9,,60.2,,41.0,,74.8,
Ti  2,4417.719,1.16,-1.23,101.0,,97.7,,107.5,,101.7,,70.2,,18.3,,9.8,,55.9,,89.3,,67.0,,,31.7,,78.4,,36.5,,98.8,,95.6,,71.9,,18.7,,75.5,,72.8,,59.1,,48.3,,56.7,,24.5,,41.2,,59.0,,56.8,,51.7,,29.2,,82.4,,84.2,,38.5,,74.8,,64.4,,48.4,,78.7,
Ti  2,4418.33,1.24,-1.99,56.3,,52.8,,63.5,,57.4,,26.2,,3.7,,3.5,,17.7,,47.3,,26.8,,,6.2,,32.2,,9.0,,48.9,,51.6,,25.7,,4.2,,27.8,,23.6,,12.1,,13.9,,15.8,,,,11.5,,16.7,,16.6,,16.7,,4.9,,38.7,,40.5,,6.8,,33.4,,23.1,,11.2,,33.6,
Ti  2,4443.794,1.08,-0.7,130.1,,119.7,,127.2,,128.0,,94.0,,44.8,,32.3,,76.9,,117.3,,95.4,,,59.5,,105.0,,66.4,,119.3,,117.8,,100.0,,42.3,,101.7,,89.5,,74.2,,75.6,,83.9,,51.5,,74.8,,81.1,,82.9,,81.9,,56.9,,107.5,,106.1,,67.6,,96.7,,88.0,,75.7,,99.2,
Ti  2,4444.558,1.12,-2.21,53.1,,46.5,,60.7,,48.5,,23.4,,3.1,,2.8,,13.4,,45.7,,23.1,,,5.6,,29.0,,8.1,,45.4,,46.8,,22.2,,,,26.1,,20.6,,9.1,,11.5,,15.3,,,,8.4,,15.9,,17.4,,8.1,,6.9,,36.4,,36.6,,7.9,,32.0,,21.4,,10.5,,33.8,
Ti  2,4450.482,1.08,-1.51,94.9,,88.5,,97.0,,83.6,,61.2,,14.4,,,,42.0,,80.9,,59.7,,,23.6,,67.5,,24.0,,89.8,,89.5,,60.7,,12.4,,63.7,,53.1,,43.2,,38.0,,46.1,,19.1,,34.5,,47.3,,48.1,,44.8,,26.4,,73.8,,75.3,,28.5,,66.4,,55.8,,38.2,,66.6,
