Name,Species,lambda,chi,loggf,EW,e_EW,logepsX
J220409,Fe I,5266.56,3.000,-0.39,88.1,12.3,4.81
J220409,Fe I,5281.79,3.040,-0.83,55.6,11.4,4.81
J220409,Fe I,5302.30,3.281,-0.73,56.8,10.6,5.02
J220409,Fe I,5328.53,1.556,-1.85,113.6,11.8,4.98
J220409,Fe I,5332.90,1.556,-2.78,45.7,10.7,4.83
J220409,Fe I,5339.93,3.263,-0.63,43.6,12.6,4.69
J220409,Fe I,5371.49,0.957,-1.64,143.2,11.8,4.60
J220409,Fe I,5405.78,0.989,-1.85,141.2,11.8,4.80
J220409,Fe I,5415.20,4.390,+0.64,50.9,12.5,4.86
J220409,Fe I,5429.70,0.957,-1.88,134.7,12.3,4.66
J220409,Fe I,5434.52,1.010,-2.13,133.8,12.2,4.96
J220409,Fe I,5446.92,0.989,-1.91,143.3,11.9,4.89
J220409,Fe I,5455.61,1.010,-2.09,142.7,12.2,5.08
J220409,Fe I,5497.52,1.010,-2.83,92.8,11.1,4.90
J220409,Fe I,5501.47,0.957,-3.05,87.2,11.0,4.96
J220409,Fe I,5569.62,3.414,-0.52,31.0,10.3,4.53
J220409,Fe I,5586.76,3.366,-0.11,60.4,10.3,4.53
J220409,Fe I,5615.64,3.332,+0.04,89.4,12.4,4.77
J220409,Fe I,5658.82,3.394,-0.76,32.1,12.0,4.77
J220409,Fe I,6065.48,2.610,-1.53,54.2,11.3,4.93
J220409,Fe I,6137.69,2.590,-1.40,47.3,11.0,4.67
J220409,Fe I,6191.56,2.430,-1.42,68.0,13.0,4.79
J220409,Fe I,6213.43,2.221,-2.48,24.8,11.1,4.91
J220409,Fe I,6219.28,2.196,-2.45,22.9,10.0,4.81
J220409,Fe I,6230.72,2.560,-1.28,65.6,12.8,4.77
J220409,Fe I,6246.32,3.600,-0.77,30.6,11.8,4.97
J220409,Fe I,6252.56,2.400,-1.69,50.3,12.3,4.77
J220409,Fe I,6265.13,2.174,-2.54,33.4,15.9,5.08
J220409,Fe I,6297.79,2.221,-2.64,15.5,7.9,4.82
J220409,Fe I,6301.50,3.651,-0.71,33.4,10.9,5.00
J220409,Fe I,6393.60,2.430,-1.58,69.1,15.7,4.95
J220409,Fe I,6400.00,3.603,-0.27,38.5,11.8,4.60
J220409,Fe I,6411.65,3.651,-0.59,30.7,13.3,4.84
J220409,Fe I,6421.35,2.277,-2.01,54.4,13.3,4.99
J220409,Fe I,6430.85,2.174,-1.95,46.9,10.8,4.70
J220409,Fe I,6494.98,2.400,-1.27,81.9,14.3,4.78
J220409,Fe I,6546.24,2.759,-1.53,64.1,14.8,5.23
J220409,Fe I,6592.91,2.730,-1.47,46.2,15.4,4.87
J220409,Fe I,6677.99,2.690,-1.42,49.4,15.6,4.81
J220409,Fe I,7495.07,4.220,-0.10,33.3,14.7,5.02
