# These are the reported abundances. They did not report the [FeI/H] abundance.
Name            , [FeII/H], [Mg/FeI], [Si/FeI], [Ca/FeI], [TiI/FeI], [TiII/FeII]
J150824.0-125620, -0.91   , 0.44    , 0.39    , 0.21    , 0.07     , 0.23
J151446.1-062842, -0.94   , 0.38    , 0.36    , 0.17    , 0.1      , 0.2
J152033.7-094304, -0.63   , 0.2     , 0.21    , 0.08    , 0.01     , 0.23
J152141.1-155317, -1.37   , 0.44    , 0.41    , 0.44    , 0.17     , 0.37
J152423.2-092207, -1.29   , 0.46    , 0.45    , 0.25    , 0.04     , 0.28
J155803.8-061632, -0.79   , 0.25    , 0.37    , 0.22    , 0.13     , 0.23
J160433.6-123549, -1.06   , 0.3     , 0.37    , 0.27    , 0.14     , 0.38
J161527.2-141858, -0.87   , 0.4     , 0.37    , 0.24    , 0.08     , 0.29
J161637.1-143139, -0.5    , 0.03    , 0.24    , 0.13    , -0.01    , 0.0
J162128.4-114017, -0.92   , 0.27    , 0.19    , 0.22    , 0.08     , 0.08
J162230.6-062843, -0.8    , 0.34    , 0.39    , 0.25    , 0.09     , 0.33
J162849.6-033521, -0.57   , 0.04    , 0.22    , 0.08    , -0.1     , 0.03
J165253.6-011557, -0.64   , 0.15    , 0.19    , 0.13    , 0.07     , 0.1
J174311.3-804846, -0.83   , 0.25    , 0.39    , 0.08    , 0.1      , 0.21
J180811.5-802007, -1.18   , 0.24    , 0.26    , 0.19    , 0.01     , 0.28
J185443.3-822504, -1.15   , 0.19    , 0.33    , 0.26    , 0.02     , 0.03
J185501.5-675744, -1.38   , 0.43    , 0.38    , 0.15    , 0.04     , 0.23
J190708.1-635829, -1.63   , 0.26    , 0.25    , 0.25    , 0.12     , 0.36
J191144.7-600208, -1.6    , 0.4     , 0.36    , 0.24    , 0.01     , 0.25
J191258.2-790347, -1.35   , 0.34    , 0.35    , 0.37    , 0.22     , 0.32
J191618.2-554445, -2.18   , 0.38    ,         , 0.2     , 0.05     , 0.21
J192145.9-712436, -1.85   , 0.32    , 0.36    , 0.32    , 0.12     , 0.26
J192334.3-834540, -0.57   , 0.15    , 0.19    , 0.12    , -0.02    , 0.08
