Name,RA_hms,DEC_dms,RA_deg,DEC_deg,Imag,Date,Obs,S/N
J201925.1-282207,20:19:25.2000,-28:22:08.400,304.855,-28.369,10.5,20081015,LCO,180
J202319.0-661217,20:23:18.9600,-66:12:18.000,305.829,-66.205,11.2,20081015,LCO,140
J202400.5-182024,20:24:00.4800,-18:20:24.000,306.002,-18.34,9.4,20080910,AAT,170
J203717.9-353513,20:37:18.0000,-35:35:13.200,309.325,-35.587,9.3,20081016,LCO,180
J204406.2-300007,20:44:06.2400,-30:00:07.200,311.026,-30.002,9.5,20080908,AAT,200
J204547.1-621403,20:45:47.0400,-62:14:02.400,311.446,-62.234,10.6,20081016,LCO,190
J204923.3-362238,20:49:23.5200,-36:22:37.200,312.348,-36.377,9.6,20081015,LCO,200
J205058.6-315839,20:50:58.5600,-31:58:40.800,312.744,-31.978,9.9,20081016,LCO,190
J205155.4-325126,20:51:55.4400,-32:51:25.200,312.981,-32.857,10.6,20070623,AAT,160
J205319.4-244456,20:53:19.4400,-24:44:56.400,313.331,-24.749,10.7,20070506,LCO,100
J205440.3-053500,20:54:40.3200,-05:35:02.400,313.668,-5.584,10.2,20081015,LCO,200
J205515.5-403414,20:55:15.5900,-40:34:15.600,313.815,-40.571,9.0,20080908,AAT,250
J210038.2-053916,21:00:38.1600,-05:39:18.000,315.159,-5.655,9.9,20081015,LCO,210
J210634.7-495749,21:06:34.8000,-49:57:50.400,316.645,-49.964,9.2,20080908,AAT,160
J211103.7-071250,21:11:03.8400,-07:12:50.400,317.766,-7.214,10.7,20081016,LCO,160
J212558.5-265657,21:25:58.5600,-26:56:56.400,321.494,-26.949,10.0,20081016,LCO,200
J213539.2-152631,21:35:39.3600,-15:26:31.200,323.914,-15.442,10.1,20081016,LCO,160
J213932.9-071932,21:39:32.8800,-07:19:33.600,324.887,-7.326,9.6,20080910,AAT,160
J214348.9-162137,21:43:48.9600,-16:21:39.600,325.954,-16.361,10.2,20081016,LCO,200
J214939.2-424202,21:49:39.3600,-42:42:03.600,327.414,-42.701,9.5,20081016,LCO,210
J215707.2-353949,21:57:07.2000,-35:39:50.400,329.28,-35.664,10.3,20080909,AAT,200
J220103.9-033641,22:01:03.8400,-03:36:39.600,330.266,-3.611,10.6,20081016,LCO,190
J220119.1-542301,22:01:19.2000,-54:23:02.400,330.33,-54.384,10.3,20070924,AAT,150
J220149.1-320337,22:01:49.2000,-32:03:39.600,330.455,-32.061,9.4,20080912,AAT,200
J220157.5-444950,22:01:57.5900,-44:49:51.600,330.49,-44.831,9.9,20081016,LCO,250
J220211.8-441701,22:02:11.7600,-44:17:02.400,330.549,-44.284,11.3,20081016,LCO,190
J220403.6-402918,22:04:03.5900,-40:29:20.400,331.015,-40.489,10.3,20081015,LCO,220
J222235.9-013827,22:22:36.0000,-01:38:27.600,335.65,-1.641,10.8,20081015,LCO,180
J223203.2-213556,22:32:03.3600,-21:35:56.400,338.014,-21.599,9.0,20080912,AAT,230
J224923.5-213029,22:49:23.5200,-21:30:28.800,342.348,-21.508,11.2,20081015,LCO,160
J225822.1-530715,22:58:22.3200,-53:07:15.600,344.593,-53.121,9.4,20080911,AAT,200
J225939.5-130249,22:59:39.5900,-13:02:49.200,344.915,-13.047,9.2,20080909,AAT,180
J230028.8-284922,23:00:28.8000,-28:49:22.800,345.12,-28.823,10.8,20081016,LCO,250
J230222.8-683323,23:02:22.8000,-68:33:21.600,345.595,-68.556,10.7,20081016,LCO,150
J230955.6-142048,23:09:55.6800,-14:20:49.200,347.482,-14.347,10.6,20081016,LCO,200
J231348.3-172808,23:13:48.4800,-17:28:08.400,348.452,-17.469,9.6,20080910,AAT,180
J232143.5-492914,23:21:43.6800,-49:29:16.800,350.432,-49.488,9.4,20080912,AAT,200
J234945.3-431707,23:49:45.3600,-43:17:06.000,357.439,-43.285,9.3,20080908,AAT,200
J235210.2-534929,23:52:10.3200,-53:49:30.000,358.043,-53.825,10.3,20081015,LCO,250
J235221.1-270333,23:52:21.1200,-27:03:32.400,358.088,-27.059,9.2,20080911,AAT,160
T4683_01164_1,01:02:06.2400,-06:24:36.000,15.526,-6.41,9.7,20071219,APO,150
T4687_02037_1,01:39:12.4800,-06:11:02.400,24.802,-6.184,9.9,20071219,APO,140
T4701_00802_1,02:39:02.8800,-04:29:16.800,39.762,-4.488,9.3,20061202,APO,120
T4944_01332_1,12:25:04.3200,-04:02:34.800,186.268,-4.043,9.2,20080324,APO,160
T4954_00606_1,12:36:12.9600,-06:24:50.400,189.054,-6.414,9.5,20080228,APO,150
T4956_00959_1,12:59:06.2400,-07:19:22.800,194.776,-7.323,9.1,20080327,APO,150
T4968_00858_1,13:55:24.2400,-02:07:19.200,208.851,-2.122,10.5,20080327,APO,160
T4995_00333_1,14:52:38.6400,-03:54:14.400,223.161,-3.904,9.9,20070506,LCO,130
T5008_00508_1,15:05:05.2800,-03:50:38.400,226.272,-3.844,9.3,20070506,LCO,120
T5008_00508_1,15:05:05.2800,-03:50:38.400,226.272,-3.844,9.3,20070612,LCO,200
T5271_00001_1,00:37:43.2000,-12:04:40.800,9.43,-12.078,10.7,20070923,AAT,100
T5277_01245_1,01:43:29.5200,-08:24:36.000,25.873,-8.41,9.8,20070923,AAT,100
T5295_00511_1,03:17:29.2800,-07:38:06.000,49.372,-7.635,9.2,20071219,APO,130
T5310_00259_1,03:44:53.0400,-13:56:09.600,56.221,-13.936,9.7,20061202,APO,110
T5311_00017_1,03:55:10.8000,-13:32:42.000,58.795,-13.545,10.1,20061103,APO,100
T5481_00786_1,10:08:00.7200,-10:08:52.800,152.003,-10.148,9.8,20071219,APO,100
T5492_00011_1,10:34:08.6400,-09:24:21.600,158.536,-9.406,9.5,20070224,APO,100
T5495_00660_1,10:36:10.8000,-10:27:46.800,159.045,-10.463,9.7,20070421,APO,130
