Name,Species,Ion,l_logepsX,logepsX,e_[X/Fe],e_[X/H]
J055142.1-332734,22.1,Ti II,,2.75,,
J055142.1-332734,26.0,Fe I,,5.04,,
J055142.1-332734,26.1,Fe II,,5.04,,
J055215.7-395318,12.0,Mg I,,5.85,,
J055215.7-395318,14.0,Si I,,5.91,,
J055215.7-395318,20.0,Ca I,,4.63,,
J055215.7-395318,22.0,Ti I,,3.12,,
J055215.7-395318,22.1,Ti II,,3.32,,
J055215.7-395318,26.0,Fe I,,5.45,,
J055215.7-395318,26.1,Fe II,,5.45,,
J055848.6-542624,12.0,Mg I,,6.96,,
J055848.6-542624,14.0,Si I,,7.15,,
J055848.6-542624,20.0,Ca I,,5.85,,
J055848.6-542624,22.0,Ti I,,4.42,,
J055848.6-542624,22.1,Ti II,,4.52,,
J055848.6-542624,26.0,Fe I,,6.88,,
J055848.6-542624,26.1,Fe II,,6.88,,
J061950.0-531211,12.0,Mg I,,5.95,,
J061950.0-531211,14.0,Si I,,5.92,,
J061950.0-531211,20.0,Ca I,,4.7,,
J061950.0-531211,22.0,Ti I,,3.18,,
J061950.0-531211,22.1,Ti II,,3.31,,
J061950.0-531211,26.0,Fe I,,5.52,,
J061950.0-531211,26.1,Fe II,,5.52,,
J063201.2-202654,12.0,Mg I,,6.41,,
J063201.2-202654,14.0,Si I,,6.37,,
J063201.2-202654,20.0,Ca I,,5.18,,
J063201.2-202654,22.0,Ti I,,3.6,,
J063201.2-202654,22.1,Ti II,,3.8,,
J063201.2-202654,26.0,Fe I,,6.02,,
J063201.2-202654,26.1,Fe II,,6.02,,
J063347.2-491234,12.0,Mg I,,6.79,,
J063347.2-491234,14.0,Si I,,6.71,,
J063347.2-491234,20.0,Ca I,,5.38,,
J063347.2-491234,22.0,Ti I,,3.89,,
J063347.2-491234,22.1,Ti II,,4.04,,
J063347.2-491234,26.0,Fe I,,6.31,,
J063347.2-491234,26.1,Fe II,,6.31,,
J063411.2-641831,12.0,Mg I,,6.79,,
J063411.2-641831,14.0,Si I,,6.54,,
J063411.2-641831,20.0,Ca I,,5.4,,
J063411.2-641831,22.0,Ti I,,3.89,,
J063411.2-641831,22.1,Ti II,,3.99,,
J063411.2-641831,26.0,Fe I,,6.18,,
J063411.2-641831,26.1,Fe II,,6.18,,
J064013.1-354044,12.0,Mg I,,5.86,,
J064013.1-354044,14.0,Si I,,5.86,,
J064013.1-354044,20.0,Ca I,,4.59,,
J064013.1-354044,22.0,Ti I,,3.17,,
J064013.1-354044,22.1,Ti II,,3.28,,
J064013.1-354044,26.0,Fe I,,5.39,,
J064013.1-354044,26.1,Fe II,,5.39,,
J064211.9-650134,12.0,Mg I,,7.25,,
J064211.9-650134,14.0,Si I,,7.3,,
J064211.9-650134,20.0,Ca I,,6.04,,
J064211.9-650134,22.0,Ti I,,4.6,,
J064211.9-650134,22.1,Ti II,,4.69,,
J064211.9-650134,26.0,Fe I,,7.12,,
J064211.9-650134,26.1,Fe II,,7.12,,
J070028.0-270512,12.0,Mg I,,6.42,,
J070028.0-270512,14.0,Si I,,6.4,,
J070028.0-270512,20.0,Ca I,,5.04,,
J070028.0-270512,22.0,Ti I,,3.54,,
J070028.0-270512,22.1,Ti II,,3.78,,
J070028.0-270512,26.0,Fe I,,5.95,,
J070028.0-270512,26.1,Fe II,,5.95,,
J070333.5-291748,12.0,Mg I,,6.08,,
J070333.5-291748,14.0,Si I,,5.99,,
J070333.5-291748,20.0,Ca I,,4.7,,
J070333.5-291748,22.0,Ti I,,3.21,,
J070333.5-291748,22.1,Ti II,,3.44,,
J070333.5-291748,26.0,Fe I,,5.57,,
J070333.5-291748,26.1,Fe II,,5.57,,
J070648.0-324056,12.0,Mg I,,6.9,,
J070648.0-324056,14.0,Si I,,6.89,,
J070648.0-324056,20.0,Ca I,,5.52,,
J070648.0-324056,22.0,Ti I,,4.05,,
J070648.0-324056,22.1,Ti II,,4.25,,
J070648.0-324056,26.0,Fe I,,6.43,,
J070648.0-324056,26.1,Fe II,,6.43,,
J073554.7-351938,12.0,Mg I,,6.99,,
J073554.7-351938,14.0,Si I,,7.0,,
J073554.7-351938,20.0,Ca I,,5.85,,
J073554.7-351938,22.0,Ti I,,4.41,,
J073554.7-351938,22.1,Ti II,,4.55,,
J073554.7-351938,26.0,Fe I,,6.87,,
J073554.7-351938,26.1,Fe II,,6.87,,
J081343.6-233252,12.0,Mg I,,6.25,,
J081343.6-233252,14.0,Si I,,6.23,,
J081343.6-233252,20.0,Ca I,,4.99,,
J081343.6-233252,22.0,Ti I,,3.56,,
J081343.6-233252,22.1,Ti II,,3.71,,
J081343.6-233252,26.0,Fe I,,5.93,,
J081343.6-233252,26.1,Fe II,,5.93,,
J082838.7-482652,12.0,Mg I,,6.12,,
J082838.7-482652,14.0,Si I,,6.1,,
J082838.7-482652,20.0,Ca I,,4.82,,
J082838.7-482652,22.0,Ti I,,3.34,,
J082838.7-482652,22.1,Ti II,,3.49,,
J082838.7-482652,26.0,Fe I,,5.73,,
J082838.7-482652,26.1,Fe II,,5.73,,
J085934.2-053404,12.0,Mg I,,7.06,,
J085934.2-053404,14.0,Si I,,6.95,,
J085934.2-053404,20.0,Ca I,,5.72,,
J085934.2-053404,22.0,Ti I,,4.35,,
J085934.2-053404,22.1,Ti II,,4.34,,
J085934.2-053404,26.0,Fe I,,6.64,,
J085934.2-053404,26.1,Fe II,,6.64,,
J090722.4-283415,12.0,Mg I,,6.14,,
J090722.4-283415,14.0,Si I,,6.28,,
J090722.4-283415,20.0,Ca I,,4.97,,
J090722.4-283415,22.0,Ti I,,3.54,,
J090722.4-283415,22.1,Ti II,,3.67,,
J090722.4-283415,26.0,Fe I,,5.8,,
J090722.4-283415,26.1,Fe II,,5.8,,
J090922.5-272207,12.0,Mg I,,7.07,,
J090922.5-272207,14.0,Si I,,6.96,,
J090922.5-272207,20.0,Ca I,,5.73,,
J090922.5-272207,22.0,Ti I,,4.33,,
J090922.5-272207,22.1,Ti II,,4.41,,
J090922.5-272207,26.0,Fe I,,6.62,,
J090922.5-272207,26.1,Fe II,,6.62,,
J093101.0-030405,12.0,Mg I,,6.36,,
J093101.0-030405,14.0,Si I,,6.41,,
J093101.0-030405,20.0,Ca I,,5.25,,
J093101.0-030405,22.0,Ti I,,3.8,,
J093101.0-030405,22.1,Ti II,,3.91,,
J093101.0-030405,26.0,Fe I,,5.99,,
J093101.0-030405,26.1,Fe II,,5.99,,
J093121.3-332635,12.0,Mg I,,6.42,,
J093121.3-332635,14.0,Si I,,6.37,,
J093121.3-332635,20.0,Ca I,,5.2,,
J093121.3-332635,22.0,Ti I,,3.72,,
J093121.3-332635,22.1,Ti II,,3.86,,
J093121.3-332635,26.0,Fe I,,6.01,,
J093121.3-332635,26.1,Fe II,,6.01,,
J093619.9-205314,12.0,Mg I,,6.53,,
J093619.9-205314,14.0,Si I,,6.48,,
J093619.9-205314,20.0,Ca I,,5.11,,
J093619.9-205314,22.0,Ti I,,3.63,,
J093619.9-205314,22.1,Ti II,,3.85,,
J093619.9-205314,26.0,Fe I,,6.02,,
J093619.9-205314,26.1,Fe II,,6.02,,
J100310.2-203704,12.0,Mg I,,6.61,,
J100310.2-203704,14.0,Si I,,6.57,,
J100310.2-203704,20.0,Ca I,,5.4,,
J100310.2-203704,22.0,Ti I,,3.93,,
J100310.2-203704,22.1,Ti II,,3.99,,
J100310.2-203704,26.0,Fe I,,6.25,,
J100310.2-203704,26.1,Fe II,,6.25,,
J100334.4-170612,12.0,Mg I,,7.18,,
J100334.4-170612,14.0,Si I,,7.23,,
J100334.4-170612,20.0,Ca I,,6.0,,
J100334.4-170612,22.0,Ti I,,4.68,,
J100334.4-170612,22.1,Ti II,,4.64,,
J100334.4-170612,26.0,Fe I,,6.96,,
J100334.4-170612,26.1,Fe II,,6.96,,
J100603.1-114029,12.0,Mg I,,6.96,,
J100603.1-114029,14.0,Si I,,6.95,,
J100603.1-114029,20.0,Ca I,,5.64,,
J100603.1-114029,22.0,Ti I,,4.24,,
J100603.1-114029,22.1,Ti II,,4.27,,
J100603.1-114029,26.0,Fe I,,6.49,,
J100603.1-114029,26.1,Fe II,,6.49,,
J101915.7-192446,12.0,Mg I,,6.85,,
J101915.7-192446,14.0,Si I,,6.73,,
J101915.7-192446,20.0,Ca I,,5.44,,
J101915.7-192446,22.0,Ti I,,4.0,,
J101915.7-192446,22.1,Ti II,,4.14,,
J101915.7-192446,26.0,Fe I,,6.24,,
J101915.7-192446,26.1,Fe II,,6.24,,
J102436.9-063029,12.0,Mg I,,6.82,,
J102436.9-063029,14.0,Si I,,6.7,,
J102436.9-063029,20.0,Ca I,,5.47,,
J102436.9-063029,22.0,Ti I,,4.0,,
J102436.9-063029,22.1,Ti II,,4.16,,
J102436.9-063029,26.0,Fe I,,6.3,,
J102436.9-063029,26.1,Fe II,,6.3,,
J102818.1-280723,12.0,Mg I,,6.35,,
J102818.1-280723,14.0,Si I,,6.38,,
J102818.1-280723,20.0,Ca I,,5.13,,
J102818.1-280723,22.0,Ti I,,3.56,,
J102818.1-280723,22.1,Ti II,,3.81,,
J102818.1-280723,26.0,Fe I,,5.94,,
J102818.1-280723,26.1,Fe II,,5.94,,
J103742.2-104232,12.0,Mg I,,6.7,,
J103742.2-104232,14.0,Si I,,6.52,,
J103742.2-104232,20.0,Ca I,,5.17,,
J103742.2-104232,22.0,Ti I,,3.69,,
J103742.2-104232,22.1,Ti II,,3.91,,
J103742.2-104232,26.0,Fe I,,6.1,,
J103742.2-104232,26.1,Fe II,,6.1,,
J103748.8-350618,12.0,Mg I,,6.0,,
J103748.8-350618,14.0,Si I,,6.02,,
J103748.8-350618,20.0,Ca I,,4.73,,
J103748.8-350618,22.0,Ti I,,3.29,,
J103748.8-350618,22.1,Ti II,,3.44,,
J103748.8-350618,26.0,Fe I,,5.64,,
J103748.8-350618,26.1,Fe II,,5.64,,
J104034.8-112021,12.0,Mg I,,6.71,,
J104034.8-112021,14.0,Si I,,6.7,,
J104034.8-112021,20.0,Ca I,,5.43,,
J104034.8-112021,22.0,Ti I,,3.95,,
J104034.8-112021,22.1,Ti II,,4.19,,
J104034.8-112021,26.0,Fe I,,6.49,,
J104034.8-112021,26.1,Fe II,,6.49,,
