Name,Name2,<[Fe/H]>,<O>,<Na>,<Mg>,<Si>,<Ca>,<Sc>,<Ti>,<V>,<Cr>,<Mn>,<FeII>,<Co>,<Ni>,<Cu>,<Ba>,<La>,<Nd>,<Eu>,e_<[Fe/H]>,e_<O>,e_<Na>,e_<Mg>,e_<Si>,e_<Ca>,e_<Sc>,e_<Ti>,e_<V>,e_<Cr>,e_<Mn>,e_<FeII>,e_<Co>,e_<Ni>,e_<Cu>,e_<Ba>,e_<La>,e_<Nd>,e_<Eu>
CC09225,Car-769,-1.65,0.56,-0.19,0.38,0.28,0.1,0.15,0.34,0.1,-0.21,-0.26,0.25,0.08,0.03,,0.16,0.76,0.23,,0.1,0.16,0.14,0.06,0.16,0.05,0.1,0.07,0.13,0.09,0.08,0.12,0.19,0.05,,0.09,0.15,0.15,
CC12039,Car-1013,-1.56,0.5,-0.17,0.18,0.22,-0.02,0.08,0.23,-0.01,0.08,-0.36,0.15,0.14,-0.08,,0.11,,0.4,0.54,0.09,0.21,0.16,0.06,0.17,0.04,0.1,0.07,0.11,0.04,0.06,0.12,0.35,0.05,,0.08,,0.35,0.17
MKV0698,,-1.3,,,0.12,,0.03,,0.05,,0.11,-0.28,0.17,,,,,,,,0.15,,,0.21,,0.06,,0.07,,0.21,0.07,0.17,,,,,,,
CC10686,MKV0900,-1.63,0.56,-0.21,0.33,0.24,0.07,0.13,0.18,-0.29,-0.14,-0.44,0.22,0.07,-0.05,-0.64,0.27,0.38,,0.44,0.1,0.21,0.19,0.11,0.21,0.03,0.14,0.06,0.15,0.07,0.06,0.13,0.19,0.06,0.19,0.1,0.15,,0.21
CC10802,,-1.27,,-0.5,-0.05,0.45,0.13,-0.09,0.41,-0.16,0.09,-0.3,0.42,0.42,-0.11,,0.19,,,,0.14,,0.24,0.43,0.25,0.13,0.13,0.21,0.11,0.2,0.22,0.2,0.23,0.17,,0.25,,,
MKV0740,,-0.97,,,-0.81,,-0.58,,0.25,,-0.56,-0.34,0.42,,,,,,,,0.15,,,0.23,,0.22,,0.11,,0.23,0.23,0.16,,,,,,,
MKV1061,,-1.37,,,0.52,,0.13,,0.27,,-0.07,,0.28,,,,,,,,0.15,,,0.27,,0.27,,0.07,,0.27,,0.18,,,,,,,
CC08695,M12,-1.32,0.34,-0.36,0.16,0.22,0.03,-0.01,0.09,-0.19,-0.18,-0.45,0.22,-0.27,-0.17,-0.69,0.22,0.3,0.18,0.39,0.1,0.15,0.12,0.1,0.14,0.04,0.11,0.06,0.16,0.1,0.06,0.12,0.21,0.08,0.13,0.07,0.13,0.13,0.14
MKV0948,,-1.95,,,,,-0.16,,0.28,,-0.32,,0.21,,,,0.48,,,,0.15,,,,,0.2,,0.22,,0.21,,0.24,,,,0.1,,,
CC06122,Car-484,-1.46,0.41,-0.27,0.2,0.21,0.07,0.11,0.2,-0.07,-0.03,-0.35,0.11,-0.03,-0.07,-0.63,0.4,0.5,0.67,0.51,0.1,0.15,0.14,0.09,0.22,0.03,0.1,0.05,0.08,0.07,0.05,0.11,0.19,0.06,0.19,0.12,0.08,0.2,0.22
CC07889,MKV0652,-2.3,,,0.49,,0.1,0.12,0.53,,-0.46,,0.37,,0.43,,-0.79,,,,0.1,,,0.17,,0.08,0.24,0.14,,0.13,,0.21,,0.23,,0.12,,,
MKV1007,,-1.43,,,0.37,,0.19,,0.28,,0.18,-0.34,0.1,,,,0.22,0.74,,,0.15,,,0.3,,0.07,,0.12,,0.3,0.11,0.15,,,,0.32,0.32,,
MKV0577,,-1.61,,,-0.13,,0.5,,0.53,,-0.07,,0.77,,,,0.13,,,,0.15,,,0.29,,0.29,,0.22,,0.29,,0.33,,,,0.31,,,
MKV0743,,-0.64,,,-0.84,,-0.5,,0.28,,-0.31,-0.51,0.44,,,,,,,,0.15,,,0.25,,0.25,,0.14,,0.25,0.26,0.34,,,,,,,
CC06486,MKV0514,-2.07,,0.19,0.19,,0.09,0.14,0.15,,-0.15,-0.4,0.41,,0.08,,-0.88,,,,0.11,,0.28,0.11,,0.06,0.29,0.14,,0.11,0.23,0.18,,0.11,,0.1,,,
M10,,-1.99,0.39,,0.01,,-0.1,0.27,0.03,,-0.11,-0.44,0.29,,,,0.43,0.7,0.81,1.17,0.14,0.2,,0.09,,0.05,0.19,0.1,,0.16,0.07,0.16,,,,0.11,0.12,0.17,0.2
CC10414,,-1.35,0.57,-0.76,0.1,0.29,0.12,0.0,0.07,-0.04,-0.22,-0.32,0.11,,-0.13,-0.32,-0.26,0.34,0.36,0.62,0.14,0.26,0.24,0.25,0.14,0.07,0.18,0.07,0.34,0.18,0.15,0.17,,0.09,0.23,0.21,0.25,0.24,0.25
M4,,-1.49,0.43,-0.31,0.2,0.11,0.04,-0.22,0.15,,0.07,-0.36,0.07,,-0.04,-0.64,0.16,0.35,0.42,0.39,0.14,0.19,0.16,0.17,0.18,0.04,0.18,0.08,,0.15,0.07,0.16,,0.15,0.17,0.11,0.11,0.17,0.19
CC08615,,-1.73,0.55,-0.06,0.52,0.56,0.18,0.05,0.25,,-0.19,,0.38,,0.14,,0.26,0.64,,,0.11,0.24,0.23,0.24,0.24,0.05,0.24,0.18,,0.04,,0.16,,0.15,,0.33,0.24,,
CC08788,,-1.48,,-0.13,0.26,0.06,0.14,0.36,0.08,0.39,-0.19,0.01,0.33,,0.01,,0.04,,,0.8,0.13,,0.24,0.14,0.24,0.07,0.21,0.1,0.29,0.07,0.11,0.17,,0.13,,0.13,,,0.25
CC09633,Car-5070,-2.24,,,-0.17,,0.01,0.39,0.03,,-0.47,0.21,0.48,,0.04,,-0.91,,,,0.11,,,0.17,,0.07,0.13,0.14,,0.03,0.24,0.14,,0.14,,0.18,,,
CC09507,,-1.72,,,-0.12,,-0.11,-0.08,-0.14,0.51,0.17,0.24,0.2,,-0.27,,0.51,0.72,0.31,,0.12,,,0.07,,0.06,0.19,0.24,0.23,0.13,0.23,0.16,,0.1,,0.13,0.24,0.24,
CC09000,M3,-1.81,0.43,,-0.31,,-0.22,-0.31,0.08,-0.18,-0.14,-0.46,0.4,,-0.21,,0.31,0.41,0.56,0.85,0.1,0.19,,0.05,,0.03,0.12,0.06,0.33,0.08,0.05,0.11,,0.06,,0.08,0.1,0.12,0.14
CC09929,,-1.5,0.76,-0.39,0.16,0.21,0.24,0.2,0.21,0.16,0.0,-0.32,0.29,,0.03,,0.4,0.73,,0.85,0.15,0.26,0.24,0.08,0.26,0.08,0.22,0.17,0.11,0.1,0.16,0.19,,0.1,,0.14,0.12,,0.26
CC10318,M2,-1.53,0.58,-0.46,0.15,0.22,0.06,0.26,0.26,-0.31,-0.06,-0.36,0.13,0.03,-0.07,,0.23,0.35,0.31,0.26,0.1,0.15,0.17,0.05,0.12,0.04,0.11,0.07,0.21,0.09,0.06,0.12,0.13,0.07,,0.12,0.11,0.13,0.2
MKV0458,,-1.47,,,0.07,,0.33,,0.32,,-0.17,-0.48,0.4,,0.47,,0.27,,,,0.15,,,0.24,,0.31,,0.07,,0.24,0.24,0.16,,0.24,,0.12,,,
MKV0397,,-2.02,,,,,0.44,,0.21,,-0.62,,0.24,,,,-0.88,,,,0.15,,,,,0.26,,0.12,,0.26,,0.17,,,,0.28,,,
CC10038,MKV0840,-1.25,0.54,-0.29,0.29,0.33,0.01,0.02,0.14,-0.15,-0.03,-0.61,0.12,-0.04,-0.2,,-0.01,0.57,,,0.11,0.23,0.21,0.15,0.18,0.06,0.09,0.09,0.12,0.08,0.06,0.12,0.21,0.08,,0.09,0.21,,
CC09430,,-2.13,,,0.75,,0.14,0.38,0.37,,-0.28,0.44,0.37,,-0.03,,-0.13,,,,0.15,,,0.22,,0.09,0.12,0.21,,0.07,0.09,0.24,,0.07,,0.12,,,
MKV0916,,-1.37,,,0.08,,0.5,,0.85,,-0.05,,0.68,,,,0.37,,,,0.15,,,0.26,,0.26,,0.43,,0.26,,0.16,,,,0.28,,,
CC06975,,-1.84,,,0.27,,0.14,0.39,0.17,,-0.03,-0.13,0.55,,0.1,,0.39,,0.41,,0.14,,,0.05,,0.06,0.4,0.18,,0.09,0.23,0.34,,0.15,,0.12,,0.24,
CC08469,Car-705,-1.43,0.29,-0.29,0.0,0.42,0.04,0.09,0.13,-0.04,-0.25,-0.35,0.23,,-0.07,-0.56,0.03,0.24,0.26,,0.1,0.18,0.16,0.07,0.16,0.03,0.09,0.06,0.09,0.14,0.07,0.13,,0.04,0.24,0.1,0.14,0.23,
MKV0729,,-1.17,,,0.52,,0.31,,0.27,,0.52,-0.31,0.24,,0.51,,0.12,,,,0.15,,,0.22,,0.12,,0.13,,0.22,0.12,0.23,,0.22,,0.23,,,
MKV0556,,-1.17,,,0.49,,0.03,,0.73,,0.27,,0.92,,,,0.42,,,,0.15,,,0.21,,0.09,,0.22,,0.14,,0.29,,,,0.22,,,
MKV0733,,-1.55,,,-0.08,,-0.06,,0.28,,-0.38,0.13,0.66,,,,0.05,,,,0.15,,,0.25,,0.19,,0.26,,0.25,0.25,0.21,,,,0.26,,,
MKV0614,,-1.55,,,0.03,,,,0.27,,-0.47,,0.28,,,,0.09,,,,0.15,,,0.18,,,,0.14,,0.18,,0.23,,,,0.21,,,
MKV0708,,-1.51,,,0.32,,,,0.65,,-0.08,,0.27,,,,,,,,0.16,,,0.25,,,,0.27,,0.25,,0.21,,,,,,,
