Name,Ion,Z,l_logepsX,logepsX,e_logepsX_stat,e_logepsX,Reference
HD 108317,Ir I,77,,-0.07,0.32,0.34,Roederer+2012d
# HD 108317, Pt I , 78,          , -0.46  ,           0.14,      0.19, Roederer+2012d
HD 108317,Au I,79,,-1.64,0.27,0.30,Roederer+2012d
HD 108317,Pb I,82,<,-0.26,,,Roederer+2012d
# HD 108317, Bi I , 83, <        , +1.04  ,               ,          , Roederer+2012d
HD 108317,Th II,90,,-1.99,0.13,0.21,Roederer+2012d
HD 128279,Fe I,26,,+5.02,0.09,0.15,Roederer+2012d
HD 128279,Fe II,26,,+5.04,0.14,0.22,Roederer+2012d
HD 128279,Cu I,29,,+0.79,0.11,0.16,Roederer+2012d
HD 128279,Zn I,30,,+2.18,0.08,0.15,Roederer+2012d
# HD 128279, Ge I , 32,          , -0.03  ,           0.25,      0.28, Roederer+2012d
HD 128279,Rb I,37,<,+1.60,,,Roederer+2012d
HD 128279,Sr II,38,,-0.18,0.09,0.19,Roederer+2012d
HD 128279,Y II,39,,-0.89,0.13,0.21,Roederer+2012d
HD 128279,Zr II,40,,+0.00,0.11,0.20,Roederer+2012d
HD 128279,Nb II,41,,-0.88,0.21,0.27,Roederer+2012d
HD 128279,Mo I,42,,-0.67,0.13,0.18,Roederer+2012d
# HD 128279, Mo II, 42, <        , +0.11  ,               ,          , Roederer+2012d
HD 128279,Ru I,44,,-0.63,0.15,0.19,Roederer+2012d
HD 128279,Rh I,45,<,-0.61,,,Roederer+2012d
HD 128279,Pd I,46,,-1.24,0.24,0.27,Roederer+2012d
HD 128279,Ag I,47,<,-1.11,,,Roederer+2012d
# HD 128279, Cd I , 48,          , -1.38  ,           0.27,      0.30, Roederer+2012d
HD 128279,Sn I,50,,,,,Roederer+2012d
# HD 128279, Te I , 52,          , -0.18  ,           0.22,      0.25, Roederer+2012d
HD 128279,Ba II,56,,-1.03,0.08,0.18,Roederer+2012d
HD 128279,La II,57,,-1.64,0.10,0.19,Roederer+2012d
HD 128279,Ce II,58,,-1.15,0.08,0.18,Roederer+2012d
HD 128279,Pr II,59,,,,,Roederer+2012d
HD 128279,Nd II,60,,-1.23,0.06,0.18,Roederer+2012d
HD 128279,Sm II,62,,-1.50,0.18,0.24,Roederer+2012d
HD 128279,Eu II,63,,-1.96,0.06,0.18,Roederer+2012d
HD 128279,Gd II,64,,,,,Roederer+2012d
HD 128279,Tb II,65,,,,,Roederer+2012d
HD 128279,Dy II,66,,-1.35,0.11,0.20,Roederer+2012d
HD 128279,Ho II,67,,-1.71,0.24,0.29,Roederer+2012d
HD 128279,Er II,68,,-1.54,0.09,0.19,Roederer+2012d
HD 128279,Tm II,69,,-2.24,0.13,0.21,Roederer+2012d
# HD 128279, Yb II, 70,          , -1.69  ,           0.13,      0.21, Roederer+2012d
HD 128279,Lu II,71,,-1.64,0.21,0.27,Roederer+2012d
HD 128279,Hf II,72,,-1.07,0.21,0.27,Roederer+2012d
HD 128279,Os I,76,<,-0.39,,,Roederer+2012d
# HD 128279, Os II, 76, <        , -1.19  ,               ,          , Roederer+2012d
HD 128279,Ir I,77,<,-0.29,,,Roederer+2012d
# HD 128279, Pt I , 78, <        , -1.19  ,               ,          , Roederer+2012d
HD 128279,Au I,79,<,-0.49,,,Roederer+2012d
HD 128279,Pb I,82,<,-0.09,,,Roederer+2012d
# HD 128279, Bi I , 83, <        , +0.91  ,               ,          , Roederer+2012d
HD 128279,Th II,90,,,,,Roederer+2012d


