Found, DEC_input   , RA_input   , Query_ID   , MAIN_ID                , RA           , DEC          , RA_PREC, DEC_PREC, COO_ERR_MAJA, COO_ERR_MINA, COO_ERR_ANGLE, COO_QUAL, COO_WAVELENGTH, COO_BIBCODE        , FLUX_U, FLUX_B, FLUX_V, FLUX_R, FLUX_I, FLUX_J, FLUX_H, FLUX_K, OTYPE     , SP_TYPE, RA_2         , DEC_2        , PMRA  , PMDEC  , PLX_VALUE, RV_VALUE, SCRIPT_NUMBER_ID
True , -34:47:01.00, 02:38:52.93, Fnx-mem0631, [LDH2014] Fnx-mem0631  , 02 38 52.9645, -34 47 01.407,      14,       14,       0.0449,       0.0598,            90, A       , O             , 2020yCat.1350....0G,       , 19.677, 18.14 ,       , 16.73 , 15.74 , 14.939, 14.792, Star      ,        , 02 38 52.9645, -34 47 01.407, 0.41  , -0.484 ,          ,  44.4184,                1
True , -34:47:15.70, 02:37:55.85, Fnx-mem0633, 2MASS J02375588-3447160, 02 37 55.8848, -34 47 16.038,      14,       14,       0.0518,       0.0662,            90, A       , O             , 2020yCat.1350....0G,       , 20.157, 18.41 ,       , 16.78 , 15.63 , 14.93 , 14.702, ChemPec*  ,        , 02 37 55.8848, -34 47 16.038, 0.33  , -0.278 ,    0.1334,  30.6443,                1
True , -34:47:20.70, 02:38:55.48, Fnx-mem0634, [LDH2014] Fnx-mem0634  , 02 38 55.5159, -34 47 21.150,      14,       14,       0.0635,       0.0831,            90, A       , O             , 2020yCat.1350....0G,       , 20.238, 18.63 ,       , 17.2  , 16.037, 15.308, 15.038, Star      ,        , 02 38 55.5159, -34 47 21.150, 0.319 , -0.23  ,    0.021 ,  50.3   ,                1
True , -34:47:40.00, 02:38:42.14, Fnx-mem0638, DK  9                  , 02 38 42.1786, -34 47 40.480,      14,       14,       0.0568,       0.0737,            90, A       , O             , 2020yCat.1350....0G,       , 20.125, 18.415,       , 16.791, 15.658, 14.734, 14.744, AGB*      ,        , 02 38 42.1786, -34 47 40.480, 0.39  , -0.252 ,    0.1772,  35.2   ,                1
True , -34:48:37.20, 02:37:24.24, Fnx-mem0647, 2MASS J02372424-3448367, 02 37 24.2653, -34 48 37.345,      14,       14,       0.0591,       0.077 ,            90, A       , O             , 2020yCat.1350....0G,       , 20.007, 18.54 ,       , 17.13 , 16.214, 15.603, 15.516, RGB*      ,        , 02 37 24.2653, -34 48 37.345, 0.316 , -0.166 ,          ,  67.1   ,                1
True , -34:49:04.40, 02:37:22.52, Fnx-mem0654, [LDH2014] Fnx-mem0654  , 02 37 22.5410, -34 49 04.573,      14,       14,       0.0626,       0.0864,            90, A       , O             , 2020yCat.1350....0G,       , 19.949, 18.67 ,       , 17.29 , 16.329, 15.753, 15.636, RGB*      ,        , 02 37 22.5410, -34 49 04.573, 0.223 , -0.282 ,          ,  46.4   ,                1
True , -34:49:53.10, 02:38:17.87, Fnx-mem0664, 2MASS J02381791-3449535, 02 38 17.9045, -34 49 53.472,      14,       14,       0.0644,       0.0842,            90, A       , O             , 2020yCat.1350....0G,       , 19.859, 18.63 ,       , 17.37 , 16.245, 15.627, 15.736, RGB*      ,        , 02 38 17.9045, -34 49 53.472, 0.404 , -0.545 ,    0.2532,  23.9   ,                1
True , -34:50:25.00, 02:37:55.73, Fnx-mem0675, [LDH2014] Fnx-mem0675  , 02 37 55.7611, -34 50 25.259,      14,       14,       0.0616,       0.0793,            90, A       , O             , 2020yCat.1350....0G,       ,       , 18.756,       , 17.354, 16.237, 15.538, 15.396, Star      ,        , 02 37 55.7611, -34 50 25.259, 0.365 , -0.376 ,          ,  66.2   ,                1
True , -34:50:55.90, 02:38:42.95, Fnx-mem0678, [LDH2014] Fnx-mem0678  , 02 38 42.9886, -34 50 56.333,      14,       14,       0.0587,       0.0754,            90, A       , O             , 2020yCat.1350....0G,       , 20.316, 18.62 ,       , 17.07 , 16.081, 15.332, 15.021, Star      ,        , 02 38 42.9886, -34 50 56.333, 0.38  , -0.482 ,          ,  73.5854,                1
True , -34:51:06.70, 02:38:09.02, Fnx-mem0682, DK  4                  , 02 38 09.0567, -34 51 07.095,      14,       14,       0.0564,       0.0721,            90, A       , O             , 2020yCat.1350....0G,       , 20.268, 18.5  ,       , 16.92 , 15.73 , 15.11 , 15.01 , AGB*      ,        , 02 38 09.0567, -34 51 07.095, 0.437 , -0.606 ,    0.0501,  56.3322,                1
