Name,Species,lambda,chi,loggf,l_EW,EW,l_logepsX,logepsX
Seg 1-7,Fe I,6137.692,2.59,-1.40,,15,,4.29
Seg 1-7,Fe I,6393.601,2.43,-1.58,,11,,4.11
Seg 1-7,Fe II,4233.172,2.58,-1.90,,25,,3.79
Seg 1-7,Fe II,4923.927,2.89,-1.50,,40,,4.04
Seg 1-7,Co I,3845.461,0.92,0.01,,61,,2.12
Seg 1-7,Co I,3995.302,0.92,-0.22,,27,,1.51
Seg 1-7,Co I,4118.767,1.05,-0.49,,25,,1.90
Seg 1-7,Co I,4121.311,0.92,-0.32,,23,,1.54
Seg 1-7,Ni I,3858.292,0.42,-0.97,,50,,2.16
Seg 1-7,Sr II,4077.710,0.00,0.16,,37,,-2.18
Seg 1-7,Sr II,4215.520,0.00,-0.16,,40,,-1.81
Seg 1-7,Ba II,4934.076,0.00,-0.15,<,10,<,-2.31
Seg 1-7,Eu II,4129.725,0.00,0.20,<,10,<,-2.20
