Found,DEC_input,RA_input,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,-50:53:18.10,06:42:01.12,MKV0598,[WMO2009] Car-1506,06 42 01.5132,-50 53 19.312,14,14,0.1255,0.1346,90,A,O,2020yCat.1350....0G,,20.009,19.065,,17.901,,,,RGB*_Candidate,,06 42 01.5132,-50 53 19.312,0.58,0.231,,220.0,1
True,-50:53:28.20,06:41:47.66,MKV0605,[LHT2012] MKV0605,06 41 47.66,-50 53 28.2,6,6,,,0,D,O,2012A&A...538A.100L,,17.72,16.744,,15.558,14.812,14.259,14.18,Star,,06 41 47.66,-50 53 28.2,,,,4.6,1
True,-50:53:28.60,06:41:05.46,MKV0606,[FBN2016] 72973,06 41 05.4839,-50 53 28.849,14,14,0.1378,0.1454,90,A,O,2020yCat.1350....0G,,19.963,19.037,,17.86,17.067,16.633,16.505,RGB*_Candidate,,06 41 05.4839,-50 53 28.849,1.129,0.304,0.0692,222.1,1
True,-50:53:28.80,06:42:26.10,MKV0608,[MOP2000] C170814,06 42 26.1217,-50 53 29.029,14,14,0.0621,0.0614,90,A,O,2020yCat.1350....0G,,19.077,18.006,,16.642,15.757,15.301,14.805,Star,,06 42 26.1217,-50 53 29.029,-2.379,2.441,0.8158,1.6,1
True,-50:53:37.60,06:42:37.95,MKV0614,[WMO2009] Car-0074,06 42 37.9771,-50 53 37.832,14,14,0.0992,0.1035,90,A,O,2020yCat.1350....0G,,19.754,18.753,,17.551,16.663,16.206,15.485,RGB*,,06 42 37.9771,-50 53 37.832,0.519,-0.012,0.0199,227.7,1
True,-50:54:07.60,06:40:35.37,MKV0628,[MOP2000] C130377,06 40 35.3656,-50 54 07.562,14,14,0.0785,0.0775,90,A,O,2020yCat.1350....0G,,19.425,18.262,,16.941,16.094,15.614,15.296,RGB*,,06 40 35.3656,-50 54 07.562,0.512,0.199,,220.7,1
True,-50:54:09.90,06:42:26.76,MKV0630,[LHT2012] MKV0630,06 42 26.76,-50 54 09.9,6,6,,,0,D,O,2012A&A...538A.100L,,19.094,18.214,,17.109,,,,Star,,06 42 26.76,-50 54 09.9,,,,46.8,1
True,-50:54:20.00,06:41:12.83,MKV0635,[MOP2000] C130838,06 41 12.8338,-50 54 19.952,14,14,0.1822,0.1808,90,A,O,2020yCat.1350....0G,,20.307,19.407,,18.299,17.573,17.085,16.851,RGB*_Candidate,,06 41 12.8338,-50 54 19.952,0.506,0.066,0.1481,215.2,1
True,-50:54:29.20,06:40:40.82,MKV0640,[WMO2009] Car-0212,06 40 40.8320,-50 54 29.126,14,14,0.0846,0.0877,90,A,O,2020yCat.1350....0G,,19.527,18.33,,17.057,16.089,15.385,15.763,RGB*,,06 40 40.8320,-50 54 29.126,0.559,0.215,0.0046,223.4,1
True,-50:54:29.30,06:42:38.89,MKV0641,[MOP2000] C171003,06 42 38.9139,-50 54 29.536,14,14,0.0735,0.0695,90,A,O,2020yCat.1350....0G,,19.501,18.236,,16.621,15.519,14.95,14.873,Star,,06 42 38.9139,-50 54 29.536,0.557,-3.416,0.6309,54.7,1
True,-50:54:39.10,06:40:11.30,MKV0647,[LHT2012] MKV0647,06 40 11.30,-50 54 39.1,6,6,,,0,D,O,2012A&A...538A.100L,,20.264,19.012,,17.419,,,,Star,,06 40 11.30,-50 54 39.1,,,,81.2,1
True,-50:54:45.80,06:41:40.82,MKV0652,[WMO2009] Car-1404,06 41 40.8266,-50 54 45.651,14,14,0.1033,0.0961,90,A,O,2020yCat.1350....0G,,19.592,18.559,,17.337,16.527,15.866,15.848,RGB*,,06 41 40.8266,-50 54 45.651,0.522,-0.007,0.047,236.29,1
True,-50:55:14.20,06:42:09.36,MKV0668,[WMO2009] Car-0142,06 42 09.3624,-50 55 14.042,14,14,0.1497,0.1491,90,A,O,2020yCat.1350....0G,,19.985,19.14,,18.051,17.285,16.697,16.552,RGB*_Candidate,,06 42 09.3624,-50 55 14.042,0.393,0.299,,224.3,1
