JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,M/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7307,1,ROE10c,Roederer+2010c,BD+29 2356,BD+29  2356,,,,MP,,SS,Helmi,RG,13:01:52.440,+29:11:17.880,195.4685,29.1883,,,,12.27,11.5,,,9.646,9.116,9.049,,,-1.59,,,,,,,,,,,,,,,,,,,,,5.91,,,,3.05,,,,,,,0.52,,,,,,,,,,,,-0.47,,,,,-0.69,,,,,,,,,,,,,,,,0.35,,,,,,,,,,Yelland
7308,0,ROE10c,Roederer+2010c,BD+30 2611,BD+30  2611,,,,MP,,SS,Helmi,,15:06:53.832,+30:00:37.080,226.7243,30.0103,,,11.5,10.37,9.13,,,6.882,6.203,6.094,,,-1.5,,,,,,,,,,,,,,,,,,,,,6,,,,2.87,,,,,,,0.41,,,,,,,,,,,,-0.24,,,,,-0.36,,,,,,,,,,,,,,,,0.56,,,,,,,,,,Yelland
7309,1,ROE10c,Roederer+2010c,BD+52 1601,HD 233891,,,,MP,,,,,11:59:59.064,+51:46:17.760,179.9961,51.7716,,,,9.63,8.82,,,7.159,6.694,6.607,,,-1.4,,,,,,,,,,,,,,,,,,,,,6.1,,,,3.35,,,,,,,0.71,,,,,,,,,,,,-0.13,,,,,-0.51,,,,,,,,,,,,,,,,<0.6,,,,,,,,,,Yelland
7310,0,ROE10c,Roederer+2010c,BS 16477-003,BPS BS 16477-0003,,,,EMP,,,,,14:32:56.928,+06:46:06.960,218.2372,6.7686,,,,14.94,14.22,13.727,13.224,12.518,12.093,11.941,,,-3.36,,,,,,,,,,,,,,,,,,,,,4.14,,,,1.42,,,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7311,0,ROE10c,Roederer+2010c,BS 17569-049,BPS BS 17569-0049,,,,VMP,,,,,22:04:58.368,+04:01:32.160,331.2432,4.0256,,,14.503,14.263,13.126,13.122,12.259,11.503,10.92,10.853,,,-2.88,,,,,,,,,,,,,,,,,,,,,4.62,,,,1.95,,,,,,,-0.63,,,,,,,,,,,,-1.4,,,,,-1.64,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7312,1,ROE10c,Roederer+2010c,CD-36 1052,CD-36  1052,,,,MP,,SS,Helmi,HB,02:47:37.440,-36:06:27.000,41.906,-36.1075,,,,10.426,9.982,9.818,9.37,8.849,8.586,8.512,,,-1.79,,,,,,,,,,,,,,,,,,,,,5.71,,,,2.88,,,,,,,0.34,,,,,,,,,,,,-0.4,,,,,-0.82,,,,,,,,,,,,,,,,<2.47,,,,,,,,,,Yelland
7313,0,ROE10c,Roederer+2010c,CD-38 0245,CD-38   245,,,,UMP,,,,,00:46:36.192,-37:39:33.480,11.6508,-37.6593,,,,12.733,11.929,13.39,10.996,10.279,9.762,9.648,,,-4.19,,,,,,,,,,,,,,,,,,,,,3.31,,,,1.1,,,,,,,-2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7314,0,ROE10c,Roederer+2010c,CS 22169-035,HE 0409-1212,,,,EMP,,,,,04:12:13.872,-12:05:04.920,63.0578,-12.0847,,,,13.843,12.897,,11.764,11.002,10.48,10.353,,,-3.04,,,,,,,,,,,,,,,,,,,,,4.46,,,,1.66,,,,,,,-1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7315,0,ROE10c,Roederer+2010c,CS 22172-002,2MASS J03142084-1035112,,,,EMP,,,,,03:14:20.856,-10:35:11.400,48.5869,-10.5865,,,,13.54,12.73,12.204,11.693,10.898,10.431,10.32,,,-3.86,,,,,,,,,,,,,,,,,,,,,3.64,,,,1.23,,,,,,,-2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7316,0,ROE10c,Roederer+2010c,CS 22186-025,BPS CS 22186-0025,,,,EMP,,,,,04:24:32.808,-37:09:02.520,66.1367,-37.1507,,,,14.99,14.24,13.74,13.269,12.568,12.066,12.032,,,-3.0,,,,,,,,,,,,,,,,,,,,,4.5,,,,1.92,,,,,,,-1.1,,,,,,,,,,,,-1.71,,,,,-1.94,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7317,0,ROE10c,Roederer+2010c,CS 22189-009,HE 0239-1340,,,,EMP,,,,,02:41:42.384,-13:28:10.560,40.4266,-13.4696,,,,14.73,13.97,13.566,13.08,12.391,11.895,11.798,,,-3.49,,,,,,,,,,,,,,,,,,,,,4.01,,,,1.57,,,,,,,-2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7318,0,ROE10c,Roederer+2010c,CS 22873-055,UCAC2   5726991,,,,VMP,,,,,19:53:49.776,-59:40:00.120,298.4574,-59.6667,,,,13.592,12.62,,11.48,10.654,10.127,10.006,,,-2.99,,,,,,,,,,,,,,,,,,,,,4.51,,,,1.87,,,,,,,-1.31,,,,,,,,,,,,-2.36,,,,,-2.64,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7319,0,ROE10c,Roederer+2010c,CS 22873-166,BPS CS 22873-0166,,,,VMP,,,,,20:19:22.032,-61:30:15.120,304.8418,-61.5042,,,,12.818,11.802,11.52,10.57,9.832,9.263,9.137,,,-2.97,,,,,,,,,,,,,,,,,,,,,4.53,,,,1.81,,,,,,,-0.89,,,,,,,,,,,,-2.64,,,,,-2.75,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7320,0,ROE10c,Roederer+2010c,CS 22878-101,BPS CS 22878-0101,,,,EMP,,,,,16:45:31.440,+08:14:45.600,251.381,8.246,,,,14.59,13.79,,12.673,11.873,11.369,11.242,,,-3.25,,,,,,,,,,,,,,,,,,,,,4.25,,,,1.75,,,,,,,-1.32,,,,,,,,,,,,-2.57,,,,,-2.79,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7321,0,ROE10c,Roederer+2010c,CS 22891-209,BPS CS 22891-0209,,,,EMP,,,,,19:42:02.184,-61:03:44.640,295.5091,-61.0624,,,,13.03,12.18,,,10.235,9.745,9.623,,,-3.29,,,,,,,,,,,,,,,,,,,,,4.21,,,,1.76,,,,,,,-1.18,,,,,,,,,,,,-2.47,,,,,-2.86,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7322,0,ROE10c,Roederer+2010c,CS 22892-052,BPS CS 22892-0052,,,,EMP,,,,,22:17:01.656,-16:39:27.000,334.2569,-16.6575,,,,14.03,13.2,13.06,12.19,11.492,11.022,10.929,,,-3.1,,,,,,,,,,,,,,,,,,,,,4.4,,,,1.59,,,,,,,-0.42,,,,,,,,,,,,-0.87,,,,,-0.96,,,,,,,,,,,,,,,,<-0.15,,,,,,,,,,Yelland
7323,0,ROE10c,Roederer+2010c,CS 22896-154,UCAC2   7177623,,,,VMP,,,,,19:42:26.904,-56:58:33.960,295.6121,-56.9761,,,,14.27,13.63,,,12.072,11.637,11.54,,,-2.69,,,,,,,,,,,,,,,,,,,,,4.81,,,,2.17,,,,,,,-0.33,,,,,,,,,,,,-1.17,,,,,-1.31,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7324,0,ROE10c,Roederer+2010c,CS 22897-008,BPS CS 22897-0008,,,,EMP,,,,,21:03:11.856,-65:05:08.880,315.7994,-65.0858,,,,14.02,13.33,,,11.596,11.089,11.002,,,-3.41,,,,,,,,,,,,,,,,,,,,,4.09,,,,1.86,,,,,,,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7325,0,ROE10c,Roederer+2010c,CS 22948-066,HE 2141-3741,,,,EMP,,,,RG,21:44:51.168,-37:27:55.080,326.2132,-37.4653,,,,14.1,13.47,,,11.966,11.505,11.441,,,-3.14,,,,,,,,,,,,,,,,,,,,,4.36,,,,1.83,,,,,,,-1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7326,0,ROE10c,Roederer+2010c,CS 22952-015,HE 2334-0604,,,,EMP,,,,RG,23:37:28.680,-05:47:56.760,354.3695,-5.7991,,,,14.03,13.28,12.768,12.249,11.52,10.999,10.916,,,-3.43,,,,,,,,,,,,,,,,,,,,,4.07,,,,1.42,,,,,,,-2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7327,0,ROE10c,Roederer+2010c,CS 22953-003,BPS CS 22953-0003,,,,VMP,,,,,01:02:15.864,-61:43:45.840,15.5661,-61.7294,,,,14.43,13.75,13.339,12.886,12.173,11.726,11.642,,,-2.84,,,,,,,,,,,,,,,,,,,,,4.66,,,,1.91,,,,,,,-0.49,,,,,,,,,,,,-1.08,,,,,-1.27,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7328,0,ROE10c,Roederer+2010c,CS 22956-050,BPS CS 22956-0050,,,,EMP,,,,,21:58:05.832,-65:13:27.120,329.5243,-65.2242,,,,14.95,14.25,13.745,13.211,12.597,12.06,12.018,,,-3.33,,,,,,,,,,,,,,,,,,,,,4.17,,,,1.57,,,,,,,-1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7329,0,ROE10c,Roederer+2010c,CS 22966-057,2MASS J23485776-2939228,,,,VMP,,,,,23:48:57.744,-29:39:22.680,357.2406,-29.6563,,,14.759,,14.3,,13.512,12.992,12.603,12.532,,,-2.62,,,,,,,,,,,,,,,,,,,,,4.88,,,,2.24,,,,,,,-0.67,,,,,,,,,,,,-1.27,,,,,-1.69,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7330,0,ROE10c,Roederer+2010c,CS 22968-014,HE 0305-5442,,,,EMP,,,,,03:06:29.496,-54:30:32.400,46.6229,-54.509,,,,14.44,13.7,13.212,12.715,12.026,11.533,11.467,,,-3.56,,,,,,,,,,,,,,,,,,,,,3.94,,,,1.46,,,,,,,,,,,,,,,,,,,-2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7331,0,ROE10c,Roederer+2010c,CS 29491-053,BPS CS 29491-0053,,,,EMP,,,,,22:36:56.304,-28:31:06.600,339.2346,-28.5185,,,,13.76,12.92,12.38,11.812,11.148,10.624,10.532,,,-3.04,,,,,,,,,,,,,,,,,,,,,4.46,,,,1.83,,,,,,,-1.14,,,,,,,,,,,,,,,,,-2.94,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7332,0,ROE10c,Roederer+2010c,CS 29491-069,BPS CS 29491-0069,,,,VMP,,,,,22:31:02.184,-32:38:36.600,337.7591,-32.6435,,,,13.72,13.1,12.654,12.175,11.604,11.165,11.131,,,-2.6,,,,,,,,,,,,,,,,,,,,,4.9,,,,2.3,,,,,,,-0.17,,,,,,,,,,,,-0.75,,,,,-0.96,,,,,,,,,,,,,,,,<0.35,,,,,,,,,,Yelland
7333,0,ROE10c,Roederer+2010c,CS 29495-041,BPS CS 29495-0041,,,,VMP,,,,,21:36:33.288,-28:18:48.600,324.1387,-28.3135,,,14.111,14.15,13.34,,12.222,11.607,11.116,11.024,,,-2.82,,,,,,,,,,,,,,,,,,,,,4.68,,,,1.93,,,,,,,-1.02,,,,,,,,,,,,-2.17,,,,,-2.39,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7334,0,ROE10c,Roederer+2010c,CS 29497-004,BPS CS 29497-0004,,,,VMP,,,,,00:28:06.912,-26:03:04.320,7.0288,-26.0512,,,,14.76,14.07,13.583,13.116,12.491,12.038,11.965,,,-2.66,,,,,,,,,,,,,,,,,,,,,4.84,,,,2.2,,,,,,,0.3,,,,,,,,,,,,-0.38,,,,,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7335,0,ROE10c,Roederer+2010c,CS 29516-024,2MASS J22261535+0251462,,,,EMP,,,,,22:26:15.360,+02:51:46.440,336.564,2.8629,,,,14.43,13.57,13.011,12.416,11.636,11.061,10.973,,,-3.06,,,,,,,,,,,,,,,,,,,,,4.44,,,,1.74,,,,,,,-1.59,,,,,,,,,,,,-2.57,,,,,-2.79,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7336,0,ROE10c,Roederer+2010c,CS 29518-051,BPS CS 29518-0051,,,,VMP,,,,,01:24:10.008,-28:15:21.240,21.0417,-28.2559,,,13.567,13.62,13.02,12.594,12.162,11.54,11.15,11.032,,,-2.78,,,,,,,,,,,,,,,,,,,,,4.72,,,,2.17,,,,,,,-0.63,,,,,,,,,,,,-2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7337,0,ROE10c,Roederer+2010c,CS 30306-132,BPS CS 30306-0132,,,,VMP,,aDW,Atari,,15:14:18.912,+07:27:02.520,228.5788,7.4507,,,,13.62,12.73,12.421,11.948,11.302,10.853,10.751,,,-2.42,,,,,,,,,,,,,,,,,,,,,5.08,,,,,,,,,,,-0.07,,,,,,,,,,,,-0.78,,,,,-1.02,,,,,,,,,,,,,,,,<0.5,,,,,,,,,,Yelland
7338,0,ROE10c,Roederer+2010c,CS 31078-018,BPS CS 31079-0028,,,,VMP,,aDW,Atari,,03:01:00.696,+06:16:31.800,45.2529,6.2755,,,,13.9,13.211,12.713,12.19,11.496,11.071,10.999,,,-2.84,,,,,,,,,,,,,,,,,,,,,4.66,,,,2.13,,,,,,,-0.43,,,,,,,,,,,,-1,,,,,-1.17,,,,,,,,,,,,,,,,<0.25,,,,,,,,,,Yelland
7339,0,ROE10c,Roederer+2010c,CS 31082-001,BD-16   251,,,,VMP,,,,RG,01:29:31.128,-16:00:45.360,22.3797,-16.0126,,,12.527,12.427,11.642,11.189,10.713,10.053,9.612,9.464,,,-2.9,,,,,,,,,,,,,,,,,,,,,4.6,,,,1.88,,,,,,,-0.23,,,,,,,,,,,,-0.62,,,,,-0.72,,,,,,,,,,,,,,,,-0.55,,,,,,,,,,Yelland
7340,1,ROE10c,Roederer+2010c,G005-001,BD+22   396,,,,MP,,,,,02:48:37.416,+22:35:54.240,42.1559,22.5984,,,,10.68,,9.9,,8.875,8.539,8.501,,,-1.24,,,,,,,,,,,,,,,,,,,,,6.26,,,,3.5,,,,,,,0.73,,,,,,,,,,,,-0.09,,,,,-0.38,,,,,,,,,,,,,,,,<1.35,,,,,,,,,,Yelland
7341,1,ROE10c,Roederer+2010c,G009-036,G  47-12,,,,MP,,,,,08:57:59.256,+24:28:22.440,134.4969,24.4729,,,,12.52,,11.9,,10.745,10.426,10.378,,,-1.17,,,,,,,,,,,,,,,,,,,,,6.33,,,,3.14,,,,,,,0.31,,,,,,,,,,,,0.26,,,,,-0.16,,,,,,,,,,,,,,,,1.25,,,,,,,,,,Yelland
7342,0,ROE10c,Roederer+2010c,G017-025,HD 149414,,,,MP,,,,SB,16:34:42.360,-04:13:44.760,248.6765,-4.2291,,,10.48,10.37,9.63,,,8.055,7.637,7.517,,,-1.54,,,,,,,,,,,,,,,,,,,,,5.96,,,,3.4,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,Yelland
7343,1,ROE10c,Roederer+2010c,G023-014,BD+05  4314,,,,MP,,,,,19:51:49.608,+05:36:46.080,297.9567,5.6128,,,,11.46,,10.8,,9.161,8.731,8.657,,,-1.64,,,,,,,,,,,,,,,,,,,,,5.86,,,,3.05,,,,,,,0.46,,,,,,,,,,,,-0.33,,,,,-0.58,,,,,,,,,,,,,,,,<0.75,,,,,,,,,,Yelland
7344,1,ROE10c,Roederer+2010c,G028-043,BD-00  4470,,,,MP,,,,,23:09:32.952,+00:42:39.600,347.3873,0.711,,,,10.66,,9.6,,8.465,8.054,7.977,,,-1.64,,,,,,,,,,,,,,,,,,,,,5.86,,,,3.03,,,,,,,0.39,,,,,,,,,,,,-0.22,,,,,-0.53,,,,,,,,,,,,,,,,0.69,,,,,,,,,,Yelland
7345,1,ROE10c,Roederer+2010c,G029-025,G  29-25,,,,MP,,,,,23:22:18.168,+12:09:33.480,350.5757,12.1593,,,,11.48,,10.6,,9.474,9.155,9.071,,,-1.09,,,,,,,,,,,,,,,,,,,,,6.41,,,,3.81,,,,,,,1.14,,,,,,,,,,,,0.19,,,,,-0.23,,,,,,,,,,,,,,,,0.8,,,,,,,,,,Yelland
7346,1,ROE10c,Roederer+2010c,G040-008,BD+25  1858,,,,SUN,,,,SB,08:08:54.456,+24:37:26.400,122.2269,24.624,,,,10.33,,9.3,,8.195,7.793,7.72,,,-0.97,,,,,,,,,,,,,,,,,,,,,6.53,,,,3.9,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,Yelland
7347,0,ROE10c,Roederer+2010c,G058-025,HD  94028,,,,MP,,,,,10:51:28.128,+20:16:39.000,162.8672,20.2775,,,8.51,8.69,8.22,7.82,7.54,7.13,6.854,6.832,,,-1.4,,,,,,,,,,,,,,,,,,,,,6.1,,,,3.2,,,,,,,0.76,,,,,,,,,,,,-0.03,,,,,-0.66,,,,,,,,,,,,,,,,1.29,,,,,,,,,,Yelland
7348,1,ROE10c,Roederer+2010c,G059-001,BD+22  2442,,,,SUN,,,,,12:08:54.672,+21:47:19.320,182.2278,21.7887,,,,,,9.0,,8.144,7.788,7.697,,,-0.95,,,,,,,,,,,,,,,,,,,,,6.55,,,,4.04,,,,,,,1.23,,,,,,,,,,,,0.13,,,,,-0.29,,,,,,,,,,,,,,,,1.64,,,,,,,,,,Yelland
7349,0,ROE10c,Roederer+2010c,G063-046,BD+13  2698,,,,SUN,,,,,13:39:59.568,+12:35:21.840,204.9982,12.5894,,,,9.914,9.384,9.355,,8.187,7.9,7.844,,,-0.9,,,,,,,,,,,,,,,,,,,,,6.6,,,,3.86,,,,,,,1.26,,,,,,,,,,,,0.27,,,,,-0.05,,,,,,,,,,,,,,,,<1.65,,,,,,,,,,Yelland
7350,1,ROE10c,Roederer+2010c,G068-003,BD+20  5292,,,,SUN,,,,,23:13:17.160,+20:56:34.080,348.3215,20.9428,,,,,,9.4,,8.199,7.826,7.711,,,-0.76,,,,,,,,,,,,,,,,,,,,,6.74,,,,4.12,,,,,,,1.35,,,,,,,,,,,,0.49,,,,,0.16,,,,,,,,,,,,,,,,1.19,,,,,,,,,,Yelland
7351,0,ROE10c,Roederer+2010c,G074-005,BD+29   366,,,,MP,,,,,02:10:24.528,+29:48:23.760,32.6022,29.8066,,,9.27,9.35,8.77,8.24,7.85,7.572,7.28,7.216,,,-1.05,,,,,,,,,,,,,,,,,,,,,6.45,,,,3.56,,,,,,,0.92,,,,,,,,,,,,0.11,,,,,-0.23,,,,,,,,,,,,,,,,<1.35,,,,,,,,,,Yelland
7352,0,ROE10c,Roederer+2010c,G090-025,HD  64090,,,,MP,,,,,07:53:33.120,+30:36:18.360,118.388,30.6051,,,8.75,8.86,8.25,7.7,7.3,6.956,6.611,6.537,,,-1.78,,,,,,,,,,,,,,,,,,,,,5.72,,,,2.83,,,,,,,0.11,,,,,,,,,,,,-0.51,,,,,-0.97,,,,,,,,,,,,,,,,<0.9,,,,,,,,,,Yelland
7353,0,ROE10c,Roederer+2010c,G095-057A,HD  23439A,,,,MP,,,,SB,03:47:02.112,+41:25:38.280,56.7588,41.4273,,,,8.89,8.12,7.7,,6.618,6.192,6.12,,,-1.22,,,,,,,,,,,,,,,,,,,,,6.28,,,,3.7,,,,,,,1.34,,,,,,,,,,,,0.43,,,,,-0.23,,,,,,,,,,,,,,,,1.14,,,,,,,,,,Yelland
7354,1,ROE10c,Roederer+2010c,G095-057B,HD  23439B,,,,MP,,,,SB,03:47:02.640,+41:25:42.240,56.761,41.4284,,,,11.72,10.96,8.2,,6.949,6.481,6.347,,,-1.06,,,,,,,,,,,,,,,,,,,,,6.44,,,,3.74,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,Yelland
7355,1,ROE10c,Roederer+2010c,G102-020,HD 246132,,,,MP,,,,SB,05:40:09.744,+12:10:41.160,85.0406,12.1781,,,,,,9.8,,8.805,8.407,8.325,,,-1.25,,,,,,,,,,,,,,,,,,,,,6.25,,,,3.47,,,,,,,0.78,,,,,,,,,,,,-0.02,,,,,-0.32,,,,,,,,,,,,,,,,0.79,,,,,,,,,,Yelland
7356,1,ROE10c,Roederer+2010c,G102-027,HD 247297,,,,SUN,,,,,05:45:40.392,+14:41:20.040,86.4183,14.6889,,,,,,8.7,,7.708,7.374,7.281,,,-0.59,,,,,,,,,,,,,,,,,,,,,6.91,,,,4.36,,,,,,,1.62,,,,,,,,,,,,0.69,,,,,0.4,,,,,,,,,,,,,,,,1.64,,,,,,,,,,Yelland
7357,1,ROE10c,Roederer+2010c,G113-022,BD+00  2245,,,,MP,,,,,08:16:57.768,+00:01:03.720,124.2407,0.0177,,,,10.36,9.76,9.55,,8.45,8.104,8.088,,,-1.18,,,,,,,,,,,,,,,,,,,,,6.32,,,,3.64,,,,,,,1.38,,,,,,,,,,,,0.42,,,,,-0.13,,,,,,,,,,,,,,,,1.19,,,,,,,,,,Yelland
7358,0,ROE10c,Roederer+2010c,G122-051,HD 103095,,,,MP,,,,,11:52:58.776,+37:43:07.320,178.2449,37.7187,,,7.38,7.2,6.45,5.8,5.35,4.937,4.5,4.373,,,-1.43,,,,,,,,,,,,,,,,,,,,,6.07,,,,3.26,,,,,,,0.58,,,,,,,,,,,,-0.1,,,,,-0.27,,,,,,,,,,,,,,,,0.34,,,,,,,,,,Yelland
7359,1,ROE10c,Roederer+2010c,G123-009,HD 105861,,,,MP,,,,,12:10:55.368,+44:00:11.880,182.7307,44.0033,,,,,,9.9,,9.193,8.88,8.759,,,-1.25,,,,,,,,,,,,,,,,,,,,,6.25,,,,3.45,,,,,,,1.15,,,,,,,,,,,,0.21,,,,,-0.21,,,,,,,,,,,,,,,,1.13,,,,,,,,,,Yelland
