StarID,Species,lambda,References,EW,logepsX
432,Ce II,546.8372,0.140,H,0.0,0.0
432,Ce II,604.3374,-0.430,H,0.0,0.0
432,Nd II,491.4382,-0.7,HA,4.53,1.14
432,Nd II,495.9119,-0.8,HA,4.17,0.76
432,Nd II,496.1387,-0.710,MC',0.0,0.0
432,Nd II,508.9832,-1.160,MC',0.0,0.0
432,Nd II,529.3162,0.1,HA,3.65,0.63
432,Nd II,543.1515,-0.470,HA,0.0,0.0
432,Nd II,548.5695,-0.120,HA,0.0,0.0
628,O I,630.0304,-9.717,STZ,0.01,8.35
628,Na I,568.2633,-0.7,KP,10.67,5.79
628,Na I,615.4227,-1.560,KP,4.38,5.72
628,Na I,616.0747,-1.260,KP,5.26,5.56
628,Mg I,552.8405,-0.552,GC,21.74,7.
628,Mg I,571.1087,-1.729,GC,12.46,7.12
628,Mg I,631.8716,-1.945,GC,5.04,7.16
628,Mg I,631.9237,-2.165,GC,4.77,7.34
628,Al I,669.8673,-1.647,NBS,0.0,0.0
628,Si I,577.2147,-1.750,GARZ,0.0,0.0
628,Si I,594.8541,-1.230,GARZ,8.42,7.14
628,Si I,612.5021,-1.540,ED,4.10,7.37
628,Si I,614.2482,-1.480,ED,4.54,7.40
628,Si I,614.5015,-1.430,ED,0.0,0.0
628,Si I,615.5134,-0.770,ED,8.26,7.28
628,Ca I,551.2980,-0.447,SR,10.74,5.86
628,Ca I,560.1277,-0.523,SR,0.0,0.0
628,Ca I,585.7451,0.240,SR,15.85,5.99
628,Ca I,586.7562,-1.490,GC,3.86,5.77
628,Ca I,612.2217,-0.315,NIST,0.0,0.0
628,Ca I,615.6022,-2.180,NIST,0.0,0.0
628,Ca I,616.1296,-1.266,SR,0.0,0.0
628,Ca I,616.2174,0.1,NBS,0.0,0.0
628,Ca I,616.6438,-1.142,SR,10.81,6.03
628,Ca I,616.9042,-0.797,SR,13.05,6.08
628,Ca I,616.9562,-0.270,NBS,0.0,0.0
628,Ca I,643.9075,0.390,SR,18.30,5.74
628,Ca I,645.5597,-1.290,SR,8.98,5.84
628,Ca I,649.3781,-0.109,SR,15.17,5.74
628,Ca I,649.9650,-0.818,SR,10.77,5.67
628,Ca I,650.8850,-2.110,NBS,2.48,5.61
628,Ca I,679.8479,-2.320,K88,0.0,0.0
628,Sc II,552.6790,0.130,MFW,9.87,2.19
628,Sc II,632.0852,-1.770,NBS,0.0,0.0
628,Ti I,488.5078,0.358,MFW,10.22,4.38
628,Ti I,491.5229,-1.019,MFW,3.98,4.65
628,Ti I,499.7097,-2.118,MFW,9.23,4.21
628,Ti I,508.7058,-0.780,MFW,7.95,4.47
628,Ti I,586.6450,-0.840,MFW,10.31,4.35
628,Ti I,612.6215,-1.425,MFW,8.28,4.57
628,V I,573.7059,-0.740,MFW,5.48,3.49
628,V I,613.5361,-0.746,MFW,3.49,3.14
628,V I,615.0157,-1.780,MFW,4.87,3.43
628,Cr II,488.4607,-2.080,MFW,0.0,0.0
628,Mn I,511.7900,-1.140,MFW,0.02,4.83
628,Fe I,489.2859,-1.290,FMW,8.28,7.22
628,Fe I,506.7151,-0.970,FMW,10.54,7.34
628,Fe I,510.4438,-1.690,FMW,0.0,0.0
628,Fe I,510.9652,-0.980,FMW,9.90,7.29
628,Fe I,552.5545,-1.330,FMW,7.17,7.01
628,Fe I,585.5076,-1.760,FMW,4.43,7.42
628,Fe I,585.6087,-1.640,FMW,6.16,7.21
628,Fe I,585.8779,-2.260,FMW,2.56,7.10
628,Fe I,586.1109,-2.450,FMW,0.0,0.0
628,Fe I,587.7794,-2.230,FMW,4.49,7.38
628,Fe I,588.3817,-1.360,FMW,10.41,7.28
628,Fe I,615.1616,-3.299,FMW,0.0,0.0
628,Fe I,616.5360,-1.550,FMW,0.0,0.0
628,Fe I,618.7990,-1.720,FMW,0.0,0.0
