StarID,Species,lambda,References,EW,logepsX
709,Nd II,543.1515,-0.470,HA,3.85,1.96
709,Nd II,548.5695,-0.120,HA,4.42,1.91
716,O I,630.0304,-9.717,STZ,0.01,8.54
716,Na I,568.2633,-0.7,KP,11.18,5.94
716,Na I,615.4227,-1.560,KP,2.47,5.44
716,Na I,616.0747,-1.260,KP,5.77,5.69
716,Mg I,552.8405,-0.552,GC,21.90,7.14
716,Mg I,571.1087,-1.729,GC,11.76,7.10
716,Mg I,631.8716,-1.945,GC,4.53,7.14
716,Mg I,631.9237,-2.165,GC,0.0,0.0
716,Al I,669.8673,-1.647,NBS,1.90,5.60
716,Si I,577.2147,-1.750,GARZ,0.0,0.0
716,Si I,594.8541,-1.230,GARZ,10.26,7.56
716,Si I,612.5021,-1.540,ED,4.03,7.44
716,Si I,614.2482,-1.480,ED,3.31,7.24
716,Si I,614.5015,-1.430,ED,5.14,7.53
716,Si I,615.5134,-0.770,ED,7.01,7.19
716,Ca I,551.2980,-0.447,SR,11.31,6.05
716,Ca I,560.1277,-0.523,SR,0.0,0.0
716,Ca I,585.7451,0.240,SR,15.84,6.09
716,Ca I,586.7562,-1.490,GC,0.0,0.0
716,Ca I,612.2217,-0.315,NIST,22.15,6.22
716,Ca I,615.6022,-2.180,NIST,0.0,0.0
716,Ca I,616.1296,-1.266,SR,9.85,6.07
716,Ca I,616.2174,0.1,NBS,0.0,0.0
716,Ca I,616.6438,-1.142,SR,9.91,5.95
716,Ca I,616.9042,-0.797,SR,11.75,5.94
716,Ca I,616.9562,-0.270,NBS,0.0,0.0
716,Ca I,643.9075,0.390,SR,19.22,5.99
716,Ca I,645.5597,-1.290,SR,8.84,5.89
716,Ca I,649.3781,-0.109,SR,15.20,5.83
716,Ca I,649.9650,-0.818,SR,11.51,5.87
716,Ca I,650.8850,-2.110,NBS,3.29,5.84
716,Ca I,679.8479,-2.320,K88,0.0,0.0
716,Sc II,552.6790,0.130,MFW,10.74,2.58
716,Sc II,632.0852,-1.770,NBS,0.0,0.0
716,Ti I,488.5078,0.358,MFW,0.0,0.0
716,Ti I,491.5229,-1.019,MFW,0.0,0.0
716,Ti I,499.7097,-2.118,MFW,8.88,4.28
716,Ti I,508.7058,-0.780,MFW,5.84,4.23
716,Ti I,586.6450,-0.840,MFW,10.61,4.52
716,Ti I,612.6215,-1.425,MFW,7.03,4.48
716,V I,573.7059,-0.740,MFW,5.28,3.57
716,V I,613.5361,-0.746,MFW,5.35,3.52
716,V I,615.0157,-1.780,MFW,4.57,3.49
716,Cr II,488.4607,-2.080,MFW,5.53,5.78
716,Mn I,511.7900,-1.140,MFW,0.02,4.94
716,Fe I,489.2859,-1.290,FMW,8.67,7.44
716,Fe I,506.7151,-0.970,FMW,0.0,0.0
716,Fe I,510.4438,-1.690,FMW,7.28,7.62
716,Fe I,510.9652,-0.980,FMW,8.58,7.16
716,Fe I,552.5545,-1.330,FMW,8.83,7.44
716,Fe I,585.5076,-1.760,FMW,4.70,7.56
716,Fe I,585.6087,-1.640,FMW,7.65,7.59
716,Fe I,585.8779,-2.260,FMW,2.89,7.27
716,Fe I,586.1109,-2.450,FMW,1.60,7.20
716,Fe I,587.7794,-2.230,FMW,3.73,7.35
716,Fe I,588.3817,-1.360,FMW,10.38,7.42
716,Fe I,615.1616,-3.299,FMW,10.86,7.16
716,Fe I,616.5360,-1.550,FMW,0.0,0.0
716,Fe I,618.7990,-1.720,FMW,8.21,7.31
716,Fe I,649.6465,-0.570,FMW,8.50,7.22
716,Fe I,670.3565,-3.160,FMW,7.80,7.16
716,Fe II,483.3197,-4.780,FMW,0.0,0.0
716,Fe II,492.3927,-1.320,FMW,0.0,0.0
716,Fe II,499.3358,-3.650,FMW,7.14,7.39
716,Fe II,510.0664,-4.370,FMW,4.64,7.59
716,Fe II,513.2669,-4.180,FMW,4.64,7.40
716,Fe II,516.1184,-4.483,K88,0.0,0.0
716,Fe II,525.6937,-4.250,K88,0.0,0.0
716,Fe II,526.4812,-3.190,FMW,6.25,7.22
716,Fe II,614.9259,-2.724,K88,0.0,0.0
716,Co I,533.1700,-6.473,K88,0.02,4.25
716,Co I,553.0700,-2.060,FMW,0.02,4.34
716,Ni I,585.7747,-0.636,K88,0.0,0.0
716,Ni I,612.8963,-3.330,FMW,6.49,5.70
716,Ni I,613.0130,-0.960,FMW,3.19,5.88
716,Ni I,617.5360,-0.530,FMW,5.63,5.69
716,Ni I,617.6807,-0.260,LW,7.45,5.75
716,Ni I,617.7236,-3.5,FMW,3.24,5.52
716,Cu I,510.5500,-1.516,BIEL,0.02,3.17
716,Zn I,481.0528,-0.170,BG,7.87,3.99
716,YI I,488.3683,0.070,HL,10.34,1.88
716,YI I,498.2130,-1.290,HL,4.79,1.98
716,YI I,508.7417,-0.170,HL,0.0,0.0
716,YI I,511.9113,-1.360,HL,4.84,2.00
716,Ba II,649.6896,-0.377,NBS,17.03,2.11
716,La II,480.4039,-1.490,LA,6.03,1.78
716,La II,511.4558,-1.030,LA,9.81,2.11
716,La II,632.0377,-1.610,ABH,5.37,1.56
716,Ce II,518.7457,0.130,H,0.0,0.0
716,Ce II,533.0556,-0.360,H,3.94,1.71
716,Ce II,546.8372,0.140,H,4.49,1.94
716,Ce II,604.3374,-0.430,H,3.30,2.01
716,Nd II,491.4382,-0.7,HA,7.01,1.83
716,Nd II,495.9119,-0.8,HA,0.0,0.0
716,Nd II,496.1387,-0.710,MC',7.19,2.18
716,Nd II,508.9832,-1.160,MC',4.15,1.50
716,Nd II,529.3162,0.1,HA,0.0,0.0
716,Nd II,543.1515,-0.470,HA,2.68,1.57
716,Nd II,548.5695,-0.120,HA,5.15,1.89
717,O I,630.0304,-9.717,STZ,0.01,8.49
717,Na I,568.2633,-0.700,KP,10.30,5.99
717,Na I,615.4227,-1.560,KP,2.95,5.57
717,Na I,616.0747,-1.260,KP,4.45,5.54
717,Mg I,552.8405,-0.552,GC,0.0,0.0
717,Mg I,571.1087,-1.729,GC,12.42,7.40
717,Mg I,631.8716,-1.945,GC,5.34,7.32
717,Mg I,631.9237,-2.165,GC,3.78,7.27
717,Al I,669.8673,-1.647,NBS,2.01,5.66
717,Si I,577.2147,-1.750,GARZ,0.0,0.0
717,Si I,594.8541,-1.230,GARZ,10.14,7.70
717,Si I,612.5021,-1.540,ED,3.99,7.46
717,Si I,614.2482,-1.480,ED,3.64,7.33
717,Si I,614.5015,-1.430,ED,4.44,7.44
717,Si I,615.5134,-0.770,ED,8.88,7.63
717,Ca I,551.2980,-0.447,SR,11.47,6.37
717,Ca I,560.1277,-0.523,SR,0.0,0.0
717,Ca I,585.7451,0.240,SR,16.28,6.41
717,Ca I,586.7562,-1.490,GC,4.19,5.96
717,Ca I,612.2217,-0.315,NIST,22.05,6.45
717,Ca I,615.6022,-2.180,NIST,0.0,0.0
717,Ca I,616.1296,-1.266,SR,0.0,0.0
717,Ca I,616.2174,0.100,NBS,0.0,0.0
717,Ca I,616.6438,-1.142,SR,10.05,6.27
717,Ca I,616.9042,-0.797,SR,11.00,6.14
717,Ca I,616.9562,-0.270,NBS,0.0,0.0
717,Ca I,643.9075,0.390,SR,0.0,0.0
717,Ca I,645.5597,-1.290,SR,7.95,5.94
717,Ca I,649.3781,-0.109,SR,14.65,6.15
717,Ca I,649.9650,-0.818,SR,11.51,6.22
717,Ca I,650.8850,-2.110,NBS,3.21,5.87
717,Ca I,679.8479,-2.320,K88,0.0,0.0
717,Sc II,552.6790,0.130,MFW,12.08,3.12
717,Sc II,632.0852,-1.770,NBS,0.0,0.0
717,Ti I,488.5078,0.358,MFW,0.0,0.0
717,Ti I,491.5229,-1.019,MFW,0.0,0.0
717,Ti I,499.7097,-2.118,MFW,0.0,0.0
717,Ti I,508.7058,-0.780,MFW,6.74,4.57
717,Ti I,586.6450,-0.840,MFW,7.41,4.18
717,Ti I,612.6215,-1.425,MFW,6.12,4.48
717,V I,573.7059,-0.740,MFW,2.72,3.18
717,V I,613.5361,-0.746,MFW,4.30,3.44
717,V I,615.0157,-1.780,MFW,4.41,3.54
717,Cr II,488.4607,-2.080,MFW,5.38,5.86
717,Mn I,511.7900,-1.140,MFW,0.02,4.91
717,Fe I,489.2859,-1.290,FMW,7.21,7.40
717,Fe I,506.7151,-0.970,FMW,0.0,0.0
717,Fe I,510.4438,-1.690,FMW,6.32,7.62
717,Fe I,510.9652,-0.980,FMW,8.94,7.52
717,Fe I,552.5545,-1.330,FMW,7.41,7.40
717,Fe I,585.5076,-1.760,FMW,0.0,0.0
717,Fe I,585.6087,-1.640,FMW,5.86,7.42
717,Fe I,585.8779,-2.260,FMW,2.97,7.32
717,Fe I,586.1109,-2.450,FMW,2.85,7.56
717,Fe I,587.7794,-2.230,FMW,0.0,0.0
717,Fe I,588.3817,-1.360,FMW,9.18,7.52
717,Fe I,615.1616,-3.299,FMW,0.0,0.00
717,Fe I,616.5360,-1.550,FMW,7.64,7.52
717,Fe I,618.7990,-1.720,FMW,6.80,7.25
717,Fe I,649.6465,-0.570,FMW,8.07,7.37
717,Fe I,670.3565,-3.160,FMW,7.83,7.38
717,Fe II,483.3197,-4.780,FMW,0.0,0.0
717,Fe II,492.3927,-1.320,FMW,0.0,0.0
717,Fe II,499.3358,-3.650,FMW,6.32,7.37
717,Fe II,510.0664,-4.370,FMW,4.13,7.52
717,Fe II,513.2669,-4.180,FMW,4.16,7.34
717,Fe II,516.1184,-4.483,K88,0.0,0.0
717,Fe II,525.6937,-4.250,K88,5.06,7.74
717,Fe II,526.4812,-3.190,FMW,7.55,7.66
717,Fe II,614.9259,-2.724,K88,0.0,0.0
717,Co I,533.1700,-6.473,K88,0.02,4.20
717,Co I,553.0700,-2.060,FMW,0.02,4.20
717,Ni I,585.7747,-0.636,K88,0.0,0.0
717,Ni I,612.8963,-3.330,FMW,5.34,5.62
717,Ni I,613.0130,-0.960,FMW,2.34,5.72
717,Ni I,617.5360,-0.530,FMW,4.79,5.64
717,Ni I,617.6807,-0.260,LW,7.26,5.92
717,Ni I,617.7236,-3.500,FMW,0.0,0.0
717,Cu I,510.5500,-1.516,BIEL,0.02,3.17
717,Zn I,481.0528,-0.170,BG,7.73,4.26
717,YI I,488.3683,0.070,HL,0.0,0.0
717,YI I,498.2130,-1.290,HL,3.57,1.79
717,YI I,508.7417,-0.170,HL,8.86,2.16
717,YI I,511.9113,-1.360,HL,4.20,1.95
717,Ba II,649.6896,-0.377,NBS,20.33,2.74
717,La II,480.4039,-1.490,LA,3.61,1.37
717,La II,511.4558,-1.030,LA,0.0,0.0
717,La II,632.0377,-1.610,ABH,4.80,1.57
717,Ce II,518.7457,0.130,H,4.49,1.86
717,Ce II,533.0556,-0.360,H,3.35,1.64
717,Ce II,546.8372,0.140,H,3.31,1.75
717,Ce II,604.3374,-0.430,H,1.37,1.48
717,Nd II,491.4382,-0.700,HA,5.72,1.80
717,Nd II,495.9119,-0.800,HA,0.0,0.0
717,Nd II,496.1387,-0.710,MC',4.76,1.84
717,Nd II,508.9832,-1.160,MC',3.54,1.44
717,Nd II,529.3162,0.100,HA,0.0,0.0
717,Nd II,543.1515,-0.470,HA,3.26,1.75
717,Nd II,548.5695,-0.120,HA,5.15,2.06
772,O I,630.0304,-9.717,STZ,0.01,8.07
772,Na I,568.2633,-0.700,KP,0.0,0.0
772,Na I,615.4227,-1.560,KP,3.32,5.51
772,Na I,616.0747,-1.260,KP,3.42,5.23
772,Mg I,552.8405,-0.552,GC,18.19,6.73
772,Mg I,571.1087,-1.729,GC,10.16,6.78
772,Mg I,631.8716,-1.945,GC,3.19,6.83
772,Mg I,631.9237,-2.165,GC,3.24,7.06
772,Al I,669.8673,-1.647,NBS,0.0,0.0
772,Si I,577.2147,-1.750,GARZ,4.82,7.08
772,Si I,594.8541,-1.230,GARZ,8.84,7.23
772,Si I,612.5021,-1.540,ED,2.29,6.98
772,Si I,614.2482,-1.480,ED,4.34,7.35
772,Si I,614.5015,-1.430,ED,3.79,7.20
772,Si I,615.5134,-0.770,ED,7.87,7.25
772,Ca I,551.2980,-0.447,SR,10.09,5.78
772,Ca I,560.1277,-0.523,SR,12.43,5.87
772,Ca I,585.7451,0.240,SR,13.38,5.66
772,Ca I,586.7562,-1.490,GC,3.58,5.69
772,Ca I,612.2217,-0.315,NIST,17.26,5.53
772,Ca I,615.6022,-2.180,NIST,0.0,0.0
772,Ca I,616.1296,-1.266,SR,9.20,5.88
772,Ca I,616.2174,0.100,NBS,0.0,0.0
772,Ca I,616.6438,-1.142,SR,8.01,5.55
772,Ca I,616.9042,-0.797,SR,10.93,5.74
772,Ca I,616.9562,-0.270,NBS,0.0,0.0
772,Ca I,643.9075,0.390,SR,17.33,5.66
772,Ca I,645.5597,-1.290,SR,7.85,5.65
772,Ca I,649.3781,-0.109,SR,14.52,5.68
772,Ca I,649.9650,-0.818,SR,9.95,5.54
772,Ca I,650.8850,-2.110,NBS,1.51,5.30
772,Ca I,679.8479,-2.320,K88,2.28,5.93
772,Sc II,552.6790,0.130,MFW,10.91,2.40
772,Sc II,632.0852,-1.770,NBS,1.62,2.14
772,Ti I,488.5078,0.358,MFW,8.97,4.13
772,Ti I,491.5229,-1.019,MFW,0.0,0.0
772,Ti I,499.7097,-2.118,MFW,0.0,0.0
772,Ti I,508.7058,-0.780,MFW,0.0,0.0
772,Ti I,586.6450,-0.840,MFW,8.41,3.99
772,Ti I,612.6215,-1.425,MFW,6.72,4.27
772,V I,573.7059,-0.740,MFW,3.28,3.05
772,V I,613.5361,-0.746,MFW,0.0,0.0
772,V I,615.0157,-1.780,MFW,0.0,0.0
772,Cr II,488.4607,-2.080,MFW,3.76,5.24
772,Mn I,511.7900,-1.140,MFW,0.02,4.56
772,Fe I,489.2859,-1.290,FMW,5.91,6.78
772,Fe I,506.7151,-0.970,FMW,8.34,6.92
772,Fe I,510.4438,-1.690,FMW,0.0,0.0
772,Fe I,510.9652,-0.980,FMW,7.90,6.92
772,Fe I,552.5545,-1.330,FMW,0.0,0.0
772,Fe I,585.5076,-1.760,FMW,0.0,0.0
772,Fe I,585.6087,-1.640,FMW,6.24,7.22
772,Fe I,585.8779,-2.260,FMW,2.37,7.01
772,Fe I,586.1109,-2.450,FMW,1.22,6.93
772,Fe I,587.7794,-2.230,FMW,3.34,7.14
772,Fe I,588.3817,-1.360,FMW,9.15,7.07
772,Fe I,615.1616,-3.299,FMW,0.0,0.0
772,Fe I,616.5360,-1.550,FMW,6.46,6.96
772,Fe I,618.7990,-1.720,FMW,6.34,6.86
772,Fe I,649.6465,-0.570,FMW,8.45,7.12
772,Fe I,670.3565,-3.160,FMW,7.16,6.90
772,Fe II,483.3197,-4.780,FMW,1.94,6.97
772,Fe II,492.3927,-1.320,FMW,0.0,0.0
772,Fe II,499.3358,-3.650,FMW,6.37,7.03
772,Fe II,510.0664,-4.370,FMW,0.0,0.0
772,Fe II,513.2669,-4.180,FMW,3.98,7.06
772,Fe II,516.1184,-4.483,K88,0.0,0.0
772,Fe II,525.6937,-4.250,K88,0.0,0.0
772,Fe II,526.4812,-3.190,FMW,6.09,7.01
772,Fe II,614.9259,-2.724,K88,0.0,0.0
772,Co I,533.1700,-6.473,K88,0.02,3.86
772,Co I,553.0700,-2.060,FMW,0.02,3.94
772,Ni I,585.7747,-0.636,K88,4.38,5.55
772,Ni I,612.8963,-3.330,FMW,5.86,5.39
772,Ni I,613.0130,-0.960,FMW,1.88,5.44
772,Ni I,617.5360,-0.530,FMW,4.93,5.43
772,Ni I,617.6807,-0.260,LW,7.86,5.70
772,Ni I,617.7236,-3.500,FMW,3.95,5.43
772,Cu I,510.5500,-1.516,BIEL,0.02,3.02
772,Zn I,481.0528,-0.170,BG,0.0,0.0
772,YI I,488.3683,0.070,HL,9.37,1.41
772,YI I,498.2130,-1.290,HL,2.78,1.30
772,YI I,508.7417,-0.170,HL,7.13,1.11
772,YI I,511.9113,-1.360,HL,3.15,1.39
772,Ba II,649.6896,-0.377,NBS,18.92,2.05
772,La II,480.4039,-1.490,LA,3.53,0.98
772,La II,511.4558,-1.030,LA,0.0,0.0
772,La II,632.0377,-1.610,ABH,4.31,1.07
772,Ce II,518.7457,0.130,H,3.00,1.16
772,Ce II,533.0556,-0.360,H,3.26,1.28
772,Ce II,546.8372,0.140,H,0.0,0.0
772,Ce II,604.3374,-0.430,H,2.04,1.43
772,Nd II,491.4382,-0.700,HA,3.82,0.89
772,Nd II,495.9119,-0.800,HA,6.73,1.17
772,Nd II,496.1387,-0.710,MC',3.01,1.04
772,Nd II,508.9832,-1.160,MC',2.94,0.94
772,Nd II,529.3162,0.100,HA,6.48,1.13
772,Nd II,543.1515,-0.470,HA,2.84,1.33
772,Nd II,548.5695,-0.120,HA,2.32,1.03
867,O I,630.0304,-9.717,STZ,0.01,8.01
867,Na I,568.2633,-0.700,KP,6.37,5.19
867,Na I,615.4227,-1.560,KP,0.0,0.0
867,Na I,616.0747,-1.260,KP,3.50,5.30
867,Mg I,552.8405,-0.552,GC,17.65,6.62
867,Mg I,571.1087,-1.729,GC,10.73,6.84
867,Mg I,631.8716,-1.945,GC,2.40,6.69
867,Mg I,631.9237,-2.165,GC,2.28,6.88
867,Al I,669.8673,-1.647,NBS,0.0,0.0
867,Si I,577.2147,-1.750,GARZ,0.0,0.0
867,Si I,594.8541,-1.230,GARZ,0.0,0.0
867,Si I,612.5021,-1.540,ED,0.0,0.0
867,Si I,614.2482,-1.480,ED,3.87,7.13
867,Si I,614.5015,-1.430,ED,3.30,6.98
867,Si I,615.5134,-0.770,ED,5.99,6.76
867,Ca I,551.2980,-0.447,SR,8.98,5.57
867,Ca I,560.1277,-0.523,SR,12.63,5.82
867,Ca I,585.7451,0.240,SR,0.0,0.0
867,Ca I,586.7562,-1.490,GC,4.00,5.82
867,Ca I,612.2217,-0.315,NIST,16.67,5.39
867,Ca I,615.6022,-2.180,NIST,0.0,0.0
867,Ca I,616.1296,-1.266,SR,8.16,5.73
867,Ca I,616.2174,0.100,NBS,0.0,0.0
867,Ca I,616.6438,-1.142,SR,7.21,5.46
867,Ca I,616.9042,-0.797,SR,11.18,5.75
867,Ca I,616.9562,-0.270,NBS,0.0,0.0
867,Ca I,643.9075,0.390,SR,0.0,0.0
867,Ca I,645.5597,-1.290,SR,8.75,5.82
867,Ca I,649.3781,-0.109,SR,13.01,5.34
867,Ca I,649.9650,-0.818,SR,0.0,0.0
867,Ca I,650.8850,-2.110,NBS,0.0,0.0
867,Ca I,679.8479,-2.320,K88,0.0,0.0
867,Sc II,552.6790,0.130,MFW,10.54,1.90
867,Sc II,632.0852,-1.770,NBS,0.0,0.0
867,Ti I,488.5078,0.358,MFW,9.24,4.18
867,Ti I,491.5229,-1.019,MFW,0.0,0.0
867,Ti I,499.7097,-2.118,MFW,7.73,4.00
867,Ti I,508.7058,-0.780,MFW,6.16,4.21
867,Ti I,586.6450,-0.840,MFW,8.29,4.05
867,Ti I,612.6215,-1.425,MFW,5.79,4.26
867,V I,573.7059,-0.740,MFW,0.0,0.0
867,V I,613.5361,-0.746,MFW,0.0,0.0
867,V I,615.0157,-1.780,MFW,0.0,0.0
867,Cr II,488.4607,-2.080,MFW,0.0,0.0
867,Mn I,511.7900,-1.140,MFW,0.02,0.0
867,Fe I,489.2859,-1.290,FMW,6.89,6.90
867,Fe I,506.7151,-0.970,FMW,0.0,0.0
867,Fe I,510.4438,-1.690,FMW,0.0,0.0
867,Fe I,510.9652,-0.980,FMW,8.06,6.86
867,Fe I,552.5545,-1.330,FMW,6.75,6.87
867,Fe I,585.5076,-1.760,FMW,0.0,0.0
867,Fe I,585.6087,-1.640,FMW,5.15,6.99
867,Fe I,585.8779,-2.260,FMW,0.0,0.0
867,Fe I,586.1109,-2.450,FMW,0.0,0.0
867,Fe I,587.7794,-2.230,FMW,1.77,6.78
867,Fe I,588.3817,-1.360,FMW,0.0,0.0
867,Fe I,615.1616,-3.299,FMW,8.04,6.45
867,Fe I,616.5360,-1.550,FMW,4.27,6.56
867,Fe I,618.7990,-1.720,FMW,4.92,6.59
867,Fe I,649.6465,-0.570,FMW,5.75,6.59
867,Fe I,670.3565,-3.160,FMW,7.00,6.85
867,Fe II,483.3197,-4.780,FMW,0.0,0.0
867,Fe II,492.3927,-1.320,FMW,0.0,0.0
867,Fe II,499.3358,-3.650,FMW,6.96,6.71
867,Fe II,510.0664,-4.370,FMW,3.63,6.82
867,Fe II,513.2669,-4.180,FMW,4.66,6.83
867,Fe II,516.1184,-4.483,K88,0.0,0.0
867,Fe II,525.6937,-4.250,K88,3.18,6.71
867,Fe II,526.4812,-3.190,FMW,6.11,6.58
867,Fe II,614.9259,-2.724,K88,4.42,6.57
867,Co I,533.1700,-6.473,K88,0.02,3.71
867,Co I,553.0700,-2.060,FMW,0.02,3.64
867,Ni I,585.7747,-0.636,K88,0.0,0.0
867,Ni I,612.8963,-3.330,FMW,3.43,4.95
867,Ni I,613.0130,-0.960,FMW,0.0,0.0
867,Ni I,617.5360,-0.530,FMW,4.96,5.35
867,Ni I,617.6807,-0.260,LW,3.98,4.91
867,Ni I,617.7236,-3.500,FMW,0.0,0.0
867,Cu I,510.5500,-1.516,BIEL,0.02,2.86
867,Zn I,481.0528,-0.170,BG,7.82,3.44
867,YI I,488.3683,0.070,HL,8.15,0.69
867,YI I,498.2130,-1.290,HL,2.93,1.05
867,YI I,508.7417,-0.170,HL,6.34,0.58
867,YI I,511.9113,-1.360,HL,3.09,1.09
867,Ba II,649.6896,-0.377,NBS,15.22,1.03
867,La II,480.4039,-1.490,LA,0.0,0.0
867,La II,511.4558,-1.030,LA,5.13,0.49
867,La II,632.0377,-1.610,ABH,0.0,0.0
867,Ce II,518.7457,0.130,H,3.06,0.88
867,Ce II,533.0556,-0.360,H,0.0,0.0
867,Ce II,546.8372,0.140,H,2.44,0.95
867,Ce II,604.3374,-0.430,H,0.0,0.0
867,Nd II,491.4382,-0.700,HA,4.51,0.72
867,Nd II,495.9119,-0.800,HA,4.67,0.45
867,Nd II,496.1387,-0.710,MC',0.0,0.0
867,Nd II,508.9832,-1.160,MC',0.0,0.0
867,Nd II,529.3162,0.100,HA,5.46,0.59
867,Nd II,543.1515,-0.470,HA,0.0,0.0
867,Nd II,548.5695,-0.120,HA,0.0,0.0
879,O I,630.0304,-9.717,STZ,0.0,0.0
879,Na I,568.2633,-0.700,KP,8.22,5.48
879,Na I,615.4227,-1.560,KP,3.73,5.60
879,Na I,616.0747,-1.260,KP,4.48,5.43
879,Mg I,552.8405,-0.552,GC,17.80,6.77
879,Mg I,571.1087,-1.729,GC,11.48,7.10
879,Mg I,631.8716,-1.945,GC,4.00,7.00
879,Mg I,631.9237,-2.165,GC,0.0,0.0
879,Al I,669.8673,-1.647,NBS,2.88,5.76
879,Si I,577.2147,-1.750,GARZ,0.0,0.0
879,Si I,594.8541,-1.230,GARZ,7.12,7.02
879,Si I,612.5021,-1.540,ED,2.30,7.00
879,Si I,614.2482,-1.480,ED,2.36,6.96
879,Si I,614.5015,-1.430,ED,0.0,0.0
879,Si I,615.5134,-0.770,ED,5.80,6.95
879,Ca I,551.2980,-0.447,SR,0.0,0.0
879,Ca I,560.1277,-0.523,SR,0.0,0.0
879,Ca I,585.7451,0.240,SR,12.48,5.69
879,Ca I,586.7562,-1.490,GC,4.38,5.86
879,Ca I,612.2217,-0.315,NIST,17.26,5.71
879,Ca I,615.6022,-2.180,NIST,1.81,5.48
879,Ca I,616.1296,-1.266,SR,7.99,5.78
879,Ca I,616.2174,0.100,NBS,20.17,5.61
879,Ca I,616.6438,-1.142,SR,10.08,6.09
879,Ca I,616.9042,-0.797,SR,9.44,5.61
879,Ca I,616.9562,-0.270,NBS,11.45,5.51
879,Ca I,643.9075,0.390,SR,18.95,6.04
879,Ca I,645.5597,-1.290,SR,6.37,5.48
879,Ca I,649.3781,-0.109,SR,12.84,5.60
879,Ca I,649.9650,-0.818,SR,12.01,6.14
879,Ca I,650.8850,-2.110,NBS,3.28,5.74
879,Ca I,679.8479,-2.320,K88,0.0,0.0
879,Sc II,552.6790,0.130,MFW,9.94,2.40
879,Sc II,632.0852,-1.770,NBS,1.92,2.25
879,Ti I,488.5078,0.358,MFW,9.92,4.58
879,Ti I,491.5229,-1.019,MFW,0.0,0.0
879,Ti I,499.7097,-2.118,MFW,0.0,0.0
879,Ti I,508.7058,-0.780,MFW,0.0,0.0
879,Ti I,586.6450,-0.840,MFW,10.14,4.49
879,Ti I,612.6215,-1.425,MFW,6.40,4.29
879,V I,573.7059,-0.740,MFW,0.0,0.0
879,V I,613.5361,-0.746,MFW,0.0,0.0
879,V I,615.0157,-1.780,MFW,0.0,0.0
879,Cr II,488.4607,-2.080,MFW,3.76,5.30
879,Mn I,511.7900,-1.140,MFW,0.02,4.80
879,Fe I,489.2859,-1.290,FMW,7.09,7.14
879,Fe I,506.7151,-0.970,FMW,7.46,6.89
879,Fe I,510.4438,-1.690,FMW,5.89,7.33
879,Fe I,510.9652,-0.980,FMW,0.0,0.0
879,Fe I,552.5545,-1.330,FMW,6.25,6.94
879,Fe I,585.5076,-1.760,FMW,0.0,0.0
879,Fe I,585.6087,-1.640,FMW,3.85,6.83
879,Fe I,585.8779,-2.260,FMW,1.97,6.92
879,Fe I,586.1109,-2.450,FMW,1.81,7.14
879,Fe I,587.7794,-2.230,FMW,2.74,7.03
879,Fe I,588.3817,-1.360,FMW,7.88,6.97
879,Fe I,615.1616,-3.299,FMW,9.59,6.95
879,Fe I,616.5360,-1.550,FMW,5.98,6.96
879,Fe I,618.7990,-1.720,FMW,7.36,7.16
879,Fe I,649.6465,-0.570,FMW,6.26,6.82
879,Fe I,670.3565,-3.160,FMW,7.52,7.07
879,Fe II,483.3197,-4.780,FMW,2.72,7.22
879,Fe II,492.3927,-1.320,FMW,0.0,0.0
879,Fe II,499.3358,-3.650,FMW,5.97,7.06
879,Fe II,510.0664,-4.370,FMW,0.0,0.0
879,Fe II,513.2669,-4.180,FMW,0.0,0.0
879,Fe II,516.1184,-4.483,K88,0.0,0.0
879,Fe II,525.6937,-4.250,K88,0.0,0.0
879,Fe II,526.4812,-3.190,FMW,6.00,7.10
879,Fe II,614.9259,-2.724,K88,0.0,0.0
879,Co I,533.1700,-6.473,K88,0.02,4.03
879,Co I,553.0700,-2.060,FMW,0.02,4.14
879,Ni I,585.7747,-0.636,K88,2.74,5.24
879,Ni I,612.8963,-3.330,FMW,5.60,5.41
879,Ni I,613.0130,-0.960,FMW,1.89,5.45
879,Ni I,617.5360,-0.530,FMW,5.74,5.66
879,Ni I,617.6807,-0.260,LW,5.73,5.39
879,Ni I,617.7236,-3.500,FMW,3.69,5.41
879,Cu I,510.5500,-1.516,BIEL,0.02,2.98
879,Zn I,481.0528,-0.170,BG,0.0,0.0
879,YI I,488.3683,0.070,HL,0.0,0.0
879,YI I,498.2130,-1.290,HL,3.35,1.47
879,YI I,508.7417,-0.170,HL,7.58,1.41
879,YI I,511.9113,-1.360,HL,2.91,1.38
879,Ba II,649.6896,-0.377,NBS,18.80,2.21
879,La II,480.4039,-1.490,LA,3.76,1.09
879,La II,511.4558,-1.030,LA,0.0,0.0
879,La II,632.0377,-1.610,ABH,3.20,0.90
879,Ce II,518.7457,0.130,H,4.30,1.51
879,Ce II,533.0556,-0.360,H,3.53,1.39
879,Ce II,546.8372,0.140,H,3.60,1.55
879,Ce II,604.3374,-0.430,H,0.0,0.0
879,Nd II,491.4382,-0.700,HA,5.89,1.45
879,Nd II,495.9119,-0.800,HA,0.0,0.0
879,Nd II,496.1387,-0.710,MC',2.80,1.03
879,Nd II,508.9832,-1.160,MC',3.79,1.17
879,Nd II,529.3162,0.100,HA,5.70,1.11
879,Nd II,543.1515,-0.470,HA,0.0,0.0
879,Nd II,548.5695,-0.120,HA,3.53,1.36
