StarID,Name,Species,logepsX_sun,l_logepsX,logepsX,e_logepsX
717,Sgr-717,Ba II,2.13,,2.74,
717,Sgr-717,Sc II,3.17,,3.12,
717,Sgr-717,Co I,4.92,,4.20,
772,Sgr-772,Al I,6.47,,,
772,Sgr-772,Cr II,5.67,,5.24,
772,Sgr-772,Fe I,7.50,,6.99,0.12
772,Sgr-772,Cu I,4.21,,3.02,
772,Sgr-772,S I,,,,
772,Sgr-772,Ba II,2.13,,2.05,
772,Sgr-772,Nd II,1.50,,1.08,0.14
772,Sgr-772,O I,8.72,,8.07,
772,Sgr-772,Ni I,6.25,,5.49,0.11
772,Sgr-772,Zn I,4.60,,,
772,Sgr-772,Sc II,3.17,,2.27,0.13
772,Sgr-772,Y II,2.24,,1.30,0.12
772,Sgr-772,La II,1.13,,1.03,0.04
772,Sgr-772,Na I,6.33,,5.52,0.15
772,Sgr-772,Mg I,7.58,,6.85,0.13
772,Sgr-772,V I,4.00,,3.06,
772,Sgr-772,Fe II,7.50,,7.02,0.03
772,Sgr-772,Ti I,5.02,,4.13,0.12
772,Sgr-772,Co I,4.92,,3.90,0.05
772,Sgr-772,Ca I,6.36,,5.68,0.16
772,Sgr-772,Si I,7.55,,7.18,0.12
772,Sgr-772,Ce II,1.58,,1.29,0.11
772,Sgr-772,Mn I,5.39,,4.56,
867,Sgr-867,Cu I,4.21,,2.86,
867,Sgr-867,Zn I,4.60,,3.44,
867,Sgr-867,Fe I,7.50,,6.74,0.17
867,Sgr-867,Co I,4.92,,3.68,0.05
867,Sgr-867,Fe II,7.50,,6.70,0.10
867,Sgr-867,Nd II,1.50,,0.59,0.11
867,Sgr-867,Ni I,6.25,,5.07,0.20
867,Sgr-867,Y II,2.24,,0.85,0.22
867,Sgr-867,Ce II,1.58,,0.91,0.03
867,Sgr-867,La II,1.13,,0.49,
867,Sgr-867,Ba II,2.13,,1.03,
867,Sgr-867,Mn I,5.39,,,
867,Sgr-867,Ca I,6.36,,5.63,0.19
867,Sgr-867,Na I,6.33,,5.36,0.07
867,Sgr-867,Cr II,5.67,,,
867,Sgr-867,Sc II,3.17,,1.90,
867,Sgr-867,S I,,,,
867,Sgr-867,Ti I,5.02,,4.14,0.10
867,Sgr-867,Al I,6.47,,,
867,Sgr-867,Mg I,7.58,,6.76,0.11
867,Sgr-867,V I,4.00,,,
867,Sgr-867,Si I,7.55,,6.96,0.15
867,Sgr-867,O I,8.72,,8.01,
879,Sgr-879,Y II,2.24,,1.42,0.04
879,Sgr-879,V I,4.00,,,
879,Sgr-879,Fe II,7.50,,7.13,0.07
879,Sgr-879,Zn I,4.60,,,
879,Sgr-879,Ti I,5.02,,4.45,0.12
879,Sgr-879,Si I,7.55,,6.98,0.03
879,Sgr-879,Na I,6.33,,5.64,0.08
879,Sgr-879,La II,1.13,,1.00,0.10
879,Sgr-879,Ce II,1.58,,1.48,0.07
879,Sgr-879,Ni I,6.25,,5.43,0.12
879,Sgr-879,Mn I,5.39,,4.80,
879,Sgr-879,O I,8.72,,,
879,Sgr-879,Ca I,6.36,,5.74,0.21
879,Sgr-879,Sc II,3.17,,2.32,0.07
879,Sgr-879,Al I,6.47,,5.76,
879,Sgr-879,Nd II,1.50,,1.23,0.16
879,Sgr-879,Co I,4.92,,4.09,0.07
879,Sgr-879,Mg I,7.58,,6.96,0.13
879,Sgr-879,S I,,,,
879,Sgr-879,Ba II,2.13,,2.21,
879,Sgr-879,Cr II,5.67,,5.30,
879,Sgr-879,Fe I,7.50,,7.01,0.14
879,Sgr-879,Cu I,4.21,,2.98,
894,Sgr-894,Ba II,2.13,,2.16,
894,Sgr-894,Ca I,6.36,,5.96,0.18
894,Sgr-894,Ti I,5.02,,4.52,0.13
894,Sgr-894,Al I,6.47,,,
894,Sgr-894,Ni I,6.25,,5.44,0.08
894,Sgr-894,Sc II,3.17,,2.30,
894,Sgr-894,Co I,4.92,,4.25,0.02
894,Sgr-894,V I,4.00,,3.42,0.22
894,Sgr-894,La II,1.13,,1.14,0.09
894,Sgr-894,Mn I,5.39,,4.87,
894,Sgr-894,Cu I,4.21,,3.38,
894,Sgr-894,Nd II,1.50,,1.38,0.10
894,Sgr-894,O I,8.72,,8.33,
894,Sgr-894,S I,,,,
894,Sgr-894,Cr II,5.67,,5.02,
894,Sgr-894,Mg I,7.58,,6.98,0.16
894,Sgr-894,Fe I,7.50,,7.18,0.14
894,Sgr-894,Na I,6.33,,5.82,0.10
894,Sgr-894,Zn I,4.60,,3.50,
894,Sgr-894,Si I,7.55,,7.41,0.07
894,Sgr-894,Fe II,7.50,,7.17,0.15
894,Sgr-894,Ce II,1.58,,1.44,0.07
894,Sgr-894,Y II,2.24,,1.51,0.31
927,Sgr-927,S I,,,,
927,Sgr-927,Zn I,4.60,,3.94,
927,Sgr-927,Si I,7.55,,7.40,0.08
927,Sgr-927,Cu I,4.21,,3.49,
