Ion,lambda,ExPot,log(gf),l_M686022,M686022,f_M686022,l_M686023,M686023,f_M686023,l_M686024,M686024,f_M686024,l_Car1087,Car1087,f_Car1087,l_Car5070,Car5070,f_Car5070,l_Car7002,Car7002,f_Car7002
Fe I,5232.95,2.94,-0.057,,96.3,,,105.7,,,97.8,,,111.0,,,150.7,,,70.1,
Fe I,5247.05,0.09,-4.946,,63.0,,,58.2,,,,,,,,,49.2,,,,
Fe I,5250.21,0.12,-4.898,,,,,44.4,,,,,,,,,107.7,,,59.0,
Fe I,5250.65,2.2,-2.18,,55.8,,,37.3,,,35.8,,,,,,,,,,
Fe I,5254.955,0.11,-4.764,,53.9,,,47.1,,,39.0,,,,,,,,,,
Fe I,5269.537,0.86,-1.333,,,,,,,,,,,153.4,,,,,,146.2,
Fe I,5281.79,3.04,-0.833,,63.3,,,64.2,,,51.7,,,52.6,,,,,,,
Fe I,5283.621,3.24,-0.524,,72.1,,,71.1,,,58.6,,,,,,94.4,,,,
Fe I,5302.302,3.28,-0.88,,59.1,,,50.5,,,50.9,,,,,,,,,60.8,
Fe I,5307.37,1.61,-2.912,,49.7,,,52.9,,,53.2,,,55.8,,,,,,,
Fe I,5324.19,3.21,-0.1,,84.5,,,79.5,,,75.7,,,85.2,,,119.7,,,,
Fe I,5328.039,0.92,-1.465,,155.9,,,170.4,,,147.6,,,167.6,,,,,,162.6,
Fe I,5328.53,1.56,-1.85,,111.3,,,,,,,,,101.0,,,,,,84.4,
Fe I,5332.9,1.56,-2.78,,49.4,,,49.6,,,49.4,,,50.8,,,93.8,,,,
Fe I,5339.93,3.27,-0.72,,39.0,,,47.8,,,41.4,,,,,,,,,,
Fe I,5364.86,4.45,0.228,,,,,,,,30.4,,,,,,,,,,
Fe I,5367.48,4.42,0.443,,42.9,,,37.2,,,36.2,,,,,,,,,,
Fe I,5369.96,4.37,0.536,,43.1,,,46.8,,,39.7,,,,,,,,,,
Fe I,5371.5,0.96,-1.644,,156.6,,,152.1,,,154.6,,,186.2,,,,,,184.0,
Fe I,5383.37,4.31,0.645,,53.4,,,67.3,,,48.8,,,,,,,,,,
Fe I,5393.17,3.24,-0.92,,59.3,,,52.7,,,32.0,,,,,,,,,,
Fe I,5397.128,0.91,-1.982,,142.2,,,136.5,,,147.7,,,173.2,,,160.7,,,147.6,
Fe I,5405.775,0.99,-1.852,,144.3,,,147.0,,,138.7,,,164.6,,,182.1,,,132.1,
Fe I,5415.199,4.39,0.643,,41.7,,,52.3,,,39.0,,,,,,,,,,
Fe I,5424.07,4.32,0.52,,48.2,,,43.6,,,,,,69.0,,,98.1,,,,
Fe I,5429.697,0.96,-1.881,,,,,113.7,,,,,,176.8,,,,,,106.8,
Fe I,5434.524,1.01,-2.126,,,,,,,,,,,110.2,,,,,,134.8,
Fe I,5446.917,0.99,-1.914,,152.5,,,153.1,,,136.3,,,199.3,,,,,,149.5,
Fe I,5455.609,1.01,-2.091,,,,,167.3,,,155.7,,,149.2,,,200.3,,,114.9,
Fe I,5497.516,1.01,-2.825,,101.9,,,101.2,,,89.1,,,90.3,,,156.2,,,86.6,
Fe I,5501.465,0.96,-3.046,,102.0,,,104.2,,,90.8,,,121.2,,,137.2,,,95.2,
Fe I,5506.79,0.99,-2.789,,98.5,,,97.0,,,87.7,,,103.1,,,193.1,,,,
Fe I,5569.618,3.42,-0.54,,59.9,,,48.5,,,41.3,,,,,,89.9,,,51.4,
Fe I,5572.842,3.4,-0.31,,86.4,,,75.5,,,73.6,,,,,,,,,,
Fe I,5576.089,3.43,-1.0,,43.3,,,34.1,,,,,,,,,,,,,
Fe I,5586.756,3.37,-0.144,,68.5,,,74.1,,,66.4,,,,,,109.4,,,50.1,
Fe I,5615.66,3.33,0.05,,74.8,,,,,,72.0,,,56.0,,,100.7,,,59.4,
Fe I,5624.54,3.42,-0.755,,47.0,,,55.9,,,43.9,,,,,,118.6,,,,
Fe I,5658.82,3.4,-0.793,,35.2,,,42.5,,,34.8,,,,,,61.2,,,,
Fe I,5701.543,2.56,-2.143,,,,,,,,,,,,,,63.7,,,,
Fe I,5956.693,0.86,-4.498,,,,,,,,,,,,,,60.6,,,,
Fe I,6027.048,4.07,-1.089,,,,,,,,,,,,,,45.2,,,,
Fe I,6056.01,4.73,-0.45,,,,,,,,,,,,,,41.8,,,,
Fe I,6065.481,2.61,-1.41,,71.7,,,67.0,,,62.7,,,,,,,,,,
Fe I,6136.615,2.45,-1.41,,89.7,,,85.6,,,77.3,,,60.3,,,142.7,,,65.7,
Fe I,6137.691,2.59,-1.346,,72.4,,,75.1,,,65.1,,,61.2,,,102.2,,,46.0,
Fe I,6191.558,2.43,-1.416,,85.5,,,94.6,,,91.5,,,56.0,,,143.8,,,58.9,
Fe I,6200.312,2.61,-2.373,,,,,,,,,,,,,,58.6,,,,
Fe I,6213.43,2.22,-2.481,,37.2,,,36.7,,,37.6,,,,,,,,,,
Fe I,6219.28,2.2,-2.448,,48.5,,,39.6,,,45.0,,,,,,87.7,,,,
Fe I,6230.74,2.56,-1.276,,92.9,,,87.7,,,87.1,,,,,,103.2,,,,
