ID,Name,Simbad_Identifier,RA_hms,DEC_dms,gmag,imag,Xpix,Ypix,Rad,Vel,System
306,BooI-306,[NWG2010] BooI 306,14:03:52.07,+14:14:33.5,19.02,18.06,54.8,-15.3,56.9,123,Bootes I
357,BooI-357,[NWG2010] BooI 357,14:03:03.33,+13:57:08.8,19.50,18.78,43.0,-32.8,54.1,118,Bootes I
625,BooI-625,[NWG2010] BooI 625,14:01:45.40,+14:41:54.7,19.86,19.15,24.0,11.9,26.8,85,Bootes I
649,BooI-649,[NWG2010] BooI 649,14:01:27.35,+14:24:43.9,20.20,19.54,19.7,-5.3,20.4,125,Bootes I
774,BooI-774,[NWG2010] BooI 774,14:00:17.08,+13:39:32.8,19.36,18.47,2.7,-50.5,50.5,98,Bootes I
859,BooI-859,[NWG2010] BooI 859,14:00:06.47,+14:16:30.5,19.89,19.10,0.1,-13.5,13.5,114,Bootes I
911,BooI-911,[NWG2010] BooI 911,14:00:01.08,+14:36:51.5,17.94,16.82,-1.2,6.9,7.0,94,Bootes I
923,BooI-923,[NWG2010] BooI 923,13:59:53.76,+14:30:56.0,20.65,19.88,-3.0,0.9,3.1,115,Bootes I
980,BooI-980,[NWG2010] BooI 980,13:59:12.68,+13:42:55.8,18.51,17.60,-12.9,-47.1,48.8,106,Bootes I
1069,BooI-1069,[NWG2010] BooI 1069,13:58:53.22,+14:06:57.8,19.05,18.23,-17.6,-23.0,29.0,113,Bootes I
1137,BooI-1137,[NWG2010] BooI 1137,13:58:33.82,+14:21:08.5,18.11,17.04,-22.3,-8.8,24.0,108,Bootes I
1204,BooI-1204,[NWG2010] BooI 1204,13:58:35.65,+15:05:04.8,20.52,19.79,-21.8,35.1,41.3,108,Bootes I
1314,BooI-1314,[NWG2010] BooI 1314,13:57:27.50,+14:17:02.8,20.51,19.80,-38.4,-12.9,40.5,103,Bootes I
3,BooI-3,[NWG2010] BooI 3,13:58:59.98,+14:23:40.5,18.31,17.21,-16.0,-6.3,17.2,-38,
45,BooI-45,[NWG2010] BooI 45,14:00:26.18,+14:27:29.5,19.08,18.24,4.9,-2.5,5.5,65,
53,BooI-53,[NWG2010] BooI 53,14:00:40.78,+14:17:22.0,20.06,19.30,8.4,-12.6,15.2,14,
58,BooI-58,[NWG2010] BooI 58,13:59:20.47,+14:44:56.9,19.44,18.62,-11.0,15.0,18.6,30,
66,BooI-66,[NWG2010] BooI 66,14:00:40.38,+14:45:44.9,18.17,17.15,8.3,15.8,17.8,-76,
73,BooI-73,[NWG2010] BooI 73,13:59:36.20,+14:14:52.4,19.22,18.42,-7.2,-15.1,16.8,-3,
74,BooI-74,[NWG2010] BooI 74,13:59:43.41,+14:16:01.6,18.83,18.00,-5.5,-14.0,15.0,27,
77,BooI-77,[NWG2010] BooI 77,14:00:28.55,+14:13:44.4,18.43,17.41,5.5,-16.3,17.2,-12,
83,BooI-83,[NWG2010] BooI 83,13:58:50.77,+14:35:30.4,19.94,19.31,-18.2,5.5,19.0,16,
84,BooI-84,[NWG2010] BooI 84,13:58:55.98,+14:40:35.1,18.70,17.72,-16.9,10.6,20.0,-38,
85,BooI-85,[NWG2010] BooI 85,13:59:15.34,+14:35:52.8,18.85,17.90,-12.3,5.9,13.6,-4,
91,BooI-91,[NWG2010] BooI 91,13:59:35.66,+14:37:35.0,19.97,19.14,-7.3,7.6,10.6,2,
92,BooI-92,[NWG2010] BooI 92,13:59:21.37,+14:36:06.3,17.83,16.68,-10.8,6.1,12.4,-14,
98,BooI-98,[NWG2010] BooI 98,13:59:08.12,+14:32:28.1,18.58,17.59,-14.0,2.5,14.2,20,
111,BooI-111,[NWG2010] BooI 111,14:00:22.97,+14:30:45.0,18.55,17.50,4.1,0.8,4.2,-45,
203,BooI-203,[NWG2010] BooI 203,13:58:52.92,+14:25:05.3,20.78,20.00,-17.7,-4.9,18.4,-24,
237,BooI-237,[NWG2010] BooI 237,14:00:42.15,+14:15:20.4,20.51,19.83,8.8,-14.7,17.1,5,
