ID,Name,Simbad_Identifier,RA_hms,DEC_dms,gmag,imag,Xpix,Ypix,Rad,Vel,System
34,Seg1-34,[NWG2010] Seg1 34,10:08:15.24,+15:49:19.6,19.71,19.18,17.1,-15.6,23.2,-11,
36,Seg1-36,[NWG2010] Seg1 36,10:08:31.87,+15:55:23.9,19.72,19.06,21.1,-9.5,23.2,167,
38,Seg1-38,[NWG2010] Seg1 38,10:07:46.02,+15:55:24.0,18.80,17.99,10.1,-9.5,13.9,-128,
39,Seg1-39,[NWG2010] Seg1 39,10:07:52.76,+15:57:39.0,20.26,19.75,11.7,-7.3,13.8,0,
39,Seg1-39,[NWG2010] Seg1 39,10:07:52.76,+15:57:39.0,20.26,19.75,11.7,-7.3,13.8,9,
40,Seg1-40,[NWG2010] Seg1 40,10:08:36.49,+15:55:40.3,17.59,16.65,22.2,-9.2,24.1,81,
44,Seg1-44,[NWG2010] Seg1 44,10:07:38.95,+15:58:15.3,18.30,17.40,8.4,-6.7,10.7,30,
46,Seg1-46,[NWG2010] Seg1 46,10:07:58.23,+15:55:25.5,18.28,17.56,13.0,-9.5,16.1,-2,
54,Seg1-54,[NWG2010] Seg1 54,10:07:23.72,+15:54:07.5,19.71,19.18,4.7,-10.8,11.8,108,
60,Seg1-60,[NWG2010] Seg1 60,10:07:37.57,+15:45:18.9,18.41,17.62,8.1,-19.6,21.2,47,
63,Seg1-63,[NWG2010] Seg1 63,10:08:52.37,+15:38:29.7,19.02,18.28,26.1,-26.4,37.1,49,
68,Seg1-68,[NWG2010] Seg1 68,10:07:22.54,+15:53:33.5,20.00,19.45,4.5,-11.4,12.2,-9,
68,Seg1-68,[NWG2010] Seg1 68,10:07:22.54,+15:53:33.5,20.00,19.45,4.5,-11.4,12.2,-9,
74,Seg1-74,[NWG2010] Seg1 74,10:07:28.04,+15:40:23.2,20.26,19.75,5.8,-24.5,25.2,10,
76,Seg1-76,[NWG2010] Seg1 76,10:07:41.99,+15:54:56.2,19.63,19.09,9.1,-10.0,13.5,24,
78,Seg1-78,[NWG2010] Seg1 78,10:07:28.05,+15:45:53.3,20.05,19.29,5.8,-19.0,19.9,-54,
84,Seg1-84,[NWG2010] Seg1 84,10:07:31.49,+15:46:13.5,20.68,20.20,6.6,-18.7,19.8,44,
84,Seg1-84,[NWG2010] Seg1 84,10:07:31.49,+15:46:13.5,20.68,20.20,6.6,-18.7,19.8,57,
86,Seg1-86,[NWG2010] Seg1 86,10:07:09.01,+15:43:27.3,19.62,18.86,1.2,-21.5,21.5,111,
86,Seg1-86,[NWG2010] Seg1 86,10:07:09.01,+15:43:27.3,19.62,18.86,1.2,-21.5,21.5,115,
93,Seg1-93,[NWG2010] Seg1 93,10:07:07.60,+15:54:26.2,20.34,19.78,0.9,-10.5,10.5,-23,
95,Seg1-95,[NWG2010] Seg1 95,10:07:07.65,+16:02:43.2,18.53,17.78,0.9,-2.2,2.4,-41,
97,Seg1-97,[NWG2010] Seg1 97,10:06:36.93,+15:53:25.2,18.83,18.13,-6.5,-11.5,13.2,43,
99,Seg1-99,[NWG2010] Seg1 99,10:07:20.47,+16:02:03.3,18.68,18.03,4.0,-2.9,4.9,25,
101,Seg1-101,[NWG2010] Seg1 101,10:06:59.01,+15:44:18.9,19.75,19.13,-1.2,-20.6,20.6,307,
102,Seg1-102,[NWG2010] Seg1 102,10:07:22.39,+15:45:19.1,19.87,19.41,4.4,-19.6,20.1,96,
104,Seg1-104,[NWG2010] Seg1 104,10:06:44.62,+15:47:01.9,17.44,16.50,-4.7,-17.9,18.5,41,
105,Seg1-105,[NWG2010] Seg1 105,10:06:53.97,+15:48:56.9,19.07,18.31,-2.4,-16.0,16.1,-77,
107,Seg1-107,[NWG2010] Seg1 107,10:07:06.88,+15:44:42.6,19.45,18.62,0.7,-20.2,20.2,154,
113,Seg1-113,[NWG2010] Seg1 113,10:06:59.91,+15:51:26.2,19.74,19.20,-1.0,-13.5,13.5,-15,
117,Seg1-117,[NWG2010] Seg1 117,10:05:57.65,+15:41:51.9,17.52,16.64,-16.0,-23.0,28.0,173,
119,Seg1-119,[NWG2010] Seg1 119,10:06:36.03,+15:44:13.4,20.71,20.18,-6.7,-20.7,21.8,17,
123,Seg1-123,[NWG2010] Seg1 123,10:06:06.83,+15:45:36.6,19.11,18.43,-13.8,-19.3,23.7,114,
129,Seg1-129,[NWG2010] Seg1 129,10:06:25.44,+15:46:45.5,20.21,19.65,-9.3,-18.2,20.4,12,
130,Seg1-130,[NWG2010] Seg1 130,10:05:49.10,+15:37:43.9,21.49,21.05,-18.0,-27.2,32.6,-68,
133,Seg1-133,[NWG2010] Seg1 133,10:06:12.02,+15:45:48.5,20.08,19.59,-12.5,-19.1,22.8,327,
137,Seg1-137,[NWG2010] Seg1 137,10:06:26.43,+15:49:37.6,20.11,19.43,-9.0,-15.3,17.8,82,
139,Seg1-139,[NWG2010] Seg1 139,10:06:20.04,+16:01:02.7,19.23,18.40,-10.6,-3.9,11.2,95,
141,Seg1-141,[NWG2010] Seg1 141,10:05:28.24,+15:34:40.7,19.91,19.44,-23.1,-30.2,38.0,57,
143,Seg1-143,[NWG2010] Seg1 143,10:05:39.93,+15:35:47.4,20.20,19.68,-20.2,-29.1,35.5,-67,
147,Seg1-147,[NWG2010] Seg1 147,10:06:06.39,+15:47:09.5,19.38,18.72,-13.9,-17.8,22.5,35,
148,Seg1-148,[NWG2010] Seg1 148,10:06:21.43,+15:52:28.2,18.98,18.29,-10.2,-12.4,16.1,100,
154,Seg1-154,[NWG2010] Seg1 154,10:05:03.32,+15:40:48.3,17.52,16.60,-29.0,-24.1,37.7,95,
156,Seg1-156,[NWG2010] Seg1 156,10:06:10.80,+15:50:36.4,20.22,19.76,-12.8,-14.3,19.2,-8,
157,Seg1-157,[NWG2010] Seg1 157,10:06:36.70,+15:54:13.0,20.27,19.76,-6.6,-10.7,12.6,-20,
160,Seg1-160,[NWG2010] Seg1 160,10:06:23.32,+15:55:04.8,19.75,19.11,-9.8,-9.8,13.9,81,
161,Seg1-161,[NWG2010] Seg1 161,10:06:39.33,+16:00:08.6,19.46,18.91,-5.9,-4.8,7.6,269,
163,Seg1-163,[NWG2010] Seg1 163,10:05:51.38,+15:50:21.1,19.23,18.41,-17.5,-14.6,22.7,137,
173,Seg1-173,[NWG2010] Seg1 173,10:05:30.59,+15:54:18.1,19.80,19.29,-22.5,-10.6,24.8,305,
174,Seg1-174,[NWG2010] Seg1 174,10:05:20.06,+15:51:23.7,20.07,19.31,-25.0,-13.5,28.4,3,
175,Seg1-175,[NWG2010] Seg1 175,10:05:00.99,+15:52:59.0,19.62,19.07,-29.6,-11.9,31.9,-15,
175,Seg1-175,[NWG2010] Seg1 175,10:05:00.99,+15:52:59.0,19.62,19.07,-29.6,-11.9,31.9,-28,
177,Seg1-177,[NWG2010] Seg1 177,10:05:27.03,+15:56:34.2,18.39,17.66,-23.3,-8.3,24.8,94,
179,Seg1-179,[NWG2010] Seg1 179,10:04:49.96,+15:56:22.9,18.49,17.87,-32.2,-8.5,33.3,83,
180,Seg1-180,[NWG2010] Seg1 180,10:06:21.88,+15:53:03.4,19.18,18.51,-10.1,-11.9,15.6,-23,
181,Seg1-181,[NWG2010] Seg1 181,10:06:35.55,+16:04:15.0,18.69,17.99,-6.8,-0.7,6.9,69,
182,Seg1-182,[NWG2010] Seg1 182,10:06:10.62,+15:58:30.7,17.40,16.53,-12.8,-6.4,14.3,-11,
188,Seg1-188,[NWG2010] Seg1 188,10:06:34.93,+15:57:16.2,17.32,16.46,-7.0,-7.6,10.4,72,
194,Seg1-194,[NWG2010] Seg1 194,10:04:47.97,+16:03:48.6,19.54,18.92,-32.7,-1.1,32.7,139,
195,Seg1-195,[NWG2010] Seg1 195,10:04:28.53,+15:55:59.1,18.05,17.31,-37.4,-8.9,38.4,76,
198,Seg1-198,[NWG2010] Seg1 198,10:04:42.58,+15:56:47.9,17.25,16.50,-34.0,-8.1,34.9,11,
201,Seg1-201,[NWG2010] Seg1 201,10:05:20.71,+16:06:36.7,18.03,17.07,-24.8,1.7,24.9,95,
210,Seg1-210,[NWG2010] Seg1 210,10:06:14.87,+16:08:58.7,20.10,19.33,-11.8,4.1,12.5,45,
211,Seg1-211,[NWG2010] Seg1 211,10:06:47.73,+16:04:25.2,17.98,17.03,-3.9,-0.5,3.9,34,
214,Seg1-214,[NWG2010] Seg1 214,10:06:33.62,+16:09:08.9,19.47,18.78,-7.3,4.2,8.4,7,
217,Seg1-217,[NWG2010] Seg1 217,10:06:00.16,+16:05:18.6,20.20,19.51,-15.3,0.4,15.3,242,
222,Seg1-222,[NWG2010] Seg1 222,10:05:17.23,+16:20:35.6,18.08,17.43,-25.6,15.7,30.0,105,
231,Seg1-231,[NWG2010] Seg1 231,10:05:20.36,+16:24:39.6,17.47,16.50,-24.9,19.8,31.8,-14,
237,Seg1-237,[NWG2010] Seg1 237,10:06:57.78,+16:07:35.8,18.73,17.96,-1.5,2.7,3.1,86,
238,Seg1-238,[NWG2010] Seg1 238,10:06:06.74,+16:16:48.6,19.66,18.89,-13.7,11.9,18.2,9,
240,Seg1-240,[NWG2010] Seg1 240,10:06:18.00,+16:12:20.9,20.14,19.45,-11.0,7.4,13.3,146,
241,Seg1-241,[NWG2010] Seg1 241,10:06:38.68,+16:09:42.5,18.66,17.79,-6.1,4.8,7.7,75,
242,Seg1-242,[NWG2010] Seg1 242,10:06:08.75,+16:12:52.2,18.57,17.91,-13.3,8.0,15.5,69,
247,Seg1-247,[NWG2010] Seg1 247,10:05:51.62,+16:12:54.3,18.21,17.30,-17.4,8.0,19.1,73,
251,Seg1-251,[NWG2010] Seg1 251,10:06:29.98,+16:20:12.2,18.14,17.45,-8.2,15.3,17.3,35,
258,Seg1-258,[NWG2010] Seg1 258,10:06:23.61,+16:17:59.6,17.66,16.94,-9.7,13.1,16.3,123,
259,Seg1-259,[NWG2010] Seg1 259,10:06:13.78,+16:16:58.6,19.62,18.84,-12.1,12.1,17.1,21,
265,Seg1-265,[NWG2010] Seg1 265,10:05:44.53,+16:36:11.1,18.69,18.10,-19.0,31.3,36.6,-62,
273,Seg1-273,[NWG2010] Seg1 273,10:05:44.64,+16:37:37.8,17.56,16.74,-19.0,32.7,37.8,46,
274,Seg1-274,[NWG2010] Seg1 274,10:06:28.54,+16:16:33.6,17.78,16.93,-8.5,11.6,14.4,-44,
275,Seg1-275,[NWG2010] Seg1 275,10:05:40.52,+16:38:55.1,17.97,17.21,-20.0,34.0,39.5,71,
276,Seg1-276,[NWG2010] Seg1 276,10:06:28.86,+16:35:06.3,18.74,18.13,-8.4,30.2,31.3,91,
278,Seg1-278,[NWG2010] Seg1 278,10:06:26.25,+16:29:45.9,18.34,17.70,-9.0,24.9,26.4,46,
280,Seg1-280,[NWG2010] Seg1 280,10:06:11.70,+16:24:58.6,18.87,18.12,-12.5,20.1,23.7,-37,
295,Seg1-295,[NWG2010] Seg1 295,10:07:07.58,+16:38:49.6,17.89,17.03,0.9,33.9,33.9,-9,
299,Seg1-299,[NWG2010] Seg1 299,10:06:58.49,+16:20:45.6,19.84,19.20,-1.3,15.8,15.9,295,
302,Seg1-302,[NWG2010] Seg1 302,10:06:38.05,+16:42:45.2,17.73,16.77,-6.2,37.8,38.3,-46,
311,Seg1-311,[NWG2010] Seg1 311,10:07:07.57,+16:43:48.2,17.76,16.81,0.9,38.9,38.9,10,
312,Seg1-312,[NWG2010] Seg1 312,10:07:39.91,+16:29:21.3,18.71,17.84,8.6,24.4,25.9,141,
325,Seg1-325,[NWG2010] Seg1 325,10:07:29.83,+16:29:50.7,17.59,16.60,6.2,24.9,25.7,35,
326,Seg1-326,[NWG2010] Seg1 326,10:07:39.36,+16:18:19.4,18.05,17.30,8.5,13.4,15.9,105,
327,Seg1-327,[NWG2010] Seg1 327,10:08:20.61,+16:34:51.7,18.26,17.48,18.4,30.0,35.1,-5,
331,Seg1-331,[NWG2010] Seg1 331,10:07:43.47,+16:22:59.3,18.28,17.41,9.5,18.1,20.4,42,
333,Seg1-333,[NWG2010] Seg1 333,10:08:19.15,+16:23:46.8,19.08,18.45,18.0,18.9,26.1,16,
335,Seg1-335,[NWG2010] Seg1 335,10:07:30.00,+16:20:11.8,17.37,16.56,6.2,15.3,16.5,64,
338,Seg1-338,[NWG2010] Seg1 338,10:08:39.66,+16:28:26.7,19.16,18.58,22.9,23.6,32.9,288,
340,Seg1-340,[NWG2010] Seg1 340,10:08:11.98,+16:38:15.2,17.82,16.99,16.3,33.3,37.1,4,
342,Seg1-342,[NWG2010] Seg1 342,10:08:01.37,+16:22:17.3,18.54,17.82,13.8,17.4,22.2,37,
343,Seg1-343,[NWG2010] Seg1 343,10:08:33.19,+16:37:52.3,19.10,18.50,21.4,33.0,39.3,144,
345,Seg1-345,[NWG2010] Seg1 345,10:08:46.20,+16:29:27.8,17.69,16.83,24.5,24.6,34.7,-20,
346,Seg1-346,[NWG2010] Seg1 346,10:08:11.13,+16:23:09.1,19.50,18.94,16.1,18.2,24.3,98,
352,Seg1-352,[NWG2010] Seg1 352,10:08:16.68,+16:31:38.9,17.76,17.00,17.4,26.7,31.9,102,
355,Seg1-355,[NWG2010] Seg1 355,10:08:25.17,+16:16:51.2,19.18,18.48,19.5,12.0,22.9,24,
356,Seg1-356,[NWG2010] Seg1 356,10:07:22.63,+16:08:47.3,18.83,18.10,4.5,3.9,5.9,-12,
358,Seg1-358,[NWG2010] Seg1 358,10:09:07.00,+16:27:52.9,19.39,18.76,29.5,23.0,37.4,133,
358,Seg1-358,[NWG2010] Seg1 358,10:09:07.00,+16:27:52.9,19.39,18.76,29.5,23.0,37.4,145,
370,Seg1-370,[NWG2010] Seg1 370,10:08:20.27,+16:17:32.4,17.70,16.75,18.3,12.6,22.2,-23,
371,Seg1-371,[NWG2010] Seg1 371,10:08:10.23,+16:11:32.0,18.41,17.75,15.9,6.6,17.2,22,
372,Seg1-372,[NWG2010] Seg1 372,10:08:08.44,+16:21:54.5,19.07,18.27,15.5,17.0,23.0,102,
382,Seg1-382,[NWG2010] Seg1 382,10:07:47.17,+16:08:37.8,18.42,17.62,10.4,3.7,11.0,-60,
387,Seg1-387,[NWG2010] Seg1 387,10:08:28.30,+16:09:12.8,19.34,18.74,20.2,4.3,20.7,14,
388,Seg1-388,[NWG2010] Seg1 388,10:08:22.51,+16:05:14.2,17.97,17.23,18.9,0.3,18.9,-14,
388,Seg1-388,[NWG2010] Seg1 388,10:08:22.51,+16:05:14.2,17.97,17.23,18.9,0.3,18.9,-7,
390,Seg1-390,[NWG2010] Seg1 390,10:08:52.27,+16:07:45.7,18.22,17.37,26.0,2.9,26.2,35,
391,Seg1-391,[NWG2010] Seg1 391,10:08:50.08,+16:01:52.3,17.89,17.03,25.5,-3.0,25.7,-13,
