JINA_ID ,Reference     ,Name ,Simbad_Identifier ,Loc ,RA_hms  ,DEC_dms         ,RA_deg    ,DEC_deg   ,Fe/H  ,Teff ,logg ,Vmic ,Li ,Be ,C ,N ,O ,F ,Na ,Mg   ,Al ,Si ,P ,S ,K ,Ca ,Sc    ,Ti   ,V ,Cr   ,Mn   ,Fe ,Co ,Ni   ,Cu ,Zn   ,Ga ,Ge ,As ,Se ,Rb ,Sr    ,Y ,Zr ,Nb ,Mo ,Ru ,Rh ,Pd ,Ag ,Cd ,Sn ,Te ,Ba    ,La ,Ce ,Pr ,Nd ,Sm ,Eu    ,Gd ,Tb ,Dy ,Ho ,Er ,Tm ,Yb ,Lu ,Hf ,W ,Os ,Ir ,Pt ,Au ,Hg ,Pb ,Bi ,Th ,U ,CaII ,TiII ,VII ,CrII ,MnII ,FeII ,Added_by
   6687 ,Reichert+2020 ,     ,                  ,    ,13:26.1 ,+67:16:22.69200 ,228.35865 ,67.27297  ,-3.21 ,4476 ,0.77 ,     ,   ,   ,  ,  ,  ,  ,   ,4.83 ,   ,   ,  ,  ,  ,   ,      ,1.98 ,  ,2.03 ,     ,   ,   ,2.7  ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-1.93 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6444 ,Reichert+2020 ,     ,                  ,    ,08:10.0 ,+67:17:24.93600 ,227.04185 ,67.29026  ,-2.1  ,4356 ,0.7  ,     ,   ,   ,  ,  ,  ,  ,   ,5.93 ,   ,   ,  ,  ,  ,   ,0.9   ,     ,  ,     ,     ,   ,   ,4.05 ,   ,2.4  ,   ,   ,   ,   ,   ,0.54  ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-0.17 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6686 ,Reichert+2020 ,     ,                  ,    ,10:27.1 ,+67:24:36.14400 ,227.61295 ,67.41004  ,-1.88 ,4340 ,0.72 ,     ,   ,   ,  ,  ,  ,  ,   ,5.91 ,   ,   ,  ,  ,  ,   ,0.74  ,3.52 ,  ,     ,2.92 ,   ,   ,4.28 ,   ,2.65 ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0.57  ,   ,   ,   ,   ,   ,-0.56 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6685 ,Reichert+2020 ,     ,                  ,    ,13:12.3 ,+67:33:20.52000 ,228.30138 ,67.5557   ,-2.14 ,4260 ,0.6  ,     ,   ,   ,  ,  ,  ,  ,   ,6.04 ,   ,   ,  ,  ,  ,   ,0.95  ,3.16 ,  ,     ,2.61 ,   ,   ,4.09 ,   ,2.11 ,   ,   ,   ,   ,   ,1.12  ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-0.93 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6684 ,Reichert+2020 ,     ,                  ,    ,11:24.3 ,+67:33:50.14800 ,227.85119 ,67.56393  ,-1.91 ,3910 ,0.37 ,     ,   ,   ,  ,  ,  ,  ,   ,5.58 ,   ,   ,  ,  ,  ,   ,0.79  ,3.02 ,  ,     ,2.35 ,   ,   ,3.85 ,   ,2.76 ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-0.14 ,   ,   ,   ,   ,   ,-0.94 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6531 ,Reichert+2020 ,     ,                  ,    ,14:28.0 ,-01:14:35.80800 ,153.61675 ,-1.24328  ,-2.93 ,4227 ,1.01 ,     ,   ,   ,  ,  ,  ,  ,   ,4.69 ,   ,   ,  ,  ,  ,   ,0.1   ,2.54 ,  ,     ,     ,   ,   ,2.91 ,   ,2.08 ,   ,   ,   ,   ,   ,0.18  ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-1.79 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6481 ,Reichert+2020 ,     ,                  ,    ,13:17.1 ,-01:26:38.11200 ,153.32144 ,-1.44392  ,-2.1  ,4587 ,1.52 ,     ,   ,   ,  ,  ,  ,  ,   ,5.5  ,   ,   ,  ,  ,  ,   ,1.18  ,3.18 ,  ,2.85 ,     ,   ,   ,4.11 ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-0.02 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6706 ,Reichert+2020 ,     ,                  ,    ,12:59.5 ,-01:28:3.50400  ,153.24786 ,-1.46764  ,-2.07 ,4748 ,1.85 ,     ,   ,   ,  ,  ,  ,  ,   ,5.28 ,   ,   ,  ,  ,  ,   ,      ,     ,  ,3.08 ,     ,   ,   ,5.25 ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0.13  ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6709 ,Reichert+2020 ,     ,                  ,    ,13:12.5 ,-01:29:17.23200 ,153.30195 ,-1.48812  ,-1.75 ,4870 ,1.98 ,     ,   ,   ,  ,  ,  ,  ,   ,5.46 ,   ,   ,  ,  ,  ,   ,      ,     ,  ,3.99 ,     ,   ,   ,4.93 ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0.4   ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6704 ,Reichert+2020 ,     ,                  ,    ,13:09.9 ,-01:29:35.01600 ,153.2914  ,-1.49306  ,-2.19 ,4712 ,1.73 ,     ,   ,   ,  ,  ,  ,  ,   ,5.62 ,   ,   ,  ,  ,  ,   ,0.83  ,3.23 ,  ,2.78 ,     ,   ,   ,4.03 ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0.51  ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
