Found,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,FLUX_B_1,FLUX_V_1,FLUX_R_1,FLUX_I_1,FLUX_J_1,FLUX_H_1,FLUX_K_1,OTYPE_2,SP_TYPE_2,RA_3,DEC_3,PMRA_2,PMDEC_2,PLX_VALUE_2,RV_VALUE_2,FLUX_U_1,FLUX_B_2,FLUX_V_2,FLUX_R_2,FLUX_I_2,FLUX_J_2,FLUX_H_2,FLUX_K_2,OTYPE_3,SP_TYPE_3,RA_4,DEC_4,PMRA_3,PMDEC_3,PLX_VALUE_3,RV_VALUE_3,SCRIPT_NUMBER_ID
True,2MASS J00593500-3350557,GB07 Scl93,00 59 35.0237,-33 50 55.932,14,14,0.078,0.0428,90,A,O,2020yCat.1350....0G,,,18.235,,17.184,16.23,15.66,15.38,RGB*,,00 59 35.0237,-33 50 55.932,0.077,-0.147,,119.89,,18.235,,17.184,16.23,15.66,15.38,RGB*,,00 59 35.0237,-33 50 55.932,0.077,-0.147,,119.89,,,18.235,,17.184,16.23,15.66,15.38,RGB*,,00 59 35.0237,-33 50 55.932,0.077,-0.147,,119.89,1
True,2MASS J00593698-3330283,GB07 Scl03,00 59 36.9963,-33 30 28.411,14,14,0.0749,0.033,90,A,O,2020yCat.1350....0G,,,17.706,,16.43,15.49,14.86,14.63,RGB*,,00 59 36.9963,-33 30 28.411,0.048,-0.117,0.0598,99.81,,17.706,,16.43,15.49,14.86,14.63,RGB*,,00 59 36.9963,-33 30 28.411,0.048,-0.117,0.0598,99.81,,,17.706,,16.43,15.49,14.86,14.63,RGB*,,00 59 36.9963,-33 30 28.411,0.048,-0.117,0.0598,99.81,1
True,2MASS J00593723-3337106,GB07 Scl20,00 59 37.2296,-33 37 10.669,14,14,0.0581,0.0291,90,A,O,2020yCat.1350....0G,,,17.608,,16.339,15.29,14.54,14.29,RGB*,,00 59 37.2296,-33 37 10.669,0.087,-0.217,0.1088,108.266998,,17.608,,16.339,15.29,14.54,14.29,RGB*,,00 59 37.2296,-33 37 10.669,0.087,-0.217,0.1088,108.266998,,,17.608,,16.339,15.29,14.54,14.29,RGB*,,00 59 37.2296,-33 37 10.669,0.087,-0.217,0.1088,108.266998,1
True,2MASS J00593757-3343336,GB07 Scl56,00 59 37.5751,-33 43 33.604,14,14,0.0735,0.0374,90,A,O,2020yCat.1350....0G,,,18.012,,16.734,15.97,15.19,14.96,RGB*,,00 59 37.5751,-33 43 33.604,-0.005,-0.064,,119.11,,18.012,,16.734,15.97,15.19,14.96,RGB*,,00 59 37.5751,-33 43 33.604,-0.005,-0.064,,119.11,,,18.012,,16.734,15.97,15.19,14.96,RGB*,,00 59 37.5751,-33 43 33.604,-0.005,-0.064,,119.11,1
True,2MASS J00593811-3335080,GB07 Scl08,00 59 38.1221,-33 35 08.118,14,14,0.062,0.0296,90,A,O,2020yCat.1350....0G,,,17.537,,16.157,15.34,14.52,14.63,RGB*,,00 59 38.1221,-33 35 08.118,0.157,-0.216,0.17,118.431999,,17.537,,16.157,15.34,14.52,14.63,RGB*,,00 59 38.1221,-33 35 08.118,0.157,-0.216,0.17,118.431999,,,17.537,,16.157,15.34,14.52,14.63,RGB*,,00 59 38.1221,-33 35 08.118,0.157,-0.216,0.17,118.431999,1
True,2MASS J00594045-3335539,GB07 Scl10,00 59 40.4694,-33 35 53.980,14,14,0.0659,0.033,90,A,O,2020yCat.1350....0G,,,17.699,,16.427,15.62,15.02,14.9,RGB*,,00 59 40.4694,-33 35 53.980,-0.002,-0.177,,101.35,,17.699,,16.427,15.62,15.02,14.9,RGB*,,00 59 40.4694,-33 35 53.980,-0.002,-0.177,,101.35,,,17.699,,16.427,15.62,15.02,14.9,RGB*,,00 59 40.4694,-33 35 53.980,-0.002,-0.177,,101.35,1
True,2MASS J00594140-3338470,GB07 Scl25,00 59 41.4061,-33 38 47.128,14,14,0.0549,0.0299,90,A,O,2020yCat.1350....0G,,,17.615,,16.387,15.35,14.64,14.45,RGB*,,00 59 41.4061,-33 38 47.128,0.103,-0.215,0.0179,114.189003,,17.615,,16.387,15.35,14.64,14.45,RGB*,,00 59 41.4061,-33 38 47.128,0.103,-0.215,0.0179,114.189003,,,17.615,,16.387,15.35,14.64,14.45,RGB*,,00 59 41.4061,-33 38 47.128,0.103,-0.215,0.0179,114.189003,1
True,2MASS J00594258-3342182,SCMS 1433,00 59 42.5847,-33 42 18.221,14,14,0.0536,0.0284,90,A,O,2020yCat.1350....0G,,18.95,17.563,,16.15,15.15,14.5,14.36,RGB*,,00 59 42.5847,-33 42 18.221,0.125,-0.246,0.1761,103.196999,18.95,17.563,,16.15,15.15,14.5,14.36,RGB*,,00 59 42.5847,-33 42 18.221,0.125,-0.246,0.1761,103.196999,,18.95,17.563,,16.15,15.15,14.5,14.36,RGB*,,00 59 42.5847,-33 42 18.221,0.125,-0.246,0.1761,103.196999,1
True,2MASS J00594490-3344350,GB07 Scl65,00 59 44.9121,-33 44 35.086,14,14,0.0757,0.0385,90,A,O,2020yCat.1350....0G,,,18.126,,16.829,16.14,15.23,14.99,RGB*,,00 59 44.9121,-33 44 35.086,0.111,-0.123,0.1607,101.079002,,18.126,,16.829,16.14,15.23,14.99,RGB*,,00 59 44.9121,-33 44 35.086,0.111,-0.123,0.1607,101.079002,,,18.126,,16.829,16.14,15.23,14.99,RGB*,,00 59 44.9121,-33 44 35.086,0.111,-0.123,0.1607,101.079002,1
True,2MASS J00594529-3343540,2MASS J00594529-3343540,00 59 45.3196,-33 43 53.844,14,14,0.0677,0.0353,90,A,O,2020yCat.1350....0G,,19.01,17.913,,16.689,16.0,15.51,15.29,RGB*,,00 59 45.3196,-33 43 53.844,0.108,-0.033,0.05,119.79,19.01,17.913,,16.689,16.0,15.51,15.29,RGB*,,00 59 45.3196,-33 43 53.844,0.108,-0.033,0.05,119.79,,19.01,17.913,,16.689,16.0,15.51,15.29,RGB*,,00 59 45.3196,-33 43 53.844,0.108,-0.033,0.05,119.79,1
True,2MASS J00594721-3333370,GB07 Scl05,00 59 47.2196,-33 33 37.069,14,14,0.0695,0.0308,90,A,O,2020yCat.1350....0G,,,17.608,,16.451,15.43,14.82,14.77,RGB*,,00 59 47.2196,-33 33 37.069,0.145,-0.19,0.0337,105.223999,,17.608,,16.451,15.43,14.82,14.77,RGB*,,00 59 47.2196,-33 33 37.069,0.145,-0.19,0.0337,105.223999,,,17.608,,16.451,15.43,14.82,14.77,RGB*,,00 59 47.2196,-33 33 37.069,0.145,-0.19,0.0337,105.223999,1
True,2MASS J00594768-3347293,FBMC Sculptor  8,00 59 47.6780,-33 47 29.414,14,14,0.0582,0.0309,90,A,O,2020yCat.1350....0G,,,17.814,,16.426,15.39,14.86,14.56,RGB*,M,00 59 47.6780,-33 47 29.414,0.062,-0.132,,111.744003,,17.814,,16.426,15.39,14.86,14.56,RGB*,M,00 59 47.6780,-33 47 29.414,0.062,-0.132,,111.744003,,,17.814,,16.426,15.39,14.86,14.56,RGB*,M,00 59 47.6780,-33 47 29.414,0.062,-0.132,,111.744003,1
True,2MASS J00594992-3344050,SCMS  237,00 59 49.9183,-33 44 05.071,14,14,0.0629,0.0337,90,A,O,2020yCat.1350....0G,,18.92,17.827,,16.57,15.751,15.227,15.406,RGB*,,00 59 49.9183,-33 44 05.071,0.113,-0.199,0.1034,103.94,18.92,17.827,,16.57,15.751,15.227,15.406,RGB*,,00 59 49.9183,-33 44 05.071,0.113,-0.199,0.1034,103.94,,18.92,17.827,,16.57,15.751,15.227,15.406,RGB*,,00 59 49.9183,-33 44 05.071,0.113,-0.199,0.1034,103.94,1
True,2MASS J00595306-3343583,SCMS  240,00 59 53.0842,-33 43 58.559,14,14,0.0939,0.0491,90,A,O,2020yCat.1350....0G,,19.52,18.47,,17.31,16.33,15.71,15.9,RGB*,,00 59 53.0842,-33 43 58.559,-0.161,-0.086,0.0641,118.44,19.52,18.47,,17.31,16.33,15.71,15.9,RGB*,,00 59 53.0842,-33 43 58.559,-0.161,-0.086,0.0641,118.44,,19.52,18.47,,17.31,16.33,15.71,15.9,RGB*,,00 59 53.0842,-33 43 58.559,-0.161,-0.086,0.0641,118.44,1
True,2MASS J00595400-3337421,SCMS 1493,00 59 53.9904,-33 37 42.187,14,14,0.0685,0.033,90,A,O,2020yCat.1350....0G,,18.98,17.847,,16.568,15.78,15.16,14.93,RGB*,,00 59 53.9904,-33 37 42.187,0.126,-0.177,,126.538002,18.98,17.847,,16.568,15.78,15.16,14.93,RGB*,,00 59 53.9904,-33 37 42.187,0.126,-0.177,,126.538002,,18.98,17.847,,16.568,15.78,15.16,14.93,RGB*,,00 59 53.9904,-33 37 42.187,0.126,-0.177,,126.538002,1
True,2MASS J00595422-3340270,SCMS  287,00 59 54.2190,-33 40 27.064,14,14,0.0527,0.027,90,A,O,2020yCat.1350....0G,,18.84,17.48,,16.044,15.15,14.46,14.36,RGB*,,00 59 54.2190,-33 40 27.064,0.144,-0.179,0.0175,99.720001,18.84,17.48,,16.044,15.15,14.46,14.36,RGB*,,00 59 54.2190,-33 40 27.064,0.144,-0.179,0.0175,99.720001,,18.84,17.48,,16.044,15.15,14.46,14.36,RGB*,,00 59 54.2190,-33 40 27.064,0.144,-0.179,0.0175,99.720001,1
True,2MASS J00595448-3337533,2MASS J00595448-3337533,00 59 54.4771,-33 37 53.476,14,14,0.0658,0.0331,90,A,O,2020yCat.1350....0G,,18.76,17.77,,16.608,15.8,15.53,15.04,RGB*,,00 59 54.4771,-33 37 53.476,0.182,-0.175,0.0323,102.61,18.76,17.77,,16.608,15.8,15.53,15.04,RGB*,,00 59 54.4771,-33 37 53.476,0.182,-0.175,0.0323,102.61,,18.76,17.77,,16.608,15.8,15.53,15.04,RGB*,,00 59 54.4771,-33 37 53.476,0.182,-0.175,0.0323,102.61,1
True,2MASS J00595563-3333246,GB07 Scl04,00 59 55.6380,-33 33 24.702,14,14,0.0472,0.0217,90,A,O,2020yCat.1350....0G,,,16.89,,15.806,14.87,14.33,14.24,RGB*,,00 59 55.6380,-33 33 24.702,0.071,-0.097,0.0289,119.679001,,16.89,,15.806,14.87,14.33,14.24,RGB*,,00 59 55.6380,-33 33 24.702,0.071,-0.097,0.0289,119.679001,,,16.89,,15.806,14.87,14.33,14.24,RGB*,,00 59 55.6380,-33 33 24.702,0.071,-0.097,0.0289,119.679001,1
True,2MASS J00595568-3346400,SCMS  195,00 59 55.6838,-33 46 40.033,14,14,0.0419,0.0229,90,A,O,2020yCat.1350....0G,,18.48,17.233,,15.845,14.98,14.29,14.25,RGB*,,00 59 55.6838,-33 46 40.033,0.162,-0.27,0.0809,122.067001,18.48,17.233,,15.845,14.98,14.29,14.25,RGB*,,00 59 55.6838,-33 46 40.033,0.162,-0.27,0.0809,122.067001,,18.48,17.233,,15.845,14.98,14.29,14.25,RGB*,,00 59 55.6838,-33 46 40.033,0.162,-0.27,0.0809,122.067001,1
True,2MASS J00595586-3345435,SCMS  203,00 59 55.8742,-33 45 43.659,14,14,0.0814,0.0456,90,A,O,2020yCat.1350....0G,,19.41,18.356,,17.188,16.54,16.02,15.82,RGB*,,00 59 55.8742,-33 45 43.659,0.173,-0.285,0.0793,105.58,19.41,18.356,,17.188,16.54,16.02,15.82,RGB*,,00 59 55.8742,-33 45 43.659,0.173,-0.285,0.0793,105.58,,19.41,18.356,,17.188,16.54,16.02,15.82,RGB*,,00 59 55.8742,-33 45 43.659,0.173,-0.285,0.0793,105.58,1
True,2MASS J00595660-3336417,SCMS 1499,00 59 56.6032,-33 36 41.785,14,14,0.0543,0.0278,90,A,O,2020yCat.1350....0G,,18.64,17.434,,16.231,15.16,14.57,14.39,RGB*,,00 59 56.6032,-33 36 41.785,0.076,-0.198,0.0099,100.834999,18.64,17.434,,16.231,15.16,14.57,14.39,RGB*,,00 59 56.6032,-33 36 41.785,0.076,-0.198,0.0099,100.834999,,18.64,17.434,,16.231,15.16,14.57,14.39,RGB*,,00 59 56.6032,-33 36 41.785,0.076,-0.198,0.0099,100.834999,1
True,2MASS J00595826-3345507,FBMC Sculptor  7,00 59 58.2472,-33 45 50.679,14,14,0.0539,0.0298,90,A,O,2020yCat.1350....0G,,19.01,17.723,,16.367,15.52,14.86,14.75,RGB*,M?,00 59 58.2472,-33 45 50.679,0.162,-0.213,,100.536003,19.01,17.723,,16.367,15.52,14.86,14.75,RGB*,M?,00 59 58.2472,-33 45 50.679,0.162,-0.213,,100.536003,,19.01,17.723,,16.367,15.52,14.86,14.75,RGB*,M?,00 59 58.2472,-33 45 50.679,0.162,-0.213,,100.536003,1
True,2MASS J00595827-3341087,SCMS  648,00 59 58.2618,-33 41 08.665,14,14,0.0684,0.0307,90,A,O,2020yCat.1350....0G,,18.89,17.679,,16.324,15.47,14.79,14.64,RGB*,,00 59 58.2618,-33 41 08.665,0.154,-0.167,0.1129,105.514,18.89,17.679,,16.324,15.47,14.79,14.64,RGB*,,00 59 58.2618,-33 41 08.665,0.154,-0.167,0.1129,105.514,,18.89,17.679,,16.324,15.47,14.79,14.64,RGB*,,00 59 58.2618,-33 41 08.665,0.154,-0.167,0.1129,105.514,1
True,2MASS J00595831-3334406,GB07 Scl07,00 59 58.3138,-33 34 40.465,14,14,0.0833,0.0378,90,A,O,2020yCat.1350....0G,,,17.983,,16.7,15.86,15.27,15.15,RGB*,,00 59 58.3138,-33 34 40.465,0.039,-0.106,,106.56,,17.983,,16.7,15.86,15.27,15.15,RGB*,,00 59 58.3138,-33 34 40.465,0.039,-0.106,,106.56,,,17.983,,16.7,15.86,15.27,15.15,RGB*,,00 59 58.3138,-33 34 40.465,0.039,-0.106,,106.56,1
True,2MASS J00595966-3339319,SCMS  310,00 59 59.6480,-33 39 31.889,14,14,0.0768,0.0385,90,A,O,2020yCat.1350....0G,,19.15,18.031,,16.806,16.01,15.55,15.33,RGB*,,00 59 59.6480,-33 39 31.889,0.231,-0.345,0.0457,112.41,19.15,18.031,,16.806,16.01,15.55,15.33,RGB*,,00 59 59.6480,-33 39 31.889,0.231,-0.345,0.0457,112.41,,19.15,18.031,,16.806,16.01,15.55,15.33,RGB*,,00 59 59.6480,-33 39 31.889,0.231,-0.345,0.0457,112.41,1
True,2MASS J01000050-3349355,GB07 Scl88,01 00 00.5007,-33 49 35.622,14,14,0.0496,0.0267,90,A,O,2020yCat.1350....0G,,,17.512,,16.397,15.49,14.89,14.5,RGB*,,01 00 00.5007,-33 49 35.622,0.024,-0.114,0.0096,113.94,,17.512,,16.397,15.49,14.89,14.5,RGB*,,01 00 00.5007,-33 49 35.622,0.024,-0.114,0.0096,113.94,,,17.512,,16.397,15.49,14.89,14.5,RGB*,,01 00 00.5007,-33 49 35.622,0.024,-0.114,0.0096,113.94,1
True,2MASS J01000268-3330253,GB07 Scl01,01 00 02.6924,-33 30 25.307,14,14,0.0832,0.0362,90,A,O,2020yCat.1350....0G,,,18.017,,16.69,15.76,15.05,15.05,RGB*,,01 00 02.6924,-33 30 25.307,-0.014,-0.214,0.0645,111.227997,,18.017,,16.69,15.76,15.05,15.05,RGB*,,01 00 02.6924,-33 30 25.307,-0.014,-0.214,0.0645,111.227997,,,18.017,,16.69,15.76,15.05,15.05,RGB*,,01 00 02.6924,-33 30 25.307,-0.014,-0.214,0.0645,111.227997,1
True,2MASS J01000360-3339271,GB07 Scl29,01 00 03.6009,-33 39 27.082,14,14,0.0597,0.0295,90,A,O,2020yCat.1350....0G,,,17.607,,16.233,15.3,14.69,14.66,RGB*,,01 00 03.6009,-33 39 27.082,0.005,-0.196,0.0333,118.64,,17.607,,16.233,15.3,14.69,14.66,RGB*,,01 00 03.6009,-33 39 27.082,0.005,-0.196,0.0333,118.64,,,17.607,,16.233,15.3,14.69,14.66,RGB*,,01 00 03.6009,-33 39 27.082,0.005,-0.196,0.0333,118.64,1
True,2MASS J01000419-3343324,SCMS  874,01 00 04.1647,-33 43 32.437,14,14,0.0752,0.0379,90,A,O,2020yCat.1350....0G,,19.12,18.068,,16.916,16.24,15.59,15.1,RGB*,,01 00 04.1647,-33 43 32.437,-0.107,-0.115,0.0451,112.43,19.12,18.068,,16.916,16.24,15.59,15.1,RGB*,,01 00 04.1647,-33 43 32.437,-0.107,-0.115,0.0451,112.43,,19.12,18.068,,16.916,16.24,15.59,15.1,RGB*,,01 00 04.1647,-33 43 32.437,-0.107,-0.115,0.0451,112.43,1
True,2MASS J01000697-3347095,SCMS  165,01 00 06.9734,-33 47 09.509,14,14,0.0616,0.0326,90,A,O,2020yCat.1350....0G,,18.99,17.942,,16.596,15.85,15.15,15.05,RGB*,,01 00 06.9734,-33 47 09.509,0.018,-0.064,,111.190002,18.99,17.942,,16.596,15.85,15.15,15.05,RGB*,,01 00 06.9734,-33 47 09.509,0.018,-0.064,,111.190002,,18.99,17.942,,16.596,15.85,15.15,15.05,RGB*,,01 00 06.9734,-33 47 09.509,0.018,-0.064,,111.190002,1
True,2MASS J01000758-3337039,SCMS 1522,01 00 07.5807,-33 37 03.873,14,14,0.0569,0.0276,90,A,O,2020yCat.1350....0G,,18.74,17.457,,16.185,15.29,14.62,14.44,RGB*,,01 00 07.5807,-33 37 03.873,0.091,-0.228,0.0835,113.427002,18.74,17.457,,16.185,15.29,14.62,14.44,RGB*,,01 00 07.5807,-33 37 03.873,0.091,-0.228,0.0835,113.427002,,18.74,17.457,,16.185,15.29,14.62,14.44,RGB*,,01 00 07.5807,-33 37 03.873,0.091,-0.228,0.0835,113.427002,1
True,2MASS J01000919-3336094,SCMS 1530,01 00 09.1891,-33 36 09.402,14,14,0.0709,0.035,90,A,O,2020yCat.1350....0G,,19.07,17.924,,16.657,15.91,15.12,15.13,RGB*,,01 00 09.1891,-33 36 09.402,0.088,-0.164,0.0794,120.330002,19.07,17.924,,16.657,15.91,15.12,15.13,RGB*,,01 00 09.1891,-33 36 09.402,0.088,-0.164,0.0794,120.330002,,19.07,17.924,,16.657,15.91,15.12,15.13,RGB*,,01 00 09.1891,-33 36 09.402,0.088,-0.164,0.0794,120.330002,1
True,2MASS J01001051-3349366,SCMS 1314,01 00 10.4927,-33 49 36.752,14,14,0.062,0.0325,90,A,O,2020yCat.1350....0G,,18.98,17.829,,16.533,15.64,15.07,15.09,RGB*,,01 00 10.4927,-33 49 36.752,-0.019,-0.107,0.1516,117.43,18.98,17.829,,16.533,15.64,15.07,15.09,RGB*,,01 00 10.4927,-33 49 36.752,-0.019,-0.107,0.1516,117.43,,18.98,17.829,,16.533,15.64,15.07,15.09,RGB*,,01 00 10.4927,-33 49 36.752,-0.019,-0.107,0.1516,117.43,1
True,2MASS J01001174-3344503,2MASS J01001174-3344503,01 00 11.7319,-33 44 50.369,14,14,0.0633,0.0311,90,A,O,2020yCat.1350....0G,,18.84,17.809,,16.58,15.85,15.23,15.16,RGB*,,01 00 11.7319,-33 44 50.369,0.165,-0.13,,-183.944,18.84,17.809,,16.58,15.85,15.23,15.16,RGB*,,01 00 11.7319,-33 44 50.369,0.165,-0.13,,-183.944,,18.84,17.809,,16.58,15.85,15.23,15.16,RGB*,,01 00 11.7319,-33 44 50.369,0.165,-0.13,,-183.944,1
True,2MASS J01001181-3342169,SCMS 1072,01 00 11.7997,-33 42 16.971,14,14,0.0648,0.0322,90,A,O,2020yCat.1350....0G,,19.05,17.786,,16.44,15.45,14.78,14.7,RGB*,,01 00 11.7997,-33 42 16.971,0.158,-0.302,0.0668,112.232002,19.05,17.786,,16.44,15.45,14.78,14.7,RGB*,,01 00 11.7997,-33 42 16.971,0.158,-0.302,0.0668,112.232002,,19.05,17.786,,16.44,15.45,14.78,14.7,RGB*,,01 00 11.7997,-33 42 16.971,0.158,-0.302,0.0668,112.232002,1
