JINA_ID,Simbad_Identifier,Reference,RA_hms,DEC_dms,epsfe,[Fe/H],epsc,ulc,[C/H],ul[C/H],[C/Fe],ul[C/Fe],ecc,Z_max,Name,Ref,I/O,Ncap_key,C_key,MP_key,Loc,System,RA_deg,DEC_deg,NLTE,alpha_key,Type,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Added_by,epsli,epsbe,epsn,epso,epsf,epsna,epsmg,epsal,epssi,epsp,epss,epsk,epsca,epssc,epsti1,epsv,epscr,epsmn,epsco,epsni,epscu,epszn,epsga,epsge,epsas,epsse,epsrb,epssr,epsy,epszr,epsnb,epsmo,epsru,epsrh,epspd,epsag,epscd,epssn,epste,epsba,epsla,epsce,epspr,epsnd,epssm,epseu,epsgd,epstb,epsdy,epsho,epser,epstm,epsyb,epslu,epshf,epsw,epsos,epsir,epspt,epsau,epshg,epspb,epsbi,epsth,epsu,epsca2,epsti,epsv2,epscr2,epsmn2,epsfe2,ulli,ulbe,uln,ulo,ulf,ulna,ulmg,ulal,ulsi,ulp,uls,ulk,ulca,ulsc,ulti1,ulv,ulcr,ulmn,ulfe,ulco,ulni,ulcu,ulzn,ulga,ulge,ulas,ulse,ulrb,ulsr,uly,ulzr,ulnb,ulmo,ulru,ulrh,ulpd,ulag,ulcd,ulsn,ulte,ulba,ulla,ulce,ulpr,ulnd,ulsm,uleu,ulgd,ultb,uldy,ulho,uler,ultm,ulyb,ullu,ulhf,ulw,ulos,ulir,ulpt,ulau,ulhg,ulpb,ulbi,ulth,ulu,ulca2,ulti,ulv2,ulcr2,ulmn2,ulfe2,[Li/H],[Be/H],[N/H],[O/H],[F/H],[Na/H],[Mg/H],[Al/H],[Si/H],[P/H],[S/H],[K/H],[Ca/H],[Sc/H],[Ti1/H],[V/H],[Cr/H],[Mn/H],[Co/H],[Ni/H],[Cu/H],[Zn/H],[Ga/H],[Ge/H],[As/H],[Se/H],[Rb/H],[Sr/H],[Y/H],[Zr/H],[Nb/H],[Mo/H],[Ru/H],[Rh/H],[Pd/H],[Ag/H],[Cd/H],[Sn/H],[Te/H],[Ba/H],[La/H],[Ce/H],[Pr/H],[Nd/H],[Sm/H],[Eu/H],[Gd/H],[Tb/H],[Dy/H],[Ho/H],[Er/H],[Tm/H],[Yb/H],[Lu/H],[Hf/H],[W/H],[Os/H],[Ir/H],[Pt/H],[Au/H],[Hg/H],[Pb/H],[Bi/H],[Th/H],[U/H],[Ca2/H],[Ti/H],[V2/H],[Cr2/H],[Mn2/H],[Fe2/H],ul[Li/H],ul[Be/H],ul[N/H],ul[O/H],ul[F/H],ul[Na/H],ul[Mg/H],ul[Al/H],ul[Si/H],ul[P/H],ul[S/H],ul[K/H],ul[Ca/H],ul[Sc/H],ul[Ti1/H],ul[V/H],ul[Cr/H],ul[Mn/H],ul[Fe/H],ul[Co/H],ul[Ni/H],ul[Cu/H],ul[Zn/H],ul[Ga/H],ul[Ge/H],ul[As/H],ul[Se/H],ul[Rb/H],ul[Sr/H],ul[Y/H],ul[Zr/H],ul[Nb/H],ul[Mo/H],ul[Ru/H],ul[Rh/H],ul[Pd/H],ul[Ag/H],ul[Cd/H],ul[Sn/H],ul[Te/H],ul[Ba/H],ul[La/H],ul[Ce/H],ul[Pr/H],ul[Nd/H],ul[Sm/H],ul[Eu/H],ul[Gd/H],ul[Tb/H],ul[Dy/H],ul[Ho/H],ul[Er/H],ul[Tm/H],ul[Yb/H],ul[Lu/H],ul[Hf/H],ul[W/H],ul[Os/H],ul[Ir/H],ul[Pt/H],ul[Au/H],ul[Hg/H],ul[Pb/H],ul[Bi/H],ul[Th/H],ul[U/H],ul[Ca2/H],ul[Ti/H],ul[V2/H],ul[Cr2/H],ul[Mn2/H],ul[Fe2/H],[Li/Fe],[Be/Fe],[N/Fe],[O/Fe],[F/Fe],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[P/Fe],[S/Fe],[K/Fe],[Ca/Fe],[Sc/Fe],[Ti1/Fe],[V/Fe],[Cr/Fe],[Mn/Fe],[Co/Fe],[Ni/Fe],[Cu/Fe],[Zn/Fe],[Ga/Fe],[Ge/Fe],[As/Fe],[Se/Fe],[Rb/Fe],[Sr/Fe],[Y/Fe],[Zr/Fe],[Nb/Fe],[Mo/Fe],[Ru/Fe],[Rh/Fe],[Pd/Fe],[Ag/Fe],[Cd/Fe],[Sn/Fe],[Te/Fe],[Ba/Fe],[La/Fe],[Ce/Fe],[Pr/Fe],[Nd/Fe],[Sm/Fe],[Eu/Fe],[Gd/Fe],[Tb/Fe],[Dy/Fe],[Ho/Fe],[Er/Fe],[Tm/Fe],[Yb/Fe],[Lu/Fe],[Hf/Fe],[W/Fe],[Os/Fe],[Ir/Fe],[Pt/Fe],[Au/Fe],[Hg/Fe],[Pb/Fe],[Bi/Fe],[Th/Fe],[U/Fe],[Ca2/Fe],[Ti/Fe],[V2/Fe],[Cr2/Fe],[Mn2/Fe],[Fe2/Fe],ul[Li/Fe],ul[Be/Fe],ul[N/Fe],ul[O/Fe],ul[F/Fe],ul[Na/Fe],ul[Mg/Fe],ul[Al/Fe],ul[Si/Fe],ul[P/Fe],ul[S/Fe],ul[K/Fe],ul[Ca/Fe],ul[Sc/Fe],ul[Ti1/Fe],ul[V/Fe],ul[Cr/Fe],ul[Mn/Fe],ul[Co/Fe],ul[Ni/Fe],ul[Cu/Fe],ul[Zn/Fe],ul[Ga/Fe],ul[Ge/Fe],ul[As/Fe],ul[Se/Fe],ul[Rb/Fe],ul[Sr/Fe],ul[Y/Fe],ul[Zr/Fe],ul[Nb/Fe],ul[Mo/Fe],ul[Ru/Fe],ul[Rh/Fe],ul[Pd/Fe],ul[Ag/Fe],ul[Cd/Fe],ul[Sn/Fe],ul[Te/Fe],ul[Ba/Fe],ul[La/Fe],ul[Ce/Fe],ul[Pr/Fe],ul[Nd/Fe],ul[Sm/Fe],ul[Eu/Fe],ul[Gd/Fe],ul[Tb/Fe],ul[Dy/Fe],ul[Ho/Fe],ul[Er/Fe],ul[Tm/Fe],ul[Yb/Fe],ul[Lu/Fe],ul[Hf/Fe],ul[W/Fe],ul[Os/Fe],ul[Ir/Fe],ul[Pt/Fe],ul[Au/Fe],ul[Hg/Fe],ul[Pb/Fe],ul[Bi/Fe],ul[Th/Fe],ul[U/Fe],ul[Ca2/Fe],ul[Ti/Fe],ul[V2/Fe],ul[Cr2/Fe],ul[Mn2/Fe],ul[Fe2/Fe]
6192,UCAC2 12021754,Holmbeck+2020,15:02:38.5201,-46:02:06.558,5.27,-2.23,6.04,,-2.39,,-0.16,,0.3,0.97,UCAC2 12021754,HOLe20,1,,,VMP,aDW,Atari,225.6605,-46.035155,,,,,,,12.031,11.056,10.746,9.89,8.996,8.46,8.32,4806.0,1.66,-2.23,2.09,Mardini,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,-0.66,,,,,,-1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.49,,,,,,,,,,,,-2.84,,,,,,-2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26,,,,,,,,,,,,-0.61,,,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6075,TYC 7577-1592-1,Holmbeck+2020,04:01:48.9752,-37:57:53.396,5.22,-2.28,5.85,,-2.58,,-0.3,,0.52,2.61,TYC 7577-1592-1,HOLe20,1,,,VMP,aDW,Atari,60.454063,-37.964832,,,,,,,12.372,11.619,,,10.005,9.543,9.427,4797.0,1.02,-2.28,2.32,Mardini,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,0.07,,,,,,-1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.21,,,,,,,,,,,,-2.11,,,,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,0.17,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,HE 2259-3407,Barklem+2005b,23:02:15.7379,-33:51:11.284,5.21,-2.29,6.51,,-1.92,,0.37,,0.44,2.08,HE 2259-3407,BAR05b,1,,,VMP,aDW,Atari,345.565575,-33.853134,,,MS,-13.6,2005A&A...439..129B,,17.264,16.864,16.654,16.33,15.977,15.402,15.642,6266.0,4.32,-2.29,1.37,Abohalima,,,,,,,5.52,3.2,,,,,4.36,1.01,3.13,,3.23,2.6,2.87,3.92,,,,,,,,0.5,,,,,,,,,,,,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.08,-3.25,,,,,-1.98,-2.14,-1.82,,-2.41,-2.83,-2.12,-2.3,,,,,,,,-2.37,,,,,,,,,,,,-2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,-0.96,,,,,0.31,0.15,0.47,,-0.12,-0.54,0.17,-0.01,,,,,,,,-0.08,,,,,,,,,,,,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7512,TYC 6613-815-1,Sakari+2018b,09:29:49.7281,-29:05:59.044,5.18,-2.32,6.22,,-2.21,,0.11,,0.46,0.92,TYC 6613-815-1,SAK18b,1,,,VMP,aDW,Atari,142.4572,-29.099734,,,,125.2,,,12.345,11.459,,,9.569,9.049,8.899,4737.0,0.96,-2.32,1.74,Mardini,,,,,,,5.51,,,,,3.17,4.36,0.8,2.87,3.75,3.54,2.7,2.31,3.8,,2.29,,,,,,0.19,-0.48,,,,,,,,,,,-0.51,,,,,,-1.66,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.09,,,,,-1.86,-1.98,-2.35,-2.08,-0.18,-2.1,-2.73,-2.68,-2.42,,-2.27,,,,,,-2.68,-2.69,,,,,,,,,,,-2.69,,,,,,-2.18,,,,,,,,,,,,,,,,,,,,,-2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,0.46,0.34,-0.03,0.24,2.14,0.22,-0.41,-0.36,-0.1,,0.05,,,,,,-0.36,-0.37,,,,,,,,,,,-0.37,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,UCAC4 223-060458,Ruchti+2011a,11:41:08.8526,-45:35:28.354,5.18,-2.32,,,,,,,0.63,1.33,UCAC4 223-060458,RUC11a,1,,,VMP,aDW,Atari,175.286886,-45.591209,,,RG,84.11,2013AJ....146..134K,,13.004,11.963,11.694,10.774,9.909,9.389,9.236,4592.0,1.01,-2.32,1.9,Abohalima,,,,,,,5.61,,5.6,,,,4.32,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.99,,-1.91,,,,-2.02,,-2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,0.41,,,,0.3,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5872,TYC 8764-1992-1,Hansen_T+2018,19:16:18.2200,-55:44:45.396,5.15,-2.35,5.28,,-3.15,,-0.8,,0.49,2.37,TYC 8764-1992-1,HANt18,1,,,VMP,aDW,Atari,289.075917,-55.745943,,,,,,,12.643,11.447,,,9.35,8.653,8.529,4450.0,0.65,-2.35,2.5,Mardini,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,-0.29,,,,,,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.87,,,,,,,,,,,,-2.47,,,,,,-1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,-0.12,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,TYC 6393-564-1,Ruchti+2011a,22:49:23.5854,-21:30:29.532,5.12,-2.38,,,,,,,0.54,2.96,TYC 6393-564-1,RUC11a,1,,,VMP,aDW,Atari,342.348273,-21.508203,,,RG,-111.3,2011ApJ...737....9R,,12.98,12.54,,,10.599,10.161,10.06,5218.0,2.67,-2.38,1.4,Abohalima,,,,,,,5.51,,,,,,4.23,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.09,,,,,,-2.11,,-2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,0.27,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7533,UCAC4 374-062461,Sakari+2018b,11:58:01.2775,-15:22:17.852,5.09,-2.41,6.64,,-1.79,,0.62,,0.38,3.62,UCAC4 374-062461,SAK18b,1,,,VMP,aDW,Atari,179.505323,-15.371626,,,,16.6,,,14.041,13.23,13.156,,11.535,11.073,10.955,4981.0,1.47,-2.41,1.71,Mardini,,,,,,,5.39,,6.59,,,2.88,4.12,0.16,2.82,3.12,3.99,,2.89,3.88,,,,,,,,0.09,-0.42,,,,,,,,,,,-1.3,,,,,,-1.74,,,,,,,,,,,,,,,,,,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.21,,-0.92,,,-2.15,-2.22,-2.99,-2.13,-0.81,-1.65,,-2.1,-2.34,,,,,,,,-2.78,-2.63,,,,,,,,,,,-3.48,,,,,,-2.26,,,,,,,,,,,,,,,,,,,,,-2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,1.49,,,0.26,0.19,-0.58,0.28,1.6,0.76,,0.31,0.07,,,,,,,,-0.37,-0.22,,,,,,,,,,,-1.07,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,BPS CS 30306-0132,Honda+2004,15:14:18.9191,+07:27:02.680,5.09,-2.41,6.48,,-1.95,,0.46,,0.55,3.66,BPS CS 30306-0132,HON04,1,,,VMP,aDW,Atari,228.57883,7.450744,,alpha,RG,,,,13.62,12.73,12.421,11.948,11.302,10.853,10.751,5110.0,2.5,-2.42,1.8,Abohalima,,,,,,,5.49,3.41,5.64,,,,4.28,0.87,2.95,1.79,3.31,2.84,2.74,3.57,,,,,,,,0.64,-0.07,0.65,,,,,,,,,,0.02,-0.78,-0.31,-0.65,-0.38,-0.82,-1.02,-0.37,,-0.43,,-0.62,-1.38,-0.81,,,,,,,,,,,-1.12,-1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.11,-3.04,-1.87,,,,-2.06,-2.28,-2.0,-2.14,-2.33,-2.59,-2.25,-2.65,,,,,,,,-2.23,-2.28,-1.93,,,,,,,,,,-2.16,-1.88,-1.89,-1.37,-1.8,-1.78,-1.54,-1.44,,-1.53,,-1.54,-1.48,-1.65,,,,,,,,,,,-1.14,-1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,-0.63,0.54,,,,0.35,0.13,0.41,0.27,0.08,-0.18,0.16,-0.24,,,,,,,,0.18,0.13,0.48,,,,,,,,,,0.25,0.53,0.52,1.04,0.61,0.63,0.87,0.97,,0.88,,0.87,0.93,0.76,,,,,,,,,,,1.27,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5852,UCAC4 501-063456,Hansen_T+2018,16:10:31.0611,+10:03:05.590,5.07,-2.43,6.53,,-1.9,,0.53,,0.23,2.49,UCAC4 501-063456,HANt18,1,,,VMP,aDW,Atari,242.629421,10.051553,,,,,,,13.44,12.76,12.64,,11.191,10.74,10.662,5370.0,2.6,-2.43,2.05,Mardini,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,-1.35,,,,,,-1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.62,,,,,,,,,,,,-3.53,,,,,,-1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,,,,,,,,,,,,-1.1,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2609,UCAC4 371-007255,Cohen+2013,05:10:35.4729,-15:51:38.255,5.07,-2.43,,,,,,,0.6,0.74,UCAC4 371-007255,COH13,1,,,VMP,aDW,Atari,77.647804,-15.860626,,,MS,88.5,2013ApJ...778...56C,,,15.38,,,14.328,14.073,13.983,6365.0,4.4,-2.43,1.4,Abohalima,,,,,,,5.55,3.8,5.11,,,,4.14,1.05,3.18,,2.94,2.28,2.85,3.8,,,,,,,,0.85,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,,,,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.05,-2.65,-2.4,,,,-2.2,-2.1,-1.77,,-2.7,-3.15,-2.14,-2.42,,,,,,,,-2.02,,,,,,,,,,,,-2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.86,,,,-2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,-0.22,0.03,,,,0.23,0.33,0.66,,-0.27,-0.72,0.29,0.01,,,,,,,,0.41,,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,
1888,HD 2796,Cayrel+2004,00:31:16.9147,-16:47:40.790,5.05,-2.45,5.55,,-2.88,,-0.43,,0.68,1.13,HD 2796,CAY04,1,,,VMP,aDW,Atari,7.820478,-16.794664,,,RG,-61.15,2008A&A...480...91S,9.58,9.28,8.5,8.14,8.67,6.853,6.391,6.256,4950.0,1.5,-2.4,2.1,Yelland,,,,6.8,,4.2,5.36,3.35,5.48,,,3.25,4.22,0.79,2.75,,2.95,2.54,2.59,3.7,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.89,,-2.04,-2.24,-3.1,-2.03,,,-1.78,-2.12,-2.36,-2.2,,-2.69,-2.89,-2.4,-2.52,,-2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.16,,,,-2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,0.41,0.21,-0.65,0.42,,,0.67,0.33,0.09,0.25,,-0.24,-0.44,0.05,-0.07,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6086,TYC 7062-1120-1,Holmbeck+2020,05:51:42.1380,-33:27:33.819,5.08,-2.46,5.74,,-2.69,,-0.27,,0.68,1.71,TYC 7062-1120-1,HOLe20,1,,,VMP,aDW,Atari,87.925575,-33.459394,,,,,,,12.61,11.91,,,10.08,9.579,9.455,4718.0,1.62,-2.42,2.04,Mardini,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,-0.37,,,,,,-1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.12,,,,,,,,,,,,-2.55,,,,,,-1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,-0.13,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2591,UCAC4 342-001270,Cohen+2013,01:07:31.2348,-21:46:06.492,4.95,-2.55,,,,,,,0.11,3.28,UCAC4 342-001270,COH13,1,,,VMP,aDW,Atari,16.880145,-21.76847,,alpha,MS,-77.3,2013ApJ...778...56C,,,15.76,,,14.78,14.413,14.436,6330.0,4.4,-2.55,1.6,Abohalima,,,,,,,5.45,3.6,5.11,,,,4.01,0.82,3.21,,2.83,2.13,2.86,3.48,,,,,,,,0.04,,,,,,,,,,,,-0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.15,-2.85,-2.4,,,,-2.33,-2.33,-1.74,,-2.81,-3.3,-2.13,-2.74,,,,,,,,-2.83,,,,,,,,,,,,-3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.17,,,,-2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,-0.3,0.15,,,,0.22,0.22,0.81,,-0.26,-0.75,0.42,-0.19,,,,,,,,-0.28,,,,,,,,,,,,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,
5868,UCAC4 128-171197,Hansen_T+2018,18:36:23.1865,-64:28:12.466,4.93,-2.57,5.96,,-2.47,,0.1,,0.24,1.37,UCAC4 128-171197,HANt18,1,,,VMP,aDW,Atari,279.09661,-64.470129,,,,,,,13.25,12.51,12.36,,10.819,10.349,10.267,4896.0,1.8,-2.57,1.95,Mardini,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33,,,,,,,,,,,,-0.21,,,,,,-1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,,,,,,,,,,,,-2.39,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.63,,,,,,,,,,,,0.18,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
