Type           , Name       , Loc, Sci_key, RA_hms     , DEC_dms     , RA_deg            , DEC_deg            , logg, Teff, l_A(C), A(C), e_A(C), l_[Fe/H], [Fe/H], e_[Fe/H], l_[C/Fe], [C/Fe], e_[C/Fe], [C/Fe]c, l_[C/Fe]f, [C/Fe]f, e_[C/Fe]f, [Ba/H], Slit, Reference      , Ref
RGB            , 10_8_61    , DW ,        , 01:01:47.52, -33:47:27.64,                   ,                    , 1.6 , 4713,       ,     ,       ,         , -3.15 ,     0.25, <       , 0.75  ,         ,    0.3 , <        , 1.05   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_758   , DW ,        , 01:00:57.56, -33:39:39.74,                   ,                    , 1.64, 4746,       ,     ,       ,         , -2.50 ,     0.28,         , 0.00  ,     0.38,    0.32,          , 0.32   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_798   , DW ,        , 01:00:56.41, -33:49:47.18,                   ,                    , 1.37, 4609,       ,     ,       ,         , -2.74 ,     0.23,         , -0.34 ,     0.37,    0.55,          , 0.21   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_2583  , DW ,        , 00:59:57.59, -33:38:32.54,                   ,                    , 1.35, 4539,       ,     ,       ,         , -1.78 ,     0.78,         , -0.78 ,     0.61,    0.56,          , -0.22  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_3246  , DW ,        , 00:59:51.19, -33:44:51.82,                   ,                    , 1.36, 4546,       ,     ,       ,         , -1.83 ,     0.58,         , -1.05 ,     0.53,    0.58,          , -0.47  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
CEMP-s         , 11_1_3334  , DW , S      , 00:59:49.62, -33:40:41.78,                   ,                    , 1.62, 4721,       ,     ,       , >       , -3.24 ,         ,         ,       ,         ,        ,          ,        ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_3513  , DW ,        , 00:59:48.19, -33:46:50.01,                   ,                    , 1.59, 4724,       ,     ,       ,         , -2.62 ,     0.27,         , 0.18  ,     0.39,    0.37,          , 0.55   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_3646  , DW ,        , 00:59:46.67, -33:47:19.71,                   ,                    , 1.72, 4764,       ,     ,       ,         , -3.05 ,     0.24,         , 0.55  ,     0.38,    0.2 ,          , 0.75   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_3738  , DW ,        , 00:59:45.30, -33:43:53.83,                   ,                    , 1.79, 4756,       ,     ,       ,         , -1.92 ,     0.35,         , -1.01 ,     0.37,    0.26,          , -0.75  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_3743  , DW ,        , 00:59:45.37, -33:45:34.19,                   ,                    , 1.66, 4740,       ,     ,       ,         , -2.97 ,     0.23,         , 0.53  ,     0.36,    0.26,          , 0.79   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
CEMP-s         , 11_1_4121  , DW , S      , 00:59:41.05, -33:45:25.28,                   ,                    , 1.25, 4554,       ,     ,       , >       , -3.12 ,         ,         ,       ,         ,        ,          ,        ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_4122  , DW ,        , 00:59:41.24, -33:48:03.56,                   ,                    , 1.2 , 4467,       ,     ,       ,         , -2.01 ,     0.2 ,         , -0.88 ,     0.24,    0.67,          , -0.21  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_4277  , DW ,        , 00:59:38.42, -33:40:11.57,                   ,                    , 1.81, 4805,       ,     ,       ,         , -2.94 ,     0.25, <       , 0.00  ,         ,    0.12, <        , 0.12   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_4296  , DW ,        , 00:59:38.75, -33:46:14.58,                   ,                    , 1.55, 4697,       ,     ,       ,         , -3.33 ,     0.22,         , 0.25  ,     0.32,    0.34,          , 0.59   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_4422  , DW ,        , 00:59:36.61, -33:40:38.51,                   ,                    , 1.76, 4783,       ,     ,       ,         , -3.04 ,     0.25,         , 0.74  ,     0.34,    0.16,          , 0.90   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_4673  , DW ,        , 00:59:33.63, -33:49:10.10,                   ,                    , 1.23, 4546,       ,     ,       ,         , -3.11 ,     0.17,         , -0.11 ,     0.35,    0.64,          , 0.53   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_4824  , DW ,        , 00:59:30.49, -33:39:04.16,                   ,                    , 1.09, 4508,       ,     ,       ,         , -2.66 ,     0.24,         , -0.97 ,     0.47,    0.75,          , -0.22  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_5047  , DW ,        , 00:59:26.68, -33:40:22.43,                   ,                    , 1.49, 4662,       ,     ,       ,         , -3.23 ,     0.2 ,         , -0.01 ,     0.35,    0.36,          , 0.35   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
CEMP-s         , 11_1_5437  , DW , S      , 00:59:19.87, -33:38:56.77,                   ,                    , 1.12, 4517,       ,     ,       , >       , -3.41 ,         ,         ,       ,         ,        ,          ,        ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
