Species,lambda,chi,loggf,EW33,loge33,EW41,loge41,EW94,loge94,EW117,loge117,EW119,loge119,EW127,loge127,EW130,loge130
Fe I,5202.335,2.176,-1.838,,,,,56.2,4.74,90.1,5.57,,,,,,
Fe I,5215.179,3.266,-0.871,63.8,5.34,86.5,5.75,21.2,4.44,,,,,81.0,5.57,,
Fe I,5216.274,1.608,-2.150,,,,,,,,,49.0,4.35,,,,
Fe I,5217.389,3.211,-1.070,42.5,5.12,72.5,5.65,26.6,4.70,51.8,5.31,,,68.3,5.49,,
Fe I,5227.189,1.557,-1.228,,,,,,,,,61.7,3.53,,,,
Fe I,5232.939,2.940,-0.058,,,,,,,,,37.8,3.68,,,,
Fe I,5250.645,2.198,-2.181,72.0,5.50,94.5,5.94,42.5,4.87,81.3,5.75,,,,,61.3,5.38
Fe I,5253.461,3.283,-1.573,23.5,5.34,,,,,,,,,42.7,5.66,,
Fe I,5263.305,3.266,-0.879,60.0,5.28,78.6,5.62,22.1,4.47,66.2,5.44,,,77.5,5.51,68.7,5.46
Fe I,5266.555,2.998,-0.386,96.0,5.10,,,60.3,4.36,99.4,5.28,,,,,,
Fe I,5269.537,0.859,-1.321,,,,,,,,,140.9,3.91,,,,
Fe I,5270.356,1.608,-1.339,,,,,,,,,80.2,3.93,,,,
Fe I,5281.790,3.038,-0.834,,,91.0,5.52,,,72.5,5.23,,,85.1,5.32,,
Fe I,5283.621,3.241,-0.432,,,87.2,5.29,44.3,4.43,,,,,,,73.5,5.06
Fe I,5302.299,3.283,-0.720,74.2,5.38,,,34.4,4.59,,,,,,,,
Fe I,5324.178,3.211,-0.103,97.8,5.10,,,69.4,4.50,,,,,,,90.6,4.98
Fe I,5328.038,0.915,-1.466,,,,,,,,,122.8,3.81,,,,
Fe I,5328.531,1.557,-1.850,,,,,,,,,44.4,3.92,,,,
Fe I,5339.928,3.266,-0.647,68.0,5.17,,,32.1,4.45,70.2,5.27,,,,,67.3,5.20
Fe I,5364.858,4.445,0.228,37.5,5.18,71.5,5.77,,,39.1,5.23,,,59.6,5.51,29.2,5.05
Fe I,5365.399,3.573,-1.020,20.6,5.05,32.5,5.36,,,,,,,51.0,5.59,,
Fe I,5367.466,4.415,0.443,50.5,5.15,82.3,5.70,,,48.9,5.15,,,62.1,5.30,36.3,4.94
Fe I,5369.958,4.371,0.536,51.6,5.02,,,,,63.5,5.27,,,76.6,5.40,47.8,4.99
Fe I,5371.489,0.958,-1.645,,,,,,,,,100.4,3.70,,,,
Fe I,5383.369,4.312,0.645,,,,,,,,,,,65.7,5.04,46.4,4.79
Fe I,5389.479,4.415,-0.410,,,,,,,19.8,5.41,,,,,,
Fe I,5393.167,3.241,-0.715,,,98.7,5.77,38.8,4.61,77.8,5.45,,,91.5,5.56,,
Fe I,5397.127,0.915,-1.993,,,,,,,,,120.4,4.28,,,,
Fe I,5404.149,4.434,0.523,81.2,5.61,,,27.1,4.58,78.5,5.64,,,,,,
Fe I,5405.774,0.990,-1.844,,,,,,,,,121.4,4.24,,,,
Fe I,5410.910,4.473,0.398,,,67.0,5.55,,,54.4,5.36,,,59.6,5.37,,
Fe I,5415.192,4.386,0.642,70.1,5.24,,,,,61.0,5.14,,,79.6,5.36,,
Fe I,5424.068,4.320,0.520,,,87.0,5.59,,,70.0,5.35,,,70.6,5.25,69.3,5.29
Fe I,5434.523,1.011,-2.122,,,,,,,,,74.1,3.90,,,,
Fe I,5445.042,4.386,-0.020,,,,,,,41.2,5.44,,,75.4,5.95,,
Fe I,5446.916,0.990,-1.914,,,,,,,,,115.0,4.21,,,,
Fe I,5455.609,1.011,-2.091,,,,,,,,,105.0,4.26,,,,
Fe I,5473.900,4.154,-0.760,,,,,,,,,,,18.6,5.37,,
Fe I,5497.516,1.011,-2.849,,,,,,,,,50.8,4.34,,,,
Fe I,5506.778,0.990,-2.797,,,,,,,,,50.2,4.25,,,,
Fe I,5525.539,4.230,-1.084,,,,,,,,,,,17.5,5.74,,
Fe I,5543.936,4.217,-1.140,,,,,,,,,,,17.6,5.79,,
Fe I,5554.882,4.548,-0.440,,,,,,,,,,,23.7,5.64,,
Fe I,5567.391,2.608,-2.564,,,41.2,5.91,,,,,,,19.6,5.35,,
Fe I,5569.618,3.417,-0.486,57.8,5.01,89.1,5.56,,,60.8,5.10,,,98.0,5.64,,
Fe I,5572.841,3.396,-0.275,,,,,43.4,4.43,93.2,5.48,,,,,62.8,4.89
Fe I,5586.756,3.368,-0.120,,,,,56.7,4.46,90.8,5.24,,,,,75.7,4.91
Fe I,5615.644,3.332,0.050,83.4,4.80,,,60.3,4.31,98.0,5.17,,,,,88.4,4.91
Fe I,5624.542,3.417,-0.755,59.6,5.30,86.6,5.78,35.6,4.79,54.2,5.25,,,78.9,5.56,50.3,5.20
Fe I,5658.816,3.396,-0.793,49.0,5.14,,,20.6,4.47,,,,,,,,
Fe I,5662.516,4.178,-0.573,,,,,,,23.4,5.38,,,29.8,5.46,,
Fe I,5701.544,2.559,-2.216,32.6,5.29,76.2,6.04,,,39.9,5.44,,,61.5,5.69,,
Fe I,5753.121,4.260,-0.688,,,22.7,5.59,,,,,,,22.3,5.50,,
Fe I,5762.990,4.209,-0.450,,,40.8,5.65,,,,,,,48.0,5.70,,
Fe I,5862.357,4.549,-0.127,18.1,5.20,26.5,5.45,,,,,,,,,,
Fe I,5883.813,3.960,-1.360,,,,,,,,,,,21.9,5.80,,
Fe I,5930.173,4.652,-0.230,,,44.1,5.99,,,,,,,,,,
Fe I,5934.653,3.928,-1.170,,,,,,,,,,,23.9,5.62,,
Fe I,6003.010,3.881,-1.120,,,38.7,5.89,,,,,,,27.5,5.59,,
