Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,B,Vel_ref,t_exp,N_exp,SN3950,SN4550,SN5200,SN6750
BPS CS 22873-072,BPS CS 22873-0072,,,19:52:05.4883,-61:37:39.171,298.02286774213,-61.627547415340004,-83.9,1,,5800,2,65,85,105,140
BPS CS 22873-128,HE 2002-5843,,,20:07:03.7916,-58:34:57.593,301.76579831183,-58.58266470801,205.7,1,5,1400,1,70,105,80,115
BPS CS 22874-123,BPS CS 22874-0123,,,14:48:57.7407,-24:21:15.576,222.24058610833998,-24.35432673535,105.0,0,,4000,1,55,65,90,125
BPS CS 22875-029,BPS CS 22875-0029,,,22:29:25.0902,-38:57:47.453,337.35454257698,-38.96318143678,72.9,1,,7200,2,110,115,160,220
BPS CS 22876-040,BPS CS 22876-0040,,,00:04:52.4534,-34:13:37.341,1.21855569255,-34.22703911432,-189.9,0,,5800,1,60,100,90,135
BPS CS 22877-001,BPS CS 22877-0001,,,13:13:55.3727,-12:11:41.666,198.48071948989997,-12.194907237329998,,2,"1,7,8",5600,4,150,230,265,405
BPS CS 22877-011,BPS CS 22877-0011,,,13:14:40.1710,-09:35:46.571,198.66737898241,-9.596269708449999,230.3,1,5,12100,4,110,165,175,275
BPS CS 22877-015,BPS CS 22877-0015,,,13:13:45.2551,-09:15:43.056,198.43856302070998,-9.26196012552,85.6,0,,4200,2,70,115,150,210
BPS CS 22877-051,BPS CS 22877-0051,,,13:23:31.1382,-12:35:13.050,200.87974254098998,-12.58695827259,291.7,1,,10000,3,105,150,145,195
BPS CS 22878-002,BPS CS 22878-0002,,,16:33:49.0311,+07:53:36.169,248.45429622911,7.89338019085,-190.1,0,,7200,2,80,95,140,185
BPS CS 22878-027,BPS CS 22878-0027,,,16:37:35.8437,+10:22:07.755,249.39934880158,10.36882077463,-91.1,1,6,7200,2,60,125,115,160
BPS CS 22878-101,BPS CS 22878-0101,,,16:45:31.4513,+08:14:45.470,251.38104727257,8.24596396275,,2,"2,5,9,10",2400,1,60,95,75,115
BPS CS 22879-012,BPS CS 22879-0012,,,20:37:14.0345,-41:02:33.501,309.30847712477,-41.04263904821,-50.4,0,,6200,2,120,175,90,125
BPS CS 22879-029,BPS CS 22879-0029,,,20:38:51.8045,-38:36:46.781,309.7158520988,-38.61299465349,-131.6,3,,15650,8,110,160,130,190
BPS CS 22879-051,BPS CS 22879-0051,,,20:42:36.4764,-39:18:29.420,310.65198479501,-39.308172150420006,-43.0,0,,2000,1,65,90,65,90
BPS CS 22879-094,BPS CS 22879-0094,,,20:50:08.3549,-38:42:55.825,312.53481227333,-38.71550688152999,47.6,0,,6400,1,65,95,70,100
BPS CS 22879-097,BPS CS 22879-0097,,,20:48:46.5523,-38:30:49.421,312.19396811998,-38.513727921900006,26.4,0,,7200,1,60,85,100,145
BPS CS 22879-103,BPS CS 22879-0103,,,20:47:10.1398,-37:26:52.507,311.79224900586,-37.44791847261,-31.0,1,,8600,2,95,110,150,210
BPS CS 22880-067,BPS CS 22880-0067,,,20:49:07.8991,-21:34:54.928,312.28291275222,-21.581924379040004,-183.0,0,,4800,1,50,55,85,115
BPS CS 22880-086,BPS CS 22880-0086,,,20:45:47.5280,-18:33:32.356,311.44803312762997,-18.558987813400005,-112.2,0,6,7200,1,60,80,120,180
BPS CS 22881-032,BPS CS 22881-0032,,,22:03:00.5880,-41:14:26.255,330.75244991447994,-41.2406263392,-29.3,0,,3500,1,30,40,30,45
BPS CS 22881-036,BPS CS 22881-0036,,,22:07:58.4410,-40:44:16.478,331.99350413371,-40.73791042319001,43.7,1,11,3200,3,65,100,95,145
BPS CS 22881-039,BPS CS 22881-0039,,,22:09:35.4282,-40:25:51.181,332.39761758789,-40.4308837211,,2,,14000,2,85,90,120,165
BPS CS 22881-070,BPS CS 22881-0070,,,22:16:37.0551,-40:44:06.040,334.15439640453,-40.73501124628,-115.9,0,,3600,1,80,105,75,90
BPS CS 22882-001,BPS CS 22882-0001,,,00:20:25.2920,-31:39:04.069,5.10538324259,-31.651130407580002,26.5,1,,10800,2,85,95,120,170
BPS CS 22882-006,BPS CS 22882-0006,,,00:21:59.8590,-29:29:26.512,5.49941230743,-29.49069765921,-81.5,0,,3000,1,60,75,70,110
BPS CS 22882-012,BPS CS 22882-0012,,,00:30:22.5120,-27:35:27.218,7.593799811839999,-27.59089380404,-0.2,0,,7200,1,70,105,85,125
BPS CS 22882-030,BPS CS 22882-0030,,,00:30:20.0613,-30:20:58.346,7.583588797969999,-30.349540511189996,21.6,0,,7600,2,55,90,70,115
BPS CS 22883-037,BPS CS 22883-0037,,,14:24:19.4274,+11:29:26.058,216.080947456,11.490571703520002,-262.8,0,,10800,2,60,80,95,130
BPS CS 22884-020,BPS CS 22884-0020,,,15:34:22.4206,-08:33:40.207,233.59341910673004,-8.561168513729998,29.2,1,,10600,3,65,100,110,160
BPS CS 22884-108,BPS CS 22884-0108,,,15:49:57.5787,-09:14:09.212,237.48991131325994,-9.235892194829999,,2,6,3600,1,60,75,105,145
BPS CS 22885-040,BPS CS 22885-0040,,,20:18:07.9503,-38:05:57.221,304.53312621211,-38.09922806271,73.2,1,,17000,2,80,100,105,135
BPS CS 22885-096,BPS CS 22885-0096,,,20:20:51.1730,-39:53:30.235,305.21322087319,-39.8917319369,-249.1,1,"2,5",2100,1,75,110,85,120
BPS CS 22885-203,BPS CS 22885-0203,,,20:30:19.2729,-37:42:17.118,307.58030362459,-37.70475505752001,-33.9,0,,2900,1,60,75,70,110
BPS CS 22886-003,BPS CS 29512-0030,,,22:13:52.1801,-10:47:00.991,333.46741717269,-10.783608748000002,-91.9,1,,4800,2,60,85,70,105
BPS CS 22886-012,BPS CS 22886-0012,,,22:13:25.8824,-08:43:43.377,333.35784348054,-8.72871578576,-56.9,1,,5400,2,60,85,80,130
BPS CS 22886-013,V* FV Aqr,,,22:12:03.0157,-08:45:45.924,333.01256528532,-8.762756574400003,-40.7,0,,2000,1,55,80,60,80
BPS CS 22886-044,BPS CS 22886-0044,,,22:20:11.4034,-09:41:39.471,335.04751425419,-9.69429749099,-130.1,1,,5300,2,60,85,85,135
BPS CS 22888-002,BPS CS 22888-0002,,,23:04:37.2331,-36:39:57.874,346.15513801752996,-36.66607621056,35.4,0,,3800,1,60,80,60,75
BPS CS 22888-014,BPS CS 30493-0023,,,23:04:15.5287,-33:29:44.879,346.06470295191,-33.49579981187,-128.6,1,,6900,2,60,90,80,125
BPS CS 22888-031,BPS CS 22888-0031,,,23:11:32.4788,-35:26:42.873,347.88532854091994,-35.44524242661,-124.8,0,,7600,2,100,140,70,95
BPS CS 22888-047,BPS CS 22888-0047,,,23:20:19.8570,-33:45:46.924,350.08273756575,-33.76303450813,-158.3,1,,10400,2,95,105,150,205
BPS CS 22889-050,BPS CS 22889-0050,,,13:45:30.1071,-09:47:11.091,206.37544640968,-9.78641420504,217.1,0,,3600,1,65,75,105,140
BPS CS 22890-011,BPS CS 22890-0011,,,15:13:21.0774,+02:14:59.592,228.33782256313998,2.24988658384,-128.7,1,,4900,2,65,85,100,135
BPS CS 22890-024,BPS CS 22890-0024,,,15:16:05.4008,-00:03:57.930,229.02250353747,-0.06609174197999998,228.7,1,,5200,2,85,115,120,170
BPS CS 22890-064,BPS CS 30306-0117,,,15:17:34.0399,+02:45:27.863,229.39183291185998,2.75773964248,-88.5,0,,4000,1,65,70,95,125
BPS CS 22891-184,BPS CS 22891-0184,,,19:26:12.3252,-60:34:06.291,291.5513551376,-60.56841421213001,26.5,1,12,9000,1,60,95,90,160
BPS CS 22891-200,BPS CS 22891-0200,,,19:35:19.0776,-61:42:24.374,293.82949019686,-61.70677057784,137.2,1,"5,13",4100,1,65,105,85,130
BPS CS 22891-209,BPS CS 22891-0209,,,19:42:02.1802,-61:03:44.535,295.50908434461996,-61.06237080517,80.7,1,"2,5",600,1,60,95,75,120
BPS CS 22891-221,BPS CS 22891-0221,,,19:35:10.4585,-59:41:58.237,293.79357715431,-59.69951026694001,35.8,0,,8000,1,95,190,110,170
BPS CS 22892-025,BPS CS 22892-0025,,,22:07:43.0461,-15:15:00.768,331.92935859779,-15.2502134242,170.0,0,,1800,1,65,85,65,85
BPS CS 22892-052,BPS CS 22892-0052,,,22:17:01.6559,-16:39:27.051,334.2568994851499,-16.65751417404,13.0,1,"2,4,5,14",4800,2,150,225,175,270
BPS CS 22893-005,BPS CS 22893-0005,,,22:53:50.7333,-09:59:15.383,343.46138872184,-9.987606333000002,-68.9,0,,3600,1,60,100,80,135
BPS CS 22893-010,BPS CS 22893-0010,,,22:58:11.7253,-11:56:45.432,344.54885554653,-11.94595331839,,2,10,3600,1,45,75,65,115
BPS CS 22893-011,BPS CS 22893-0011,,,23:00:52.3022,-10:35:26.204,345.21792572075,-10.590612111729998,-115.6,0,,3500,1,60,75,75,115
BPS CS 22894-004,BPS CS 22894-0004,,,23:32:39.5577,-00:56:12.554,353.1648239553,-0.9368204795600001,-4.5,0,,3200,1,55,75,70,105
BPS CS 22894-019,BPS CS 22894-0019,,,23:39:19.0698,+00:03:41.750,354.82945756164,0.06159730504,30.9,1,2,3400,1,110,170,85,120
BPS CS 22894-023,BPS CS 22952-0011,,,23:37:18.5684,-02:08:27.842,354.32736847797,-2.1410672184499995,-328.1,0,,2800,1,115,170,85,115
BPS CS 22894-049,BPS CS 22894-0049,,,23:49:52.8032,-01:57:50.500,357.47001342789,-1.9640278650899996,-5.6,0,,3600,1,60,95,85,135
BPS CS 22896-015,BPS CS 22896-0015,,,19:18:45.3481,-55:24:45.028,289.68895021686,-55.41250783901,53.1,0,,3900,1,60,90,80,140
BPS CS 22896-055,BPS CS 22896-0055,,,19:29:43.8920,-53:59:29.150,292.43288326006996,-53.99143048829,-73.5,1,,5300,2,80,120,125,180
BPS CS 22896-110,BPS CS 22896-0110,,,19:35:48.0058,-53:26:16.462,293.95002423845995,-53.43790599954,84.3,1,,6300,2,80,130,120,195
BPS CS 22896-115,BPS CS 22896-0115,,,19:35:05.0712,-52:47:11.701,293.77113018789,-52.786583502270005,7.1,1,,9000,2,140,195,95,125
BPS CS 22896-136,BPS CS 22896-0136,,,19:39:53.2259,-54:10:24.142,294.97177455478,-54.173372837950005,-17.5,1,,10200,6,120,165,100,135
BPS CS 22897-008,BPS CS 22897-0008,,,21:03:11.8565,-65:05:08.852,315.79940224896,-65.0857922835,266.5,1,"2,5",2900,1,60,95,75,130
BPS CS 22898-043,BPS CS 22898-0043,,,21:10:36.7675,-21:44:51.797,317.65319789419,-21.74772139347,113.2,1,,13000,3,120,155,175,260
BPS CS 22898-047,BPS CS 22898-0047,,,21:05:59.6482,-21:06:56.609,316.49853425899,-21.11572462528,,2,,12900,2,135,210,130,200
BPS CS 22937-072,BPS CS 29501-0051,,,21:14:40.6179,-37:24:51.772,318.6692413531699,-37.41438101056,-143.8,0,,7200,2,85,115,140,205
BPS CS 22940-070,BPS CS 22940-0070,,,20:42:39.2494,-61:40:39.106,310.66353934313,-61.67752956182,78.5,0,,9000,1,80,110,125,170
BPS CS 22940-077,BPS CS 22940-0077,,,20:41:33.7241,-59:50:35.206,310.39051720289,-59.84311286724001,,0,12,1000,1,50,80,110,180
BPS CS 22940-121,BPS CS 22940-0121,,,20:55:10.8822,-58:00:55.150,313.79534245527,-58.01531946144999,-31.1,1,,8800,2,95,110,160,235
BPS CS 22941-017,BPS CS 22941-0017,,,23:32:50.1815,-33:59:25.571,353.20908963773,-33.99043652053,106.9,0,,6400,1,60,90,80,135
BPS CS 22941-027,BPS CS 22941-0027,,,23:34:58.0940,-36:52:05.640,353.74205846539,-36.86823334093,-93.6,1,,9300,2,95,110,155,210
BPS CS 22942-002,HE 0044-2459,,,00:46:35.8758,-24:43:02.291,11.649482529190001,-24.717303033680004,-160.2,1,3,6900,2,160,225,140,220
BPS CS 22942-011,BPS CS 22942-0011,,,00:54:13.0064,-25:04:33.821,13.55419345285,-25.076061475849997,10.7,0,,1200,1,65,105,90,160
BPS CS 22942-035,BPS CS 22942-0035,,,01:03:57.4767,-23:52:45.275,15.989486192749998,-23.87924297971,-94.2,1,,7500,2,65,110,110,190
BPS CS 22943-059,BPS CS 22943-0059,,,20:19:00.6499,-43:17:22.856,304.75270790288994,-43.28968235333,239.5,0,,4400,1,105,145,70,95
BPS CS 22943-095,BPS CS 22943-0095,,,20:27:29.9870,-46:50:56.315,306.87494591169,-46.84897641475,-149.4,0,,400,1,70,90,65,75
BPS CS 22943-132,BPS CS 22943-0132,,,20:22:50.9179,-43:13:39.445,305.71215799473,-43.22762351976,18.9,0,,1400,1,75,105,75,95
BPS CS 22943-137,BPS CS 22943-0137,,,20:26:29.0087,-43:00:42.661,306.62086969199,-43.01185032602999,-31.1,1,,5000,2,65,80,100,145
BPS CS 22943-201,BPS CS 22943-0201,,,20:36:28.7985,-43:49:30.138,309.11999367747,-43.825038201249995,36.7,1,,10600,4,85,120,85,120
BPS CS 22944-014,BPS CS 22944-0014,,,21:41:12.2004,-14:33:32.441,325.3008349084,-14.55901131765,-381.2,0,,2100,1,65,90,65,90
BPS CS 22944-032,BPS CS 22944-0032,,,21:47:43.2240,-13:40:22.959,326.93009989273,-13.673044140720002,19.0,1,6,7200,3,150,235,145,225
BPS CS 22944-061,BPS CS 22944-0061,,,21:50:18.4467,-13:45:23.988,327.57686124649,-13.75666335315,157.3,0,,3000,1,60,80,60,75
BPS CS 22945-017,BPS CS 22945-0017,,,23:20:55.6277,-63:15:36.787,350.23178225211,-63.26021855468,101.8,0,,3400,1,60,75,75,115
BPS CS 22945-024,BPS CS 22945-0024,,,23:36:42.4772,-65:35:43.821,354.17698818972,-65.59550587652,148.2,0,,5400,1,55,90,70,110
BPS CS 22945-028,BPS CS 22945-0028,,,23:31:13.5632,-66:29:57.771,352.80651334929,-66.49938093775,389.0,0,,5200,1,60,90,80,140
BPS CS 22945-031,BPS CS 22945-0031,,,23:47:31.9951,-67:30:35.921,356.88331281634,-67.50997804096,196.4,0,,4400,1,65,90,65,90
BPS CS 22945-056,BPS CS 22945-0056,,,23:53:19.7854,-65:29:39.566,358.33243914595,-65.49432402337,222.5,0,,3200,1,60,85,60,90
BPS CS 22945-058,BPS CS 22945-0058,,,23:52:37.7930,-66:05:01.670,358.15747075308,-66.08379712125,23.4,1,,6950,2,60,85,80,125
BPS CS 22945-063,BPS CS 22945-0063,,,00:02:36.9861,-65:45:21.217,0.6541088135499998,-65.75589361852,167.8,0,,5000,1,60,95,80,130
BPS CS 22947-187,UCAC4 214-181275,,,19:18:31.6266,-47:13:31.156,289.63177740072,-47.22532098594,-251.2,1,5,1200,1,75,110,80,110
BPS CS 22948-066,HE 2141-3741,,,21:44:51.1648,-37:27:55.017,326.21318658642,-37.46528259892,-171.0,1,"2,5,15",2400,2,60,95,80,130
BPS CS 22948-093,BPS CS 22948-0093,,,21:50:31.5180,-41:07:49.355,327.63132501997,-41.13037643013,,2,,10300,4,85,110,75,95
BPS CS 22949-030,BPS CS 22949-0030,,,23:21:22.9180,-03:45:54.724,350.34549159828,-3.765201060059998,-85.6,0,,2800,1,60,80,80,120
BPS CS 22949-037,HE 2323-0256,,,23:26:29.8074,-02:39:58.036,351.6241973912,-2.6661212175499998,-125.4,1,"2,5,16,17",6350,2,65,100,85,135
BPS CS 22949-048,BPS CS 22949-0048,,,23:26:07.4169,-05:50:06.903,351.53090385076,-5.835250970010001,-160.8,1,5,2600,1,65,100,80,120
BPS CS 22950-046,BPS CS 22950-0046,,,20:21:28.3976,-13:16:33.602,305.36832319046,-13.27600053649,108.8,1,"5,9",4800,1,55,95,75,120
BPS CS 22951-005,BPS CS 22951-0005,,,21:45:46.6532,-46:04:58.118,326.4443885062854,-46.08281059282306,231.9,0,,7350,2,70,100,65,95
BPS CS 22951-059,BPS CS 22951-0059,,,21:50:25.9920,-44:48:49.028,327.60829989343,-44.81361898118,88.2,1,,9200,2,65,95,80,130
BPS CS 22951-077,BPS CS 22951-0077,,,21:57:53.2097,-43:08:08.218,329.47170728362,-43.135616092410004,108.9,1,,6800,2,95,110,160,230
BPS CS 22952-015,HE 2334-0604,,,23:37:28.6873,-05:47:56.595,354.36953045985,-5.79905406712,-17.9,1,"2,5",1800,1,70,105,85,120
BPS CS 22953-003,BPS CS 22953-0003,,,01:02:15.8723,-61:43:45.836,15.5661347414,-61.72939889228,208.3,1,"2,5",2000,1,65,95,75,100
BPS CS 22953-037,BPS CS 22953-0037,,,01:25:06.6509,-59:16:00.742,21.277711937420005,-59.26687282691999,-162.5,1,,7600,2,110,150,145,215
BPS CS 22954-004,BPS CS 22954-0004,,,02:38:15.2758,-05:43:17.211,39.56364933727,-5.72144753674,-10.5,0,,2400,1,105,140,70,95
BPS CS 22954-015,HE 0236-0242,,,02:39:21.6375,-02:29:37.439,39.840156159299994,-2.4937330463800005,-50.0,0,,1400,1,60,80,80,120
BPS CS 22955-110,BPS CS 22955-0110,,,20:32:26.4789,-25:08:25.457,308.11032885687996,-25.14040486091,3.8,3,18,1800,1,115,170,85,110
BPS CS 22955-174,BPS CS 22955-0174,,,20:42:05.0417,-23:49:12.661,310.52100725487,-23.820183476569998,-9.3,1,,14800,3,115,155,175,260
BPS CS 22956-015,BPS CS 22956-0015,,,21:50:20.5307,-64:49:05.197,327.58554474808,-64.81811036527,-33.6,0,,2000,1,60,90,65,85
BPS CS 22956-021,BPS CS 22956-0021,,,21:43:24.6432,-64:14:45.816,325.85268014481,-64.24605998904,40.0,0,,3600,1,65,90,65,80
BPS CS 22956-050,BPS CS 22956-0050,,,21:58:05.8341,-65:13:27.161,329.5243086172,-65.22421130077,0.2,1,2,5600,2,60,95,85,155
BPS CS 22956-062,BPS CS 22956-0062,,,22:07:26.2157,-66:08:57.410,331.85923215891995,-66.14928061808,187.9,0,,7200,2,60,80,80,130
BPS CS 22956-081,BPS CS 22956-0081,,,22:04:11.8971,-62:50:52.349,331.04957104247,-62.84787465214,244.6,1,,10100,2,55,85,75,110
BPS CS 22956-102,BPS CS 22956-0102,,,22:16:36.5468,-65:19:45.352,334.15227820992,-65.32926436649,,2,,10700,2,55,80,75,120
BPS CS 22956-106,BPS CS 22956-0106,,,22:16:50.4146,-66:05:05.080,334.21006103678,-66.08474452867,,2,,6200,3,60,90,80,120
BPS CS 22956-110,BPS CS 22956-0110,,,22:19:43.5150,-66:41:21.954,334.93131234900994,-66.68943167246,-86.1,0,,8000,1,65,90,65,80
BPS CS 22956-114,BPS CS 22956-0114,,,22:26:08.1903,-65:33:06.631,336.5341261309699,-65.55184203466,-37.5,0,,4000,2,55,85,75,130
BPS CS 22957-013,BPS CS 22957-0013,,,23:55:49.0556,-05:22:52.873,358.95439827425,-5.38135353157,-214.4,0,,2800,1,50,80,75,135
BPS CS 22957-019,BPS CS 22957-0019,,,23:57:31.5125,-06:57:05.568,359.38130201251,-6.951546709909999,-33.0,1,,7570,3,110,175,155,245
BPS CS 22957-022,BPS CS 22957-0022,,,00:01:45.4879,-05:49:46.651,0.43953305883999993,-5.829625257730001,-31.6,1,6,1200,1,60,85,65,90
BPS CS 22957-024,BPS CS 22957-0024,,,23:58:34.4954,-04:33:25.390,359.64373063942,-4.557052902839999,-67.4,0,,9300,2,115,180,90,125
BPS CS 22957-026,BPS CS 22957-0026,,,00:00:02.1570,-04:07:08.621,0.008987335129999998,-4.1190613980099995,-18.9,1,,1900,2,70,100,95,145
BPS CS 22957-027,HE 2356-0410,,,23:59:13.1420,-03:53:48.220,359.8047582672,-3.8967278371000003,-67.7,3,"14,19,20,21",1000,1,40,55,60,95
BPS CS 22957-036,BPS CS 22957-0036,,,00:03:31.3532,-04:44:22.564,0.88063826614,-4.739601000280001,-154.5,0,,3600,1,60,80,80,120
BPS CS 22958-037,BPS CS 22958-0037,,,01:58:39.6963,-57:03:26.935,29.665401245710008,-57.05748196877,209.5,0,,3600,1,65,85,65,90
BPS CS 22958-041,BPS CS 22958-0041,,,02:01:44.5310,-56:47:26.262,30.435545778620003,-56.79062843907,-76.3,0,,7200,1,55,70,85,115
BPS CS 22958-042,BPS CS 22958-0042,,,02:01:07.4298,-57:16:58.851,30.28095749011,-57.283014114400004,,2,22,9600,3,60,90,110,155
BPS CS 22958-052,BPS CS 22958-0052,,,02:12:48.2200,-56:29:08.293,33.20091684172,-56.48563694279999,88.9,0,,3000,1,80,105,55,75
BPS CS 22958-065,BPS CS 22958-0065,,,02:02:53.6140,-53:38:40.714,30.723391503059997,-53.64464282652,105.8,0,,3600,1,55,75,55,80
BPS CS 22958-074,BPS CS 22958-0074,,,02:10:34.1954,-53:22:42.949,32.64248084169001,-53.37859691618,319.8,0,,3000,1,60,85,60,85
BPS CS 22958-083,BPS CS 22958-0083,,,02:15:42.7299,-53:59:56.257,33.92804142841,-53.9989604056,174.8,1,3,7200,1,70,95,130,200
BPS CS 22959-074,BPS CS 22959-0074,,,18:51:47.5647,-64:28:00.331,282.94818637631,-64.46675859133,-135.9,1,,5300,2,65,85,120,185
BPS CS 22959-139,BPS CS 22959-0139,,,18:55:53.7698,-63:06:17.897,283.9740406776999,-63.10497136443,-27.0,1,,5400,2,65,85,110,155
BPS CS 22960-010,BPS CS 22960-0010,,,22:08:25.3505,-44:53:56.708,332.10562690806,-44.89908565497,47.2,1,3,9100,2,110,165,105,150
BPS CS 22960-029,BPS CS 22960-0029,,,22:11:35.5624,-44:25:22.457,332.89817675152,-44.422904820979994,43.0,1,,9200,3,85,115,75,95
BPS CS 22960-048,BPS CS 22960-0048,,,22:17:01.5646,-45:12:16.966,334.25651933257996,-45.20471264079001,-88.6,1,,9400,3,60,85,110,170
BPS CS 22960-053,BPS CS 22960-0053,,,22:16:17.0867,-43:54:19.738,334.07119467345,-43.90548281623,,2,23,8000,2,60,70,105,160
BPS CS 22960-064,BPS CS 22960-0064,,,22:24:00.1430,-42:35:16.026,336.00059571235,-42.587785009920005,-86.4,0,,3000,1,75,110,80,110
BPS CS 22963-004,BPS CS 22963-0004,,,02:56:46.5716,-04:51:17.421,44.19404816987,-4.85483927894,294.4,1,6,12600,3,60,95,105,170
BPS CS 22964-115,BPS CS 22964-0115,,,19:57:28.5477,-40:00:03.535,299.36894882626,-40.00098192448,-220.5,1,,4900,2,65,95,70,105
BPS CS 22964-176,BPS CS 22964-0176,,,20:02:07.1249,-40:21:25.901,300.52968704871995,-40.357194604129994,-60.6,0,,7200,2,65,90,65,90
BPS CS 22964-183,BPS CS 22964-0183,,,20:01:12.7607,-40:49:09.898,300.30316957728996,-40.81941605482,80.8,0,,3400,1,85,120,65,85
BPS CS 22964-214,BPS CS 22964-0214,,,20:05:49.9994,-39:27:43.359,301.4583308156799,-39.46204408833,41.2,1,18,2000,1,70,100,70,90
BPS CS 22965-016,BPS CS 22965-0016,,,21:57:07.9208,-04:34:08.378,329.2830031487,-4.56899399306,-89.8,1,,7800,2,50,75,110,200
BPS CS 22965-054,BPS CS 22965-0054,,,22:06:30.2933,-02:32:34.433,331.62622209612,-2.5428981439499996,-281.9,1,6,11000,2,55,90,80,130
BPS CS 22968-001,BPS CS 22968-0001,,,02:57:50.8000,-56:51:05.000,44.46166666666667,-56.85138888888889,121.5,0,,8000,1,90,90,130,175
BPS CS 22968-014,HE 0305-5442,,,03:06:29.5015,-54:30:32.498,46.62292290916,-54.50902735738,159.0,1,5,3600,1,120,175,100,155
BPS CS 22968-026,BPS CS 22968-0026,,,03:20:48.8776,-55:38:15.975,50.203656520100004,-55.63777082308,79.5,0,,3600,1,125,160,85,110
BPS CS 22968-029,BPS CS 22968-0029,,,03:16:27.8176,-55:05:00.193,49.11590678526,-55.08338708158,83.5,1,,7600,2,70,105,110,165
BPS CS 29493-023,BPS CS 29493-0023,,,21:47:30.1778,-27:55:06.852,326.87574101286,-27.918570026340003,45.2,0,,3000,1,65,90,65,90
BPS CS 29493-050,BPS CS 29493-0050,,,21:49:26.6653,-29:45:25.138,327.36110535646,-29.75698279473,-89.7,0,,2200,1,65,90,65,85
BPS CS 29493-062,BPS CS 29493-0062,,,21:52:31.0175,-28:09:37.312,328.12923937834,-28.16036434166,5.9,0,,3300,1,95,125,90,125
BPS CS 29493-094,BPS CS 29493-0094,,,21:57:27.3907,-30:08:02.480,329.3641278841,-30.13402233524,-206.9,0,,3600,1,70,95,65,85
