Name,Vel,B,Vel_ref,t_exp,N_exp,SN3950,SN4550,SN5200,SN6750
BPS CS 22958-083,174.8,1,3,7200,1,70,95,130,200
BPS CS 22959-074,-135.9,1,,5300,2,65,85,120,185
BPS CS 22959-139,-27.0,1,,5400,2,65,85,110,155
BPS CS 22960-010,47.2,1,3,9100,2,110,165,105,150
BPS CS 22960-029,43.0,1,,9200,3,85,115,75,95
BPS CS 22960-048,-88.6,1,,9400,3,60,85,110,170
BPS CS 22960-053,,2,23,8000,2,60,70,105,160
BPS CS 22960-064,-86.4,0,,3000,1,75,110,80,110
BPS CS 22963-004,294.4,1,6,12600,3,60,95,105,170
BPS CS 22964-115,-220.5,1,,4900,2,65,95,70,105
BPS CS 22964-176,-60.6,0,,7200,2,65,90,65,90
BPS CS 22964-183,80.8,0,,3400,1,85,120,65,85
BPS CS 22964-214,41.2,1,18,2000,1,70,100,70,90
BPS CS 22965-016,-89.8,1,,7800,2,50,75,110,200
BPS CS 22965-054,-281.9,1,6,11000,2,55,90,80,130
BPS CS 22968-001,121.5,0,,8000,1,90,90,130,175
BPS CS 22968-014,159.0,1,5,3600,1,120,175,100,155
BPS CS 22968-026,79.5,0,,3600,1,125,160,85,110
BPS CS 22968-029,83.5,1,,7600,2,70,105,110,165
BPS CS 29493-023,45.2,0,,3000,1,65,90,65,90
BPS CS 29493-050,-89.7,0,,2200,1,65,90,65,85
BPS CS 29493-062,5.9,0,,3300,1,95,125,90,125
BPS CS 29493-094,-206.9,0,,3600,1,70,95,65,85
BPS CS 29495-005,-144.6,0,,4000,1,90,120,85,105
BPS CS 29495-042,-94.8,0,,2000,1,80,110,85,135
BPS CS 29497-030,45.0,3,24,1100,2,80,115,60,85
BPS CS 29498-043,-32.3,1,25,9300,2,70,140,135,280
BPS CS 29499-003,-82.4,0,,3600,1,70,90,65,95
BPS CS 29499-058,151.6,0,,3000,1,85,110,75,100
BPS CS 29499-060,,2,,2400,1,130,190,95,130
BPS CS 29501-032,-138.0,0,,3300,1,65,95,65,100
BPS CS 29502-092,-66.6,1,"6,7,10",1800,1,50,85,90,165
BPS CS 29504-004,63.9,0,,3000,1,70,110,95,125
BPS CS 29504-006,-87.3,0,,7200,1,65,70,90,130
BPS CS 29506-007,56.9,1,6,2800,1,75,105,75,100
BPS CS 29506-090,-20.4,1,,5400,2,120,160,85,115
BPS CS 29509-027,74.2,3,24,1980,2,225,300,155,200
BPS CS 29512-073,-75.1,1,,4200,2,65,95,95,155
BPS CS 29513-003,-111.2,0,,2200,1,80,110,80,125
BPS CS 29513-014,38.7,0,,2200,1,50,80,65,110
BPS CS 29513-015,53.5,0,,3200,1,70,95,65,90
BPS CS 29513-031,,2,,7800,4,80,105,80,100
BPS CS 29513-032,-215.6,1,,4400,2,60,100,95,140
BPS CS 29514-007,40.7,1,26,3600,1,70,80,100,140
BPS CS 29514-017,-14.1,0,,2000,1,65,100,85,140
BPS CS 29514-018,74.8,0,,1800,1,95,125,85,105
BPS CS 29514-037,-2.8,0,,4600,1,145,200,95,130
BPS CS 29517-018,143.0,0,,3600,1,70,95,65,90
BPS CS 29517-042,-21.5,0,,3200,1,100,130,90,115
BPS CS 29529-054,113.2,1,,11500,3,60,100,110,155
BPS CS 30312-044,100.1,0,,3600,1,70,90,135,225
BPS CS 30312-059,-156.3,1,6,2400,1,90,130,100,150
BPS CS 30312-062,51.6,0,,4000,1,190,270,140,200
BPS CS 30312-100,,2,,2000,1,90,130,100,140
BPS CS 30314-067,145.6,1,7,1800,1,85,165,165,350
BPS CS 30339-015,101.7,0,,5400,1,100,135,70,90
BPS CS 30339-046,,2,,14100,4,85,110,80,115
BPS CS 30339-052,31.1,0,,11600,1,55,90,75,125
BPS CS 30339-069,,2,27,4000,1,65,70,95,125
BPS CS 30339-073,163.2,0,,8000,2,70,80,120,175
BPS CS 30492-001,-116.2,0,,1650,1,55,75,70,115
BPS CS 30492-016,67.8,1,,6200,2,95,120,105,170
BPS CS 30492-110,44.9,1,,10200,2,60,100,95,165
BPS CS 30493-071,-6.6,0,,2000,1,75,100,75,115
BPS CS 30494-003,-47.0,0,,800,1,60,95,85,150
BPS CS 31082-001,138.9,1,"4,28",1800,1,125,145,230,350
BD-20 6008,23.0,1,29,550,1,55,105,105,200
BD-18 5550,-126.1,1,"2,5,13",7800,2,55,130,200,285
BD-15 5781,-75.4,1,29,720,1,100,185,190,355
BD-01 2582,,2,29,8100,2,55,120,165,205
BD+10 2495,258.3,3,"29,30",9200,2,50,105,140,185
BD+19 1185,-191.6,1,31,4500,1,65,125,155,185
BD+24 1676,-237.6,1,31,25200,4,75,135,165,190
BD+26 3578,-126.4,1,31,4500,1,75,125,155,180
BD+29 2356,-207.3,1,"30,32",5400,1,20,50,65,85
BD+44 493,-149.9,1,"29,33",10800,2,85,170,220,285
BD+80 245,5.2,1,31,7200,1,35,70,90,115
CD-38 245,46.1,1,"2,5,13,29",1280,2,120,170,165,255
CD-36 1052,304.7,1,34,1200,1,85,140,130,195
CD-30 298,28.2,1,29,360,1,90,155,150,245
CD-24 1782,101.3,1,34,180,1,105,180,175,285
G004-036,221.8,1,31,19800,3,50,90,110,130
G004-037,-107.8,1,31,18000,3,50,90,110,130
G009-027,183.3,3,35,1900,1,20,40,70,95
G010-054,58.9,1,31,2700,1,15,30,50,70
G015-010,89.8,1,31,2300,2,100,175,185,315
G016-025,23.7,1,31,6000,2,20,40,65,90
G025-022,-150.8,1,31,3200,1,15,40,70,100
G025-024,43.9,1,31,1200,1,15,30,60,80
G026-001,15.8,3,"31,35",19800,3,45,95,120,145
G064-012,442.7,1,31,1200,1,75,120,190,290
G071-055,-31.1,1,31,16200,3,70,405,160,185
G075-056,24.1,1,31,2100,1,25,45,75,90
G088-023,-199.5,1,31,2100,1,20,35,60,75
G090-003,29.6,1,31,22600,4,75,140,180,215
G090-025,-234.2,1,31,3300,2,70,140,185,225
G107-050,148.7,1,31,1500,1,10,30,50,65
G115-049,-65.2,1,31,1400,1,15,30,55,70
G122-069,-100.9,1,31,1900,1,20,30,50,65
G126-062,-290.8,3,"31,35",6900,2,55,100,120,140
G137-086,-83.6,1,31,8400,3,25,55,100,130
G146-056,-104.5,1,31,4500,1,10,20,35,45
G146-076,-114.1,1,31,12600,3,45,95,135,155
G153-064,114.1,1,31,27600,4,40,90,130,155
G161-073,121.1,1,31,14400,2,30,65,80,100
G166-047,-66.2,1,31,1900,1,15,30,50,70
G170-047,-283.3,1,31,10000,3,80,165,215,275
G180-058,-308.3,1,31,19700,3,40,90,115,145
G186-026,-323.6,1,31,5180,2,35,70,85,95
G188-022,-94.4,1,31,9000,2,60,115,140,170
G188-030,-184.2,1,31,19800,3,50,105,140,175
G190-010,-111.6,3,"31,35",28800,5,50,100,135,170
G190-015,-56.3,3,"31,35",19800,5,60,120,160,210
G199-066,-144.1,1,31,3200,1,20,45,80,100
G201-044,-146.7,3,31,12000,3,50,100,125,150
G206-034,-85.9,3,"31,35",22400,3,50,90,115,135
G214-001,-118.4,1,31,1800,1,15,30,60,80
G234-028,72.0,3,35,14400,2,35,70,95,100
G238-030,225.9,1,31,1400,1,20,35,75,100
G238-032,-113.3,1,31,2700,1,20,35,65,75
HD 6268,39.7,1,"4,5,34",180,1,75,145,145,255
HD 11582,22.4,1,34,300,1,100,140,130,230
HD 13979,52.2,1,"5,34",640,2,430,555,400,595
HD 16031,23.0,1,31,5400,1,60,115,145,165
HD 19445,-139.9,1,31,2800,1,85,150,185,220
HD 21581,153.7,1,29,200,1,90,165,160,305
HD 26169,-39.7,0,36,200,1,95,170,170,310
HD 31128,110.7,1,"37,38",7200,2,60,145,200,235
HD 45282,306.0,1,29,4300,2,80,155,200,245
HD 88609,-37.5,1,34,4900,2,50,105,155,225
HD 94028,65.6,1,31,3300,2,55,115,145,170
HD 106373,83.6,1,34,200,1,80,125,200,325
HD 108317,,2,29,120,1,70,130,225,390
HD 119516,-285.9,1,"29,30",2700,1,65,120,150,175
HD 122196,-27.6,1,36,80,1,70,110,115,210
HD 122563,-26.1,1,"4,34,39",26,1,85,165,295,540
HD 126238,252.6,1,39,105,1,145,275,285,505
HD 126587,149.5,1,"5,29",1080,3,495,750,420,665
HD 128279,-75.7,1,"5,30,34",550,4,625,880,505,750
HD 132475,176.3,1,31,200,1,115,190,300,480
HD 175305,-184.2,1,"29,30,38,40",1500,1,60,135,190,250
HD 175606,165.4,1,41,300,1,160,200,190,290
HD 178443,343.6,1,5,700,2,125,180,175,260
HD 184266,-349.4,1,29,900,1,55,115,155,195
HD 186478,30.4,3,29,200,1,120,185,250,415
HD 188510,-193.4,1,31,2400,1,55,110,145,185
HD 193901,-171.5,1,31,400,1,205,290,345,490
HD 196892,-35.7,1,"37,38",1800,1,50,105,135,160
HD 196944,,2,"40,42,43,44",120,1,135,230,230,390
HD 200654,-44.9,1,5,300,2,240,330,355,520
HD 201891,-44.6,1,31,1800,1,60,120,150,180
HD 214362,-93.3,1,29,7800,3,70,155,210,255
HD 219617,12.6,1,31,1800,1,85,185,235,285
HD 220127,,2,41,180,1,90,130,130,220
HD 237846,-303.6,1,"30,34",8100,2,45,100,135,185
HE 0454-4758,240.2,1,3,3000,1,85,115,120,195
HE 0938+0114,-57.2,1,3,13380,3,60,115,155,155
HE 1012-1540,225.6,2,45,7200,2,60,95,85,150
HE 1124-2335,181.5,1,3,4800,1,55,85,75,140
HE 1320-1339,,2,3,900,4,70,125,215,390
HIP 99423,-115.7,1,46,2400,1,60,110,135,170
