Name,Ion,lambda,l_logepsX,logepsX,e_logepsX
CS 22169-008,Ca I,6439.07,,3.97,0.23
CS 22169-008,Sc II,3576.34,,0.41,0.27
CS 22169-008,Sc II,3590.47,,0.44,0.23
CS 22169-008,Sc II,3645.31,,0.45,0.19
CS 22169-008,Sc II,4246.84,,0.56,0.22
CS 22169-008,Sc II,4400.4,,0.54,0.15
CS 22169-008,Sc II,4415.56,,0.54,0.15
CS 22169-008,Ti I,3989.76,,2.51,0.22
CS 22169-008,Ti I,3998.64,,2.45,0.22
CS 22169-008,Ti I,4533.24,,2.49,0.21
CS 22169-008,Ti I,4534.78,,2.56,0.21
CS 22169-008,Ti I,4981.73,,2.54,0.22
CS 22169-008,Ti I,4991.07,,2.55,0.24
CS 22169-008,Ti I,4999.5,,2.71,0.22
CS 22169-008,Ti II,3383.76,,2.9,0.19
CS 22169-008,Ti II,3387.83,,2.55,0.32
CS 22169-008,Ti II,3394.57,,2.61,0.32
CS 22169-008,Ti II,3456.38,,2.59,0.25
CS 22169-008,Ti II,3477.18,,2.68,0.32
CS 22169-008,Ti II,3489.74,,2.56,0.24
CS 22169-008,Ti II,3491.05,,2.69,0.32
CS 22169-008,Ti II,3759.29,,2.76,0.24
CS 22169-008,Ti II,3761.32,,2.67,0.27
CS 22169-008,Ti II,3913.46,,2.73,0.28
CS 22169-008,Ti II,4028.34,,2.64,0.17
CS 22169-008,Ti II,4394.06,,2.71,0.17
CS 22169-008,Ti II,4395.03,,2.86,0.27
CS 22169-008,Ti II,4399.77,,2.6,0.17
CS 22169-008,Ti II,4417.71,,2.62,0.16
CS 22169-008,Ti II,4443.8,,2.64,0.22
CS 22169-008,Ti II,4444.55,,2.75,0.18
CS 22169-008,Ti II,4450.48,,2.6,0.15
CS 22169-008,Ti II,4464.45,,2.68,0.15
CS 22169-008,Ti II,4470.85,,2.74,0.17
CS 22169-008,Ti II,4501.27,,2.61,0.2
CS 22169-008,Ti II,4533.96,,2.59,0.22
CS 22169-008,Ti II,4571.97,,2.55,0.19
CS 22169-008,Ti II,4657.2,,2.72,0.2
CS 22169-008,Ti II,5188.69,,2.66,0.17
CS 22169-008,V II,3951.96,<,1.65,
CS 22169-008,V II,4005.71,<,1.83,
CS 22169-008,Cr I,3578.68,,2.46,0.43
CS 22169-008,Cr I,4274.8,,2.58,0.29
CS 22169-008,Cr I,4289.72,,2.59,0.25
CS 22169-008,Cr I,4646.15,,2.74,0.22
CS 22169-008,Cr I,5206.04,,2.72,0.22
CS 22169-008,Cr II,4558.59,,3.36,0.16
CS 22169-008,Mn I,4030.75,,2.06,0.33
CS 22169-008,Mn I,4033.06,,2.2,0.27
CS 22169-008,Mn I,4034.48,,2.2,0.25
CS 22169-008,Mn II,3441.99,,2.33,0.3
CS 22169-008,Mn II,3460.32,,2.31,0.24
CS 22169-008,Mn II,3482.9,,2.34,0.23
CS 22169-008,Mn II,3488.68,,2.33,0.22
CS 22169-008,Fe I,3440.61,,4.56,0.39
CS 22169-008,Fe I,3476.7,,4.68,0.42
CS 22169-008,Fe I,3490.57,,4.64,0.41
CS 22169-008,Fe I,3497.84,,4.75,0.42
CS 22169-008,Fe I,3608.86,,4.48,0.41
CS 22169-008,Fe I,3618.77,,4.54,0.4
CS 22169-008,Fe I,3758.23,,4.48,0.39
CS 22169-008,Fe I,3765.54,,4.56,0.26
CS 22169-008,Fe I,3786.68,,4.72,0.23
CS 22169-008,Fe I,3787.88,,4.58,0.39
CS 22169-008,Fe I,3805.34,,4.66,0.24
CS 22169-008,Fe I,3815.84,,4.51,0.4
CS 22169-008,Fe I,3820.43,,4.53,0.38
CS 22169-008,Fe I,3825.88,,4.48,0.39
CS 22169-008,Fe I,3840.44,,4.75,0.4
CS 22169-008,Fe I,3841.05,,4.47,0.4
CS 22169-008,Fe I,3849.97,,4.57,0.39
CS 22169-008,Fe I,3856.37,,4.7,0.4
CS 22169-008,Fe I,3865.52,,4.62,0.38
CS 22169-008,Fe I,3878.02,,4.82,0.4
CS 22169-008,Fe I,3895.66,,4.81,0.4
CS 22169-008,Fe I,3899.71,,4.61,0.4
CS 22169-008,Fe I,3902.95,,4.62,0.38
CS 22169-008,Fe I,3920.26,,4.81,0.39
CS 22169-008,Fe I,3922.91,,4.83,0.4
CS 22169-008,Fe I,3949.95,,4.65,0.21
CS 22169-008,Fe I,4005.24,,4.8,0.38
CS 22169-008,Fe I,4045.81,,4.64,0.39
CS 22169-008,Fe I,4063.59,,4.71,0.39
CS 22169-008,Fe I,4071.74,,4.72,0.39
CS 22169-008,Fe I,4132.06,,4.82,0.36
CS 22169-008,Fe I,4134.68,,4.77,0.21
CS 22169-008,Fe I,4143.87,,4.74,0.37
CS 22169-008,Fe I,4147.67,,4.63,0.21
CS 22169-008,Fe I,4154.5,,4.65,0.21
CS 22169-008,Fe I,4156.8,,4.78,0.21
CS 22169-008,Fe I,4157.78,,4.57,0.23
CS 22169-008,Fe I,4175.64,,4.62,0.21
CS 22169-008,Fe I,4181.76,,4.76,0.21
CS 22169-008,Fe I,4182.38,,4.6,0.27
CS 22169-008,Fe I,4184.89,,4.6,0.22
CS 22169-008,Fe I,4187.04,,4.58,0.21
CS 22169-008,Fe I,4187.8,,4.63,0.22
CS 22169-008,Fe I,4191.43,,4.61,0.21
CS 22169-008,Fe I,4199.1,,4.62,0.22
CS 22169-008,Fe I,4202.03,,4.69,0.35
CS 22169-008,Fe I,4217.55,,4.72,0.22
CS 22169-008,Fe I,4222.21,,4.61,0.2
CS 22169-008,Fe I,4227.43,,4.68,0.21
CS 22169-008,Fe I,4233.6,,4.58,0.21
CS 22169-008,Fe I,4238.81,,4.76,0.21
CS 22169-008,Fe I,4250.12,,4.65,0.23
CS 22169-008,Fe I,4250.79,,4.61,0.33
CS 22169-008,Fe I,4260.47,,4.59,0.33
CS 22169-008,Fe I,4271.15,,4.72,0.25
CS 22169-008,Fe I,4271.76,,4.82,0.39
CS 22169-008,Fe I,4282.4,,4.6,0.21
CS 22169-008,Fe I,4325.76,,4.72,0.39
CS 22169-008,Fe I,4375.93,,4.55,0.2
CS 22169-008,Fe I,4404.75,,4.74,0.39
CS 22169-008,Fe I,4415.12,,4.7,0.34
CS 22169-008,Fe I,4427.31,,4.56,0.2
CS 22169-008,Fe I,4442.34,,4.69,0.2
CS 22169-008,Fe I,4443.19,,4.6,0.22
CS 22169-008,Fe I,4447.72,,4.56,0.21
CS 22169-008,Fe I,4461.65,,4.51,0.2
CS 22169-008,Fe I,4466.55,,4.67,0.2
CS 22169-008,Fe I,4494.56,,4.61,0.2
CS 22169-008,Fe I,4531.15,,4.62,0.2
CS 22169-008,Fe I,4602.94,,4.56,0.21
CS 22169-008,Fe I,4647.43,,4.85,0.23
CS 22169-008,Fe I,4736.77,,4.83,0.21
CS 22169-008,Fe I,4871.32,,4.65,0.21
CS 22169-008,Fe I,4872.14,,4.62,0.21
CS 22169-008,Fe I,4890.76,,4.51,0.21
CS 22169-008,Fe I,4891.49,,4.63,0.21
