Species, N  , ID                      , l_logepsX, logepsX, e_logepsX, l_[X/H], [X/H], l_[X/Fe], [X/Fe]
Si     ,   2, SMSS J141547.72-414034.0,          , 5.49   ,      0.09,        , -2.02,         , 0.24
Si     ,   2, SMSS J143511.34-420326.5,          , 4.55   ,      0.0 ,        , -2.96,         , 0.19
Si     ,   1, SMSS J151101.05-182103.0,          , 5.56   ,          ,        , -1.95,         , 0.76
Si     ,   0, SMSS J151450.18-182946.0,          ,        ,          ,        ,      ,         , 
Si     ,   2, SMSS J155430.57-263904.8,          , 5.44   ,      0.1 ,        , -2.07,         , 0.54
Si     ,   3, SMSS J155628.74-165533.4,          , 5.4    ,      0.01,        , -2.11,         , 0.68
Si     ,   2, SMSS J160447.75-293146.7,          , 5.63   ,      0.1 ,        , -1.88,         , 0.78
Si     ,   2, SMSS J164921.94-041943.9,          , 5.71   ,      0.15,        , -1.79,         , 0.44
Si     ,   2, SMSS J165023.82-252948.7,          , 5.73   ,      0.13,        , -1.78,         , 0.7
Si     ,   2, SMSS J165219.76-253133.7,          , 5.79   ,      0.05,        , -1.72,         , 0.48
Si     ,   2, SMSS J173823.36-145701.0,          , 4.32   ,      0.04,        , -3.19,         , 0.39
Si     ,   2, SMSS J174048.48-143635.6,          , 5.35   ,      0.06,        , -2.16,         , 0.33
Si     ,   2, SMSS J174916.38-455427.5,          , 5.46   ,      0.08,        , -2.05,         , 0.46
Si     ,   2, SMSS J174922.26-455103.8,          , 5.38   ,      0.05,        , -2.13,         , 0.64
Si     ,   2, SMSS J175021.86-414627.2,          , 5.42   ,      0.01,        , -2.09,         , 0.66
Si     ,   2, SMSS J175046.30-425506.9,          , 5.58   ,      0.09,        , -1.92,         , 0.24
Si     ,   1, SMSS J175738.37-454823.5,          , 5.68   ,          ,        , -1.83,         , 0.63
Si     ,   2, SMSS J183246.49-343434.2,          , 5.3    ,      0.08,        , -2.21,         , 0.79
Si     ,   2, SMSS J183753.10-380725.9,          , 5.07   ,      0.02,        , -2.44,         , 0.56
Si     ,   2, SMSS J184226.25-272602.7,          , 4.56   ,      0.06,        , -2.95,         , 0.95
Si     ,   2, SMSS J184825.29-305929.7,          , 4.67   ,      0.12,        , -2.85,         , 0.8
Si     ,   2, SMSS J185628.44-231809.8,          , 5.09   ,      0.1 ,        , -2.42,         , 0.57
Si     ,   2, SMSS J190549.33-214945.0,          , 5.28   ,      0.11,        , -2.23,         , 0.88
Si     ,   2, SMSS J190911.03-213207.5,          , 5.56   ,      0.11,        , -1.95,         , 0.45
Si     ,   2, SMSS J190931.13-214053.9,          , 4.43   ,      0.12,        , -3.08,         , 0.26
Si     ,   1, SMSS J191802.51-851523.0,          , 5.27   ,          ,        , -2.24,         , 0.38
Si     ,   2, SMSS J193528.46-462129.6,          , 4.54   ,      0.02,        , -2.97,         , 0.42
Si     ,   2, SMSS J193617.38-790231.4,          , 6.39   ,      0.02,        , -1.12,         , 0.17
Si     ,   2, SMSS J194432.13-720537.1,          , 5.92   ,      0.06,        , -1.59,         , 0.84
Si     ,   1, SMSS J195614.75-320145.9,          , 5.52   ,          ,        , -1.99,         , 0.32
Si     ,   2, SMSS J195931.70-643529.3,          , 5.47   ,      0.02,        , -2.04,         , 0.54
Si     ,   2, SMSS J200228.85-533114.4,          , 5.1    ,      0.1 ,        , -2.41,         , 0.81
Si     ,   1, SMSS J200654.42-321157.7,          , 4.21   ,          ,        , -3.3 ,         , -0.05
Si     ,   2, SMSS J202057.49-522417.2,          , 4.91   ,      0.08,        , -2.6 ,         , 0.52
Si     ,   2, SMSS J202123.89-515742.8,          , 5.33   ,      0.0 ,        , -2.18,         , 0.43
Si     ,   2, SMSS J205313.80-651830.6,          , 5.4    ,      0.05,        , -2.11,         , 0.51
Si     ,   2, SMSS J210021.85-653627.9,          , 5.88   ,      0.08,        , -1.63,         , 0.26
Si     ,   1, SMSS J211340.44-520017.5,          , 5.72   ,          ,        , -1.79,         , 0.61
Si     ,   2, SMSS J215805.81-651327.2,          , 5.0    ,      0.09,        , -2.51,         , 0.9
Si     ,   1, SMSS J221448.33-453949.9,          , 5.15   ,          ,        , -2.36,         , 0.2
Si     ,   2, SMSS J224838.41-550635.1,          , 5.13   ,      0.12,        , -2.38,         , 0.5
Si     ,   1, SMSS J224843.95-543610.1,          , 5.73   ,          ,        , -1.78,         , 0.6
Si     ,   1, SMSS J225851.25-265434.9,          , 4.72   ,          ,        , -2.79,         , 0.69
Si     ,   2, SMSS J230013.16-263511.0,          , 4.97   ,      0.08,        , -2.54,         , 0.81
Si     ,   1, SMSS J230113.95-291458.2,          , 5.13   ,          ,        , -2.38,         , 0.15
Si     ,   1, 2MASS J23203653-3637223 ,          , 5.22   ,          ,        , -2.29,         , 0.34
Si     ,   1, 2MASS J23261426-3719492 ,          , 6.01   ,          ,        , -1.5 ,         , 1.05
Ca     ,  20, SMSS J000113.96-363337.9,          , 4.36   ,      0.09,        , -1.98,         , 0.35
Ca     ,  21, SMSS J001039.86-525851.4,          , 4.28   ,      0.1 ,        , -2.06,         , 0.26
Ca     ,  20, SMSS J001952.15-525803.0,          , 4.1    ,      0.09,        , -2.24,         , 0.32
Ca     ,   3, SMSS J002148.06-471132.1,          , 3.34   ,      0.07,        , -3.0 ,         , 0.17
Ca     ,   9, SMSS J003055.81-482011.3,          , 4.19   ,      0.12,        , -2.15,         , 0.38
Ca     ,   5, SMSS J003327.36-491037.9,          , 3.41   ,      0.09,        , -2.93,         , 0.44
Ca     ,   5, SMSS J004037.56-515025.2,          , 2.92   ,      0.05,        , -3.42,         , 0.41
Ca     ,   4, SMSS J005953.98-594329.9,          , 2.96   ,      0.05,        , -3.38,         , 0.55
Ca     ,   6, SMSS J010332.63-534654.3,          , 3.78   ,      0.04,        , -2.56,         , 0.47
Ca     ,   8, SMSS J010651.91-524410.5,          , 3.01   ,      0.08,        , -3.33,         , 0.46
Ca     ,  15, SMSS J010839.58-285701.5,          , 3.74   ,      0.09,        , -2.6 ,         , 0.42
Ca     ,  20, SMSS J012147.80-495328.2,          , 4.8    ,      0.12,        , -1.54,         , 0.05
Ca     ,  19, SMSS J014624.60-352457.7,          , 4.02   ,      0.09,        , -2.32,         , 0.49
Ca     ,   6, SMSS J015350.94-775525.6,          , 3.79   ,      0.08,        , -2.55,         , 0.07
Ca     ,   9, SMSS J015941.53-781408.7,          , 3.69   ,      0.08,        , -2.65,         , 0.46
Ca     ,   9, 2MASS J02031860-7930291 ,          , 3.69   ,      0.11,        , -2.65,         , 0.37
Ca     ,  11, SMSS J020748.93-465616.4,          , 4.09   ,      0.06,        , -2.25,         , 0.46
Ca     ,  14, SMSS J021323.26-495936.5,          , 4.0    ,      0.08,        , -2.34,         , 0.53
Ca     ,   9, SMSS J022410.38-534659.9,          , 3.2    ,      0.08,        , -3.14,         , 0.26
Ca     ,   5, SMSS J022423.27-573705.1,          , 2.78   ,      0.07,        , -3.56,         , 0.4
Ca     ,   6, SMSS J022452.58-731051.8,          , 4.06   ,      0.07,        , -2.28,         , 0.28
Ca     ,  11, SMSS J022545.31-774119.9,          , 4.11   ,      0.09,        , -2.23,         , 0.4
Ca     ,  13, SMSS J022756.48-684256.6,          , 4.29   ,      0.08,        , -2.05,         , 0.17
Ca     ,  13, SMSS J023139.43-523957.4,          , 3.9    ,      0.08,        , -2.44,         , 0.49
Ca     ,   4, SMSS J023147.96-575341.7,          , 3.15   ,      0.03,        , -3.19,         , 0.23
Ca     ,   6, SMSS J024643.28-352502.4,          , 3.51   ,      0.05,        , -2.83,         , 0.54
Ca     ,  10, SMSS J024858.41-684306.4,          , 3.06   ,      0.08,        , -3.28,         , 0.42
Ca     ,  17, 2MASS J03084611-4747083 ,          , 5.18   ,      0.11,        , -1.16,         , 0.4
Ca     ,   8, SMSS J031556.09-473442.1,          , 3.48   ,      0.11,        , -2.86,         , 0.4
Ca     ,  11, SMSS J032132.29-363123.6,          , 3.43   ,      0.1 ,        , -2.91,         , 0.49
Ca     ,   9, SMSS J033005.90-681352.5,          , 3.18   ,      0.07,        , -3.16,         , 0.28
Ca     ,   9, SMSS J034249.53-284216.0,          , 3.85   ,      0.08,        , -2.49,         , -0.16
Ca     ,  16, SMSS J040148.04-743537.3,          , 3.67   ,      0.07,        , -2.67,         , 0.42
Ca     ,  13, SMSS J041957.56-493818.3,          , 3.63   ,      0.08,        , -2.71,         , 0.25
Ca     ,  13, SMSS J051008.62-372019.8,          , 3.56   ,      0.09,        , -2.78,         , 0.41
Ca     ,  15, SMSS J055746.51-575057.4,          , 4.26   ,      0.1 ,        , -2.08,         , 0.43
Ca     ,  16, SMSS J061725.30-600740.6,          , 3.97   ,      0.11,        , -2.37,         , 0.35
Ca     ,  17, SMSS J062609.83-590503.2,          , 3.77   ,      0.09,        , -2.57,         , 0.2
Ca     ,  12, SMSS J063447.15-622355.0,          , 3.21   ,      0.1 ,        , -3.13,         , 0.28
Ca     ,  24, SMSS J064349.43-653038.6,          , 4.08   ,      0.11,        , -2.25,         , 0.23
Ca     ,  14, SMSS J065014.40-614328.0,          , 3.4    ,      0.11,        , -2.94,         , 0.24
Ca     ,  24, SMSS J070257.95-600422.4,          , 4.07   ,      0.11,        , -2.27,         , 0.35
Ca     ,  20, SMSS J080050.54-724620.6,          , 4.64   ,      0.13,        , -1.7 ,         , 0.39
Ca     ,  12, SMSS J085924.06-120104.9,          , 3.24   ,      0.13,        , -3.1 ,         , 0.54
Ca     ,  24, SMSS J090247.43-122755.0,          , 4.39   ,      0.11,        , -1.95,         , 0.45
Ca     ,  10, SMSS J091210.40-064427.9,          , 4.05   ,      0.1 ,        , -2.29,         , 0.36
Ca     ,   4, SMSS J093209.41-003435.8,          , 3.66   ,      0.11,        , -2.68,         , 0.43
Ca     ,   4, 2MASS J09380777-0600392 ,          , 3.92   ,      0.08,        , -2.42,         , 0.25
Ca     ,   3, SMSS J093829.27-070520.9,          , 4.13   ,      0.11,        , -2.21,         , 0.13
Ca     ,  16, SMSS J094029.05-060935.0,          , 3.64   ,      0.1 ,        , -2.7 ,         , 0.48
Ca     ,  24, SMSS J094755.04-102724.7,          , 3.79   ,      0.1 ,        , -2.55,         , 0.45
Ca     ,  18, SMSS J095120.49-401431.3,          , 5.31   ,      0.11,        , -1.03,         , 0.45
Ca     ,   6, SMSS J100251.13-000152.1,          , 3.97   ,      0.07,        , -2.37,         , 0.25
Ca     ,   7, 2MASS J10242264-2904203 ,          , 3.62   ,      0.13,        , -2.72,         , 0.42
Ca     ,  17, 2MASS J10275895-3006391 ,          , 3.76   ,      0.07,        , -2.58,         , 0.39
Ca     ,   4, 2MASS J10283035-2951115 ,          , 4.33   ,      0.06,        , -2.01,         , 0.38
Ca     ,  23, 2MASS J10294248-0103238 ,          , 4.34   ,      0.09,        , -2.0 ,         , 0.39
Ca     ,  21, SMSS J105320.99-435300.1,          , 4.71   ,      0.12,        , -1.63,         , 0.23
Ca     ,  21, SMSS J105438.86-435819.9,          , 4.8    ,      0.09,        , -1.54,         , 0.43
Ca     ,   6, SMSS J110850.60-080034.7,          , 3.81   ,      0.09,        , -2.53,         , 0.37
Ca     ,  20, SMSS J121353.63-441911.2,          , 4.18   ,      0.11,        , -2.16,         , 0.43
Ca     ,  24, SMSS J121716.48-442510.2,          , 4.56   ,      0.12,        , -1.78,         , 0.32
Ca     ,  13, SMSS J122455.61-151134.0,          , 4.16   ,      0.14,        , -2.18,         , 0.44
Ca     ,   7, SMSS J123158.00-162317.6,          , 3.94   ,      0.1 ,        , -2.4 ,         , 0.23
Ca     ,  13, SMSS J123246.06-054559.1,          , 3.64   ,      0.1 ,        , -2.7 ,         , 0.32
Ca     ,   9, SMSS J125115.37-331448.1,          , 4.01   ,      0.11,        , -2.33,         , 0.32
Ca     ,   9, SMSS J125125.64-340343.4,          , 4.23   ,      0.1 ,        , -2.11,         , 0.41
Ca     ,  10, SMSS J125451.18-334440.3,          , 3.85   ,      0.1 ,        , -2.49,         , 0.31
Ca     ,   9, SMSS J125804.65-335045.1,          , 3.38   ,      0.09,        , -2.96,         , 0.47
Ca     ,  24, SMSS J130537.01-294438.3,          , 4.29   ,      0.13,        , -2.05,         , 0.31
Ca     ,  14, SMSS J133013.61-434632.4,          , 4.08   ,      0.11,        , -2.26,         , 0.28
Ca     ,  23, SMSS J133532.32-210632.9,          , 4.05   ,      0.1 ,        , -2.29,         , 0.44
Ca     ,  13, SMSS J135217.78-151405.7,          , 4.19   ,      0.09,        , -2.15,         , 0.4
Ca     ,   9, SMSS J135625.09-161538.7,          , 3.94   ,      0.16,        , -2.4 ,         , 0.36
Ca     ,  13, SMSS J135819.95-150937.4,          , 4.13   ,      0.11,        , -2.21,         , 0.37
Ca     ,  18, SMSS J141547.72-414034.0,          , 4.23   ,      0.1 ,        , -2.11,         , 0.15
Ca     ,  13, SMSS J143511.34-420326.5,          , 3.62   ,      0.09,        , -2.72,         , 0.43
Ca     ,   8, SMSS J151101.05-182103.0,          , 3.98   ,      0.16,        , -2.36,         , 0.35
Ca     ,   7, SMSS J151450.18-182946.0,          , 3.99   ,      0.09,        , -2.35,         , 0.38
Ca     ,  24, SMSS J155430.57-263904.8,          , 4.06   ,      0.11,        , -2.38,         , 0.33
Ca     ,  18, SMSS J155628.74-165533.4,          , 4.01   ,      0.1 ,        , -2.33,         , 0.46
Ca     ,  19, SMSS J160447.75-293146.7,          , 4.11   ,      0.11,        , -2.23,         , 0.42
Ca     ,  21, SMSS J164921.94-041943.9,          , 4.51   ,      0.1 ,        , -1.83,         , 0.41
Ca     ,  18, SMSS J165023.82-252948.7,          , 4.22   ,      0.11,        , -2.12,         , 0.35
Ca     ,  22, SMSS J165219.76-253133.7,          , 4.59   ,      0.1 ,        , -1.75,         , 0.45
Ca     ,   8, SMSS J173823.36-145701.0,          , 3.06   ,      0.11,        , -3.28,         , 0.3
Ca     ,  19, SMSS J174048.48-143635.6,          , 4.04   ,      0.11,        , -2.3 ,         , 0.2
Ca     ,  17, SMSS J174916.38-455427.5,          , 4.16   ,      0.11,        , -2.18,         , 0.33
Ca     ,  16, SMSS J174922.26-455103.8,          , 4.08   ,      0.12,        , -2.26,         , 0.51
Ca     ,  20, SMSS J175021.86-414627.2,          , 3.94   ,      0.09,        , -2.4 ,         , 0.36
Ca     ,  21, SMSS J175046.30-425506.9,          , 4.51   ,      0.09,        , -1.83,         , 0.33
Ca     ,  20, SMSS J175738.37-454823.5,          , 4.2    ,      0.1 ,        , -2.14,         , 0.32
Ca     ,  24, SMSS J183246.49-343434.2,          , 3.77   ,      0.12,        , -2.57,         , 0.43
Ca     ,  22, SMSS J183753.10-380725.9,          , 3.7    ,      0.1 ,        , -2.64,         , 0.35
Ca     ,  13, SMSS J184226.25-272602.7,          , 3.05   ,      0.11,        , -3.29,         , 0.6
Ca     ,   8, SMSS J184825.29-305929.7,          , 3.13   ,      0.12,        , -3.21,         , 0.43
Ca     ,  21, SMSS J185628.44-231809.8,          , 3.71   ,      0.13,        , -2.63,         , 0.35
Ca     ,  19, SMSS J190549.33-214945.0,          , 3.69   ,      0.1 ,        , -2.65,         , 0.46
Ca     ,  22, SMSS J190911.03-213207.5,          , 4.34   ,      0.09,        , -2.0 ,         , 0.41
Ca     ,   9, SMSS J190931.13-214053.9,          , 3.39   ,      0.12,        , -2.95,         , 0.38
Ca     ,   5, SMSS J191802.51-851523.0,          , 4.03   ,      0.1 ,        , -2.31,         , 0.32
Ca     ,   9, SMSS J193528.46-462129.6,          , 3.31   ,      0.1 ,        , -3.03,         , 0.37
Ca     ,  17, SMSS J193617.38-790231.4,          , 5.35   ,      0.13,        , -0.99,         , 0.3
Ca     ,  16, SMSS J194432.13-720537.1,          , 4.29   ,      0.09,        , -2.05,         , 0.38
Ca     ,  18, SMSS J195614.75-320145.9,          , 4.44   ,      0.1 ,        , -1.9 ,         , 0.41
Ca     ,  21, SMSS J195931.70-643529.3,          , 4.2    ,      0.1 ,        , -2.14,         , 0.44
Ca     ,   7, SMSS J200228.85-533114.4,          , 3.39   ,      0.11,        , -2.95,         , 0.27
Ca     ,   3, SMSS J200654.42-321157.7,          , 3.27   ,      0.05,        , -3.07,         , 0.19
Ca     ,  13, SMSS J202057.49-522417.2,          , 3.71   ,      0.13,        , -2.63,         , 0.49
Ca     ,  10, SMSS J202123.89-515742.8,          , 3.92   ,      0.18,        , -2.42,         , 0.19
Ca     ,  10, SMSS J205313.80-651830.6,          , 4.07   ,      0.07,        , -2.27,         , 0.35
Ca     ,  20, SMSS J210021.85-653627.9,          , 4.7    ,      0.11,        , -1.64,         , 0.25
Ca     ,  16, SMSS J211340.44-520017.5,          , 4.24   ,      0.09,        , -2.1 ,         , 0.3
Ca     ,  13, SMSS J215805.81-651327.2,          , 3.41   ,      0.12,        , -2.93,         , 0.48
Ca     ,  14, SMSS J221448.33-453949.9,          , 4.04   ,      0.12,        , -2.3 ,         , 0.26
Ca     ,  17, SMSS J224838.41-550635.1,          , 3.75   ,      0.15,        , -2.59,         , 0.28
Ca     ,  20, SMSS J224843.95-543610.1,          , 4.24   ,      0.12,        , -2.1 ,         , 0.28
Ca     ,   5, SMSS J225851.25-265434.9,          , 3.2    ,      0.08,        , -3.14,         , 0.35
Ca     ,  11, SMSS J230013.16-263511.0,          , 3.38   ,      0.1 ,        , -2.96,         , 0.39
Ca     ,  16, SMSS J230113.95-291458.2,          , 4.11   ,      0.17,        , -2.23,         , 0.3
Ca     ,   5, 2MASS J23203653-3637223 ,          , 4.07   ,      0.13,        , -2.27,         , 0.36
Ca     ,  12, 2MASS J23261426-3719492 ,          , 4.14   ,      0.11,        , -2.2 ,         , 0.35
Sc     ,   1, SMSS J000113.96-363337.9,          , 1.03   ,          ,        , -2.12,         , 0.2
Sc     ,   1, SMSS J001039.86-525851.4,          , 0.86   ,          ,        , -2.29,         , 0.03
Sc     ,   1, SMSS J001952.15-525803.0,          , 0.5    ,          ,        , -2.65,         , -0.09
Sc     ,   1, SMSS J002148.06-471132.1,          , -0.14  ,          ,        , -3.29,         , -0.12
Sc     ,   1, SMSS J003055.81-482011.3,          , 0.63   ,          ,        , -2.52,         , 0.01
Sc     ,   1, SMSS J003327.36-491037.9,          , -0.27  ,          ,        , -3.42,         , -0.06
Sc     ,   1, SMSS J004037.56-515025.2,          , -1.02  ,          ,        , -4.17,         , -0.34
Sc     ,   2, SMSS J005953.98-594329.9,          , -0.8   ,      0.13,        , -3.95,         , -0.01
Sc     ,   1, SMSS J010332.63-534654.3,          , -0.06  ,          ,        , -3.21,         , -0.18
Sc     ,   1, SMSS J010651.91-524410.5,          , -0.83  ,          ,        , -3.98,         , -0.19
Sc     ,   1, SMSS J010839.58-285701.5,          , 0.2    ,          ,        , -2.95,         , 0.07
Sc     ,   1, SMSS J012147.80-495328.2,          , 1.68   ,          ,        , -1.47,         , 0.12
Sc     ,   1, SMSS J014624.60-352457.7,          , 0.62   ,          ,        , -2.53,         , 0.28
Sc     ,   1, SMSS J015350.94-775525.6,          , 0.63   ,          ,        , -2.52,         , 0.14
Sc     ,   1, SMSS J015941.53-781408.7,          , 0.08   ,          ,        , -3.07,         , 0.04
Sc     ,   1, 2MASS J02031860-7930291 ,          , 0.28   ,          ,        , -2.87,         , 0.16
Sc     ,   1, SMSS J020748.93-465616.4,          , 0.78   ,          ,        , -2.37,         , 0.34
Sc     ,   1, SMSS J021323.26-495936.5,          , 0.31   ,          ,        , -2.84,         , 0.03
Sc     ,   1, SMSS J022410.38-534659.9,          , -0.26  ,          ,        , -3.41,         , -0.01
Sc     ,   1, SMSS J022423.27-573705.1,          , -0.47  ,          ,        , -3.62,         , 0.35
Sc     ,   1, SMSS J022452.58-731051.8,          , 0.33   ,          ,        , -2.82,         , -0.27
Sc     ,   1, SMSS J022545.31-774119.9,          , 0.39   ,          ,        , -2.76,         , -0.13
Sc     ,   1, SMSS J022756.48-684256.6,          , 0.88   ,          ,        , -2.27,         , -0.05
Sc     ,   1, SMSS J023139.43-523957.4,          , 0.23   ,          ,        , -2.92,         , 0.02
Sc     ,   1, SMSS J023147.96-575341.7,          , -0.65  ,          ,        , -3.8 ,         , -0.38
Sc     ,   1, SMSS J024643.28-352502.4,          , -0.02  ,          ,        , -3.17,         , 0.2
Sc     ,   5, SMSS J024858.41-684306.4,          , -0.7   ,      0.1 ,        , -3.85,         , -0.14
Sc     ,   1, 2MASS J03084611-4747083 ,          , 1.43   ,          ,        , -1.72,         , -0.16
Sc     ,   1, SMSS J031556.09-473442.1,          , -0.07  ,          ,        , -3.22,         , 0.04
Sc     ,   1, SMSS J032132.29-363123.6,          , -0.47  ,          ,        , -3.62,         , -0.22
Sc     ,   5, SMSS J033005.90-681352.5,          , -0.33  ,      0.12,        , -3.48,         , -0.04
Sc     ,   1, SMSS J034249.53-284216.0,          , 0.23   ,          ,        , -2.92,         , -0.59
Sc     ,   5, SMSS J040148.04-743537.3,          , 0.04   ,      0.08,        , -3.11,         , -0.02
Sc     ,   0, SMSS J041957.56-493818.3,          ,        ,          ,        ,      ,         , 
Sc     ,   1, SMSS J051008.62-372019.8,          , -0.06  ,          ,        , -3.21,         , -0.01
Sc     ,   5, SMSS J055746.51-575057.4,          , 0.56   ,      0.17,        , -2.59,         , -0.09
Sc     ,   5, SMSS J061725.30-600740.6,          , 0.24   ,      0.1 ,        , -2.91,         , -0.19
Sc     ,   5, SMSS J062609.83-590503.2,          , 0.01   ,      0.07,        , -3.14,         , -0.37
Sc     ,   5, SMSS J063447.15-622355.0,          , -0.54  ,      0.07,        , -3.69,         , -0.28
Sc     ,   5, SMSS J064349.43-653038.6,          , 0.36   ,      0.11,        , -2.79,         , -0.31
Sc     ,   5, SMSS J065014.40-614328.0,          , -0.03  ,      0.13,        , -3.18,         , 0.0
Sc     ,   5, SMSS J070257.95-600422.4,          , 0.26   ,      0.15,        , -2.89,         , -0.27
Sc     ,   5, SMSS J080050.54-724620.6,          , 0.96   ,      0.11,        , -2.19,         , -0.11
Sc     ,   5, SMSS J085924.06-120104.9,          , -0.53  ,      0.12,        , -3.68,         , -0.05
Sc     ,   5, SMSS J090247.43-122755.0,          , 0.5    ,      0.09,        , -2.65,         , -0.25
Sc     ,   1, SMSS J091210.40-064427.9,          , 0.46   ,          ,        , -2.69,         , -0.05
Sc     ,   1, SMSS J093209.41-003435.8,          , -0.17  ,          ,        , -3.32,         , -0.21
Sc     ,   2, 2MASS J09380777-0600392 ,          , -0.09  ,      0.23,        , -3.23,         , -0.55
Sc     ,   0, SMSS J093829.27-070520.9,          ,        ,          ,        ,      ,         , 
Sc     ,   1, SMSS J094029.05-060935.0,          , 0.01   ,          ,        , -3.14,         , 0.04
Sc     ,   1, SMSS J094755.04-102724.7,          , 0.05   ,          ,        , -3.1 ,         , -0.11
Sc     ,   5, SMSS J095120.49-401431.3,          , 1.6    ,      0.16,        , -1.55,         , -0.07
Sc     ,   1, SMSS J100251.13-000152.1,          , 0.23   ,          ,        , -2.92,         , -0.3
Sc     ,   1, 2MASS J10242264-2904203 ,          , -0.12  ,          ,        , -3.27,         , -0.14
Sc     ,   0, 2MASS J10275895-3006391 ,          ,        ,          ,        ,      ,         , 
Sc     ,   0, 2MASS J10283035-2951115 ,          ,        ,          ,        ,      ,         , 
Sc     ,   1, 2MASS J10294248-0103238 ,          , 0.6    ,          ,        , -2.55,         , -0.16
Sc     ,   5, SMSS J105320.99-435300.1,          , 0.91   ,      0.11,        , -2.24,         , -0.38
Sc     ,   5, SMSS J105438.86-435819.9,          , 1.04   ,      0.19,        , -2.11,         , -0.13
Sc     ,   1, SMSS J110850.60-080034.7,          , 0.28   ,          ,        , -2.87,         , 0.03
Sc     ,   4, SMSS J121353.63-441911.2,          , 0.46   ,      0.06,        , -2.69,         , -0.1
Sc     ,   5, SMSS J121716.48-442510.2,          , 0.82   ,      0.07,        , -2.33,         , -0.23
Sc     ,   1, SMSS J122455.61-151134.0,          , 0.05   ,          ,        , -3.1 ,         , -0.48
Sc     ,   1, SMSS J123158.00-162317.6,          , 0.48   ,          ,        , -2.67,         , -0.04
Sc     ,   5, SMSS J123246.06-054559.1,          , -0.08  ,      0.11,        , -3.23,         , -0.2
Sc     ,   1, SMSS J125115.37-331448.1,          , -0.07  ,          ,        , -3.22,         , -0.58
Sc     ,   1, SMSS J125125.64-340343.4,          , 0.33   ,          ,        , -2.82,         , -0.3
Sc     ,   1, SMSS J125451.18-334440.3,          , 0.49   ,          ,        , -2.66,         , 0.15
Sc     ,   5, SMSS J125804.65-335045.1,          , -0.42  ,      0.13,        , -3.57,         , -0.13
Sc     ,   5, SMSS J130537.01-294438.3,          , 0.53   ,      0.1 ,        , -2.62,         , -0.27
Sc     ,   5, SMSS J133013.61-434632.4,          , 0.43   ,      0.06,        , -2.72,         , -0.18
Sc     ,   5, SMSS J133532.32-210632.9,          , 0.38   ,      0.06,        , -2.77,         , -0.04
Sc     ,   1, SMSS J135217.78-151405.7,          , 0.36   ,          ,        , -2.79,         , -0.23
Sc     ,   1, SMSS J135625.09-161538.7,          , -0.02  ,          ,        , -3.17,         , -0.41
Sc     ,   1, SMSS J135819.95-150937.4,          , 0.43   ,          ,        , -2.72,         , -0.14
Sc     ,   5, SMSS J141547.72-414034.0,          , 0.32   ,      0.09,        , -2.83,         , -0.57
Sc     ,   5, SMSS J143511.34-420326.5,          , -0.26  ,      0.07,        , -3.41,         , -0.26
Sc     ,   1, SMSS J151101.05-182103.0,          , 0.37   ,          ,        , -2.78,         , -0.07
Sc     ,   1, SMSS J151450.18-182946.0,          , 0.46   ,          ,        , -2.69,         , 0.04
Sc     ,   5, SMSS J155430.57-263904.8,          , 0.34   ,      0.07,        , -2.81,         , -0.2
Sc     ,   5, SMSS J155628.74-165533.4,          , 0.22   ,      0.06,        , -2.93,         , -0.14
Sc     ,   5, SMSS J160447.75-293146.7,          , 0.29   ,      0.08,        , -2.86,         , -0.2
Sc     ,   5, SMSS J164921.94-041943.9,          , 0.88   ,      0.06,        , -2.27,         , -0.03
Sc     ,   5, SMSS J165023.82-252948.7,          , 0.66   ,      0.1 ,        , -2.49,         , -0.01
Sc     ,   5, SMSS J165219.76-253133.7,          , 0.8    ,      0.15,        , -2.35,         , -0.15
Sc     ,   5, SMSS J173823.36-145701.0,          , -0.69  ,      0.13,        , -3.84,         , -0.26
Sc     ,   5, SMSS J174048.48-143635.6,          , 0.46   ,      0.08,        , -2.69,         , -0.19
Sc     ,   5, SMSS J174916.38-455427.5,          , 0.19   ,      0.08,        , -2.96,         , -0.45
Sc     ,   5, SMSS J174922.26-455103.8,          , 0.11   ,      0.08,        , -3.04,         , -0.27
Sc     ,   5, SMSS J175021.86-414627.2,          , 0.14   ,      0.12,        , -3.01,         , -0.25
Sc     ,   5, SMSS J175046.30-425506.9,          , 0.97   ,      0.13,        , -2.18,         , -0.01
Sc     ,   5, SMSS J175738.37-454823.5,          , 0.5    ,      0.04,        , -2.65,         , -0.19
Sc     ,   5, SMSS J183246.49-343434.2,          , -0.06  ,      0.04,        , -3.21,         , -0.21
Sc     ,   5, SMSS J183753.10-380725.9,          , -0.12  ,      0.1 ,        , -3.27,         , -0.28
Sc     ,   5, SMSS J184226.25-272602.7,          , -1.12  ,      0.12,        , -4.27,         , -0.38
Sc     ,   5, SMSS J184825.29-305929.7,          , -0.44  ,      0.08,        , -3.59,         , 0.06
Sc     ,   5, SMSS J185628.44-231809.8,          , 0.24   ,      0.1 ,        , -2.91,         , 0.08
Sc     ,   5, SMSS J190549.33-214945.0,          , 0.01   ,      0.06,        , -3.14,         , -0.03
Sc     ,   5, SMSS J190911.03-213207.5,          , 0.65   ,      0.16,        , -2.5 ,         , -0.1
Sc     ,   5, SMSS J190931.13-214053.9,          , -0.39  ,      0.08,        , -3.54,         , -0.21
