Species, N  , ID                      , l_logepsX, logepsX, e_logepsX, l_[X/H], [X/H], l_[X/Fe], [X/Fe]
C-H    ,   2, SMSS J210021.85-653627.9,          , 6.49   ,      0.0 ,        , -1.94,         , -0.05
C-H    ,   2, SMSS J211340.44-520017.5,          , 6.0    ,      0.05,        , -2.43,         , -0.03
C-H    ,   2, SMSS J215805.81-651327.2,          , 5.4    ,      0.05,        , -3.03,         , 0.38
C-H    ,   2, SMSS J221448.33-453949.9,          , 5.2    ,      0.05,        , -3.23,         , -0.67
C-H    ,   2, SMSS J224838.41-550635.1,          , 5.0    ,      0.1 ,        , -3.43,         , -0.56
C-H    ,   2, SMSS J224843.95-543610.1,          , 5.85   ,      0.05,        , -2.58,         , -0.2
C-H    ,   2, SMSS J225851.25-265434.9,          , 5.3    ,      0.05,        , -3.13,         , 0.36
C-H    ,   2, SMSS J230013.16-263511.0,          , 4.53   ,      0.12,        , -3.9 ,         , -0.55
C-H    ,   2, SMSS J230113.95-291458.2,          , 5.78   ,      0.12,        , -2.65,         , -0.12
C-H    ,   2, 2MASS J23203653-3637223 ,          , 5.72   ,      0.02,        , -2.71,         , -0.08
C-H    ,   2, 2MASS J23261426-3719492 ,          , 6.12   ,      0.08,        , -2.3 ,         , 0.25
Na     ,   0, SMSS J000113.96-363337.9,          ,        ,          ,        ,      ,         , 
Na     ,   0, SMSS J001039.86-525851.4,          ,        ,          ,        ,      ,         , 
Na     ,   3, SMSS J001952.15-525803.0,          , 3.99   ,      0.05,        , -2.25,         , 0.31
Na     ,   1, SMSS J002148.06-471132.1,          , 2.94   ,          ,        , -3.3 ,         , -0.13
Na     ,   0, SMSS J003055.81-482011.3,          ,        ,          ,        ,      ,         , 
Na     ,   1, SMSS J003327.36-491037.9,          , 3.46   ,          ,        , -2.78,         , 0.58
Na     ,   2, SMSS J004037.56-515025.2,          , 2.58   ,      0.15,        , -3.66,         , 0.17
Na     ,   2, SMSS J005953.98-594329.9,          , 4.3    ,      0.02,        , -1.94,         , 1.99
Na     ,   2, SMSS J010332.63-534654.3,          , 3.98   ,      0.07,        , -2.26,         , 0.78
Na     ,   2, SMSS J010651.91-524410.5,          , 2.74   ,      0.12,        , -3.5 ,         , 0.29
Na     ,   2, SMSS J010839.58-285701.5,          , 4.19   ,      0.01,        , -2.05,         , 0.97
Na     ,   0, SMSS J012147.80-495328.2,          ,        ,          ,        ,      ,         , 
Na     ,   2, SMSS J014624.60-352457.7,          , 4.23   ,      0.02,        , -2.01,         , 0.8
Na     ,   2, SMSS J015350.94-775525.6,          , 3.81   ,      0.01,        , -2.43,         , 0.19
Na     ,   0, SMSS J015941.53-781408.7,          ,        ,          ,        ,      ,         , 
Na     ,   0, 2MASS J02031860-7930291 ,          ,        ,          ,        ,      ,         , 
Na     ,   2, SMSS J020748.93-465616.4,          , 4.28   ,      0.01,        , -1.96,         , 0.75
Na     ,   2, SMSS J021323.26-495936.5,          , 4.12   ,      0.0 ,        , -2.12,         , 0.75
Na     ,   2, SMSS J022410.38-534659.9,          , 3.6    ,      0.15,        , -2.64,         , 0.76
Na     ,   2, SMSS J022423.27-573705.1,          , 2.27   ,      0.04,        , -3.98,         , -0.01
Na     ,   2, SMSS J022452.58-731051.8,          , 4.14   ,      0.09,        , -2.1 ,         , 0.46
Na     ,   2, SMSS J022545.31-774119.9,          , 4.12   ,      0.08,        , -2.12,         , 0.51
Na     ,   2, SMSS J022756.48-684256.6,          , 4.13   ,      0.04,        , -2.11,         , 0.12
Na     ,   2, SMSS J023139.43-523957.4,          , 4.17   ,      0.01,        , -2.07,         , 0.87
Na     ,   2, SMSS J023147.96-575341.7,          , 2.65   ,      0.01,        , -3.59,         , -0.17
Na     ,   1, SMSS J024643.28-352502.4,          , 3.81   ,          ,        , -2.43,         , 0.94
Na     ,   2, SMSS J024858.41-684306.4,          , 2.54   ,      0.02,        , -3.7 ,         , 0.01
Na     ,   5, 2MASS J03084611-4747083 ,          , 5.0    ,      0.01,        , -1.24,         , 0.32
Na     ,   1, SMSS J031556.09-473442.1,          , 2.98   ,          ,        , -3.26,         , -0.0
Na     ,   2, SMSS J032132.29-363123.6,          , 3.41   ,      0.11,        , -2.83,         , 0.57
Na     ,   1, SMSS J033005.90-681352.5,          , 3.53   ,          ,        , -2.71,         , 0.73
Na     ,   2, SMSS J034249.53-284216.0,          , 3.62   ,      0.08,        , -2.62,         , -0.29
Na     ,   2, SMSS J040148.04-743537.3,          , 3.62   ,      0.06,        , -2.62,         , 0.47
Na     ,   2, SMSS J041957.56-493818.3,          , 3.71   ,      0.07,        , -2.53,         , 0.44
Na     ,   2, SMSS J051008.62-372019.8,          , 3.8    ,      0.03,        , -2.44,         , 0.76
Na     ,   2, SMSS J055746.51-575057.4,          , 4.11   ,      0.04,        , -2.13,         , 0.37
Na     ,   2, SMSS J061725.30-600740.6,          , 3.94   ,      0.02,        , -2.31,         , 0.41
Na     ,   2, SMSS J062609.83-590503.2,          , 3.76   ,      0.01,        , -2.48,         , 0.29
Na     ,   2, SMSS J063447.15-622355.0,          , 3.28   ,      0.03,        , -2.96,         , 0.44
Na     ,   2, SMSS J064349.43-653038.6,          , 4.0    ,      0.05,        , -2.25,         , 0.24
Na     ,   2, SMSS J065014.40-614328.0,          , 3.34   ,      0.01,        , -2.9 ,         , 0.29
Na     ,   2, SMSS J070257.95-600422.4,          , 4.22   ,      0.02,        , -2.02,         , 0.61
Na     ,   1, SMSS J080050.54-724620.6,          , 4.42   ,          ,        , -1.82,         , 0.26
Na     ,   2, SMSS J085924.06-120104.9,          , 3.37   ,      0.01,        , -2.88,         , 0.76
Na     ,   2, SMSS J090247.43-122755.0,          , 4.31   ,      0.03,        , -1.93,         , 0.47
Na     ,   2, SMSS J091210.40-064427.9,          , 3.95   ,      0.11,        , -2.29,         , 0.35
Na     ,   2, SMSS J093209.41-003435.8,          , 3.5    ,      0.1 ,        , -2.74,         , 0.37
Na     ,   2, 2MASS J09380777-0600392 ,          , 3.33   ,      0.0 ,        , -2.92,         , -0.24
Na     ,   2, SMSS J093829.27-070520.9,          , 4.26   ,      0.07,        , -1.98,         , 0.36
Na     ,   2, SMSS J094029.05-060935.0,          , 4.03   ,      0.26,        , -2.21,         , 0.97
Na     ,   2, SMSS J094755.04-102724.7,          , 3.69   ,      0.04,        , -2.55,         , 0.44
Na     ,   2, SMSS J095120.49-401431.3,          , 5.17   ,      0.04,        , -1.08,         , 0.4
Na     ,   2, SMSS J100251.13-000152.1,          , 4.08   ,      0.1 ,        , -2.17,         , 0.46
Na     ,   2, 2MASS J10242264-2904203 ,          , 3.54   ,      0.11,        , -2.7 ,         , 0.44
Na     ,   1, 2MASS J10275895-3006391 ,          , 3.79   ,          ,        , -2.45,         , 0.51
Na     ,   2, 2MASS J10283035-2951115 ,          , 4.47   ,      0.08,        , -1.77,         , 0.62
Na     ,   2, 2MASS J10294248-0103238 ,          , 4.12   ,      0.04,        , -2.12,         , 0.26
Na     ,   1, SMSS J105320.99-435300.1,          , 4.53   ,          ,        , -1.71,         , 0.15
Na     ,   2, SMSS J105438.86-435819.9,          , 4.45   ,      0.04,        , -1.79,         , 0.18
Na     ,   1, SMSS J110850.60-080034.7,          , 3.37   ,          ,        , -2.87,         , 0.03
Na     ,   1, SMSS J121353.63-441911.2,          , 4.14   ,          ,        , -2.1 ,         , 0.49
Na     ,   2, SMSS J121716.48-442510.2,          , 4.37   ,      0.03,        , -1.87,         , 0.23
Na     ,   1, SMSS J122455.61-151134.0,          , 3.9    ,          ,        , -2.34,         , 0.28
Na     ,   2, SMSS J123158.00-162317.6,          , 4.02   ,      0.02,        , -2.22,         , 0.4
Na     ,   1, SMSS J123246.06-054559.1,          , 3.66   ,          ,        , -2.58,         , 0.45
